※,ガヴリールドロップアウト
ラフィエル,25
ラフィエル・サターニャ,25
ガヴリール,はぁ…。カンパイ……
ヴィーネ,ちょっとガヴっ！？せっかくのプチ同窓会なんだから、もっとテンションあげなよっ！
ガヴリール,はぁ、めんどくせぇ
サターニャ,成人してもガヴリールはまだ駄天使のままだなんて相変わらず、学生の時と変わらないわねぇ、ふふふ♩月日が経ってもこの大悪魔…胡桃沢＝サタニキア＝マクドウェルの足元にも及ばないわ。あーはっはっはっはっ！！！
ガヴリール,うるせぇ。そういうお前こそ、学生の時とぜんぜん変わってねぇじゃねぇか……
ラフィエル,うふふっ♩あの時と全然変わらない皆さんを久しぶりに見れて、私も嬉しい限りですよ♡
ヴィーネ,それにしても、タプリスちゃんが来れないのは残念ね
ガヴリール,まぁ、仕方がない。最初は来る予定だったのに、急な用事が入ったせいで行けなくなったんだからな！
ラフィエル,昨日、たまたま街で会いましたけど、タプちゃん残念がってましたよ。せっかく久しぶりに皆さんと会える機会だったのに…特にガヴちゃんとお会いになれるチャンスだったのに…と
サターニャ,まっ、用事なら仕方ないんじゃないの。
ヴィーネ,そうね。せめてタプリスちゃんの分まで楽しみましょう
ラフィエル,そうですね♩
ガヴリール,いや、早く帰りてぇ…。つーか、ノートパソコンをうっかり家に忘れたのが迂闊だった……あぁ、イベントがあぁっ！？
ヴィーネ,こういう場の時は一度、ネトゲの事から離れなさいよっ！？
サターニャ,まったく変わらないわね…
ラフィエル,うふふっ♡
ヴィーネ,そういえば、皆は今、何の仕事をしてるの？
ガヴリール,あっ？今、それを聞くか？
ヴィーネ,いや、普通は聞くでしょ！？大人なんだし、同窓会でも話すこと定番の話題でしょう？！
ラフィエル,そうですねぇ……。私は今、婦人警官です♩
サターニャ,はぁっ、アンタが婦人警官っ！？
ガヴリール,似合わねぇ…。あのトラブル大好き、人をいじる事が大好き…ドSのラフィエルが、正義とか掲げてる警察官なんて
ヴィーネ,こら、二人とも、偏見だけで決めつけないのっ！！。それにしても凄いじゃないのラフィ、婦人警官になるなんて！どう、実際に身近で犯罪を取り締まるのって大変じゃない？
ラフィエル,えぇ、それはもう。ですが、なんと言うか、たまらないですよねぇ～///♩♩
ヴィーネ,えっ？
ラフィエル,悪い人をギリギリまで追い詰めた時に悪い人が見せた、あのなんという恐怖の表情っ/////♡♡♡
サターニャガヴリール,はっ？
ラフィエル,悪い人を叩き伏せる時に私に向かって怯えて見せた顔色を、武器を奪い取って返せ返せと必死に抵抗する無様な様子を、許して下さい
ヴィーネ,ストップ、ストップッーー！！？？。ちょっと待って、ラフィ…貴方、どういう取り締まり方してるのよっ！？
ラフィエル,取り締まり方ですか？もちろん、持ち前の身体能力と神通力をちょっとだけ使って確保ですね…
ガヴリール,おいっ、わざわざ神通力を使う、なんて何考えてんだっ！？人間相手だとただじゃ済まない事もあるんだぞっ！？
サターニャ,昔、学校へ行く為だけにわざわざ神通力使って、ただじゃ済まなかった誰かさんがいたような……
ラフィエル,もちろん、そこは私も分かってますよ♩取り締まるとはいえ、怪我をさせたら大変ですから…二度と悪い事が出来ないように軽く心に傷を負わせる程度にしてますよ。最悪、本当に軽傷を負わせてもほとんど正当防衛というもので処理しますしね♡
サターニャ,そして、今の犯罪者以上に目の前のこいつが、ある意味一番の犯罪者に見えるな…
ラフィエル,ですが、最近は大きな事件を一人で解決しましてねぇ…、その功績で近々刑事への昇進と警視総監賞という物が与えられる予定でして
ヴィーネ,刑事への昇進っ！？えぇっ、警視総監賞っ！！？？
ガヴリール,なんだ、そんなにすごいのかっ？
ヴィーネ,えぇ。聞いた事があるけど、どっちとも警察の仕事で最も高い検挙率とか、多く手柄を挙げた人にしか成しえないもので…。警察官でも優秀な人が取れるか、取れないかで有名みたいよ
サターニャ,へ、へぇ…。くぅ、ラフィエルの奴、そんなに凄い功績をっ！学生の時から成績とかは良かったみたいだけど、まさかここまでとはねぇ……
ラフィエル,もぅ、ヴィーネさん、そんな凄いことじゃないですから///♩
ヴィーネ,次はサターニャ、アンタは？
サターニャ,えっ？
ヴィーネ,えっ、じゃなくて今、何の仕事してるかって聞いてるのよ？
ラフィエル,あぁ。それ、私も気になります？♡
ガヴリール,どうせロクなことしかしてねぇだろ…
サターニャ,ちょっとーー、ラフィエルは何だか知ってるような雰囲気だけど…？そして、ガヴリール…その言葉、そっくりそのままアンタにお返しするわっ！！。ウォッホン！！ふふふっ、私は今、この人間界を支配する計画を着々ｔガヴリール面倒だから、カットな…。って、ちょっとーー！？
ラフィエル,うふふっ、さっそくいじられるサターニャさん、最高です～♡///
ヴィーネ,サターニャ、要点だけでいいのよ？後、話はなるべく手短にね？
サターニャ,ふふふっ、この胡桃沢＝サタニキア＝マクドウェルがどのような大悪魔になったか、ご存知であろう？自らの計画を進める為…今、私は人間の24時間の拠り所とされる場所で幾多の人間を配下に従え、ある時は人間風情にブラックな液体を授与し、またある時は漆黒の時間に欲深き人間共が訪れし場所でその欲深き人間を相手に情報収集を……
ラフィエル,要はフリーターですね？♩
サターニャ,えぇっー、なぜ故その事をっ！？
ヴィーネ,あっ、サターニャが言った24時間の拠り所
ガヴリール,あっ、そういえば、次に言ってたブラックな液体ってもしかしてコーヒーの事か？そんで、コーヒーを人間風情に授与するって事は喫茶店にでも働いているって事だろ？私も高校生の時、アルバイトで喫茶店に働いていたから何となく分かるぞ…
ラフィエル,それで残りのワードですが、漆黒の時間は辺りが暗くなる…夜のことで、欲深き人間が訪れて、その人たちを相手に話すって事は夜に開店するキャバクラか、クラブか…という所でしょう♩全てのワードを合わせるとアルバイトをこなしている…つまりフリーターって事になりますね
サターニャ,なっ、全部丸分かりだとっ！？
ラフィエル,ワードを解明したらすぐに分かりましたよ…私は♩
ヴィーネ,へぇー、アンタ、フリーターなんだ！
サターニャ,ヴィネット、バカにするな！今は嫌々人間風情に従い、わざと人間の色に染まっているこの私だが、いずれ自らの計画を進めてる最中なのさ♩
ヴィーネ,そういえば、さっきから計画って言ってるけど、その計画って一体なんなの？
サターニャ,ふふふっ、聞いて驚くなよ♩我が胡桃沢＝サタニキア＝マクドウェルは、人間共の上に立つ計画の第一歩として選挙というものに立候補するのさ！
ヴィーネ,えぇっーーー！？
サターニャ,そして当選して議員というものになった暁には…人間共の中でこの世界で一番偉いとされる総理大臣となり、法律悪用で自分が考えた悪い事を人間共に施行させるのさ！しかも、総理大臣となれば、誰もが私にひれ伏すだろう…。ふふふっ、良い計画とは思わないか～？
ヴィーネ,その為にアルバイトしてお金を貯めていると？
サターニャ,無論。だからこそ、今は敢えて人間と同じ事をし、ある時は従ってあげてるのさ♩いずれは見返すためにな…あーはっはっは！！
ヴィーネ,あぁ…サターニャ、どこまで楽天的なのよ…アンタは
ガヴリール,バカだ…。100％のバカがいる……
ラフィエル,叶わない理想を描くサターニャさんもまた素敵です♡
ヴィーネ,それで、聞くのは野暮かもしれないけど……ガヴ？
ガヴリール,んっ？
ヴィーネ,アンタは今、何してるの…一応聞くけど？
ガヴリール,………どうでもいいだろ。何をしてるか、なんてさ
サターニャ,出たわね。ガヴリールのめんどくさい回答が！
ラフィエル,昔のガヴちゃんのまんま、ですね♩
ヴィーネ,まさか、ずっとブラブラして過ごしてるんじゃないでしょうね？
ガヴリール,………
サターニャ,ガヴリール。ヴィネットが聞いてるんだから、答えたら？
ガヴリール,……過ごしてるけど、悪いか？
ヴィーネサターニャ,！？
ラフィエル,あらまぁ…
ヴィーネ,アンタ、それで良く生活が成り立つわね！？働いてお金を稼がないと満足に生活が出来ないのよ、社会人って！？
ガヴリール,あぁ、大丈夫大丈夫。そこは一緒に住んでる男に食わせてもらってるから…
ヴィーネ,えっ！？
サターニャ,なにっ、今聞き捨てならない言葉が！？
ガヴリール,だから、男と住んでて、生活はそいつが面倒見てくれてるから大丈夫だってことだよ！二度言わせんなっ？
ラフィエル,まぁガヴちゃんに男の人が？それでガヴちゃん…その方とは結婚、それとも同棲で？
ガヴリール,しいて言えば同棲に近い感じ？そもそも結婚する気ないし、興味も無いけど、生活の面倒を見てくれそうだったからひとまず一緒に暮らしてんだ！そんで、そいつは普段外に出て働いていてな…逆に私は働かず動かず何もしないで一日中ダラダラとネトゲだけして過ごすんだ！ちなみに私がおこづかいが欲しいや課金でお金がいると言えば、すぐにハイッと気前良く5万円とか、良い時は10万近く渡してくれる時もあるんだ！
ヴィーネ,それ、男で言ったらヒモと一緒じゃんっ！？
ガヴリール,ヒモだか何だか知らんけど…。他にも外から帰ってきたら私の為に美味い物を買ってきてくれたり、美味い料理を作ってくれたり、休日には掃除や洗濯も一手にやってくれてなぁ…もう最高さ。
サターニャ,へぇー、ガヴリールは上手く人間を使役させているね…。
ラフィエル,流石はガヴちゃん♩
ヴィーネ,そこっ、感心するとこじゃないって！？。でも、よく相手もガヴに尽くすわねぇ…。私なら絶対に文句の一つは言うわよ？
ガヴリール,私に尽くす理由は簡単…それは私に夢中だからだよ！
サターニャ,夢中？どういう事？
ガヴリール,そいつは良く私を街で見かけていたらしくてさ、それがきっかけで好きになって私に君が好きなんだ、良かったら一緒に暮らさないか？
ラフィエル,まぁ～、それは恋愛の定番の一つですね♩
ヴィーネ,で、アンタはどう返したの？
ガヴリール,もちろん断ったよ…恋愛なんて興味ないからね
ヴィーネ,それだったら、どうして一緒に暮らしてるの？断ったら普通は一緒に暮らすような状況にはならないでしょうに？
ガヴリール,けど、そいつ断っても食い下がって来てさぁ…。しつこくて何度も嫌がったらそいつ言ったんだ…僕は君に夢中なんだ！君の為なら何だってする、何でもやる
サターニャ,成る程。それでさっき、夢中ってワードが出てきた訳ね
ラフィエル,ガヴちゃんの魅力は確かですからね。それに何だか面白そうなワードも出て来ましたし…何だってする
サターニャ,何だってする
ヴィーネ,まさか、アンタそれで！？
