彡(^)(^),さーて、今日もネットやるか。まずはおんJやな、これだけはやめられへんで
彡(ﾟ)(ﾟ),さてと、今日はどんなスレが……。ん？。新着レスが全然来ない…？。おかしいなあ、レス通知機能が止まってんのかな？。とりあえず一番上のスレ見たろ。……。最終レスが、12時間前…？。な、何やこれ。どのスレも、5月4日の18時前後で止まってる。今が5月5日の朝8時やから、12時間誰もレスしていない…？。…あ、立てられたばっかのスレがあるわ、やっぱり誰もレスしてない…。…２、と。とまあ、心配してみたけど、どうせ鯖落ちとかやろ、よくあることや。ワイだけたまたま入れたってことかな？よく分からんけど。しゃあない、ニコニコ動画でも見るか。っと、さて新着動画でも…。……。何も投稿されてない…？。どういうこっちゃ、どの動画にも新しいコメントがない。生放送も静画も、どのページにも誰もおらん……ニコ動まで鯖落ちか？。そ、そうや、ツイッターや。……ツイッターも誰も更新してない、ページは表示されるのに…。そんなアホな…て、テレビは
テレビ,ｷｬﾊﾊﾜｲﾜｲ
彡(ﾟ)(ﾟ),テレビは普通にやってる…生放送も……。窓から外を見れば、ちゃんとみんな通勤してる、小学生も歩いてる…。いったい何が起きてるんや…。そうや、ワイも仕事…。…あれ、ワイの仕事って何やったかな。そうやサラリーマンや、出勤前のネットが日課やったわ。そろそろ出勤せなアカンな…御徒町から電車で通勤や。……。誰もスマホいじってへん…。ついたわ、ワイの会社や。お早うございます
課長,ああ、おはよう
彡(ﾟ)(ﾟ),あの…課長、ネットのことって何かニュースになってます？
課長,はあ？何の話や
彡(ﾟ)(ﾟ),い、いえ別に…
課長,今日も忙しいんやで、きっちり仕事せえや
彡(ﾟ)(ﾟ),はい…。ワイの会社は、課長とワイだけの零細企業や。昔は社長がいたらしいけど、音信不通らしい、よく知らへん。というか業態もよく知らんのや、課長が毎日どこかへ出かけていって、ワイは電話番をしてる。あ、電話や
？？,もしもし、テルアビブの葉巻を45、コートジボアールの牛乳を70、ロシアのネズミを3ね
彡(ﾟ)(ﾟ),はい、分かりました。今みたいな電話が毎日たくさん来る。ワイはそれをメモにとって、課長に伝える。それ以外にもよう分からん買い出しとか、荷物の伝票書きとか、よく分からん仕事が多い。新入社員なんてそんなもんやろな。ちょっとスマホを…。……。そんなアホな…デレステにも誰もおれへん…。昼休みや、今日はラーメンでも食うたろ。……街は平和やな。ネットに誰もおらへんことなんか関係ないかのようや。でも…ネットに人がおれへんかったら、大損する会社もあるんちゃうか…？。もう一度おんJを…。ん？。ワイが２を取ったスレのレス数が、3になってる。誰やこれ…？。ええ…なんやこれ…ドン引き
いやネットでどこの誰か晒すとかないわー,笑
彡(ﾟ)(ﾟ),めっちゃ怖いんやけど…都内ってことバレてるし。でも、他のスレを見てもやっぱりこの人以外のレスはないようや。どうしよう…どっかで待ち合わせて様子をうかがうとかなら…。こんなもん相手にできんわ…無視や無視。あかんめっちゃゾクゾクする、怖い怖い、寺生まれのTさんに助けてほしい。ラーメンも食うたし帰ろか。ただいま戻りました…。おや、事務所のカギが開いてる…課長が戻ってんのやな。ひっ。こ、これは何や、事務所がメチャクチャになってる。ノーパソが砕かれてるし、ガラスも粉々や…壁紙まで剥がされて。デスクは…引き出しが全部床に投げ出されてる。だ、誰がこんなことを……。さ、さっきの書き込み、まさか、あのaza
課長,おい
彡(ﾟ)(ﾟ),ほんげえええええええええええええ！！！！！
課長,でかい声を出すんじゃない、このバカ
彡(ﾟ)(ﾟ),あ、ああ課長、無事でしたか
課長,ああ、油断してたよ、まさかここが特定されるとはな
彡(ﾟ)(ﾟ),教えてください、いったい何が起きたんですか
課長,……なあ、インターネットってホントに必要だと思うか
彡(ﾟ)(ﾟ),は？
課長,ネットがない時代だって、けっこうみんな幸せだっただろ。本当に世の中そんな便利になったのかな
彡(ﾟ)(ﾟ),何を言うてるんですか？
課長,でもネットを捨てさせると言っても、具体的にどうしたらいいのかな。設備そのものを壊せたとしても、誰かがまた作るだろう。存在そのものを忘れさせるしかないよな。インターネットなんて概念がなくなってしまえば、誰もそれを気にしなくなる。野球だってそうだろ、ある日、全員がいっせいに興味を失ってしまえば、最初からなかったことと同じになる
彡(ﾟ)(ﾟ),……
課長,ところで、人間の脳というのも一種のプログラムで動いてるんだ。ある日を境に作用するような時限式ウィルスも、すでに開発されてる。どうやって感染させるか、まあUSBメモリみたいなものを使う、極小のな。ホコリと同じぐらいの大きさでな、鼻から入り込んで、毛細血管を通して脳に行く。俺はちゃんとワクチンを打っていたんだが。やれやれ、お前にも効いていたとはな
彡(ﾟ)(ﾟ),ま、まさか、あんた……
課長,俺はお前を始末せにゃならんのだ
彡(ﾟ)(ﾟ),！！
課長,すまんな
彡(ﾟ)(ﾟ),ぎゃああああああああああ
課長,うぐっ……
彡(ﾟ)(ﾟ),ひんぎゃああああ撃たれたああああああああ
課長,倒れる
彡(ﾟ)(ﾟ),ああああああああ死ぬうううううわあああああ
女,いや、撃たれたのは課長の方でしょ
彡(ﾟ)(ﾟ),あれっ
女,やれやれ、やはり現場に戻ってきたわね、小間使いの子が一人いるって情報があったから、始末に戻ると思ってたわ
彡(ﾟ)(ﾟ),な、何者や？真っ黒のスーツなんか着て
女,公安の者よ、大規模なテロが日本で計画されててね、その首謀者を追っていたの。簡単に言うと反インターネット集団よ。文明を捨てて昔へ帰ろうって連中ね、まあ昔からたくさんいるわ
彡(ﾟ)(ﾟ),よくわからへん…、つまり、インターネットに誰もおれへんかったのは、課長が原因なんか？
女,まさか、こんなやつ末端でしかないわ。首謀者がどこの誰なのか、集団の規模はどのぐらいか、まったくの不明よ。各国政府も完全に後手に回ってるの。経済損失はすでに数兆円。全人類にインターネットのことを忘れさせる、とんでもないウィルスを作ったものね。別の構成員からワクチンを入手してたから助かったけど、政府の中枢と、公安の一部に配るのが精一杯だったわ
彡(ﾟ)(ﾟ),これからどうなるんやろう…
女,さあね、とにかくあなたは公安が保護するわ。しばらくは政府の施設で暮らしなさい
彡(ﾟ)(ﾟ),はあ…。…………。……インターネットのことを忘れさせるウィルス？時限式の？。全人類がインターネットのことを忘れる？。……そんなもん、常識を遥かに越えてるで
女,ん？何か言った？
彡(ﾟ)(ﾟ),ホンマに、こんなもんが科学や医学で説明できるんか？。こんなことが人間の仕業なんか…？
女,ねえ、何ブツブツ言ってるのよ
彡(ﾟ)(ﾟ),そうや、さっきワイにレスしてきた人…スマホを…。ごめん、お姉さん、ちょっとええかな
女,うん？
彡(ﾟ)(ﾟ),ちょっとパンツ変えてきてええか？
