ジャ,ふぁ～あ。もう店番飽きたぜ。俺は母ちゃんの奴隷じゃないっつーの。ふぁ～。退屈だ
ジャイアン,ん？俺に手紙？めずらしいじゃんか。アメリカ語じゃんか。なんて書いてあんだよ！。しかたねぇな。あとでドラえもんのところに行くか
ドラえもん,ジャイアンに外国から手紙？じゃあ…翻訳コンニャクお味噌味～！モグモグ
ジャイアン,俺にもくれよ
ドラ,こ、これは…！
ジャイアン,ホグワーツってなんだ？俺試験とか受けた覚えないぞ
のび太,あはは、ジャイアンが試験なんて受かるわけ…
ジャイアン,ジロリ
のび太,ひぇ～
ドラ,そ、そうか。21世紀ではまだホグワーツや魔法界のことは一般には知られてなかったんだった。いいかい？ホグワーツっていうのは…略
ジャイアン,ふーん。そこからの手紙か
ドラえもん,これはすごいことだよ！ホグワーツは魔法界でもトップの学校で、学校から選ばれないと入学もできないんだ！日本の子どもが呼ばれるなんて！
ジャイアン,そ、そうなのか。さすが俺様だ！じゃあ、俺は魔法使いになれるのか！？
のび太,ぼ、ぼくも魔法使いになりたいよドラえも～ん！
ドラえもん,のび太くん、こればっかりは駄目だよ。ここで学校で使う魔法使いの道具を買うんだよ
ジャイアン,うひょー、すげぇ！よし、まずはローブってやつだな！買い物には付き合ってくれよドラえもん。いろいろあるな！かっこいいやつはどれだ
？,君もホグワーツの新入生かい？変わったペットだな。狸か？
ジャイアン,そうだぞ！お前もか？
ドラえもん,狸じゃない！
フォイ,僕はドラコ・マルフォイだ。純血のマルフォイ家出身さ
ジャイアン,俺はジャイアン。日本からきた
ドラえもん,ぼくドラえもん
フォイ,日本…？日本の事情はよくは知らないが、君は純血なのか？
ジャイアン,？
フォイ,君の両親は魔法使いなのか？
ジャイアン,ああ、違うぞ
フォイ,はっ、マグル生まれで、おまけに外国人が新入生とは、ホグワーツも落ちたもんだ
ジャイアン,ドラえもん、あいつは何を言ってるんだ。意味がわからないぞ
ドラえもん,マグルっていうのは魔法使いじゃない人のことで、ジャイアンの両親がマグルだから、ホグワーツにはふさわしくないって言ってるんじゃないかな。この時代にはまだそういう古い考え方の人がいたんだよ
フォイ,古い？
ジャイアン,要するにあいつは俺や父ちゃん母ちゃんに悪口言ったってことか？
ドラえもん,そうだね
マルフォイ,メギャン！
ジャイアン,この野郎！父ちゃんと母ちゃんの悪口言うと、ギッタギタのメッタメタだぞー！！
マルフォイ,
ドラえもん,ニヤニヤ
マルフォイ,ひいぃ、…
ジャイアン,やい！謝れ！
マルフォイ,この、マグルが、サーペンソー…
ジャイアン,コンニャロー！なんかやろうとしやがったな！
ドラえもん,ニヤニヤ
マルフォイ,…ぼへっ…卑怯、だぞ…魔法を使わずに…野蛮な…
ジャイアン,うるせぇ。勝ったものの勝ちだ
マルフォイ,うう…
ジャイアン,ん？なんだこれ？蛙みたいなチョコレートだな？
マルフォイ,返せ！。盗むつもりか！
ジャイアン,とったんじゃない！借りたんだ！いつ返すか決めてないだけだ！
マルフォイ,
オリバンダー,ほれ、これなんてどうですかな？お前さんにはぴったりかと
ジャイアン,これが杖？バッドみたいじゃねぇか
オリバンダー,落雷で折れたトネリコの木に青狸の毛を入れてある。まれにそうした太い杖が合う魔法使いもいるのですよ
ジャイアン,ふーん。まあ、バッド振り回すのは得意だからな。準備も出来たし、あとは列車だな
ドラえもん,うん。気をつけてね。はい。一応学校生活に必要な道具、いくつか…
ジャイアン,いや、翻訳コンニャクだけでいい
ドラえもん,え？でも
ジャイアン,魔法使えるようになれば必要ないしな！
ドラえもん,そ、そう。じゃあがんばってね
ジャイアン,おう！。9と3/4番線？そんなもんないぞキョロキョロ
ハリー,ねぇ、もしかして君もホグワーツ？
ジャイアン,お、お前なんか俺の友達にちょっと似てるな。そうだぞ。行き方がわかんねぇんだ。教えてくれ
ハリー,僕もわからないんだよ
ロン,教えてあげるよ！
ハリー,僕はハリーポッター
ロン,なんだって！？じゃあ、あの、アレ、あるの？
ジャイアン,俺はジャイアンだ！
マルフォイ,やあ、君がポッターだったんだな。ん？ウイーズリーや日本人のマグルなんかと一緒にいるのか？魔法族にもいいのとそうでないのがいてね。友達の選び方を教えてあげよう。僕のコパートメントに…
ジャイアン,いい度胸だなぁギロリ
マルフォイ,ひっ
ジャイアン,ふーん？へー？ほーお？
ハリー,悪いけど友達くらい自分で選べる
ロン,黙れマルフォイ！
マルフォイ,クラッブ！ゴイル！こいつらを…
ハリー,…
ロン,…
ジャイアン,俺様とやろうってのかよ！
クラッブ,なんだお前
ゴイル,調子にの
ジャイアン,俺に逆らうとこうなるのだ。ははは！
ロン,すげぇや！ジャイアン！
ハリー,強いんだなぁー
マルフォイ,くそっ、覚えていろ！父上がだまっちゃいないぞ！お前の両親を社会的に
ジャイアン,ギッタギタのメッタメタだぞー！！
ロン,…日本人、koeee
ハリー,…顔めりこんでる
ハーマイオニー,ねぇ、ネビルのカエルが逃げちゃったんだけど、見なかったかしら？
ロン,いや
ハリー,みてないね
ジャイアン,…みてないなぁ。でも見つけたらぼ、僕が捕まえておくよ
ロン,！？
ハリー,！？
ハーマイオニー,あらありがとう。わたしハーマイオニーよ。あなたは？
ジャイアン,ぼく剛田武。よ、よろしく
ハーマイオニー,ええ。よろしく。じゃあまた後でね
ジャイアン,うん
ロン,…
ハリー,…
ジャイアン,なに見てんだよ！
ロン,ひっ
ハリー,な、なにも
