まあいっか、大丈夫です！,多分
電,はわわ、電が悪い子なのがバレてしまうのですーーー！
カメラさん,ほな映像、いくでー
電,ふんふふんふふ～ん、なのです～♪。今日は電が秘書艦当番なのです～♪。いっぱい頑張って、司令官さんに褒めてもらうのです！。司令官さん、お茶が入ったのです！。司令官さん、遠征の報告書なのです！。司令官さん、艦隊がお戻りみたいです！。しれ―――
提督,なあ、電ちゃん？
電,はわわ～！
提督,おっと、ごめんよ
電,びっくりしたのです、ごめんなさい･･･
提督,俺も驚かせてしまったな。でも今日は何だか張り切っているみたいだから
電,司令官さんに褒めて貰いたかったのです･･･。ケンコンすれば私でも、司令官さんのお嫁さんになれるから･･･。電は･･･もっと司令官さんのお役に立ちたいのです･･･
提督,はは、もう充分力になってくれてるよ？
電,はわわ、ありがとう、なのです･･･。でも褒めてもらってばかりではダメなのです･･･。もっとあぴーるしなきゃダメなのです！本気を見せるのです！。しれーかんさ･･･。し、しれーかん！
提督,ん、どうした？お、呼び捨てか！？
電,いつもお疲れ･･･なのです。肩を揉んであげるのです！
提督,おお、そうか。じゃあ頼もうかな可愛い
電,お加減はいかがですか、しれーかん
提督,ああ、とっても気持ちいいよ。電は良いお嫁さんになるな
電,はにゃぁ！？。はにゃぁぁっぁぁ～～～～～～////
提督,おい、どうした･･･電？電ちゃん･･･？。出て行ってしまった･･･娘みたいで可愛いな
電,はわわ、怒られちゃうのです･･･！ぬけがけさんなのです･･･！
金剛,oh,,,とってもプリチーデース！
長門,うむ、可愛い･･･
榛名,長門さん、拳がミチミチいってますやめて下さい
加賀,微笑ましかったわ
電,あれれ、怒られないのです！？
響,スパシーバ。電、健気でいいじゃないか
暁,ふん、暁型なんだから当然よ！
雷,私も普段呼び捨てなのに、何が違うのかしら？
電,良かったのです、怒られなかったのです
衣笠,あ、ビデオの中で司令官が何か言ってるわ！
提督,だからさ～、電ちゃんが健気で可愛かったんだよな～。俺も娘が出来たらあんな感じなのかな～、なんて
青葉,分かりました、分かりましたってば！さっきから同じ話ばっかりです！
瑞鶴,は？何言ってんの？
衣笠,あーあ、まーた青葉が企んでる
青葉,ですからー、司令官をグデングデンに酔わせてですね
瑞鶴,いや、それは分かったから。わざわざ酔わせてインタビュー、ってのがわからないだけ
長門,ふん、全くだ。大体インタビューなど普段お前がやっていることだろう
青葉,ふっふっふ。皆さん分かってないですねー。例えば翔鶴さん、司令官は普段、みんなに対してどんな方でしょうか？
翔鶴,え、私！？。･･･ええと、提督は･･･そうですね。とても公平な方だと思います
金剛,イエース！テートクはみんなに優しい人だヨ！ワタシを特別扱いしてくれてもいいのにネ！
電,はわわ、ひいきしちゃ駄目なのです！
青葉,そう、司令官は私たち艦娘に対して、とても公平な方です！
加賀,そうね、特にこんな女所帯の組織じゃ、一層それが求められるわ。誰かを贔屓したら、嫉妬するめんどくさい娘が出てきそうだもの
瑞鶴,アンタが一番嫉妬しそうなんですけど･･･
加賀,･･･
瑞鶴,～～♪
青葉,前に誰が一番可愛いと思っているか聞いたときも誤魔化されてしまいました･･･
瑞鶴,アンタ･･･悪質ね･･･
翔鶴,そんなこと聞かれたら、誰でも断るような･･･
青葉,でもですね、それが正常な判断が出来ないとき･･･例えば酔っている時だとしたらどうでしょうか･･･？
一同,あ！？
青葉,司令官、普段は飲み過ぎないようにしています。真面目な方ですから。でも、この間の作戦が大成功に終わって、よっぽど嬉しかったんですねー。青葉が勧めるお酒もぐいぐい飲んでくれて･･･結構喋ってくれましたよ？
一同,！？
青葉,あの娘が可愛いとか、実はあの娘のことこう思ってるだとか･･･。普段は答えてくれない、あんなことやこーんなことまで･･･
一同,！！？？
青葉,そうそう、司令官は今日は本部の方に呼ばれているんでした。作戦を成功させた報奨ということで、勲章を授かるんだそうです。司令官がいないうちに試写会･･･やりたかったんだけどなあ。まあ、皆さん乗り気では無いようなので･･･青葉、このビデオテープは御蔵入りにしようかなーなんて･･･
加賀,長門、放送室から連絡。哨戒に出ている娘以外を集めなさい
長門,了解した。あとついでに食事の手配も間宮と鳳翔に依頼しよう
瑞鶴,翔鶴ねえ、映写機どこだっけ？
翔鶴,第四倉庫にあったはずよ、急ぎましょう
響,暁、スクリーンを用意しよう
暁,い、今私もそう言おうと思ってたんだから！
雷,第６駆逐隊、出撃よー！
暁,ちょっと、勝手に仕切らないでよ！
電,はわわ、置いていかないでなのですー！
加賀,２０分後、大広間に集合。あそこなら全員で鑑賞できます。それでは解散
一同,はい！！
青葉,いやー、皆さん協力的で、青葉感謝です！
衣笠,焚きつけておいてよく言うわ･･･
青葉,ではでは皆さん集まりましたので、試写会を始めます！
川内,なになにー、面白いことやるのー？もしかして夜戦！？
瑞鶴,いや、んなわけないから･･･川内うるさい！
神通,姉さん落ち着いて･･･でも良いのでしょうか･･･提督の本心をのぞき見るようなことをしてしまっても･･･
那珂,キャハ！でもでも、そう言って見に来る当たり、神通ちゃんも気になるんだよねー？
神通,あぅぅ･･･ごめんなさい提督･･･神通をお許し下さい･･･
那智,しかし･･･要は酔っている提督が話しているだけの動画だろう？。それほど面白いとは思えないんだが･･･
青葉,司令官が～のことをこう思ってるというお話の他にも、～とこんなことをした～が自分にこんな事をしてきたと言うようなお話もあります！
赤城,なる程･･･それは面白いかもしれませんね！
加賀,赤城さん･･･はしゃぎすぎです。これはあくまでも提督が私たちをどう評価しているのか。これはそれを判断するための機会であって･･･
赤城,そんなこと言って、加賀。もし提督があなたを可愛いって褒めていたらどうするの？
加賀,そ、それは･･････/////
赤城,可愛い
瑞鶴,可愛い
榛名,それに、誰かが抜けがけしてアピールしていないかどうかも分かるというわけですね！。榛名、青葉さんのアイディアに感激です！
青葉,いや、そんな意図は無いです榛名さん･･･
陽炎,この人発想が怖い･･･
長門,ふむ･･･でも実際、そんな場面が出てきてしまったらどうするのだ？
金剛,流石にケンカになるのは困りマース･･･でも、そんな無茶なアピールをするような娘はいないとワタシは思いマスけどね！
榛名,榛名、お姉さまが一番不安です･･･
電,はわわ･･･どうしよう、なのです･･･
長門,青葉、そこのところはどうなんだ？
青葉,大丈夫です！確かに提督の暴露映像ですけれど、そこまで危ないものは無いハズ
衣笠,まあ、青葉がそこまで言うのなら･･･
長門,うむ。いいだろう･･･ここで止めると言うのも無粋というものだ
青葉,正直青葉も酔っていたのであまり覚えてないのですが･･･まあ大丈夫！。ではでは、皆さんお待ちかねの上映会。始まっちゃいます！
提督,うぅ～、飲みすぎた･･･頭が痛い･･･
暁,始まっちゃったわ
提督,ったく、隼鷹の奴･･･飲ませるだけ飲ませてどっか行きやがったからな･･･
飛鷹,あなたねえ･･･
隼鷹,ありゃー、覚えてないねえ。スマンスマン！
飛鷹,絶対反省していないでしょう･･･
提督,ふ～、しばらく一人で休むか･･･おや？
青葉,ども、恐縮です、青葉です。一言お願いします！
提督,んあ～、ひとことぉ？ひとことってなにがですかぁ～～？
青葉,司令官、珍しく酔ってますねえ･･･ささ、もう一杯！
提督,ああ、ありがとぉ～～～
青葉,やりました、グデングデンです！
長門,鬼か、こいつは？
青葉,司令官、司令官。青葉、インタビューしたいです！
提督,ん～、いいぞぉ～～～。司令官何でも答えちゃうぞぉ～～いぇーい！
青葉,やったぜ
瑞鶴,提督がチョロすぎて不憫すぎるわ･･･
加賀,さて･･･まずはどんな質問でしょうか？
青葉,司令官はですねー。この鎮守府の中で誰とケッコンしたいですか？
一同,いきなり直球！！？？
提督,ケッコン･･･？うーーーん･･･みんなとしたーーーい！
一同,酔いまくってて良かった
瑞鶴,アンタねえ、質問もうちょっと考えなさいよ
榛名,あと少しで鎮守府が血みどろの争いをしていました･･･
陽炎,相変わらず発想がぶっ飛んでる･･･
