☆先輩命★：先輩！！この名前どうでしょうか！？私としては気に入ってるんですけど、,瑞鶴★LOVE★オンリーワン
Graf：いつだか私に個人ラインで,ビスコさん調子乗り過ぎじゃね？
大鳳：,どうしよう。誰か助けてw
翔鶴：えっと。実況は蒼龍さん。解説は私、翔鶴でお送り致します,笑
アカギ・ブチャラティ：アマーギ・デテルチチ,さよならだ
ソウ☆リュウ：珍しいね,そろそろ名前戻してください
☆ずい♡かつ★：,戸惑ってる先輩カワイイッッ。せんぱぁーーーいっ！！
Graf：,結局、秋津洲流戦闘航海術とはなんなのだろう…
翔鶴：,回避技のことです…！
Graf：,ショーカクの声が…直接脳内に…！
ずいずい：SHPA,ショウカクヒモパンツ
ソウ☆リュウ：グラちゃん。りゅうちゃん,龍驤さん
多聞丸☆LOVE：,やべえ読めない
☆ずい♡かつ★：,むう……加賀さんはそう言いますが、私では加賀さんと瑞鶴さんの仲には入っていけない……！！。いわゆる加賀さんの態度は瑞鶴先輩への愛情の裏返し、ツンデレってやつですね！！！。好きだからいじめたくなる……その気持ち、私痛いほどわかります！！！
翔鶴：私としては妹を好いてくれるのは嬉しいのですけれど、あそこまで憧れているとは思いませんでした,笑
RJ：,あかん。じぇねれーしょんぎゃっぷの香りがするで……！
多聞丸☆LOVE：,これはまずい
赤城：私の好みは、ロビン,太
♪天城♪：,太
卵焼き☆研究中：,ど、どうしよう。好きなゲームポケモンとか言えそうにない雰囲気w
翔鶴：,瑞鳳さん、私も迷ってます。私テイルズシリーズが好きだったんです
卵焼き☆研究中：,あ！知ってる！クレスかっこいいよね！
翔鶴：,あ、いや、えっと。私リオンくんが大好きで……
♪天城♪：誕生日に葛城からもらった、四十八,仮
RJ：雲龍が,あなただれ？
多聞丸☆LOVE：今までの提督=無口だけど優しい、艦隊指揮能力抜群、艦娘のフォロー欠かさない、顔もカッコイイ、リア充爆発,略
多聞丸☆LOVE：,ぐへへ。それがしのー、大好物はー、駆逐艦であります！！それがしはー、口リコンであります！！。ぶるぁあああうぅう！！そんな体してぇ……駆逐艦なぞぉ……名乗ってんじゃ……ねぇえええええ！！。石破ラァァブラブゥ……覇王翔吼拳ーーーー！！！
♪天城♪：最後色々混じり過ぎですよ,笑
翔鶴：だから自己紹介の時も噛んでたんですね,笑
翔鶴：,怪しい
ずいずい：食パン咥えながら走って、角でイケメンとぶつかって,目と目が合う～♪瞬間に～♪
翔鶴：ねえ瑞鶴？,圧力
かもかも！：須磨子,1525～1576
大鳳：,実はこのタイミングで……
赤城：あらあら。せっかく大本営にも申請書を出しての新婚,仮
ずいずい：大鳳,甲提督。夜風が気持ち良いわねっ
ずいずい：提督,あ、ああ。涼しくてちょうど良いね
ずいずい：大鳳,提督。私、今回の旅行でとても幸せだったわ。生まれてきて一番、幸せな時間……
ずいずい：提督,そ、そうか。君に喜んでもらえて、良かった
ずいずい：大鳳,うふふ。でもね提督。私、時々不安になるの
ずいずい：提督,ほう、不安？なぜだい？
ずいずい：大鳳,だって私。しろがねだから……
ずいずい：提督,な、なんてこった！！君はアクアウイタエを飲んだしろがねだったのか！！
ずいずい：大鳳,そうなの。だから私、長生きするから、貴方と同じ時を歩めないわ。気持ち悪い……でしょ……
ずいずい：提督,……。そんなことない、大鳳。君が例えしろがねだったとしても。君は世界一美しい艦娘だ
ずいずい：大鳳：,提督……
ずいずい：提督,あのな。今になって言うのも、その、なんじゃがな……。一目惚れたい！
ずいずい：大鳳,あちきも、主さんの笑顔が、いっち好き！！
加賀：隼鷹,ヒャッハー！！世紀末だぜぇ！！酒こそが正義、いい時代になったもんだなぁ！！。おうおう！？そこにおわすは提督と大鳳ぢゃねーか！ヒャッハー！！
加賀：提督,むっ。貴様は……隼鷹か……！
加賀：大鳳,ケーン！！見ちゃダメー！！
加賀：隼鷹,あたしは引かないよぉ、媚びないよぉ、省みないよおおおお！！！酒をよこせぇえええ！！！
加賀：提督,あーーーーーーったったったったったったっ！！あたああああっ！！！。おまえはもう、死んでいる
加賀：隼鷹,あったっ、たべっ。あべべべ、あべしっ！！！
加賀：大鳳,ケーン！！やりすぎよー！！
加賀：提督,大鳳。キスしよう
加賀：大鳳,ヨロコンデー！！
Graf：Admiral,IchmöchtewirklichS*x!!?
Graf：TAI-HO,MeinGottIchauch!!!
Graf：Admiral,Oh!!MögenSiedankedanke?
Graf：TAI-HO,Ja.Ichmagauchdankedanke!!
Graf：Admiral,Wirklichglücklich！！dankedanke!!
うんりゅう：ていとく,なあなあ、工口いことしよーや
うんりゅう：たいほう,いいわよ
うんりゅう：ていとく,ほらほらくちではそういいながらここはしょうじきだぜ
うんりゅう：たいほう,じゅんっ・・・
うんりゅう：ていとく,こうふんしてんだろはぁはぁ
うんりゅう：たいほう,あんあんあんあんあん
卵焼き☆研究中：大鳳,提督、その、手を繋いでも良いですか……？
卵焼き☆研究中：提督,えっ？あ、ああ。うん
卵焼き☆研究中：大鳳,すっごく、心臓がばくばくしてます。私……
卵焼き☆研究中：提督,オ、オレもだ……はは……
卵焼き☆研究中：大鳳,提督。手、すごく暖かいです
卵焼き☆研究中：提督,……ｺﾞｸﾘ……。……大鳳。落ち着いてよく聞くんだ。あの言葉を教えて。オレも一緒に言う
卵焼き☆研究中：大鳳,提督……
卵焼き☆研究中：提督,香取たちの縄は、切ったよ
卵焼き☆研究中：大鳳,……よかった……
卵焼き☆研究中：霧島,さ、マイクチェックの時間よ。答えを聞きましょう
卵焼き☆研究中：提督＆大鳳,……
卵焼き☆研究中：霧島,ま、まさか……
卵焼き☆研究中：提督＆大鳳,バルス！！！！！！！！
卵焼き☆研究中：霧島,目がぁ～！！目がぁああああああ！！！
卵焼き☆研究中：提督＆大鳳,今だっ！！
☆ずい♡かつ★：大鳳,提督。少しいいかしら
☆ずい♡かつ★：提督,ん？なんだ、大鳳
☆ずい♡かつ★：大鳳,瑞鶴さんと葛城さんって、どう思う？
☆ずい♡かつ★：提督,ナイスカッポー！！！
☆ずい♡かつ★：大鳳,ナイスカッポー。そのとおりね。私もそう思うわ
☆ずい♡かつ★：提督,だろだろ？あいつらの愛には、誰にもかなわないと思うんだよ
☆ずい♡かつ★：？？？,ちょっと待ったあぁああああ！！！
☆ずい♡かつ★：大鳳,はっ。ま、まさかあなた達は！？
☆ずい♡かつ★：瑞鶴先輩♡,そのとおり！ラブラブな私達よ！！
☆ずい♡かつ★：私,見るがいいわ、私達の愛を！！。これが……これが瑞鶴先輩の熱いキッス……！！
☆ずい♡かつ★：瑞鶴先輩♡,葛城……愛してるぜ
☆ずい♡かつ★：私,私もぉぉおおおおおおお！！！！
ソウ☆リュウ：――――草木も眠る午前零時過ぎ。我が鎮守府の最高指揮官である甲提督は、宿の池で泳ぐ鯉を見つめながら,ふう
ソウ☆リュウ：,めっちゃやりたい。やりたいやりたいやりたいやりたいやりたいやりたいやりたいやりたいやりたいやりたいやりたいやりたい提督とやりたいやりたいやりたいやりたいやりたいはぁはぁやりたいやりたいやりたいやりたいやりたいやりたいやりたいやりたいやりたい襲ってほしいいやむしろやりたいやりたいやりたいやりたいやりたいやりたいやりたいやりたい犯りたい犯りたい犯りたい犯りたい犯りたい、いや、犯す
赤城：皆さん、作戦,かも
RJ：隼鷹が,間違いねえこれ飲んでるわ
偵察隊が友軍である,ポーラ
同時に鎮守府へ,友軍救出作戦
E1海域作戦名,前線制海権を確保せよ！
瑞鳳,アウトレンジ、決めます！！
千歳,やだ、私、かっこいいかも！！
千代田,お姉！！お姉えええ！！！ほねええええええええええ！！！！
作戦を無視し,何故か
同所にあった,飛行場設営敵地
続いてE2海域作戦名,設営隊を揚陸せよ！
龍驤,っしゃー、やったんでぇ！！。艦載機のみんなぁ、お仕事お仕事～！
集積地棲姫,モウカエレヨォ！！
龍驤,ふはははあ！！帰れと言われて帰る訳にゃいかんのや～！食らうがええ、うちが考えたスペッシャルでエレガントなこの……
集積地棲姫,ア、イマ、ガラアキ。カエリウチダ！
龍驤,あっかーーーーーん！！！。ふっ。これがうちの実力ってやつや。褒めて褒めて～
鳳翔,はいはい。よしよし
E3海域作戦名,前線飛行場を設営せよ！
飛龍,支援艦隊とか……多聞丸に怒られるわ……
蒼龍,まぁまぁ、出番がないよりいいじゃないの
祥鳳,やったぁあああああ！！！支援でも出撃できましたっ！私っ、嬉しい！これからも頑張りますね！
飛龍,しょ、祥鳳ちゃん喜びすぎじゃね？
蒼龍,これが彼女の良いところ
E4海域作戦名,発進！基地航空隊！
しかし、同領地を取り戻すため、逆襲のヴェア,重巡棲姫
重巡棲姫,サーア、ヤッテシマエ……フフフ。ウァァァアッ！…オノレェッ！
天城,天城航空隊、発進！！
重巡棲姫,ヴェアアアアアアアアアアアアア！！！
雲龍,よし、第一次攻撃隊、発艦始め
重巡棲姫,ニクラシヤァアアアアアアア！！！
葛城,さぁーて、かかってらっしゃい！敵発見！全高射砲は……ちっ違う、回せー！攻撃隊、直掩隊、発艦準備！
重巡棲姫,ヴェアアアアアアアアアアア！！！
Graf,攻撃隊、出撃！Vorwärts！
重巡棲姫,チノチャンタラァアアアアアアアアアア！！！
瑞鶴,相変わらずうるせえなあ、あいつ
龍驤,最後のチノちゃんて誰やねん
E5海域作戦名,ラバウル航空撃滅戦！
監獄学園理事長もびっくりの花さん,リコリス棲姫
友軍,Pola
支援艦隊隼鷹、千歳、那智,志願
隼鷹,ヒャッハァアアアアアアアーーー！！！オラオラどけてめえらあぁああ！！！！心の友の救出作戦じゃあ！！！
千歳,飛行甲板と酒飲み友の救出作戦だけは、譲れない！！！
