戸山香澄,作りたくない？
牛込りみ,…………
花園たえ,…………
市ヶ谷有咲,…………
りみ,いいねっ
たえ,いいと思う
有咲,いいな
香澄,でしょー！
りみ,デートしてる気になれるＣＤって言うと、あれだよね、沙綾ちゃんに色んなシチュエーションでお話してもらうって感じで……
香澄,そうそう！私たちでさ、色んな場面の台本作って、沙綾に収録してもらおうよ！
たえ,うん、それいい。香澄ってやっぱり天才だと思う
香澄,やだなぁ、そんなに褒めないでよ～えへへ
有咲,待て待て待て。そう簡単に台本って言うけどなぁ、お前、実際にそういうの書いたことあんのかよ？
香澄,ないっ！
有咲,自信もって言う事じゃねーだろ！
香澄,でも有咲、考えてみて？。例えば何もやることがない休日にさ、あー暇だなぁー、誰かから電話でも来ないかなーって考えてたら、スマホが鳴るの。電話の着信音ね。それでね、誰からだろって画面を見たら?さーや?ってディスプレイに表示されてるの
有咲,…………
香澄,……ね？
有咲,……香澄、実はお前頭いいだろ。その後の展開が次から次へと脳内に浮かんできやがる
香澄,え～そんなぁ、有咲ほどじゃないよ～えへへへ
りみ,うん……お休みの日に沙綾ちゃんから電話って……素敵な響きだね
たえ,一緒に花園ランド建設したい
有咲,つまり浮かんできたこれらを文章に起こせば……
香澄,そう、台本になるっ！
有咲,天才かよ
たえ,天才だね
りみ,天才だよ
香澄,もーそんなに褒められたら照れちゃうよ～えへへへへ
たえ,じゃあ、今日の蔵練蔵で練習の略
有咲,全員で一回書いてみてから合せてみるってことで
りみ,頑張りますっ
香澄,よーし、それじゃあ今日も元気にやってこーっ！
四人,ポピパっ、ピポパっ、ポピパパピポパー！
香澄,みんな、出来たーっ？
たえ,私は出来たよ
りみ,私もっ
有咲,準備オッケー
香澄,よーっし、そしたらまず私の考えたデートから見せるねっ！。舞台は……ショッピングモールっ！沙綾と一緒にお買い物～！
山吹沙綾,あ、おーい！
沙綾,ごめんね、ちょっと遅れちゃって。ちょっと純がぐずっちゃっててさ……。え、そんなに待ってないって？……そっか、じゃあ君もさっき来たばっかりなんだ。そっか、私とのデートはそんなに楽しみじゃないから、ちょっと遅れて来てもいいかって気持ちなんだね……。…………。……ぷっ、ごめんウソウソ！そんなに慌てないでって！。そんなこと言ったら遅れた私だって楽しみにしてなかったってことになっちゃうって。え？ホントは楽しみすぎて３０分前からずっとここで待ってた？。……あ、あはは、そうなんだ。……そう言われちゃうと私も嬉しいんだけど……ちょっと照れるな……。……うん、ありがと。待たせちゃってごめんね？さ、行こっかっ
有咲,あー、いいなぁこれ
りみ,ちょっとお姉ちゃんっぽい沙綾ちゃんにからかわれるのっていいよね……
たえ,その後にストレートなことを言われて照れてるのもまた好印象。ポイント高いよ
沙綾,ごめんね、デートなのに私の買い出しに付き合ってもらうみたいな感じになっちゃって。……いや、私とならどこで何してても楽しいって言ってくれるのは嬉しいんだけど……ちょっと人が多いとこだと反応に困るかな。うわっ、と……やっぱり休みの日だと人が多いね～。また人にぶつかりそうになっちゃったよ。うん？どうしたの、何か言いたげだけど。……ははーん。あーそうだねー、人が多いからね、はぐれたら大変だねー。……うん、うん。それで？。……察してほしい？うーん、何をかなぁ？別にはぐれても電話すればすぐに合流できるよ？。……ふふ、そうだね。頻繁に電話してたら確かにバッテリー減っちゃうね。うん、それじゃあはぐれないように、その対策として……。手、つなごっか♪。……どうして君がお礼を言うの？。なんとなくって……ふふ、変なの。それじゃ、まずどこのお店から回ろっか。え、私の買い出し？ああ、それは最後でいいよ。荷物なんて持っちゃったら、手を繋げなくて君とはぐれちゃうかもしれないしね？。そうだよー、君から言い出したことなんだから。はぐれないようにちゃーんと、しっかり手を握っててね。……私が綺麗で柔らかい手をしてるって？。ふーん、君は私の手を握ってそういうこと考えてるんだ～。あはは、ごめんごめん、からかっただけだよ。……ありがとね。私ってお店の手伝いしたりドラム叩いたりしてるからさ、あんまり女の子らしい手、してないなってたまに思う時あるんだよね。だからそういうとこ褒められるとちょっと嬉しいかなー、なんて。……いや、だからさ、あんまり人が多いところで私の手が大好きって言われても……反応に困るってば……もう
たえ,沙綾の手、すごく綺麗で私は大好き
りみ,握るとなんだか安心する素敵な手だよ、沙綾ちゃん！
有咲,なんで沙綾と手を繋いでるとあんなに安らぐんだろうな
沙綾,……そういえば、君ってあんまり服にこだわりって持ってないよね。うーん、それは良くないなー。……色々種類があるからよく分からない？よーし、それなら今日は私が君をコーディートしてあげよう。私好みのいい感じに仕立て上げてあげるね？。ほらほら、そんな遠慮しないで大丈夫だよ。お店もいっぱいあるし、この際だから色んな格好に挑戦してみよう。じゃ、最初はあのお店からね。いやー、色んなコーデ試したねぇ～。え？貴重な体験だったけどちょっと疲れた？。あはは、ダメだぞーあのくらいで疲れてちゃ。なんだったら今度、ドラム教えようか？叩いてると体力つくよ？。……うん、君の言う通り、手取り足取り教えてあげるよ？。ふふ、自分から言い出したのに赤くなってる。何を想像したのかなぁ？。あははは、やっぱり面白いよね、君って。……そうだね。そろそろ私の買い出し、済まそっか。期待してるよ、荷物持ち♪。わざわざごめんね、ウチまで荷物持ってもらっちゃって……。え？これくらい余裕、いい運動になったって？。ふふ、そっか。ありがと。折角だし、ちょっと上がってお茶でも――ってああ、また純と紗南が喧嘩してる……。今日は遠慮しとくって？……うん、ホントにごめんね。いつも私の都合ばっかりに振り回させちゃって……。ううん、気にしてないって言ってくれるのはありがたいんだけどね、やっぱり悪いなって。……え？次の休み？次は……来週の木曜かなぁ、バンド練習も店番もない日は。うん？チケット？野球観戦……ああ！。……覚えてたんだね、私が好きなチーム。そんな、沙綾のことなら何でも覚えてるって……恥ずかしいなら言わなきゃいいのに。顔が赤いのは夕日のせいだって？……ふふ、そうかもしれないね。ありがと。じゃあ……来週の木曜、楽しみにしてるね。……うん、またねっ！
香澄,……どう？
りみ,いい……
有咲,いいな……
たえ,私も一日中沙綾の荷物持ちしたい
香澄,ね！ホントそれだよ！
有咲,沙綾の姉属性がいかんなく発揮されていた
りみ,やっぱり沙綾ちゃんはお姉ちゃん属性だよねっ
香澄,お、そういうりみりんも私と同じ路線？
りみ,う、うん……多分……。香澄ちゃんの後だとちょっと自信ないけど……
たえ,大丈夫、りみ
りみ,おたえちゃん……？
たえ,足りないものがあればみんなで補う。いいものがあればみんなで褒めあう。それがポピパだから
有咲,まぁ……おたえの言う通りだな
香澄,そうだよりみりん！
りみ,みんな……ありがとうっ……。それじゃあ私の台本、見せるね……！
沙綾,あ、おはよー。ありがとね、店番手伝いに来てくれて。うん、そうなんだ。たまにはお父さんとお母さんにも羽を休めてもらいたいからさ、一日まるまる休んでもらって、日帰りだけど温泉旅行にね。まぁ……純と紗南もいるからもしかしたら余計に疲れるかもしれないけど。ふふ、昨日の夜、すごく楽しそうに準備してたなー二人とも。今日の朝もね、いつもよりずっと早い時間に起きなきゃいけないのに、私が起こす前にしっかり起きてきてさ。いっつもそれくらいすんなり起きて来てほしいなーってちょっと思っちゃった。うん？どうしたの、私の顔をじっと見て。何かゴミでも付いてる？。……すごく優しい顔をしてた？。そうかな……私はいつも通りなつもりだったけど……。綺麗で見惚れてた、って……そ、それはちょっと言い過ぎじゃないかな……あはは。さ、そんなこと言ってないで、そろそろ準備済ましちゃおっか。今日はそこまで忙しくならないとは思うし、何回か手伝って貰ったことはあるから、勝手は分かるよね？。……そんな不安そうな顔しないでも平気だよ。私も出来る範囲でサポートするからさ。流石にパン焼いたりもするからずっとって訳にはいかないけどね。出来るだけ迷惑かけないよう頑張る？大丈夫だよ、来てもらえただけ十分助かってるからさ。今日は二人だけだけど、頑張ろうね！
香澄,沙綾と二人っきりでお店番！
有咲,そういうのもあるのか……！
たえ,素晴らしい
沙綾,いらっしゃいませー！。あ、お隣の理髪店の……どうも、おはようございます。あはは、そうなんですよ、たまには温泉にでも行ってゆっくり休んできてって……ええ。大丈夫ですよ、一人じゃないですから。ああいや、純と紗南も温泉に一緒に行ってるので……はい、ヘルプを頼んであるんですよ。カウンターにいる……。え？え、ええまぁ……そうですね。恋人……ですね。も、もう、からかわないで下さいって。パンはいつものでいいですかっ？。はい、それじゃあこれとこれと……はい、どうぞ。カウンターでお会計お願いします。ん？。ちょ、ちょっとおじさん、沙綾ちゃんみたいな気立てのいいべっぴんさん、逃がすんじゃないぞじゃないですよ、何言ってるんですか！。ああもう、君も君で真顔で頷いてないで！会計済ませて！。ほらっ、もう買い物が終わったなら早く行ってくださいってば！。はいはい、またのご利用お待ちしておりますっ！。……まったく、もう……。ご、ごめんね、隣の理髪店の店主さんなんだけど……いい人なんだよ？。ただちょっとお喋り好きというか、人をからかうのが好きっていうか……。だから君もそんなに真面目に話を受けなくていいからね？。……はい、恥ずかしいセリフ言うの禁止。今、絶対なにか照れくさくなること言おうとしてたよね？。何で分かったって……そりゃ、君の事だもん、見てれば分かるよ。……え？今のセリフも恥ずかしい？。…………。ほ、ほら、そんなこと言ってないで、またお客さん来るよ！
たえ,普段はお姉ちゃんしてる沙綾より年上の人
有咲,その存在により沙綾もまた年頃の女の子なんだということを際立たせる
香澄,これが……りみりんのやり方……！
