※天の神,すまんなやきう。改心したからお詫びするンゴ
天の神,もう人類粛清は諦めたんや…ひく
彡(ﾟ)(ﾟ),何回同じ事言うてんねん。飲みすぎやぞ…そろそろ美森ちゃん戻ってくるから帰ってーや…
天の神,まあそう言わんでクレメンス。ワイも人間に対しての見方改めたんや
彡(ﾟ)(ﾟ),そらずいぶんな変わり様ンゴねぇ…
天の神,やきう、お前がワイと酒を飲んでくれたからやで
彡(ﾟ)(ﾟ),わかったわかった。飲みすぎやからまた今度来てクレメンス
天の神,戻してやるで…何もかもリセットして。その年齢で子育ても大変やろし毎日東郷に襲われて大変やろ？
彡(ﾟ)(ﾟ),そんな事できるんか！？
天の神,出来るで！？
彡(ﾟ)(ﾟ),せやけど戻った所でまた大赦から勇者にされて美森ちゃん助けにいかなやろうし
天の神,ワイの次元改変で奉火祭で東郷を救ったのは友奈っカスだったことにしたる！
彡(ﾟ)(ﾟ),オナシャス…勇者部に入らないで済む世界がどんなか体験したいンゴ…
天の神,そん代わりワイとは定期的に酒飲んでクレメンス…どんな事してももう全王様やビルス様の監視から逃れられそうにないんや…
彡(ﾟ)(ﾟ),神様も辛いンゴねぇ…ええで！
天の神,それじゃあやり直してクレメンス！
彡(ﾟ)(ﾟ),光に包まれるンゴ！？。ファッ！？あれ…カレンダーが…美森ちゃんや友奈ちゃん達と出会う前になっとるやんけ！
天の神,おう！ワイに感謝せーや！せやけどあまり変な力使いすぎるとビルス様や悟空っカスが来るからワイが出来るのはここまでや…
悟空,だれがゲェジだ…？
天の神,やば！ワイ逃げるわ！元の次元に戻りたければそれも出来るから言ってクレメンス！ほな！
彡(ﾟ)(ﾟ),戻らんと思うで…こんな…こんな素晴らしい事はないやで！勇者部に入らずに済む世界！最高やんけ！！！
銀,私あたし
彡(ﾟ)(ﾟ),おう！よろしくやで！出来る事なら讃州中学の勇者の面々とは極力関わらないで一緒に頑張ろうや！
銀,し、知ってるんだな
彡()(),ガイジで有名やんけ…関わってたら頭おかしなるで
銀,知ってるよ…私もあそこに所属してる園子と須美っつー友達がいてだな…
彡(ﾟ)(ﾟ),たしか今は東郷美森さんって名前やろ？
銀,今って言うか旧姓に戻ったんだよ。そういや今日須美の奉火祭中止になったんだ
彡(ﾟ)(ﾟ),ほ、ほーん！良かったやんけ！天の神やるやんけ！
銀,なんでも天の神曰く燃やしても絶対死なないだろうしその後の復讐が怖いそうで中止にしたんだって
彡()(),…
銀,まあこれからコンビ組む事になるんだ！一緒に頑張ろうな！やきう！
彡(^)(^),せやな！よろしくやで三ノ輪さん！
銀,銀でいいよ。付き合い長くなるだろうし
彡(^)(^),わかったやで銀ちゃん！うん、何だかんだでこの娘はええこンゴ…
担任,今日は別々に班になって授業するンゴ！
彡(ﾟ)(ﾟ),ほーん。とっもとは別の班やね…ワイは誰とやろ
東郷,…
友奈,…
彡()(),…。こいつら本来別クラスやんけ…天カスしくじったな…
友奈,東郷さん消しゴム貸してくれないかな
東郷,うん、いいよ友奈ちゃん
友奈,いつもありがとうね東郷さん！
東郷,友奈ちゃんのためならお安い御用ですっ
彡(ﾟ)(ﾟ),！おっ、ワイと出会ってないからひょっとして性格にも変化が！ええ子になっとるんか
友奈,もぐもぐ…いい匂いのする消しゴムだね！いっただきまーす
東郷,おい人の所有物を勝手に食うな
彡()(),前言撤回ンゴ…
友奈,ぶーーー！まっじぃ！東郷さん普段こんなん食べてるの～！？とんだ悪食だね～！親の顔みてみたいよ～！
彡()(),知らんふり知らんふり…黙って勉強しとこ
友奈,君も食べてみなよ！
彡()(),いえ、ワイは結構です
友奈,ぼた餅以外はまともな食事も作れないんだね！さっすがさつまいもババア！
東郷,…
友奈,奉火祭の時誰も助けに来なかったしやっぱり私と言う親友以外誰とも人間の繋がりが無い寂しい巨〇ババアだから仕方が無いよね！。やーい！チチデカ～！ぼたもちガイジ～！
東郷,…。友奈ちゃん…いいものあげる
友奈,なになになに！？食べ物！？美味しくないだろうけど頂戴！
東郷,スペシャルパンチをプレゼント！！！！
友奈,やりやがったなこのやろう！
東郷,やろうってなんだ！私は女だ！アブラゼミの癖に！
友奈,うるせぇ化粧でもしてやる！
東郷,ぶっはきったねぇ！この！勇者に変身してボコボコにしてやる！
友奈,上等じゃん！顔面ぼっこぼこのぼた餅にしてやんよ！。勇者パーンチ！！！
東郷,キックじゃねーか騙しやがって！勇者バズーカ！
友奈,飛び道具ばかり使うな通り魔ババア！
彡()(),…
園子,ゆーゆにわっし～！盛り上がってるねぇもっとやれぇい！
東郷,私のゲームデータ貸す度に全部消しやがって！
友奈,イネスでランチ3回奢ったもん！
東郷,私は13回奢らされたぁ！
？？,ねえあんた…
彡(ﾟ)(ﾟ),なんや…ってお前は
夏凜,こいつら見てると頭おかしくなるでしょ？にぼしでも食べて落ち着きなさい
彡(ﾟ)(ﾟ),さ、サンガツ…まだおかしくなる前の夏凜ちゃんや…銀ちゃんと夏凜ちゃんだけは守らねば
東郷,ねえちょっと
彡(ﾟ)(ﾟ),ヒェ！？
東郷,なんで私には話しかけない？
彡(ﾟ)(ﾟ),あ…あの誰やっけ
東郷,なんで私には話しかけない
彡(ﾟ)(ﾟ),えっと意味がわからんやでこの反応…ワイと結婚しとる時の美森ちゃんやんけ。ごめんな東郷さん…やっけ？あまりにも友奈ちゃ…じゃなくて結城さんと仲良さそうやったから
東郷,なんで私には話しかけない
夏凜,ちゅっぱちゅっぱ
彡(ﾟ)(ﾟ),三好さんそれワイのリコーダーやんけ！返してーや！
夏凜,私のよ、あんたのはこれ
彡()(),えぇ…どういうことや…
友奈,おい。おい！！！！！。コンデンスミルクが足にかかっちゃったから舐めて♪
彡(ﾟ)(ﾟ),あかん！
彡(^)(^),結城さん！ポテトスナックって好きか？
友奈,なあにそれ？
彡(ﾟ)(ﾟ),沢山持ってきたからたべてーや、あーん
友奈,いいの？えへへ…いただきますもぐもぐ
彡()(),友奈ちゃんの扱い方だけは絶対忘れちゃあかんな
友奈,おいすぃ～！
東郷,あなた、友奈ちゃんに餌付けしないで
彡(ﾟ)(ﾟ),おっとすまんな、邪魔すると悪いからワイはさよならーで
東郷,私のぶんは？
彡(ﾟ)(ﾟ),沢山置いといたから好きなだけ食ってクレメンス
東郷,うまい棒がいいわ
彡()(),あかんにげたろ
東郷,あ！おいまて！。…
彡(ﾟ)(ﾟ),えっ
天の神,全員記憶が元通りになる上に同じ未来になるンゴ
銀,やきうどうしたんだ？息切らして。そんなに私に会いたかったのか～？
彡(ﾟ)(ﾟ),ちゃ、ちゃうんや…天の神から神託が降りたんや…
銀,はいぃ！？神樹様じゃなくて天の神ぃ！？
彡(ﾟ)(ﾟ),せやで…このままじゃワイと銀ちゃんが危ないから少し避難せんとやで？
銀,あーもよくわからん。ちゃんと話して！。えぇとその…マジ？
彡(ﾟ)(ﾟ),マジやで…天の神がワイを思って世界を改変してくれたんやけど勇者部ガイジの適応力がやばすぎて記憶が戻り始めてるンゴ
銀,そうだよな…私もさ、勇者部に入っててみんなにこき使われる夢を見るんだよ最近
彡(ﾟ)(ﾟ),全部正夢やで
銀,…
彡()(),…
銀,あいつらが記憶を取り戻すまでどれくらいかかるんだ？
彡()(),3日…
銀,短っ！じゃあそれまでにしたいことしとかないとだな
彡()(),そうンゴねぇ…
銀,そういや明日私とやきうで勇者の訓練合宿があるじゃん、その間だけでも楽しく過ごそうぜ！
彡(ﾟ)(ﾟ),おぉ！その手があったか！
銀,っし！やきう！いい汗かこうじゃんよ！
彡(^)(^),おう！どっからでもかかってこいやで！
銀,っしゃあああ！てりゃあああ！
彡(^)(^),銀ちゃん！ええ攻めや！せやけど…
銀,あれ…斧が動かない
彡(ﾟ)(ﾟ),えぇ…
友奈,こんな危ないの振り回しちゃだめだよ！
銀,げ…お前は…
友奈,危ないから離して！
銀,あたしの武器だ！さわんな！
友奈,離せ！！！
銀,あっはっは！勢い欲私から武器を奪ったから一回転してやんｎ。
彡()(),一回転した斧が銀ちゃんの後頭部に直撃して気絶したンゴ
友奈,やーきうちゃん♪
彡(ﾟ)(ﾟ),その呼び名…ひょっとして思い出しちゃったんか？
友奈,実は最初から忘れてなかったよ？
彡()(),なんや天の神無能すぎるやろ…
友奈,あそぼ？
彡(ﾟ)(ﾟ),この子ガイジやけど根は素直で甘えん坊やし…割とワイにとって最近害ないしええか
彡(^)(^),魚釣り一緒にしようやで！あと一緒にヤキソバ食べようンゴ！
友奈,やったー！えへへ。やきうちゃん！餌つけたから投げるね！
銀,
彡()(),それ餌やなくて銀ちゃんや
友奈,フナムシじゃん。おい早く海にもぐって魚とってこい！
銀,グエー
彡()(),…
友奈,やきうちゃん一緒に釣れたフグたべよ？
彡(ﾟ)(ﾟ),あかんクサフグは猛毒やぞ！
友奈,美味しいよ？。私の数少ない友達だもん…忘れてあーげない
彡(ﾟ)(ﾟ),ゆ…友奈ちゃん…すまんな…いくらなんでも酷すぎたわ…
友奈,ほんとだよ反省しろザコ勇者
彡(ﾟ)(ﾟ),…
友奈,やくたたず、ザコ、産業廃棄物…
彡(ﾟ)(ﾟ),…
友奈,ぐす…うえええん！
彡(ﾟ)(ﾟ),また明日から一緒に沢山遊ぼうな？
友奈,う、うん…
銀,ぐるじい！おぼれる
友奈,じゃあ溺れろ、早く魚とってこい
銀,
彡()(),…
友奈,やきうちゃん…東郷さんまだ完全に記憶が戻ってないのかも
銀,魚とれました！
友奈,小さいやりなおし
銀,おぼぉ！
彡(ﾟ)(ﾟ),そうなんか…せやけど戻らないなら戻らないでそのままでええわ
友奈,もう東郷さんと結婚して子供作らないの？
彡(ﾟ)(ﾟ),あんなんは間違いや…ワイは学生らしく生きるで。友奈ちゃんやて楽しく遊びたいやろ？
友奈,うん…ねえやきちゃん…。さつまいもばばあって性欲相当やばいの？
彡(ﾟ)(ﾟ),そらやばいで！もう興奮しはじめると食事中やろうとトイレの最中やろうと関係無しや！鬼やぞ！
友奈,もう～やっぱり結婚はしないほうがいいかも！私と一緒に毎日遊ぼうよ！
彡(ﾟ)(ﾟ),この無邪気で真っ直ぐな心を理解してあげられればこの子も凄くええ子ンゴねぇ
銀,白目
友奈,さぼるな早く魚とれ
銀,ひぃぃぃ！
彡()(),前言撤回ンゴ…
友奈,えへへ…やきうちゃん
彡(ﾟ)(ﾟ),ゆ、友奈ちゃん！？
友奈,今だけ…いいよね…
彡(ﾟ)(ﾟ),今回だけやで
友奈,なら脱げ
銀,じゅるり…
友奈,っせぇ！
銀,ぐえぇ…。頭にのりやがって…おい！大物が釣れたぞ！
友奈,ほんと！？どんなお魚さん！？
銀,けっけっけっけ
東郷,…
友奈,ひぃ！？
東郷,やきう君…やきう君は私と別れたかったの…？
彡(ﾟ)(ﾟ),ワイがバカやったんや…美森ちゃん…ごめんな…
東郷,ぐすん…私もいけなかったの…やきうを散々束縛して…世界も改変したくなるよね…
彡(ﾟ)(ﾟ),ええんや…全部ワイが悪かったんや…また一緒に思い出つくってこーな…
東郷,うん…やきう君愛してる…でもなんで友奈と抱き合ってた？
彡()(),
友奈,銀ちゃんにやれって言われたの…
銀,あほ言え！お前らが勝手にやらかした事だろ！
友奈,銀ちゃん…東郷さんの愛は止められないよ…これでも食べて二人の愛を観覧しようよ！
銀,ん…これは。ぼた餅じゃん！いっただきまぁす！！！！
友奈,東郷さんの手作りだよ！ちゃんとアレンジで鯉の餌のさなぎを入れておいたから！
銀,ぶーーーー！まっず！
友奈,そのままで食ったほうが不味いじゃん！
銀,大体このぼた餅自体不味いぞ！なんだこのばっさばさのもち米！
東郷,…
友奈,作った奴頭悪いよねー！
東郷,…
銀,本当だよスーパーの和菓子食べてた方がまだマシだよ！
東郷,…
彡()(),…
東郷,ぐるる…。やきう君…もう私幸せ…
彡(^)(^),赤ちゃんはやっぱ可愛いンゴねぇ…わが子なら尚更や
彡()(),ってまったくブレない同じ未来ンゴねぇ…
風,おい三ノ輪、酒とつまみとメシで部活の予算なくなったから銀行強盗してこい
樹,部員一人あたり100万円あたりとってこい
友奈,東郷さんの出産祝いにバラムツ釣って来い
園子,ゆーゆ、そこはアブラボウズだよ～
夏凜,おい銀やきうの使用積みティッシュもってこい
銀,入部したばかりの時ここまで酷かったっけ？
東郷,ぺろぺろぺろぺろぺろぺろ
彡()(),…
