矢吹可奈,以下、可奈
ミリP,以下、P
P,止みそうにないな……傘ささないと
可奈,あっ、そうだ！私、折り畳み傘持ってきてるんですよ！
P,おっ、そうなのか？
可奈,はい！えへへ～役に立つときが来ましたよ～♪。雨なんてへっちゃらさ～♪って、はれっ？。……な、ない！？
P,……入れたんじゃなかったのか？
可奈,うぅ～、確認した後に置いてきちゃったのかもしれません
P,……あぁ、よくあるよな
可奈,もう！可奈のおっちょこちょこちょいぃ！
P,まぁ、そういう日もあるさ……。ほら、俺の折り畳み傘で帰ろう。な？
可奈,うう……ごめんなさい、プロデューサーさん
P,良いよ、これくらいはお安い御用だ。それじゃ、ちょっと寄ってくれ……
可奈,あ、相合傘……。…………
P,可奈？
可奈,ひゃい！？
P,足並み揃えてくれよ、そうじゃないと濡れちゃうかもしれないからな
可奈,は、はい！頑張ります！
P,よし、それじゃ行くぞ……
可奈,あ、雨凄いですね……
P,予想以上だな……傘がなかったら酷い事になってたぞ
可奈,濡れなくて良かったで……。ぷ、プロデューサーさん！？
P,ん、どうかしたのか？
可奈,ぬ、濡れちゃってるじゃないですか！？傘の中にちゃんと入ってくださいよ！
P,折りたたみ傘は小さいからな、仕方ないだろ？。可奈が濡れないなら、俺はそれで良いんだよ
可奈,で、でも……スーツが濡れちゃって
P,……まぁ、なんとかなるさ
可奈,そ、そういう訳にはいきません！。で、でもどうしよう……。……そうだ！
P,可奈？あんまりくっつかれると……
可奈,だ、抱きついてれば、プロデューサーさんも傘の中に入れますよね？
P,だからって……
可奈,…………
P,……分かったよ、早いとこ車まで戻るとしようか。しっかりしがみついてるんだぞ、可奈！
可奈,……ひゃ、ひゃい！。…………
北沢志保,以下、志保
可奈,あの後、背中に手当ててもらいながら帰ったんだよね……。温かかったなぁ……えへへ
志保,……可奈！
可奈,ひゃ、ひゃい！？って、志保ちゃん？
志保,どうしたのよ、今日ずっと上の空じゃない
可奈,そ、それは……その。……あぅ
志保,……可奈？
可奈,な、なんでもないよ？
志保,体調悪いなら言いなさいよ？。無茶して怪我したら、元も子もないから
可奈,あ、ありがと志保ちゃん……。……そうだ、志保ちゃん！お願いがあるんだけど
志保,何？
可奈,えっとね……
志保,……意味が分からないんだけど
可奈,お願い！大事な事なの！
志保,……まぁ、そこまで言うなら良いけど。これでいい？
可奈,……こ、これやっぱり照れるね
志保,……やられるならまだしも、する側に回るとは思わなかったわ
可奈,え、何か言った？
志保,……何も言ってないわよ。それより、どう？
可奈,うーん……。志保ちゃん、温かいんだけど……。……なんか違う
志保,可奈？
可奈,ううん、ありがと志保ちゃん。うーん……
志保,可奈、本当にどうしたの？
可奈,……志保ちゃん、一つだけ聞いても良い？
志保,……宿題は自分でやりなさいよ？
可奈,ち、違うよ！宿題はちゃーんと終わらせたもん！
志保,へぇ……やるじゃない。でも、それなら何を聞きたいの？
可奈,あ、あのね？男の人にぎゅってされたこと、ある？
志保,！？
可奈,あるの？
志保,……ど、どうしてそんな事を
可奈,この前ね～？
志保,…………
可奈,ね、志保ちゃんはあるの？
志保,……な、ないわ
可奈,えーっ！？でも、今反応したでしょ！
志保,な、ないったらないわよ！。ほ、ほら！もう事務所着いたわよ！
可奈,えー、おーしーえーてーよー！
音無小鳥,以下、小鳥
志保,おはようございます、小鳥さん
可奈,……おはようございます
小鳥,あら、二人ともおはよう！今日も仲良く……。……可奈ちゃん、どうかしたの？
志保,いえ、なんでもないで――
可奈,聞いて下さいよぅ音無さん！志保ちゃん、聞いても答えてくれなくて！
志保,こ、こら可奈！
小鳥,？聞くって、何を？
可奈,私、志保ちゃんに男の人にぎゅってされた事あるかって聞いたんですけど！
小鳥,……ああ、なるほどねぇ
志保,……なんですか
小鳥,いえ、なんでもないわよ？
可奈,音無さん……？
小鳥,んーとね、この前志保ちゃんドラマに出たでしょ？。その時、演技指導してもらった時に抱きしめてもらったのよ
可奈,そ、そうなんですか……志保ちゃん、オトナだね
志保,もう、大した事じゃないわよ……
小鳥,ま、その相手ってプロデューサーさんなんだけど
可奈,！？
志保,ちょっ、何で言っちゃうんですか！？
小鳥,だって本当の事じゃない
可奈,し、志保ちゃんプロデューサーさんにぎゅってされたの！？
志保,……そ、そんなに大した事じゃ
小鳥,ベッドの中でぎゅーってされたのに？
可奈,ふぇっ！？
志保,………………
可奈,志保ちゃん？
志保,……私、レッスン行ってきますので
可奈,えっ、ちょっ――。……行っちゃった
小鳥,ふふ……照れちゃって
可奈,もうちょっと話聞きたかったのにな～
小鳥,……それで可奈ちゃん、なんでそんな話になったの？
可奈,ふぇっ？そ、それは……その
小鳥,何故かしら、スッゴク既視感があるわ
可奈,そ、その！この前プロデューサーに
小鳥,…………
可奈,……音無さん？
小鳥,ああ、良いわよ。続けて？
可奈,はい、その……。って事なんですけ、ど？
小鳥,知ってたわ……知ってたわよ
可奈,あの、ごめんなさい……？
小鳥,……いえ、可奈ちゃんが謝る事じゃないわ。それにしても、温かかったかぁ……
可奈,……えへへ♪
小鳥,……随分楽しそうね？
可奈,え、そ、そう見えましたか！？
小鳥,見えたわよ？夢見る女の子って感じで
可奈,そ、そう……ですか～？
小鳥,そんなに気になるなら、プロデューサーさんに直接お願いしてみたら良いんじゃないの？
可奈,……ふぇっ？。……む、むむむ無理ですよ！
小鳥,でも、気になるんでしょ？
可奈,そ、それは……その、気になりますけど。でも、プロデューサーさんに
小鳥,変な子だって思われたくないって？
可奈,…………
小鳥,大丈夫よ、だってプロデューサーさんだもの
可奈,え、えっと……？
小鳥,良いから！ほーら、行ってらっしゃいって！
可奈,へっ、ちょっと音無さん！？。け、結局、来ちゃった……！。プロデューサーさんは……
P,んー……
可奈,い、いた……
P,むにゃむにゃ……
可奈,今なら、潜り込んでも怒られない……よね？。……よ、よーし。…………
P,すー……
可奈,えっへへ……♪。も、もうちょっと近くに寄っても良いよね
P,すぅ……
可奈,…………♪。じぃーっ……
P,…………
可奈,……やっぱり、プロデューサーさんってよく見るとカッコイイよね？。そうだ、携帯は……あった。……えっへへ、壁紙にしちゃお～♪。……つんつん♪
P,……んむ
可奈,……はれっ！？お、起きちゃいました！？
P,んー……
可奈,あ、あのその……
P,………ん
可奈,わわっ！？ぷろでゅーひゃーひゃん！？。ぎゅって！プロデューサーさんにぎゅってされて！
P,………ぐぅ
可奈,また、寝ちゃった……。…………
P,…………
可奈,……えっへへ♪。プッロデューサーさんのうっでのなか～♪可奈の特等席かな～♪。……だ、抱き返しても良い、よね？。よ、よーっし……そーれっ！
P,…………
可奈,つ、強くなった……。……温かいなぁ
P,……ん、なんか動いてるような
可奈,頬っぺたすりすり～♪えへへ……
P,……何やってるんだ、可奈？
可奈,ぷ、プロデューサーさん！？お、起きちゃったんですか！？
P,うん、そろそろ起きないといけなそうだし……！？。俺、なんで可奈に抱きついてるんだ！？悪い、すぐ離れるから！
可奈,あっ……
P,す、すまん……寝ぼけてたみたいだ
可奈,い、いえ……別に、良いんですけど
P,……ところで、なんで可奈はベッドの中に？
可奈,……お、音無さんが
P,分かった、もう良い皆まで言わなくていい
可奈,あ、あのっ！ごめんなさい！
P,謝る必要なんてないぞ、俺は気持ちよく眠れたからな
可奈,よ、良かった～……。……あの～、お願いがあるんですけど
P,どうした？
可奈,ぎゅ、ぎゅってして貰っても良いですか……？
P,可奈がして欲しいなら構わないよ。……ほら、おいで
可奈,し、しつれいしま～す……
P,……これで良いか？
可奈,は、はひっ！
P,……そんなに力入れなくてもよくないか？
可奈,き、緊張しちゃって……
P,そりゃ、こんな事慣れてる訳ないもんなぁ……。……よし
可奈,ぷ、プロデューサーさん！？
P,こうしてれば、緊張も少しはほぐれるかなぁって
可奈,……なんか、お父さんみたい。えっへへ……♪。そういえばプロデューサーさん、寝なくても大丈夫なんですか？
P,んー、目も覚めちゃったしなぁ。事務所に戻って、音無さんの手伝いでもする事にするよ
可奈,そうですか……
P,……可奈は眠たくないのか？
可奈,えっへへ……さっきまでは、緊張してたんですけど。頭撫でられてたら段々眠たくなってきました……
P,そうか……そういう事なら、このまま寝ちゃっても良いぞ？。可奈はこの後レッスン入ってないしな
可奈,それはそう、ですけど……。……あ、あのっ！私が寝るまで、このままでいてもらえませんか！？
P,構わないよ、別に急いでる訳じゃないしな
可奈,えっへへ……ありがとうございます♪
P,よーしよし……
可奈,…………すぅ
P,……寝たか、ちょっとは休めると良いんだけど。さて、俺は仕事に――。？
可奈,…………
P,シャツの裾つままれてたら行けないんだけどなぁ……。無理に離すのもなんか悪い気がしてきた
可奈,…………♪
P,ずっとこうしてられそ――
志保,…………えっ
P,えっ？
志保,…………
P,……志保、これには訳が
志保,っ、どういう訳ですか！
P,しーっ、可奈が起きちゃうだろ！？
志保,…………
P,ほら、話は場所を移してからな？
志保,……分かりました。たーっぷりと理由、聞かせてもらいますから
