鷹富士茄子,ーーという企画があるんですけど、どうでしょう？
白菊ほたる,わぁ……、楽しそうですね
緒方智絵里,はいっ！いいですねっ
藤居朋,……
ほたる,……？
智絵里,朋さん……？
茄子,お気に召しませんでしたか～……？
朋,こ……
茄子,？
朋,こういう企画を待ってたのよ！！！
茄子,え……？あ、はい……？。てっきり、気に入らなかったのかと思っちゃいました～
朋,そんなわけないじゃない！いやぁ～、楽しみね！
智絵里,てっきり、"ほたるちゃんがいたら開運ツアーの効果も半減じゃない"って言うのかと思っちゃいましたっ
朋,言うわけないでしょ！
ほたる,そう思ってるのは智絵里さんの方ですよね？
智絵里,バレちゃった？
朋,かわいいけども
茄子,じゃあ、プロデューサーさんにOKを出しときますね？
朋,もちろん！2人もいいわよね？
ほたる,大丈夫ですよ
智絵里,はい！
茄子,忘れられないツアーにしてあげます……
朋,怖っ！い、いい意味でよね？
智絵里,ほたるちゃんのこと、忘れないよ……
朋,そういうツアーじゃないから！！！
ほたる,一応、遺書は持ち歩いてますが……
朋,ほたるちゃん！？
智絵里,ほたるちゃんのパソコンの朋さんフォルダは消しといてあげるねっ
朋,そんなのあるの！？
ほたる,助かります……
朋,あたしに知られてる時点で助かってなくない！？
茄子,ふふっ、仲良しですね
朋,いまのやり取りのどのあたりでその判断を
智絵里,自慢のユニットですからねっ
朋,嬉しいけど誰目線？
ほたる,このユニットがある限り、まだ遺書の出番はなさそうです……
朋,ほたるちゃんそんなにギリギリだったの！？
智絵里,朋さんが亡くなったら一瞬で後を追いそうだね！
朋,智絵里ちゃん！！！
ほたる,……
朋,否定して！！！
茄子,あらあら、置いてけぼりですね～、珍しく、不幸ですっ。なんて
ほたる,あっ、そんなつもりじゃ……
茄子,冗談ですよ♪朋ちゃんは2人に好かれて、とっても幸せ者ですね
朋,……うん、そうおもうわ
智絵里,言い淀みませんでした？
朋,気のせいよ
茄子,では、私は失礼します。当日はよろしくお願いしますね。絶っっっっっ対に晴れるので
朋,無駄に頼もしい……
ほたる,果たしてそうでしょうか……？
朋,なんで対抗しちゃうの！
智絵里,晴れに5000モバコイン！
朋,賭けない
智絵里,ほたるちゃん、おはようっ
ほたる,あ、おはようございます
智絵里,いい天気だねっ。5000モバコインを
朋,請求しないの
智絵里,あうっ……。冗談です……、おはようございます
ほたる,朋さん、おはようございます
朋,おはよ！今日は頑張ろうね！
ほたる,あ、それ、占い雑誌ですか？
朋,そうなの、ちょうど今日が発売日だったから……あ！1位！
ほたる,わぁ……、おめでとうございます……
朋,いやあ、幸先がいいわね！
智絵里,ふふっ、いい撮影になりそうで……あ！
朋,ど、どうしたの？
智絵里,見てくださいっ！四つ葉のクローバーですっ！
朋,え？……あ！ホントだ！
ほたる,いいことづくめですね
朋,そうね。じゃ、ほたるちゃんも、何かいいことあるかもよ？
ほたる,そうだと嬉し……はっ！
智絵里,？
朋,ど、どうかした？
ほたる,き、今日……まだ……植木鉢が降ってきてないです……
朋,待ってあたしの感覚が正しければそれ普通じゃない？
智絵里,えええええええええええええ！？
朋,そんなに驚くかな！？
ほたる,なんということでしょう……
朋,こ、これってもしかして……
智絵里,……はい
茄子,あ！3人とも、早いですね～。おはようございます
3人,……開運ツアー、いらないのでは？？？
茄子,？。では、早速撮影を始めましょうか？
朋,あ、うん！大丈夫よ！
ほたる,まずはどこへ行くんですか？
茄子,はい♪まずは、ここからほど近い場所にある神社に行きます
朋,へー、神社があるのね。この辺りはあんまり来ないから、全然知らなかったわ
茄子,けっこう大きい神社で、いろんな神様が祀られてるんですよ？3人は何を願いますか？
ほたる,無病息災でしょうか……
朋,願わなくても平気そうだけど
智絵里,天下統一
朋,智絵里ちゃんの野望
茄子,朋ちゃんは？
朋,え！？あ、えっと……。み、みんな仲良く……？
茄子,ふふっ
ほたる,ふふふ
智絵里,……
朋,ち、ちょっとー！笑わないでー！
智絵里,今の"み、みんな仲良く……？"のボイスを、公式ホームページで配信しますっ
朋,なんで！？
ほたる,ちょっとお手洗いに……
朋,ダウンロードする気でしょ！！！。い、いいじゃない別に……！
智絵里,大丈夫ですよ。わたしも同じ気持ちです
朋,智絵里ちゃん……
ほたる,さっき私からカツアゲしようとしてたような……
智絵里,あとどれくらいで着きますかっ
朋,仲良しなんだよね？
茄子,というわけで、到着です
朋,おおー、立派な神社ね！
智絵里,今の"おおー"のボイスを、公式ホームページで配信しますっ
朋,ことあるごとに配信しないで！？
ほたる,お手洗いに……
朋,ほたるちゃん！！！
茄子,ふふふ……。仲良しなのは伝わりましたけど、境内ではお静かに、ですよ～？
朋,あ、ご、ごめんなさい！
智絵里,朋さんが謝ることじゃないですよっ
朋,智絵里ちゃんは謝る側だからね
茄子,早速参拝をしましょうか。礼や拍手の数、ご存じですか？
朋,えっと、確か……
智絵里,五礼七拍手八礼？
朋,全体的に多くない！？めっちゃペコペコして拍手連打してペコペコして帰るの！？
茄子,境内ではお静かに～
朋,そんなこと言われても！
ほたる,二礼二拍手イチローですよね？
朋,そうそう、こうやって、お金を賽銭箱に自慢の強肩でレーザービーム……ってほたるちゃん！！！
智絵里,ナイスノリツッコミ！
朋,やらせないで！！！
茄子,け、境内では……お静かﾌﾞﾌｫ
朋,なんかツボってるじゃない！！！。というか、茄子さんを拝んだ方がご利益ありそうよねー。なんて
茄子,それ、杏ちゃんときらりちゃんにも言われたことありますよ～
朋,あら、みんな考えることは同じなのね
智絵里,ほたるちゃんを拝むと数秒以内に手持ちの何かしらが爆発しますよ
朋,それ今言う必要あった？
茄子,では、参拝します。5円玉がいいとされていますが、あまり気にしないでもいいと思いますよ。事務所のみなさんが元気でいられますように……
朋,もっともっと3人で活躍できますように！
ほたる,生きる
智絵里,一攫千金
朋,わかんないけど2人ともちゃんとお願いしてる？。さて、心なしか運気が上がってる気がするわ！
智絵里,次はどこへ行くんですか？
茄子,ふふ……、この神社の裏手に移動します
ほたる,？
智絵里,ほたるちゃんを埋めるんですか？
朋,よく真顔で言えるよね
茄子,こちらでーす！
朋,わあ！おっきい滝！
ほたる,すごい……
智絵里,ほたるちゃんを沈めるんですか？
朋,今日の智絵里ちゃん、いつにも増して調子が良くない？
ほたる,この深さなら沈んでも普通に平気かな……
茄子,何か言いました？
ほたる,い、いえ、なんでも
朋,それにしてもすごいわね……
茄子,パワースポットって感じがしますよね～
朋,うんうん！なんかこう、マイナスイオン！みたいな！
ほたる,空気も美味しいです
智絵里,普段のストレスとかがすーっと消えていく感じがします……
朋,智絵里ちゃん、ストレスとか感じるんだ……
智絵里,むっ！わたしだって傷つくことくらいありますよっ
朋,せめて心は読まないで
茄子,では、次なる目的地へ向かいましょう！
3人,はーい
茄子,……
朋,あれ？どうかしたの？
茄子,ふふっ。いえ、3人とも、姉妹みたいだなって
朋,ええっ
茄子,似合ってますよ？
智絵里,そうでしょうか……？朋お姉ちゃん？
朋,！！！！！
茄子,あ、マズい感じですね？
ほたる,と、朋お姉ちゃん♪……ふふっ
朋,！！！！！！！！！！
茄子,致死量。大丈夫ですか～？
朋,……ふぅ、死ぬかと思ったわ
智絵里,朋お姉ちゃんは妹のわたしより胸がないんですねなんて思ってないですよっ
朋,智絵里ちゃん
ほたる,智絵里お姉ちゃんは妹の私より背が低いんですね
智絵里,は？
ほたる,？
朋,長女への負担、大きすぎない？
