千川ちひろ,では、こちらの部屋でお待ちください。もう2人もすぐに到着するはずです
桜庭薫,ああ、礼を言う
ちひろ,それでは、私は失礼いたしますね
薫,あ、ああ……。……。あの黄緑の服が制服なのか……？。まあいい、まったく……なぜ僕がこんな……。僕個人への仕事依頼と言われた手前、断ることなど不可能ではあるが……。他プロダクションとの合同企画……。765プロと346プロは業界でも規模の大きい事務所だ。こちらのプロダクションとしてもチャンスなのだろう。しかし、僕は他の事務所のアイドルについて全く知らない……というか興味がない。確か堀と真壁……と言ったか。騒がしくない人間だと助かるが。花屋に話したらやけに分厚い資料を渡されそうになったから断った。む
ちひろ,失礼します。こちら、765プロの真壁瑞希ちゃんです
真壁瑞希,ご紹介に預かりました、真壁瑞希です
ちひろ,こちらが315プロの桜庭薫さんです
薫,桜庭薫だ。よろしく頼む
瑞希,わお。俗に言うイケメンさんというやつですね。……ドキドキするぞ
薫,……？誉め言葉として受け取らせていただこう
瑞希,もちろんです。ミズキ、ウソつかない。……というのはウソかもです。てへ
薫,……
瑞希,むむむ。反応がびみょうに見えますね。如月さんにお墨付きをいただいたジョークなのですが
薫,……
ちひろ,……では後は若いおふたりで
薫,逃げないでくれ。というか見たところ君は僕と同世代だろう
ちひろ,あー！女性に年齢の話題を振るのはマナー違反ですよ！
薫,君そんなキャラだったのか
瑞希,そうだぞ……ですぞ。ぷんぷん
薫,面倒だから乗っからないでくれ
ちひろ,山村さんにお聞きしたんですよ。ツンツンしているように見えて優しい方だって♪
薫,……お灸を据える必要がありそうだ
瑞希,ヤマムラさんは私については何とおっしゃってましたか？……わくわく
薫,山村というのはこちらの事務員だ。君について語ることはないだろう
ちひろ,サインくださいと
薫,山村。どうでもいいが、君のところのアイドルがまだ到着していないようだな
ちひろ,ああ、ユッコちゃんですね！すみません、1つ前の打ち合わせが長引いているようで……
瑞希,お忙しいのですね
薫,……まあ責めるつもりはないが
ちひろ,もうすぐ到着すると思いますよ
薫,そうか、待つとしよう。真壁の方は掴めない人間だな……。堀とやらはまともであってほしいものだが
瑞希,フラグ、というモノが立った音がしましたね。……ざんねんむねん
薫,？
堀裕子,サイキック遅刻！！！申し訳ございません！！！ですが、エスパーユッコは遅れてやってくるもの！さあ汚名をばんか……返上する時です！！！
薫,帰っても？
ちひろ,ダメです♪。ユッコちゃん？
裕子,はい！！
ちひろ,まずは自己紹介をした方がいいんじゃないかしら？
裕子,なるほど！！！
薫,感嘆符の数を減らすことはできないのか
瑞希,私はビックリマークを使えない系女子なので羨ましいぞ。……なんて
薫,この世の女性にそんな分類の仕方は存在しない
裕子,こんにちは！堀裕子ことエスパーユッコです！！！
薫,逆だろう。それだと本名がエスパーユッコだ
裕子,裕子堀ことユッコエスパーです！！！
薫,そういう意味で言ったんじゃない！
瑞希,わお。桜庭さんのセリフに初めてビックリマーク。……これにはミズキもびっくり
ちひろ,ビックリマークを使えない系男子じゃなかったんですね
薫,さっきから何なんだその分類は！。というか全員揃ったのだからそこの事務員はもういいだろう
ちひろ,私には千川ちひろという名前があるんですよ？
薫,そういう部分が面倒だと言っているんだ
ちひろ,では、あとは若い人たちで……
薫,2度言うほどの手ごたえがそのセリフにあると思ったのか？
ちひろ,当然です！瑞希ちゃんも大笑い！ですよね？
瑞希,え？……あ、その通りですね。……ははは
薫,サクラを仕込むならもう少し上手くやってくれ
裕子,サイキック大笑い！はっはっはっはっはっはっ！！！
薫,いい医者を知っているが紹介しようか
裕子,私へのツッコミだけ辛辣な気がしませんか！？
ちひろ,では、本当に私は失礼しますね
薫,ふう……
瑞希,おちゃめでかわいい事務員さんでしたね。……すてきです
薫,僕は二度と会いたくはないがな
裕子,えっと、桜庭さんと、真壁さんですよね？
薫,ああ、名乗っていなかったか。桜庭薫だ
真壁瑞希,いえす。真壁瑞希です
裕子,エスパーユッコです！！！
薫,なぜ君が名乗るんだ！それは既に聞いている！
裕子,会話のテンポを重視しています！
薫,中身を重視しろ
瑞希,そういえば、桜庭さんはおいくつなのですか？
薫,僕は26だ
瑞希,おお、なかなかどうしてお兄さんですね。……大人です
裕子,ずっとアイドルとして活動していたんですか？
薫,いや、アイドルになったのは最近だ。……それまでは医者をしていた
瑞希,なんと、お医者さんとはすごいですね
薫,そうでもない
瑞希,いえいえ、素晴らしい職業です。私の父は弁護士なのですが、世の"先生"と呼ばれる職業は皆、尊敬しています。……すごいぞ
裕子,さ、サイキックは弟子を取らない主義なので、私は先生とは呼ばれませんね！残念！
薫,なぜ張り合った？。自己紹介はいいだろう。それより企画の内容を聞いていないのだが
裕子,あ！そうですそうです！企画書は私が持っていたんでした！
瑞希,さてさて、どのようなお仕事なのでしょうか。……わくわく
薫,どんな仕事であろうと、目の前の課題には全力を尽くそう
裕子,では、開きますね！
薫,コピーライターを早急にクビにした方がいい
瑞希,あ、但し書きがありますね
薫,黙れ！！！
瑞希,おや、私は確かに手品を少々たしなんでいますが、おふたりも？
薫,ああ、そういえば事務所への提出書類の特技欄にはそう書いたな
瑞希,なるほど、そういう共通点で集められたのですね。……なっとく
裕子,ま、待ってください！
薫,どうした？
瑞希,堀さんは手品好きではないのですか？
裕子,わ、私の力は手品ではないです！サイキックなんです！
薫,そうか、では話を進めよう
裕子,ひどいっ！？
薫,どちらでもいいだろう……
裕子,そういうわけにはいきません！
薫,強情だな……
瑞希,……おやおや？
薫,どうかしたのか
瑞希,こちらの企画書、後ろの方にQ&Aのページがあります。……とっても便利
薫,それが何だというんだ。サイキック云々は企画以前の問題だろう
