モバＰ,以降Ｐ表…調子に乗ってました
芳乃,おー
Ｐ,この季節でも川辺は流石に涼しいな。木陰が良い感じに日差しを遮ってくれるし
芳乃,家の中はそれはそれはー、焦熱地獄のようでしてー
Ｐ,本当になぁ…どうなってんだよ地球。気を使ってそろそろ冬でいいだろ地球
肇,何て壮大な無茶振りを
Ｐ,あ、今回のゲストは３４６屈指の釣り師はじにゃんです
芳乃,はじにゃん殿ですー
肇,肇ですっ
Ｐ,今日はよろしくな肇。何分俺も芳乃も釣りは素人だからさ
肇,お任せください。私が全部教えてあげますから
Ｐ,ハハッ、頼もしすぎる
肇,では早速準備を始めましょう。最初は上流から行って段々とポイントを変えていきましょうか
Ｐ,釣りはサッパリなんで肇先生にお任せします
肇,ふふっ。お任せください。これでも釣りには多少の自信がありますから
芳乃,そいやっ。そなたーそなたー、捕れましたー
Ｐ,こら芳乃。せめて道具を使いなさい
芳乃,はいー
イワナ,助かった
肇,…。た、多少の自信がありますから…
Ｐ,な、泣くな肇！芳乃だからっ！芳乃だから仕方ない！
芳乃,むー
Ｐ,肇先生ー、まずは何をすれば宜しいのでしょうか？
肇,そうですね…道具や餌の準備、ポイント決めなど色々ありますけど。取り合えずはお２人とも服装をどうにかしましょうか
Ｐ,え？
芳乃,ほー？
肇,芳乃ちゃんはいつも通りの着物姿ですし、プロデューサーさんは何ですかその恰好
Ｐ,暑いからアロハとビーチサンダルにしたんだけど駄目か？
肇,ハワイアンですか
Ｐ,ウクレレもあるよ？
肇,ハワイアンですか
芳乃,高〇ブーのようですー
肇,サンダルは危険です。川辺は滑りやすくなっている箇所が多いですし岩で足を切ってしまったりするので長靴をお勧めします
Ｐ,なるほど…アロハは？
肇,流れが緩やかな場所なら問題はありませんが…上流に行くので出来ればジャケットを着てください
Ｐ,なるほど。別にアロハが似合ってないって理由じゃなくて良かった
肇,似合ってはいませんけど
Ｐ,え
芳乃,胡散臭く見えましてー
Ｐ,酷くない？
肇,あとは水面に日光が反射して目を傷めやすいのでサングラスなどもお勧めします。服装としてはそのくらいでしょうか
Ｐ,なるほどなるほど…。これで完璧だな。どうだ？どこから見ても通りすがりの釣り好き紳士だろ
芳乃,釣りに来たと装って邪な取引にやってきた裏家業の方のように見えましてー
Ｐ,酷くない！？
肇,ぷっ……お、お似合いですよ……？
Ｐ,今俺を笑ったな！？
芳乃,ではわたくしも着替えるのでしてー
肇,ちょっ！き、着替えるならせめて車で！
芳乃,下に着ておるのでご安心をー
肇,それなら何故着物を…
