佐々木基教,４１
テロップ,山梨県、ある地方都市――。佐々木基教４１
基教,●▲■★◆●、○△□☆▽◎
街の郊外にある寺。門には,蓮陣寺
寺の掲示板には,どんな人にも優しく振る舞いどんな人にも温かい気持ちで接しよう
基教,もうお前とは離婚だ！！寺から出ていけ！！
テロップ,東京――
基教,蓮陣寺は山梨県にあるから、最近は寺を訪れる観光客も増えているんだよ！
キャバ嬢たち,へえー、そうなんだぁ
客A,うわ、坊さんがこんなところに来ているのかよ……
キャバ嬢A,この人は、意外とお金を持ってるんだってさ
客B,こんな下品な坊主初めて見た……。宗教に関わる人間とは思えんな
キャバ嬢B,でも、彼のような人がいるから夜のお店が回っているんだよねぇ
喪黒,…………。これは、これは……
基教,一体何のおつもりです、あなた？
喪黒,実はさっき、お店であなたを見たんですよ。お、キャバクラにお坊さんがいるなぁと
基教,それがどうしたんですか？私はですね、檀家のお布施をこうやって派手に使うことで……
喪黒,ごもっともです。僧侶の肉食妻帯も飲酒も、日本では認められているのですから……
基教,その通り。だから……。僧侶が夜の街で遊ぶのも、ある意味、修行の一つと思えばいいんですよ
喪黒,お坊さんにしては、なかなか破天荒で豪快なお方ですなぁ。気に入りました……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
基教,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
基教,いやぁ……。面白そうな人だな、あなた！じゃあ、ちょっくら話し相手でもしてやりますか！
BAR,魔の巣
喪黒,そうですか……。佐々木さんは山梨県のお寺のご住職なのですか……
基教,ええ。私はちょっとした規模の寺の住職だから、金はそれなりにありますよ
喪黒,あなたは大したお人です。それに、お坊さんのお金儲けは別に悪いことではありませんよ
基教,そうですよ！！私にはその方面での知識や才能があったんですよ！他の寺の住職と違って！
喪黒,お金には恵まれ、女の人にもモテモテ……。佐々木さんの人生は一見うまくいっているように見えます
基教,ああ……。言われてみればそうかもしれませんね……。確かに、今の私には心に虚しさがありますよ
喪黒,でしょう！？遊びで好きなことを繰り返し続けると、人間、飽きが訪れるものなんですよ
基教,ですがねぇ……。本能のまま、思う存分生きるのが私には似合っているんです！！
喪黒,だったら佐々木さん……。今までとは一味違った形で豪遊をしてみませんか！？
基教,面白そうですね、それ……。その今までとは一味違った形というものを、ぜひ教えてくださいよ！！
テロップ,数日後。東京、銀座――
喪黒,ご住職さんには、東京の高級なお店を一度ご覧になっていただきたいです
基教,わくわくしますね……。こういう店ってのはテレビドラマでしか見たことがなかったもので……。あ、あそこの席にいるのは……。確か……、あの……
ホステス,そうですよ。あのお方は、与党の幹事長や大臣を務めた大物政治家です
基教,じゃ、じゃあ……。私たちがいるバーは……、有力者御用達の店だったのか……
喪黒,佐々木さん、そう緊張しないでください。リラックス、リラックス……。今晩はゆっくり楽しみましょうよ。ご住職さん。楽しめましたか！？
基教,いやぁ、それが……。喪黒さんのご厚意はありがたいんですけど……
喪黒,おや、どうなさいました？
基教,さっきのバーは有力者御用達の店じゃないですか。しかも、店の中に大物政治家や大企業社長までいて……
喪黒,いつもの佐々木さんらしくありませんなぁ……。ドンマイ、ドンマイ。もう少し景気よくいきましょうよ！
基教,そ、そうですよね……。こんなことで、へこたれるわけにはいきませんよ！
テロップ,2週間後――
喪黒,立派で乗り心地のいい車ですなぁ。ご住職さん
基教,どうです？随分高かったんですよ、これ！
喪黒,人の趣味はそれぞれです。だから、お坊さんが高級車を乗り回すのは別に悪いことではありませんよ
基教,その通りですよ！こうやって、いい車を見せびらかすことは……
テロップ,翌日。京都府、京都市――
喪黒,銀座の高級バーと違って、ここならご住職さんも雰囲気に圧倒されずに済みますよ
基教,なるほど……。考えましたね、喪黒さん。寺の多い京都の街で豪遊をするのなら……
喪黒,京都で豪遊するとなれば、これしかありませんよ。これ！
基教,舞妓を呼んでお座敷遊びですか……。私には初めての体験になりますね……
喪黒,京都では、お坊さんも普通に舞妓遊びをやっていますよ
基教,分かりました。今回は、雰囲気に飲み込まれないように気をつけますよ
舞妓たち,とらとーらとーらとら。とらとーらとーらとら
喪黒,どうです、楽しめましたか！？
基教,まあ、その……。銀座の店にいた時に比べると、それなりに楽しめたんですけど……
喪黒,おや、何かご不満でも？
基教,喪黒さんには感謝していますよ。ですが……。ここは京都という街でしょう
喪黒,それは気のせいですよ
基教,気のせいなんかじゃありません。私は女遊びを結構やっていますから……
喪黒,京都はかつて、日本の都だった地です。だから、京都の人にもそれなりにプライドがあるんですよ
基教,まあ、彼女たちはプロだから……。一応お仕事として芸や踊りや遊びをやってくれたんでしょうけど……
喪黒,細かいことを気にせず、もっと気を大きく持ってくださいよ
基教,そ、そうですよね……
テロップ,1週間後。東京、秋葉原――
喪黒,秋葉原はオタクの聖地とされている街でもあります
基教,いやぁ、それにしても独特な雰囲気の街ですね……。私、秋葉原を訪れるのは初めてなんですよ……
喪黒,ご住職さん。メイド喫茶やアイドルカフェに入るというのはどうです？
基教,なるほど……。あなたもいろいろ考えていますね
メイド,おいしくなーれ！萌え萌えキュン！
喪黒,ご住職さん。アキバの街は楽しめましたか！？
基教,まあ、一応楽しめたんですけどね……。でも、何というか……。その……
喪黒,どうなさいました？
基教,私はオタクではないですし、最近のサブカルチャーの知識には疎いんですよ
喪黒,仕方ありませんよ。秋葉原はオタク文化の街なんですから……
基教,そうですよ、それ！秋葉原は個性的すぎる街ですから……
喪黒,じゃあ、魔の巣でゆっくり話をしましょう
BAR,魔の巣
基教,私のために、ここまでしてくださって……。ありがとうございます……
喪黒,でも、あなたはなぜか……。心がまだ満たされていませんよねぇ
基教,ええ。そうです
喪黒,目新しそうでありながら、もっと身近なもの……
基教,おそらく、そうかもしれませんよね……。でも、果たしてそんなものが……
喪黒,ありますよ。例えば、あなたの好きなタイプの女性とデートをするなんてどうです？
基教,それができればいいんですけどね……。ですが、私は今まで女遊びをやりすぎましたから……
喪黒,大丈夫ですよ。ほら、ご住職さんはAV鑑賞がご趣味ですよねぇ
基教,ど、どうしてそれを……
喪黒,東京のキャバクラで佐々木さんの姿を初めて目にした時、あなたとキャバ嬢との会話で知ったのですよ
基教,そうですか……。いやぁ、あなたはなかなか恐ろしいお方だ……
喪黒,何なら、ご住職さんが一番好きなAV女優とデートをするというのはどうです？私が彼女を紹介しますよ
テロップ,さらに1週間後。山梨県、甲府市――。桑原きらり３３
喪黒,どうです、ご住職さん。あなたが一番好きなAV女優を連れてきましたよ
基教,ほ、本当にそんなことができるなんて……
きらり,私はAV女優を引退した後、甲府市でキャバ嬢として働いています
基教,甲府市だと……。君も私と同じく、山梨県に住んでいたのか……
喪黒,青い鳥というものは、案外、身近なところにいるんですよ。佐々木さん
基教,喪黒さん、あなたのおかげで私はいい人生経験ができましたよ。本当に感謝してもしきれません
喪黒,これは恐縮です。ですが、ご住職さん……。あなたには私と、約束していただきたいことがあります
基教,わ、分かりました……。喪黒さん。俺が、女性に対してこんなに心を許したのは……。きらり、君が初めてだ……。なあ、きらり……。俺と……。結婚してくれないか……
きらり,ええ……。喜んで……
喪黒,佐々木基教さん……。どうやらあなた……、私との約束を破ったようですね！
基教・きらり,も、喪黒さん……！！
喪黒,ご住職さん。私はあなたに言ったはずです。桑原きらりさんとは、あくまでもデートをする仲に留めておけ……と
基教,ええ、喪黒さんとはそう約束しましたよ。ですが……、私にもいろいろ心境の変化があったんです
喪黒,佐々木さん。どうしても桑原きらりさんと結婚したいのですね！？
基教,もちろんですよ！！今の私には、彼女なくしてこれからの生活はあり得ません！！
喪黒,……分かりました。そこまでおっしゃるのなら、私はあなたたちの結婚を止めるつもりはありません。ドーーーーーーーーーーーン！！！
基教,ギャアアアアアアアアア！！！
テロップ,1年後――
檀家,ねぇ、ご住職さん。お身体は本当に大丈夫なんですか！？
基教,心配いりませんよ！妻が健康に気を使った食事を作ってくれるおかげで、私は元気ですから……。ううっ……
