香川翔太,３０
テロップ,香川翔太３０
少年,燃えている家の中に倒れていた僕とお母さんは、消防士さんに助けられました
テロップ,東京都、双龍市――
香川,…………
消防士たち,香川の奴、一体何を考えて毎日を生きているんだ？
喪黒,お待ちなさい！！
香川,うおっ！！びっくりしたあっ！！
喪黒,誰もいないこの家で……。あなた、一体何をしているのですかねぇ……！？
香川,そ、それは……
喪黒,おや……。あなた、どうしてライターを持っているのですか……？それと、足元にある新聞紙……
香川,ううっ……！！
喪黒,放火は犯罪ですよ
香川,す、すみません……！！どうしても、魔が差してしまって……！！
喪黒,魔が差す！？それにしちゃあ、ずいぶん手慣れた手つきでしたなぁ……。まるで、常習犯に見えますよ
香川,くっ……！！
喪黒,もしかすると……。あなた、現役の消防士さんではないですかねぇ……！？
香川,ど……、どうして俺が消防士だと分かったんですか！？
喪黒,いやぁ……。仕事柄、長年、人間観察を行ってきた賜物ですよ。何しろ、私はこういう者ですから
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
香川,ココロのスキマ、お埋めします？
喪黒,実はですね……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
香川,は、はあ……
喪黒,あなたのような人を救うのが、私の仕事なんです。何なら、相談に乗りましょうか？
BAR,魔の巣
香川,現役の消防士でありながら、放火に手を染めてしまうとは……
喪黒,でも、香川さんは放火をやめたくてもやめることができない。それが現実ですよね！？
香川,はい。喪黒さんのおっしゃる通り、私には放火の余罪がいろいろあります
喪黒,香川さんがこのまま放火を続けたならば、いつか、間違いなく誰かが死ぬことになりますよ
香川,……ですよね。言い返すことは何もありません
喪黒,それどころか、放火をやめなかったならば香川さんは……。将来、確実に警察に捕まるでしょうねぇ
香川,分かっていますよ。分かっているんですけど……
喪黒,あなたが放火をやめることができない理由を当ててみましょうか！？
香川,いやぁ、ここまで俺のことを見抜くとは……。あなたは恐ろしいお方ですね
喪黒,燃えている炎を見ると性的な興奮や快感を覚える……。それが香川さんの性癖でしょう
香川,実はそうなんですよ……。中学のころ、山の中でチラシの紙や落ち葉を燃やした時、それを感じました……
喪黒,幸い、大きな火事になることはなかったのですね
香川,でも、それ以来……。俺は……
喪黒,10代のころから今に至るまで、放火の常習者として生きてきたというわけですね……
香川,その通りですよ。間違いなく、俺は消防士失格でしょうね
喪黒,私が何とかしましょうか？
香川,えっ！？
喪黒,あなたの放火癖、私が治してみせますよ
香川,は、果たしてそんなことが……
喪黒,できますよ。香川さん、私に着いて来てください
香川,この建物の中に、一体何があるんですか？
喪黒,着いてからのお楽しみですよ
香川,これは……
喪黒,最新の機能を持ったマシンですよ。名前は性癖改造装置です
香川,つまり……。この装置を使うことによって、利用者は自分の性癖を変えることができるのですね
喪黒,そういうことです
香川,確かに……、放火魔や性犯罪者を更生させるのには、ちょうどいいマシンかもしれませんね
喪黒,それでは、いきますよ
香川,ぐおおおおおおおおっ！！！
喪黒,香川さん。あなたの放火癖は、100パーセント治りました。これでもう、あなたは放火魔から足を洗うことができますよ
香川,ありがとうございます。……でも、本当に大丈夫なんですかね！？
喪黒,放火癖が治ったのは間違いないでしょう
香川,まあ……。うまくいけば、俺の新しい性癖は今より少しマシなものになるでしょうよ
消防士,おい、香川！！どうした、声が小さいぞ！！
香川,すみません！！
消防士たち,最近の香川、ボーッとすることが多くなったな
香川,…………
ある日。住宅街。塀の表札には,佐藤
香川,よしっ！
喪黒,そんな所で何をやっているのですか、香川さん？
香川,も、喪黒さん……！！
喪黒,ねぇ、香川さん……。リュックの中に入っているのは一体何ですかねぇ……
香川,いや……！それは、その……！
喪黒,さっきのあなたの行動、私はずーっと見ていましたよ……
香川,あああ……
喪黒,さすがに、下着泥棒はダメでしょう。当然、犯罪行為ですから……
香川,す、すみません……
BAR,魔の巣
喪黒,なるほど……。放火癖は一応治ったのですね？
香川,はい。炎を見て性的な興奮や快感を覚えるという、変わった性癖はすっかりなくなりました……
喪黒,それが、例の下着泥棒なのですね！？
香川,そうですよ……。俺は、女物の下着に対して、性的な興奮や快感を覚えるようになってしまったんです！
喪黒,おそらく、あなたによる下着泥棒は今回の1回だけではないでしょう？
香川,そりゃあ、そうです
喪黒,まあ、今のままでいれば……。香川さんは将来、下着泥棒で警察に捕まることになるでしょうなぁ……
香川,そうですよ、それ！放火魔じゃなくなったとしても、俺は変わった性癖の持ち主であり……
喪黒,もう一度、性癖改造装置をあなたに使用しますか？
香川,ええ、ぜひともお願いします！！
喪黒,次にマシンを使用すれば、女性の下着に執着する香川さんの性癖は、間違いなく治るでしょう
香川,それは分かっていますよ！だから……。例の装置を次に使用する際は、俺からも要求があります！
喪黒,要求！？一体、それは何ですか……？
香川,俺を元の性癖に戻してください！！炎を見ると性的に興奮する元の性癖に！！
喪黒,それじゃあ、下手をすればあなたは放火魔に逆戻りになるかもしれませんよ……
香川,十分承知していますよ。ですがね……、炎に対する性的な執着がなくなったせいで俺は……
喪黒,そうですか……
香川,消防士でありながら、消防の仕事に対し情熱もやる気も生きがいも感じない……。これじゃあ……
喪黒,マシンの操作次第によっては、使用者の性癖を戻すことは可能ですよ
香川,じゃあ、マシンを使って俺の性癖を元に戻してくださいよ！！
喪黒,仕方ありませんねぇ、あなたがそこまで言うのなら……。ただし、その代わり……
香川,約束！？
喪黒,そうです。性癖が元に戻った後のあなたは……、二度と放火をしないようにしてください
香川,なるほど……。それが喪黒さんと俺との約束ですか
喪黒,いいですね、約束ですよ！！
香川,わ、分かりました……
喪黒,それじゃあ、いきますよ
香川,ぐおおおおおおおおっ！！！
喪黒,これで、香川さんは元の性癖に戻りました
香川,ありがとうございました
喪黒,香川さん。私との例の約束、ちゃーんと守ってくださいよ
香川,そ、そりゃあ、もう……。承知していますよ。うっ！！。ここにある落ち葉を燃やして、この山が炎に包まれて大火事になれば……。さぞ気持ちいいだろうな……。くっ……！！。こんな馬鹿な真似は……、人間として最低の行いは……、もう絶対にしないぞ……。俺は決めたんだ……
喪黒,やぁ、香川さん
香川,も、喪黒さん！！
喪黒,さっきまでのあなたの行動、私は一部始終を見ていましたよ
香川,えっ……！？
喪黒,炎を見ると興奮する性癖に戻ったあなたは、どうしても我慢ができなくなり山へ訪れました
香川,俺の行動は、全て見通しというわけですか……。喪黒さん、あなたにはかないませんよ
喪黒,香川さん。私との約束、覚えていますよね
香川,もちろん、覚えていますよ
喪黒,今回、あなたは私との約束を守り……。何とか踏みとどまることができました。偉いですねぇ、よく我慢しましたよ
香川,まあ、今回は辛うじて我慢することができましたけど……。この性癖では、次にやらかさない保証はないですし……
喪黒,大丈夫ですよ。なぜなら、あなたの例の性癖は私が必ず治しますから……！。ドーーーーーーーーーーーン！！！
香川,ギャアアアアアアアアア！！！
BAR,魔の巣
香川,こんにちは、喪黒さん
テロップ,等々力進３０
喪黒,香川さん、お仕事はうまくいっていますか？
香川,はい。俺もようやく、いい意味で変わることができましたよ
等々力,俺も香川と友達になれたおかげで、以前より仕事に対してやる気を見出せるようになりました
香川,正直に言えよ、等々力進。つまりだ、男と男同士で成り立つ恋愛関係って奴だよ
等々力,まあ、そういうことだよな……、香川。俺も、香川のことを心から愛しているから……
香川と等々力進が去り、マスターと喪黒の2人だけになったBAR,魔の巣
喪黒,そもそも人間も動物である以上、誰もが何かしらの形で性欲というものを持ち合わせています
