工藤忍,……どうして？アタシ、何か悪かった？
浜口あやめ,いや、そうではござらん。ただ…
森久保乃々,ちょっと待ってください
忍,え？
あやめ,どうしたでござるか？
乃々,シリアスなところ申し訳ないんですけど……なんで、もりくぼはこんなところにいるんでしょうか？
あやめ,こんなところとは？
乃々,買い被り過ぎなんですけど！？どこ情報ですか、それ！？
あやめ,美優殿です
乃々,あの時安請け合いしたばっかりに……！
忍,アタシ、別れるつもりはないよ！
あやめ,しかしこのままでは！
乃々,待って下さい。修羅場を再開しないで下さい！
忍,……もう、何が気に入らないの？
あやめ,……このままでは話が進まないのでござるが。何でござるか？。回転ずしなら乃々殿の腹ごしらえにもなりますし、程よく緊張感も和らぐかな、と
忍,悪いところがあったなら言って！アタシ直すからっ！
あやめ,そもそもわたくしは！
乃々,ストーップ！なんですけどっ！！つ、づ、け、る、なっ！って言ってるんですけどっ！？
あやめ,ちなみに食事の代金はわたくしの奢りですよ
乃々,あ。もりくぼは隅っこの方で贅沢にも一貫モノのお寿司を中心に食していくので、気にせず続けて下さい
忍,喉を通らないんじゃ……
あやめ,……存外たくましいでござるな
乃々,もりくぼには茶碗蒸し、あやめさんに味噌ラーメン、しのぶさんに酢飯のカレーライス(辛口)っと……
忍,ちょっ！？
あやめ,気になって続けられないんですけど！？
乃々,口癖真似しないで欲しいんですけどっっ！！！
あやめ,ガチ切れっ！？
忍,な、なんでこんな人に相談したのっ！？
乃々,ふぅ……２０皿は食べて元をとるんですけど
あやめ,なにやら恐ろしいことを！？
忍,乃々ちゃ…乃々さんってこんな人だっけ！？
あやめ,そもそも元をとるの概念が分からぬでござる！
乃々,あ。店員さん。熟成中トロ、面倒なので、もう大皿に特盛りくぼで
忍,店員さんを呼び止めてまで！？迷惑だからそれはやめよう！？ほらパネルで注文してあげるから
あやめ,そもそも盛りくぼってなんでござるか！？
乃々,食には関心があります
忍,会話にならない！？
乃々,食には関心があるわ……
あやめ,なぜ２回言いました！？
乃々,あ、お二人の為に頼んだ、みか◯サーモンが届きましたよ
忍,◯かんサーモンってなに！？
あやめ,毒味役を押し付けるのはやめて欲しいのでござるがっ！？
乃々,毒味とか、生産者やお店に失礼なんですけどっ！謝って下さいっ！！
あやめ,す、すまないでこざる！？
忍,勢いで誤魔化そうとしてるけど、そもそも食に関心があるんなら自分で
乃々,あ。酢飯のカレーライスも到着したんですけど。感想期待してますね
忍,他力本願！？水を得た魚のようにキラキラした眼でパネルを操作してるんですけど！？
乃々,口癖を真似しないで欲しいんですけどっ！！
あやめ,誰が助けて！！
忍,情緒不安定かっ！！
P,なんか向こうの席、騒がしいな
イヴ,そこはかとなく聞き覚えのある声な気もします～
浅利七海,気のせいれすよ～
P,うどんとかウナギ丼とかもあるみたいだけど、何か頼むか？
イヴ,きつねうどんと茶碗蒸しを～
七海,赤だしをお願いするれす～
イヴ,さっきレーンを流れていきましたよ～
P,マジでか
七海,レジ横でレトルトパックも売ってたのれす
P,く。少し気になってきたぞ……
七海,これ頼んでもいいれすか～？
P,おう。なんでも頼め……えっ！？
イヴ,どうしたんですか～？
P,それ……みか◯サーモンってなんだ？
イヴ,みかん汁がかかってるんでしょうか～？。なら今日は大丈夫ですね～
七海,そうれすね～。……ちっ
P,！？
七海,冗談れす。むしろひと口味見させて欲しいのれす
P,お、おう。……了解した。そういう冗談は心臓に悪いからやめてくれよ？
七海,はいれす！
P,けど、七海に冷たい眼で吐き捨てるようにこき下ろされたら少し興奮するかもしれない
七海,かれー臭がキツイんれすよ。気持ち悪いれす。この豚♪
P,おお……。笑顔でってのもいいな。ありがとうございます！
イヴ,他のお寿司は取り敢えず好きなのを適当に頼んでいきますね～
P,……イヴがタッチパネルをこれ程の速度で扱うとは
七海,カタカタカタ……ッターン！って感じれす～
イヴ,まずは定番どころを10皿ほど～。どんどん行きますよ～
P,俺の財布が軽くなるな！
イヴ,向こうの席の人も中トロを大量に頼んでたみたいです～。負けてられません
七海,トロの大名行列れす～
P,スタッフの指手首がヤバイ。あと勝ち負けを競うところでもないからね
