小野田真智,１９
テロップ,小野田真智１９
少年サタデーの表紙での、真智のキャッチコピーは,500年に1度の美少女
ツイッターユーザーたち,まさに500年に1度の美少女
マネージャー,なあ真智。お前、ちゃんと食事を取っているのか？
真智,も、もちろんですよ……
マネージャー,それにしちゃあ顔色が悪いし、以前よりも少し痩せたような気がするんだけどな……
真智,き……、気のせいですよ
マネージャー,まさか、怪しい薬とかやってるんじゃないだろうな？
真智,それだけは絶対にやっていません
マネージャー,まあ、いい。お前は健康的でさわやかなイメージで売り出しているんだ。このことを忘れるな
真智,分かっていますよ……。確かに、私は食事をろくに取っていない。いや、ほとんどと言っていいほど食事をしていない。この間、私は無理をして食事を取ろうとした。ファミレスに入り、苦しみに耐えながら料理を何とか食べた
マネージャー,医者によるお前の診断は、貧血だった。今のお前の身体の状態からして、おそらく栄養失調だろう
真智,違う……。私はダイエットらしいことは一切していない。それなのに、私の身体は……
喪黒,ずいぶん、お困りのようですねぇ……。小野田真智さん
真智,あ、あなたは何者なんですか！？私に何をする気ですか！？警察を呼びますよ！！
喪黒,いやぁ、私は怪しい者ではありませんよ。実は私、こういう者ですから……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
喪黒,実はですねぇ……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
真智,ココロのスキマ、お埋めします……か
彼女が喪黒から貰った名刺の裏の白地には、BAR,魔の巣
数日後。BAR,魔の巣
喪黒,お待ちしていましたよ。小野田真智さん
真智,あの……。トマトジュースを頼みたいんですが……
喪黒,マスター、この子にトマトジュースを！。小野田さんは拒食症に悩んでいますが、どうやらトマトジュースは飲めるようですねぇ
真智,ええ……。私は拒食症が深刻ですけど、トマトジュースやトマトはなぜか食べることができるんですよ
喪黒,もしかすると、今のあなたはトマトジュースやトマトの栄養で辛うじて身体が持っているのかもしれませんねぇ
真智,たぶん、そうだと思いますよ……。でも、こんな生活が続いたなら私は……
喪黒,このまま拒食症を放置したならば、痩せ衰えてガリガリになった上……。最悪の場合は死が待っているでしょうなぁ
真智,おそらく、そうなるでしょうね……。1年以上もまともに食事ができない状態が続くってのは、本当に辛いですよ
喪黒,1年以上！？どういうことなんです！？
真智,昨年、18歳の誕生日を迎えて以降……。私はなぜか日増しに食が細くなっていきました
喪黒,18歳のころから拒食症の予兆があり……、19歳になって本格的な拒食症になったというわけですね
真智,はい。しかも、私の拒食症は原因不明なんです。原因も分からないのに突然やってきた症状なんですよ
喪黒,周りの人たちに、今の自分の症状を相談したことはありますか！？
真智,今のところ、ありません。マネージャーの人にさえ話していないんです
喪黒,分かりました。こうやって、小野田さんが藁にもすがる思いで私を頼ったのですから……
真智,えっ、それじゃあ……
喪黒,小野田さん、私に着いて来てください
テロップ,百目鬼太郎城南大学医学部教授
百目鬼,分かりました。私が何とかしましょう。喪黒さんの頼みとあれば……
喪黒,待っていましたよ、百目鬼先生。例のものの効果がさっそく発揮されるのですね
真智,例のものというのは……
喪黒,拒食症の特効薬ですよ！
真智,えーーーーーっ！！
喪黒,この特効薬の発明者は、ここにいる百目鬼先生です
百目鬼,ただし、まだ公には出回ってはいませんけどね……
真智,こ、この話が本当なら……。まさにノーベル賞級の発明……
喪黒,そうです。そのノーベル賞級の発明を、今回は特別にあなたに使うのです。治療費は私が全額負担しますよ
真智,じゃあ、私の拒食症は……
喪黒,もちろん治ります。この特効薬で、あなたの拒食症は完治できますよ
真智,それはすごい……
百目鬼,それじゃあ、いきますよー。ちょっとチクッとしますけどねー
真智,くっ……！！
喪黒,小野田さん、これであなたの拒食症は100パーセント確実に治りますよ
真智,あ、ありがとうございます……！！
百目鬼,だけど気になるのは……。彼女の拒食症が原因は分からないままということなんです
真智,でも……。辛い拒食症が治れば、私にとっては御の字ですから……！！
喪黒,まあ、それに万一の場合は……。拒食症が治った後になってから、原因が分かる可能性もあり得ますよ
真智,キャハッ、面白いジョークですね。喪黒さん。このステーキ、おいしい……。脂身がついていて、血の滴る肉の味がとっても香ばしい……
マネージャー,真智のために、今日は有名な店を頼んでおいたぞ
真智,ありがとうございます！
マネージャー,なぁ、それにしても……。まさか、お前がスッポン料理にハマっているとはな……
真智,ええ、そうですよ……。特に、スッポンの生き血を飲むのは最高です
マネージャー,これを見てみろ。面白い記事が載っているぞ
真智,どれどれ……。なっ……！！
マネージャー,最近、東京都内の各地で動物の怪死が相次いでいる。道端の野良犬や野良猫……
真智,…………
マネージャー,全身から血を抜き取られて死んでいたということだ。どの動物もそうだ
真智,ふ、不思議な事件ですね……
マネージャー,ああ。実に意味不明な事件だ。まるで、宇宙人か吸血鬼にでもやられたような感じにも見える……
真智,！！！
マネージャー,でもな……。宇宙人や吸血鬼なんているわけないからなぁ
真智,…………
マネージャー,そうか……。一連の事件がそんなに怖いのか……。まあ、無理もあるまい
BAR,魔の巣
喪黒,小野田さん、拒食症は治りましたか
真智,ええ。例の薬のおかげで、私の拒食症はすっかり完治しました
喪黒,料理をおいしく食べられるようになって、本当に楽しいでしょうなぁ
真智,はい。拒食症が治ってからの私は、大人としての味覚が身についたような気がするんです
喪黒,スッポンの生き血はおいしいですからねぇ
真智,ええ、そうですよ！
喪黒,生き血といえば……。最近、気になることがあるんですけどねぇ……
真智,こ、これは……
喪黒,小野田さんなら、思い当たりがあるでしょう……
真智,な、何のことですか！？
喪黒,もしかすると……。あなたが拒食症になった原因とも関係しているんじゃあ……、ないですかねぇ……！？
真智,くっ……！！
喪黒,やはり……。思い当るところがあるようですねぇ、小野田さん。私と一緒に城南大学附属病院に行きましょう
百目鬼,原因不明だった小野田様の拒食症の正体が、こんな形で明らかになるとは……
真智,要するに私は……。人間ではなかったということですね
百目鬼,そう判断せざるを得ません。あえて言うならば、小野田様は……。吸血鬼ですよ
真智,やはり……
喪黒,500年に1度の美少女と呼ばれる小野田さんの美貌も、おそらく吸血鬼特有の遺伝からくるもの……
百目鬼,小野田様は、18歳のころから徐々に食事の量が減り……。19歳になって全く食事ができなくなりました
喪黒,それどころか、小野田さんは小さいころからトマトが大好物でした
百目鬼,おそらく……。拒食症になった小野田様は、トマトジュースやトマトの他に……
真智,動物の血なんですね
百目鬼,はい。18歳から19歳の間に、小野田様の身体は吸血鬼としてのものに完全に移行したんです
真智,私が食事を全くできなくなった原因は、そういうことだったのですね……
百目鬼,とはいえ……。私が発明した例の薬を使うことにより、あなたの拒食症を無理やり治療しました
喪黒,そのおかげで……。小野田さんは動物の血を吸うことだけで生きていく旧来の吸血鬼から……
真智,はい。例の薬のおかげで、料理をおいしく食べることができるようになりました。でも、私は……
喪黒,そんな小野田さんに、いいものをあげますよ。そのために、大学病院にあなたを連れてきたのですから……
真智,これが……、人間の血……。なんて、おいしいんだろう……。こんなにうまいものを口にしたの、初めて……
百目鬼,今の小野田様には、こうするしかありません。吸血鬼が小動物の血を幾度も吸い続けたならば……
喪黒,そうなると、おおごとですからね……。だから、小野田さんは、大学病院で輸血用の血を定期的に吸うのですよ
真智,なるほど、考えましたね……
喪黒,ですが、小野田さん……。人間の血を吸うのは1週間に1回にしておいてください
真智,わ、分かりました……
テロップ,数か月後――
真智,確かに、人間の血はおいしいけど……。私が口にしているのは輸血用の血……
警察関係者,こ、この顔はまさか……！！
喪黒,私も目を疑いましたよ。でも……、間違いなく本人でしょう
真智,フーーーッ……。も、喪黒さん……！！
喪黒,小野田真智さん……。あなた約束を破りましたね
真智,わ、私はやましいことは一切やっていません！！
喪黒,とぼけないでください。……最近、都内では通り魔による通行人の不審死が相次いでいます
真智,あ、あああ……
喪黒,どうやら、図星ですか……。小野田さん。私はあなたに忠告したはずですよ
真智,だ、だって喪黒さん……！！私は輸血用の血を吸い続けているうちに……
喪黒,その結果が、一連の連続殺人ですか……。最初の女子大生の死亡事件ですが、あなたが彼女の血を吸う様子……
真智,うっ……！！
喪黒,あなたが犯行を行う様子をデジカメで撮影して、警視庁に写真を送ったんですよ。警察は、今のあなたを泳がせている状態なんです
真智,そ、そんな……！！
喪黒,なぁに……。今のあなたは、まだトップアイドルのままですよ。この後の握手会……、うまくいくといいですよねぇ。ドーーーーーーーーーーーン！！！
真智,キャアアアアアアアアア！！！
男性ファン,ギャアアアアアアアアッ！！！
真智,この写真に写っているのは、私に間違いありません。帰宅中の女子大生を殺害したのは私です
喪黒,そもそも……。人間もまた生き物である以上、食事を取らないと生きていくことができない存在です
