本田未央,おっつかれさまー
渋谷凛,狼
未央,おお！しぶりん、その衣装……！
凛,ふふ……かっこいいでしょ
未央,モチーフはオオカミかな？衣装合わせ？
凛,そ。今度撮影があるんだけど、野外での撮影が長引くかもって言うからさ。ちょっと着てみて大丈夫か調べなきゃって
未央,へぇ～、確かに、変にサイズ合ってないと撮影も上手くいかないもんね。で、どう？
凛,うん、私が一度着たことによって価値は数十倍に膨れたかな
未央,うん、別にそれは聞いてない
凛,大切なことだと思うけど……
未央,まず売る前提なのがおかしいよ
凛,経済を回すのもアイドルの使命だよ？
未央,事務所の使命であってアイドルの使命じゃないからね？
凛,そうやって綺麗事を並べるのやめなよ！アイドルなんて宗教と変わらないんだから！
未央,宗教のくだりは前回やったからもういいよ！ファンが聞いたら泣くぞ！！！
凛,やるかやられるかの世界、背中を向けたらグサリだよ？この爪でね
未央,前々からだけどしぶりんの価値観に全くついていけないよ
凛,まあいいよ。本題に入ろうか
未央,え？本題？
凛,ファイッ！！！
未央,え？ええ？
凛,……
未央,……？？？
凛,未央……私が軽いファイティングポーズを取りつつ”ファイッ”って言ったらドキッ！猛獣だらけの最強王者決定戦～渋谷凛、百獣の王への道～の開始でしょ！？
未央,よくその複雑怪奇な状況を察してくれると思ったね！？。ごめん、全然聞き取れなかったんだけど、何？ひゃくじゅうの……？
凛,貞治
未央,王だろ
凛,聞き取れてるじゃん
未央,……ツッコミはノーカンだから
凛,次はないよ
未央,しぶりんがマウント取ってるのはおかしくない？
凛,もう一回だけ言うからちゃんと聞いててね？
未央,先に言っとくけど自信ないからね
凛,ファイッ！！！
未央,そこから！？
凛,未央……私が軽いセクシーポーズを取りつつ”ファイッ”って言ったら
未央,さっきと前提変わってない！？軽いセクシーって何！？
凛,貞治
未央,王さんはもう関係ないよね！？何をトリガーにして出てくるのその単語！
凛,もう！いつまでこだわってるの！
未央,私は別にこだわってないから！
凛,大切なのは企画の名前じゃなくて、何をするかでしょ？
未央,どうしてこっちが諭されてるんだろ……
凛,未央が不安に思うのはわかる。でも、私を信じてほしい。今まで私を信じて失敗したことがある？
未央,それはもう今までにたくさん
凛,か、からの……？
未央,万が一にもそのフリで覆ることはないよ
凛,まず未央、私ってトップアイドルだよね？
未央,何さその質問……まあ、そう思うけど
凛,……ちなみにどうして？
未央,いや、だってCD出したらほぼトップだし、ソロライブのチケットとかほぼ瞬殺だし
凛,うんうん
未央,グッズの売り上げだって事務所イチでしょ？明らかに1番すごいアイドルだよ
凛,未央
未央,うん？
凛,ありがと！
未央,……そういうところだよ
凛,つまり、私は人間界のトップにいる。ここまではいい？
未央,ごめん全然良くない。注意は逸らしてないつもりだったんだけど急に飛躍しないで
