星川輝,４３
テロップ,星川輝４３
星川,この原稿を仕上げれば……。取り合えず、当分の飯代くらいは稼げる……
テロップ,沢英志３６
星川,これが、今回の原稿です
沢,ありがとうございます。先生。ねぇ、星川先生。前から気になっていたことがあるので、先生に言おうと思っていたんですけど……
星川,言わなくても分かりますよ。どうせ、僕の作品の方向性についてでしょ……
沢,その通りですよ。はっきり言ってですね、先生の作品は一言で言うと……。古いんですよ
星川,憧れのラノベ作家になって、もう20年以上……。だが、僕は物書きとして最大のスランプを迎えている……。ここは、僕の一番好きな場所だ……
喪黒,星川輝先生……、ですね！？
星川,え、ええ……。そうですけど……
喪黒,先生は、この公園のプラネタリウムがお好きなのですね？
星川,ええ、まあ……。僕は小さいころから、宇宙というものに興味がありましたから……
喪黒,実はですね……。そんな先生にいい話があるんですが……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
星川,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
星川,ふーーん……。で、そのセールスマンのあなたが僕に一体何の用なんです？
喪黒,今後の先生のお仕事のために、役に立つかもしれない話があるんですよ
BAR,魔の巣
喪黒,星川先生といえば、アニメ化されたとある超能力者(サイキック)の学園戦記の原作者ですよね？
星川,ええ、一応そうですけど……。それは、あくまでも過去の栄光ですよ
喪黒,創作者というのは、誰もが一度はスランプの壁にぶち当たるものなんですよ
星川,それができればいいんですけどね……。今の僕は、才能に限界を感じているんですよ
喪黒,じゃあ……。思い切って、先生のお好きな分野について書いてみたらどうです！？
星川,そうですか……。僕の好きな分野は……、やはりスペースオペラとか……
喪黒,先生は小さいころから、宇宙に対する興味がおありでしたからねぇ
星川,はい。幼いころの僕の将来の夢は、宇宙飛行士になることでしたし……
喪黒,確か、先生が新人賞を獲得した応募作も宇宙が題材でしたよねぇ？
星川,そうです。当時の僕の応募作は、宇宙海賊を主人公とした作品でした
喪黒,宇宙を題材としたラノベを書きたいでしょう？
星川,そりゃあ、もう……。でも、今の日本ではスペースオペラが衰退して久しいですから……
喪黒,とはいえ……。アメリカでは最近、スペースオペラがSFの世界でブームになっているんですよ
星川,面白そうですね、それ……
喪黒,じゃあ、決まりました。宇宙ものの物語を書くために、実際に宇宙に行ってみたらどうですか？
星川,えっ！？
喪黒,民間人専用の宇宙旅行に先生を招待しますよ。ロケットで地球を回って……
星川,ほ、本当に宇宙に行けるんですか！？
喪黒,もちろんですよ。シャトルでアメリカを出発し、1泊2日で地球の周りを飛ぶんです
テロップ,1か月後――アメリカ合衆国、ネバダ州
喪黒,先生、今晩は早く寝てゆっくり睡眠をとってください。明日は早朝間もなく、例の人たちが来ますから……
星川,その例の人たちというのが、僕らの宇宙旅行に関係しているのですね？
喪黒,そうです。そのために、先生に重要なものを渡しておきましょう。星川先生、あのカードを出してください。ほら、私があなたに渡した例のもの。このカードは、21世紀宇宙センターの会員証なんです
星川,じゃあ、さっきカードを貰ったことで僕も……
喪黒,その通り。先生もここの会員なんですよ。あなた用のカード、私が事前に作っておきましたから。これから、私たちは着替えを済ませて外に出るのですよ。シャトルに乗るために……ね
星川,いやぁ……。それにしても、ずいぶん手際がいいんですね
喪黒,もうすぐ、スペースシャトルイカロス号が発射します
星川,いやぁ、わくわくしますね……。本当に、宇宙に行けるなんて……
喪黒,私たちの案内役を務めるのは、ここの職員のウェルズさんとジョンソンさんです
星川,くっ……！！。おおっ……！身体が浮いている……！地球にいた時よりも身体が軽いぞ！
喪黒,ここは宇宙だから、当然、シャトルの中も無重力状態になっているのです。このシャトルは、最新式のAIによる自動操縦で動いています。だから、操縦室は無人です
星川,地球だ！！地球が見える！！青い宝石のような地球が……、宇宙の中に浮かんでいる……！！
喪黒,ね？私たちは本当に宇宙に来たんですよ
ウェルズ,本番ハ、コレカラデスヨ
喪黒,おっと、そうでした……。もっとすごいものを、これから見ることができるんですからねぇ……
星川,もっとすごいもの……！？
ジョンソン,ソウデス。外ニ出テ、実際ノ宇宙空間モ体験シテミマショウカ
星川,本物の宇宙だ……。雄大で神秘的な宇宙……。何という美しさなんだ……
ウェルズ,私タチモ、ソロソロ食事ヲシマショウ
星川,宇宙食を食べるんですね？。おいしい！
喪黒,シャトルの中で食べるインスタントカレーは格別ですなぁ
ジョンソン,過去ノ宇宙飛行士タチモ、シャトルノ中デインスタントカレーヲ味ワッテイマシタ
星川,ここで僕たちは睡眠をとるんですね
喪黒,そうですよ。私たちが地球に帰還するのは明日です。さあ、これから地球へ戻りますよ
星川,身体が……、焼けるように熱い……！！
喪黒,私も身体が熱いです……！今は我慢しましょう、我慢……！！
星川,あ…、歩くのがとても辛い……。しかも……、まるで目が回っているようで気持ち悪い……
喪黒,星川さん……。私たちはこれから当分の間……、この施設でリハビリを行うことになっています……。星川さん、宇宙旅行はいかがでしたか！？
星川,もう、何と言うか……。言葉では言い尽くせない経験や感動の連続で……
喪黒,どういたしまして……。その代わり、先生には約束していただきたいことがあります
星川,約束！？
喪黒,そうです。ネバダ州の21世紀宇宙センターを訪れるのは3年に1回。それも、会員カードを持った人に限ります
星川,わ、分かりました。喪黒さん
テロップ,1年後――日本、東京
星川,本物の宇宙を実際に見てからは……。プラネタリウムの映像が物足りなく感じるようになった……。ホルストの惑星でも聴くか……。宇宙に行って以来……。俺は物事に対して、何の感情も起きなくなってしまった……。確かに、食事の味は感じる……。でも……。おいしいとも、まずいとも感じない……。虚しい……。もう一度、生の宇宙空間を体験できれば、本当に気持ちいいだろうな……。あと2年待つのか……
喫茶店。,電流文庫
沢,星川先生。今日は特別な人物を連れてきましたよ
テロップ,篠江貴浩４５
星川,あ、あなたはダイブドア創業者で知られる……。シノエモンこと篠江貴浩さん……！
篠江,ええ、そうですよ。俺があの有名なシノエモンですよ
星川,いや、僕はそんな……
篠江,とぼけても無駄ですよ。俺はロケット開発事業に参入して以来、宇宙開発に関する様々な情報が入っています
星川,よくご存知ですね……。ところで、僕に一体何の用なんです！？
篠江,俺も宇宙に連れて行ってくださいよ。俺も例のロケットに乗って、実際に宇宙に行ってみたいんです
星川,えっ！？
沢,実はですね、篠江さんが私に話を持ちかけてきたんですよ。例の宇宙旅行を果たしたならば、そのお礼として……
篠江,俺はマスコミ界や広告代理店に顔が利きますから……。ロスト・ギャラクシーがアニメ化された暁には……
沢,そういうわけですよ。だから星川先生、篠江さんの話に乗りましょうよ！あと、ついでに何ですが……
星川,どうも、断れる雰囲気じゃなさそうですから……。仕方ありませんね……
テロップ,数日後――アメリカ合衆国、ネバダ州
星川,ここにいる2人は会員じゃないけど、連れて行っていいですか！？
沢,浮いてる！！身体が浮いてるぞ！！
篠江,俺は本当に宇宙にいるんだ！！
星川,も、喪黒さん！！あなた、いつの間にシャトルの中に……
喪黒,やぁ、星川先生……。どうやらあなた、私との約束を破ったようですね！
星川,なっ！？
喪黒,私はあなたに言ったはずです。21世紀宇宙センターを訪れるのは3年に1回、会員カードを持った人のみ……と
星川,そ、それは……！！
喪黒,先生、あなたは前の宇宙旅行からまだ1年しか経っていません。それに、沢さんと篠江さんはここの会員ではありませんよ
星川,す、すみません……！どうしても断れなかったんです……！
喪黒,弁解は無用です。約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
星川・沢・篠江,ギャアアアアアアアアア！！！
沢・篠江,ど、どうしたんだ一体！？
星川,何が起こったんですか、ウェルズさ……。ああっ、ウェルズさんがいない！
沢・篠江,うわああああああ！！！
喪黒,現代の人類は、科学の力で多くの謎を解明したかに見えますが……、宇宙に関する謎は未だ解明が進んでいません
