続編みたいなものですが、読まなくても大丈夫です。,でも読んでくれたら嬉しいかな～って
P,いろいろ紆余曲折ありまして、俺は李衣菜と付き合っています！。だがしかし、アイドルとプロデューサーの恋愛はご法度！。事務所のみんなには内緒というわけだぁ！
李衣菜,誰に向かって話しているんですか？
P,まぁ、ちょっとな
李衣菜,？？？まぁ、いいや。それよりも……こういう秘密な関係って………なんかロックですね！
P,お前なぁ～なんでもかんでもロックって言えばいいってわけじゃねぇぞ
李衣菜,えぇ～～！？ロックじゃないですか？ロックスターだってこういう感じに内緒で恋人作ったりするでしょ？
P,あのな……それはロックスターに限らず、芸能人はみんな内緒にするの。ロックってのはな………
李衣菜,えっ
P,こういうのがだよ
李衣菜,//////。ふ、不意打ちなんて……卑怯ですよ……///
P,はははは、悪かったな。さてと………。今日は三時間後のロックフェスのミーティングだけだな。お前はとりあえず適当に時間潰してな。もうすぐ夏樹も来るし。俺はその間事務仕事を………。………どうした李衣菜？
李衣菜,あっ………その………///。し、仕事って………今やらないといけないやつなんですか……？
P,まぁ………そうだな
李衣菜,……し、仕事なんてサボッちゃって彼女の相手するのがロックじゃないですか！
P,はい！？
李衣菜,だ、だからその………ううぅ～～～～
P,…………。それもそうだな
李衣菜,あっ………///
Ｐ,その気にさせて逃げるのはないよな。責任取ってやる
李衣菜,んっ………ちゅ……あっ………あうぅ///
P,おやおや、こんなにとろけた顔しちゃって～………全然ロックじゃないぞ
李衣菜,そ、そんなこと……あぁっ………ないれふ………あんっ！。わ、わたしは………ロックなん―――ひゃあぁ！！
P,おおっと、新たな弱点発見。首も弱いのね
李衣菜,ひゃう………プロデューサーに………どんどん弱点……見つけられちゃう……あぅっ！
P,かわいいよ………だりーなかわいいよ………
李衣菜,ひゃあっ、あっ、ああああっっ！！
P&李衣菜,！？
李衣菜,だ、誰か来ましたよ！？しかも………男の人の声！？
P,あっ、そういや今日は………
冬馬,あれ？誰もいないのか？
翔太,そうだね、返事ないし
北斗,おかしいね………三つ編みの事務員のお姉さんがいるはずなんだけど
P,ジュピターと合同ライブの打ち合わせやるとか言ってた………
李衣菜,ええぇっ！？
冬馬,ん？今声が聞こえなかったか？
李衣菜,！？
P,やっべ！！
北斗,俺も聞こえたよ………こっちからだ
翔太,すいませーん！誰かいますかー！？
李衣菜,ど、どどどどどどうしましょうプロデューサー！？
P,お、落ち着けぇ！！えっと、えっと………。とりあえずこの物置に隠れるんだ！！
李衣菜,は、はい！！
P,………ってしまった！二人一緒に入る必要ないやん！！
李衣菜,そ、そうでした………！私出ます！！
翔太,すいませーん！
P,やばい、もう来た！李衣菜出るな！今出たら余計にヤバい！！
冬馬,………誰もいないのか？
北斗,おかしいね。ここから聞こえたと思ったんだけど
李衣菜,ぷ、プロデューサー、ど、どうしましょう………？
P,とりあえず、あの三人がこの部屋から出るのを待つんだ。それまでの間、でかい声を出すなよ？
李衣菜,は、はい………
P,ふぅ………ふぅ………。流石に中は狭いな………早く外に出やがれピピン共ォ
李衣菜,ハァ………ハァ………
