電話レンジ,仮
岡部,…うむ、準備は万端だ…。うっ……くうっ……。うっ……ううっ…
鈴羽,うーっす。岡部倫太郎、いるー？
岡部,え……？。ちょおっ！！おおおおおまおまおま…！。待てえええっ！待ってくれ…っ！
鈴羽,なになにー？何してんの～？……あ。…岡部倫太郎さ～。そーゆー事するときは、ちゃんとカギ閉めた方がいいよ？
岡部,…え？
鈴羽,まぁ、急に開けたあたしも悪いんだけどねー
岡部,あ、いや…
鈴羽,ん？ああ、そうそう。店長が、預かってたブラウン管が直ったから取りに来いってさ
岡部,あ、そうですか……じゃなくてだ
鈴羽,え？
岡部,女の子ならば、普通こういう時“いやーん！HENTAI！”とか“きゃー！近寄らないで！”とか言うもんじゃないのか…？
鈴羽,あー…。いいんじゃない？べつに。男の子だもんね
岡部,そ、そうですか。すみませんでした
鈴羽,じゃー、下で待ってるからさ、終わったら取りに来てよね。あと、ほどほどにしとけよ～。あっはは
岡部,あの……女。あの………女ああああぁぁぁぁぁ！！。はぁ……まさかこの俺が、あのバイト戦士の事を気にする事になるとはな…
鈴羽,手伝おっか？
岡部,うおおわっ！ってうおおっ！
鈴羽,うわー…危ないなぁ。ねー、そんなに驚く事ないじゃ～ん。ちょっと傷付くよ？
岡部,す…すす……すまん
鈴羽,…ありゃ、どしたの？いつもの威勢はどこ行ったのさ
岡部,いや、た…たたす…たすかった…うん
鈴羽,なに～？あっはは。岡部倫太郎、動揺しすぎ。今の君、ちょっと可愛いよ？
岡部,あ………ええ？
鈴羽,……ああもう、調子狂うなー。もういいや、さっさと運んじゃおーよ
岡部,あ、あり……
鈴羽,ん？
岡部,……がとぅ…
鈴羽,お、おーう…
岡部,ぜぇ……ぜぇ……
鈴羽,なんだー岡部倫太郎。はぁ、だらしないぞー。はぁ…はぁ
岡部,な、なぁ、バイト戦士よ…
鈴羽,ん？なに～？
岡部,…運んでくれた礼だ。ちゃ…茶でも飲んでいかないか…？
鈴羽,…あ、もしかしてさっきの事で気ぃつかってんの？大丈夫。誰にも言わないって～
岡部,あ、いや、そういうわけじゃないんだが…
鈴羽,うーん、でもあんまり遅くなると店長が怒るからなぁ…
岡部,じゃ、じゃあ…この後飯でも食いにいくとか…。せめて何かご馳走したいというかだな…
鈴羽,えっ？岡部倫太郎、奢ってくれんの？
岡部,も…もも…もちろんだす！
鈴羽,うーん……。今日はやっぱやめとく
岡部,な、なぜだ…？
