なにより私のことを,がきんちょ
晶葉,ということでウサミン。どうにかならないか？
菜々,無理です。
晶葉,ちっ、使えない。
菜々,なんかデジャブなやりとりですけど、なんで今日はナナを頼ったんですか？
晶葉,痛いキャラの先輩だから。
菜々,ナナは痛いキャラじゃないです！痛くもないしキャラでもないです！
晶葉,とりあえず私は苛立っているのだ。私はがきんちょではない！
菜々,そういうところががきんちょって言われるんじゃないですか？
晶葉,ウサミン。なんか言ったか？
菜々,なんでもないです。そうですよね晶葉ちゃんは天才ですもんね。
晶葉,なんか含みのある言い方だが…。その通りだ。私は天才なのだ。
菜々,でもなにをするんですか？物騒なことはやめてくださいよ。
晶葉,なに。手荒な真似はしないさ…。ちょっと前に作ったアキハサマバツーカで…。
菜々,そういうのが物騒なことって言うんです。アイドルならアイドルらしくライブで対決とかどうですか？
モバＰ,晶葉。ちょうどいいところにいた。今度心さんと二人でライブすることになったぞ。
菜々,ベストタイミングですね。
モバＰ,ちょっと俺は出かけるから心さんと打ち合わせしといてくれるか？
晶葉,打ち合わせってなにをすればいいのだ？
モバＰ,前も一緒に仕事やったことあるけど一応顔合わせみたいなの。それと軽く演出について。お前らの演出は自分たちで決めたほうがいいだろ。
晶葉,え…。
モバＰ,任せたぞ。
晶葉,お、おい。P!
菜々,行ってしまいましたね。
晶葉,う、ウサミン。ついてきてくれないか？
菜々,ナナはライブに参加しないので…。
晶葉,そんなこと言わずに。な？
菜々,嫌ですよ。絶対面倒事に巻きこれますもん。
晶葉,やっぱりダメか？可愛く頼んでもか？お…お・ね・が・い。
菜々,仕方ないですね。
晶葉,チョロイ。
菜々,何か言いましたか？
晶葉,なんでもないぞ。
菜々,それならいいですけど。
晶葉,よし。行くぞ。いざ敵のもとへ。
菜々,別に心さんは敵じゃないですよ？！
晶葉,心、話は聞いてるか？
心,聞いてるよぉ☆それとしゅがーはぁとって呼べ♪がきんちょ☆
晶葉,それなら私のことを晶葉と呼べ。
菜々,まあまあ。二人とも落ち着いてください。
心,あ！菜々先輩！お疲れ様です☆
菜々,ちょっと。ナナは年下ですよ。それになんですか先輩って。
心,アイドルの先輩ですから菜々先輩です☆
菜々,敬語はやめてください！ナナは現役JKですよ！
晶葉,その理屈なら私も先輩じゃないか？
心,うるせえ☆がきんちょは黙ってろ♪
晶葉,なんだと！
菜々,だから落ち着いてくださいって。なんで二人とも喧嘩するんですか？
晶葉,心が私を見るたびつっかかってくるから。
心,しゅがーはぁとだって言ってんだろ☆まあ、強いて言うならこいつが生意気だから！
晶葉,生意気とは何だ！
心,この前も夜更かし気をつけろって注意したら、私は若いから平気だっていったじゃないか♪私はってなんだ私はって☆
菜々,それは晶葉ちゃんが悪いです。
晶葉,なに？！ウサミンまで裏切るだと？！
菜々,オンナノコはデリケートなんです。年のこととか言っていいわけがないです！！
心,さっすが菜々先輩わかってる～♪
菜々,な、ナナは17歳現役JKですけど…！
晶葉,ふむ。そうなのか。
菜々,とりあえず好意を仇で返すのはいけません！晶葉ちゃん。謝りましょう。
晶葉,心。ごめんなさい。
心,はぁとは素直なことは好きだぞ☆
菜々,それじゃこれからは仲良くしましょうね。
晶葉、心,それはできない。☆
菜々,仲良くしてください～！
モバＰ,ただいま。晶葉、はぁとさん。打ち合わせは進みましたか？
晶葉,ぜんぜん進んでないぞ。
心,全く進んでないぞ☆
モバＰ,やっぱりか。でも二人ともライブが特殊だから演出は二人自身で考えたほうがいいんだよな。
菜々,ああ。晶葉ちゃんはロボットを使ってのライブですし、はぁとさんははぁとアタックがありますもんね…。
モバＰ,ふむ、やっぱり晶葉のロボの演出は晶葉自身にしか作れないし。はぁとさんのあの演出もなぜか人気なんだよな…。
晶葉,そうだ。私と一緒にやるからには物理的はぁとアタックは禁止だぞ？危ないからな。
心,え～？あれがあるからはぁとのライブって言ってくれるファンも多いぞ☆
菜々,そこらへんが謎なんですよね…。ファンはMなんですかね？。ついにこの日が来てしまいました。私のことじゃないのに緊張で胃が痛くなります。
モバＰ,やっぱり菜々って面倒見がいいよな。
菜々,そりゃ二人とも大切な仲間ですし。なによりほっとけないですし。
モバＰ,ほっとけないって意見には同意するな。
菜々,Pさんもあの二人の仲が悪いことは知ってますよね？なんで二人を組ませたんですか？
モバＰ,あの二人はなんていうか。ヒーローヴァーサスのような喧嘩ユニットになってくれる気がしてな。
菜々,ああ、わかります。なんだかんだいって二人とも波長があってる気がします。
モバＰ,それもこれも今日のライブで証明されるだろ。
菜々,あ。そろそろ始まります。
晶葉,ライブ前はいつでも緊張するな。
心,なんだびびってるのか？がきんちょ☆
晶葉,びびってなどいない！それにがきんちょではないと何度いえば。
心,はいはい、わかってますよ～♪お前だってあんなに長い打ち合わせだったのに結局心よびじゃないか☆
晶葉,ライブは最高のものにしたいからな。それがファンのため。何より自分たちのためだ。
心,それには同感だな☆
晶葉,そろそろ私の番だ。行ってくる。
心,頑張れよ、晶葉ちゃん！
晶葉,…！ああ。最高のライブを見せてやる！
菜々,あ！晶葉ちゃんが出てきましたね。
晶葉,アーアー、聞こえるかファン諸君！私のスペシャルロボライブへようこそ！今日は今日のために作り上げたロボバンドとともに大いに盛り上がっていくぞ！さぁ○○、舞台装置、起動だっ！！
モバＰ,いつもと同じ様子だな。問題はなさそうだ。
菜々,いつ見ても晶葉ちゃんのライブは不思議な感じですよね。ロボが音楽を奏でて、ロボと一緒に踊る。なのに主役は晶葉ちゃんっていうすごいライブですよね！
モバＰ,そこらへん晶葉はしっかり研究してるからな。表では天才と自称しながら裏では緻密な計算とたくさんの練習を重ねている。晶葉はすごいアイドルになるぞ。
菜々,自分の努力に裏づけされた天才なんですね。
モバＰ,それに晶葉はアイドルを心から楽しんでるからな。
