ビスマルク,……いや、そうじゃないわ
グラーフ,？
ビス,実に美味しそうに食べるのね。……
グラ,あぁ。私はこの国のパンが大好きだ。特に朝のコミスブロートとコーヒーは、格別だ
ビス,そのようね
グラ,貴女は違うのか？
ビス,……そんなことは無いわ。食べるのは素晴らしいことよ。戦時下に青空の下で食べるライ麦のパンも。あの時のように収穫祭で食べるヴルストも
グラ,……。戦争に勝って、深海棲艦をこの海から駆逐することができれば……。我々人類の平穏安泰は約束される。そうなれば、貴女の憂鬱もきっと晴れるよ
ビス,……。そうかもしれないわね……でも。あちらも、同じ事を思って戦ってるのかしら
グラ,……
ビス,……さぁて、そろそろね
グラ,……あぁ
ビス,私は引き続き大西洋に留まることになるわ
グラ,私はステビア海、通信基地の護衛……。こちらは長期の作戦となる
ビス,それは面倒ね。あなたの漬けたザワークラウトが今度いつ食べられるか分からないじゃない
グラ,また私の家に上がり込むつもりだったのか。貴女はそろそろ自分で料理を覚えた方がいい
ビス,それも……面倒ね
グラ,では、ビスマルク
ビス,えぇ、グラーフ
グラ,AufWiedersehen.さよなら
ビス,BisBald.またね
グラ,こうして、私は祖国を離れる事となった。陸軍国であった我が国の、海軍が保有する艦艇の数はごく限られており。情勢を鑑みても、この時期に外洋派遣に及ぶことは異例であったと思う。…………。……分かっていたさ。我が国で生まれた異端の空母。異端であるからには、開発の難航もごく自然なことだ。海にそぐわない我が国の航空機に貧弱な搭載機数。私がグラーフ・ツェッペリンとして生まれ変わった時。私は既に大西洋では必要とされなくなっていたのだ。上層の私を見る目に、期待の眼差しなどは一切なかった。戦況の悪化に伴い、私の存在を足枷と思う者が増えたことも分かった。だが、ビスマルクをはじめとした近しい仲間はそんな事情を知ってか知らずか。私とも気さくな付き合いを求めた。私は今でも嬉しく……とても嬉しく思っている。だからこそ、戦いで消耗してゆく彼女達を見るのが辛かった。実戦参加が決定した時……深海棲艦を駆逐することこそ、祖国のため。ひいては彼女達のためになると私は考え、士気を高揚させた。私は、より多くの者に認められたいと思う自己欲求にとらわれていたに過ぎなかったのだろう。護衛の通信基地が壊滅するその時まで、気付きはしなかったのだ
提督,はぁっ、はぁ……。……探したよ。怪我がまだ完治していない……君はまだ出歩いてはダメだ
グラ,…………。……貴官がここのアトミラールか
提督,……そうだ
グラ,……ステビアの基地は……。通信基地はどうなった。……味方はどうなっている
提督,……もうなにもない。残っていたのは水面に浮かんでいた君だけだ
グラ,……本国との通信は取れるか
提督,……それも不可能だ。あの基地が、西側とこの国を結ぶ唯一の通信施設だったんだ
グラ,…………そうか
提督,こんな桟橋にいたら、傷に障る……。さぁ、中へ…………って！おわーっ！。いきなり海に……何してるんだっ！
グラ,離せ！！。私は戻るッ、一人でも……責任を果たすッ！
提督,馬鹿言うな！。艤装が不完全なんだ！沈むぞ！
グラ,沈んだら何だ！？。それも責任の取り方だ！そうでもしないと……。そうでもしないと！私は……！
提督,くそ馬鹿野郎ッ！！黙れッ！！
グラ,ッ！
提督,責任の取り方アァ！？お前はなんも分かっちゃいないね！！。お前一人の犬死にがどうなるってんだ！？。理論的に説明しろッ！！まぁできねーだろ！！あぁ！？。お前が単独で戦って！！基地奪回の可能性は！？それも！！無ぇ！！。では陽動は！？それも無駄！！味方がいねえんだ！！。今味方をつけたらどうだッ！？足場を確保した深海側に！！。上から一方的に沈められるわボケッ！！！
グラ,ぐ、だ、だが！！
提督,なにより！！お前が生きるのをやめたら……ッ！！。じゃあお前は何のために戦ってたんだって話になんねーか！？
グラ,…………っ！
赤城,て、提督！どうして海に…！？
龍驤,外人さんもおる！。こらあか～ん！みんな手伝って～！！
提督,
龍驤,君、なんであんなとこおったんや……
提督,……出来心
龍驤,お、おぅ……よーなんも言わんわ
提督,１２月の海はもうだめだね……あはは……
龍驤,……。……あの一緒におった子……
提督,……うん、先日の救助者。先日の戦いで一人生き残ったこと。悔やんでるんだとさ
龍驤,そか
提督,……今、彼女はどうしてる？
龍驤,うん……それが……
提督,……
龍驤,めっちゃシュンとしとるわ……
提督,えっ
グラ,……
