トレーナー,はい、じゃあ今日はここまでね
凛、奈緒、加蓮,ありがとうございました
奈緒,じゃあシャワー浴びて帰るか
凛,そうだね
加蓮,あ、私少し残って練習するから先帰ってていいよ
奈緒,ん？それはいいけど大丈夫なのか？
加蓮,大丈夫。あと少しで何かを掴めそうなの
凛,絶対無理しない？
加蓮,大丈夫だって。心配しすぎ。もうすぐライブあるんだから無茶はしないよ
奈緒,そっか。じゃあ先帰ってるな
凛,また明日
加蓮,うん。お疲れ。うん。お疲れ。ここでこう動いて……。うーん。あとちょっとなんだけどな……。奈緒と凛がこう動くから……。こうやって……決めポーズ！うん。こんな感じかな
P,そんな感じだろ
加蓮,だよね。……いつから見てたの？
P,サマーソルトした辺りからかな
加蓮,そんなことしてないんだけど。どうかしたの？
P,どうもこうもない。さっさと帰り支度をしろ。もう閉めるぞ
加蓮,あれ、もうそんな時間？もしかして迎えに来てくれたの？なーんて……
P,そうだよ
加蓮,え？
P,送ってってやるからさっさと支度しな
加蓮,え、あ、うん。ちょっと待ってて！急ぐから
P,ああ、急がなくていいからさっさとな
加蓮,どっちなの。それ。おまたせ
P,よし、戸締りは済んでるし行くか
加蓮,まさか迎えに来てくれる上に送ってくれるなんて思わなかったよ
P,俺も帰るからついでだ。鍵戻してくるから先に車行っててくれ。わかるよな？
加蓮,うん。わかった。相変わらずちっちゃい車。買い換えないのかな……。……Pさんの匂い。タバコとかお酒とかの臭いはしないけどほかのアイドルの匂いが少しする。でも運転席なら……。……
P,どうした。変な匂いでもするか？
加蓮,ふぇっ！？いや！別にしないよ！うん。いつも通りいい匂いだよ
P,ああ、俺の体臭はコピ・ルアクと同じ匂いだからな
加蓮,こぴ……？
P,何にしろ年頃の娘がその辺をかぎまわるのは見ためが麗しくないからやめなさい
加蓮,う……はーい
P,じゃあシートベルトしめて、出発と
加蓮,……
P,……
加蓮,……ありがと
P,何がだ？
加蓮,迎えに来てくれて
P,ついでだからな
加蓮,そっか……。あ、事務所の灯りが点いてる。誰か居るの？
P,ちひろさんじゃないかな。彼女は本当に……いや、やめよう
加蓮,携帯鳴ってるよ？
P,メールだ。気にしなくていい
加蓮,そういえばアイドルを下の名前で呼ぶようにしたんだっけ？。雪美ちゃんは？
P,あの子はいいの
加蓮,ありすちゃんとも仲がいいよね
P,あの子から迫ってくるんだ
加蓮,私の名前は呼んでくれないね
P,呼んで欲しいか？
加蓮,うん。Pさんのもっと近くにいたいし
P,お前もずいぶん変わったな。前は練習きらーい努力きらーいつかれたーだったのに。今度はお前がテレビに映る番だからな
加蓮,……ライブ。成功するかな
P,ああ、大成功だ
加蓮,まるでライブを見てきたかのような口調だね
P,ああ、実は手首に数字が書いてあってな。その回数だけタイムリープが出来るんだ
加蓮,へぇ。すごいね
P,だから心配しなくていい。ライブ自体は初めてじゃないだろ
加蓮,そうだけどさ。規模が違うじゃん。うん。ありがと。私もPさんのアイドルになれて本当によかったよ
P,それでなんで運転席の匂いなんて嗅いでたんだ？
加蓮,え、それ引っ張るところ？
P,いや、気になるじゃん？
加蓮,……お酒とかタバコ臭くないなって思っただけ。本当だよ？
P,加齢臭は？
加蓮,え？しないけど……。そもそもPさんそんな歳じゃないでしょ。心配なの？
P,言っておくがもしも雪美ちゃんに……くさいとか言われたら遺書置いて失踪する自信がある
加蓮,そんな自信いらないよ。それにしても本当にPさんは雪美ちゃんが好きだね。羨ましいくらいだよ
P,ロリコンだからな。羨ましいなら今度俺の膝上にでも乗っかるか？
加蓮,機会があればね。さてと、到着っと。ありがとね
P,あー……加蓮。練習するのはいいが絶対に無理はするなよ。お前が倒れでもしたら……
加蓮,大丈夫だよ。心配性だなぁ。……うん。わかってる。大丈夫。あなたが育てたアイドルなんだから
P,……そうだな。少し過保護過ぎたか。じゃあ腹出して寝るんじゃないぞ
加蓮,寝ないよ。また明日…………ふふっ。凛にメールしよーっと
P,……
凛,……
加蓮,……
奈緒,……
P,……ふあぁ
凛,ちょっと。自分のアイドルがライブするのに欠伸するの？
奈緒,そうだよ。もっと緊張を解したりなんだりあるだろ？
P,とは言ってもな。衣装はよく似合ってるぞ
凛,そうかな……
加蓮,ありがと
奈緒,なんでお前ら照れてんだ。お、おう。べた褒めだな。ちょっと照れるぜ
凛,うん。知ってる
加蓮,うん。凛、加蓮。行こっ。私達のステージへ！
P,……こんなところにいたか。凛と奈緒が待ってるぞ。祭りの後って感じだな。学校の文化祭で片付け終わった後みたいなのだな
加蓮,そんな感じかな。……私、アイドルとして輝けたかな
P,もちろんだ
加蓮,そっか。よかった
P,おっと。死亡フラグみたいの立ててよろけるな
加蓮,ちょっと頑張り過ぎたかな。ねぇおんぶしてよ
P,あいよ
加蓮,ふふっ……Pさんの背中大きくて暖かい……
P,……加蓮。下りたほうがいいかもしれないぞ
加蓮,え？なんで？
凛、奈緒,……
加蓮,……
凛,うん。無理はしないほうがいいと思うよ
奈緒,大きくて安心出来る背中で休めばいいさ
加蓮,……うぅ
P,ま、帰るとしますか。今日は俺のおごりで牛丼だぞ
凛,それはちょっといいかな
奈緒,もっといいの奢れよ
P,ｵｶﾈﾅｲﾝﾃﾞｽ……
ありす,ライブは大成功だったみたいですね
P,まぁな。しかしこんなに大きく取り上げられるとはな
雪美,ありす……そろそろ交代……
ありす,もうちょっと……
P,なんか俺の膝が交代制になってる
加蓮,おはようございまーす
P,おはよう。加蓮
雪美,おはよう……
ありす,おはようございます
加蓮,相変わらずだね
P,まぁな
加蓮,……そうだ。約束叶えてもらおうかな
P,約束？
加蓮,そそ……ほら、年少組はどいたどいた
ありす,横暴です
雪美,私の……番……
加蓮,よっこいしょっと。座りづらいな……
P,なんでお前まで膝上に乗ってるんだ
ちひろ,サイコロを三つ振って合わせた値×一万円天引き。これはいいアイディア！
