ひのじゅん太,７４
番組のオープニング音楽とともに、,ひのじゅん太の朝バズーカー！
男性アナウンサー、女性アナウンサー,おはようございます
女性アナウンサー,X月X日、ひのじゅん太の朝バズーカー！です
テロップ,ひのじゅん太７４
女性アナウンサー,リニア中央新幹線の建設工事を巡る談合で……
ひの,ただでさえ談合がまかり通っている建設業界、今も体質が変わっていないねぇ！
音楽。,朝バズ！
スポーツキャスター,クライマックスシリーズ進出を目指し、絶対に諦めない横浜シューティングスターズ！
ひの,昨日の試合、やはりこの男が決めてくれたねぇ！堤下のスリーランホームラン！
銀河テレビ。情報番組,朝バズ！
客A,お、ひのさんが居眠りしてるぞ
客B,ひのじゅん太も年を取ったなぁ
喪黒,…………
一同,イッキ！！イッキ！！イッキ！！
若いホステス,私、もうダメ……
ひの,なんだ、だらしがないな！僕はこれくらい飲んでも、どうってことないぞ！
若いホステス,キャアッ！！ひのさん、やめてください！！
喪黒,日本を代表する司会者とはいえ……。さすがに、あれはやりすぎではないですかねぇ？
ホステス,でも、彼はこの店のお得意様だからねぇ。彼ほどの有名人が来ているってだけでも、店の宣伝になるし……
喪黒,あのぅ……。もしかして、あなた……。ひのじゅん太さんではないですか……？
ひの,うん。僕がひのじゅん太だけど……。あなたは一体、何のおつもりですか？
喪黒,いやぁ、実はですねぇ……。私、さっきの店であなたの姿を見たんですよ
ひの,そうなんですか……
喪黒,さすがは、ひのさん……！年を取っても、ますますお盛んでいらっしゃる……
ひの,ハハハハ！！あなたも、なかなかお世辞がうまいですね！
喪黒,……とはいえ、あまり無理はなさらない方がいいですよ
ひの,大丈夫ですよ！僕は睡眠時間が短くても元気だし……、酒にも強いし……
喪黒,じゃあ……。どうして今日の朝バズ！では、放送中に居眠りをしていたんですか？
ひの,そ、それは……
喪黒,それどころか……。この間の朝バズ！でも、放送中に居眠りをしていましたよねぇ。ひのさん
ひの,あなた、なかなか観察力が優れた人ですね……。恐れ入りましたよ……
喪黒,なぁに……。仕事柄、多くのお客様を相手にしてきたおかげですから……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
ひの,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
ひの,心のスキマ？僕には悩みなんか何もありませんよ
喪黒,そんなことはありません。ひのさんの心のスキマとは……。ズバリ、老化に伴う身体の不調でしょう！
ひの,くっ……！
喪黒,どうやら、図星のようですねぇ……。何なら、私があなたの相談に乗りましょうか？
BAR,魔の巣
ひの,僕は現在も、いくつかの番組の司会をしていますけど……。やはり、身体は老いに勝てませんよ
喪黒,それは、人間として自然な現象ですよ。人間も生き物である以上、老いを避けることはできませんから
ひの,でもねぇ、僕にだってプライドがありますよ……。かつての僕は、司会者として栄光を極めたのですから……
喪黒,ええ。今から10年前のあなたは、1週間で最も多くの番組に出演する司会者として……
ひの,そうですよ。あのころの僕は忙しかった。今でこそ、仕事の量がある程度減ったとはいえ……
喪黒,ですがねぇ……。あなたが居眠りをしたり、無気力な司会をする姿を視聴者に見せていいんですか？
ひの,言われてみれば、そうかもしれませんね……
喪黒,老化による衰えだけでなく、長年の飲酒による身体への影響もあるはずです。ひのさんの仕事の劣化の原因は……
ひの,それは言えていますよね……。僕は、自他ともに認める酒豪ですから……
喪黒,若いころと違って、年を取るとお酒にも弱くなるんですよ。だから、銀座通いも控えるべきではないですか？
ひの,うーーん、さすがにそれは……。銀座通いは僕の生きがいなんですよ……
喪黒,要するに……。銀座の夜の帝王としての地位も手放したくない、ということでしょうなぁ
ひの,そうなんですよ……
喪黒,そんなあなたのために、いいものがありますよ
瓶には、,若身黒酢
ひの,これは……
喪黒,若身黒酢じゃくしん・くろず
ひの,若返りの黒酢ですか……。というか、黒酢にはもともとアンチエイジングの効果がありますから
喪黒,よくご存じですねぇ
ひの,僕は昔、生活情報番組の司会をしていたんですよ。その時に、健康や医学の話題をかなり扱っていましたから……
喪黒,なるほど。昔取った杵柄、というわけですか
ひの,だから……。黒酢にはどんな効果があるかは、ある程度知っていますよ
喪黒,その通りです。そういった黒酢の中でも最高級のもので、特に効き目が強いのが若身黒酢なのです
ひの,うーーん、悪くはなさそうですね……
喪黒,じゃあ、今回は特別にこの若身黒酢を無料でプレゼントしますよ
ひの,えっ、いいんですか！？黒酢の中でも最高級ってのは、相当な値打ちものでしょ！
喪黒,これは私からの気持ちですよ。ひのさんのご健康と、今後のご活躍のためを想ってのことです
ひの,ありがとうございます。じゃあ……、帰ったらさっそく若身黒酢を使ってみますよ！
喪黒,そりゃあ、どうも……
家政婦,お待たせしました。ビールのトマトジュース割りです
ひの,うん。やっぱり、僕は毎朝これを飲むに限る……。ん、ところで例の黒酢は入れてみたか？
家政婦,もちろんです
ひの,そうか、それならいい。最高級の黒酢というのなら、まずは試してみようか
早朝、銀河テレビ。,朝バズ！
ひの,日東大学アメフト部のタックル問題……。まずは監督が出てきて、説明責任を果たすべきだよ！
スタッフ,お疲れ様でしたーー！
女性アナウンサーA,今日のひのさん、いつもより元気がいいですね
ひの,君にも、そう見えるか。やはり、あれの効果は本物だったようだな！
女性アナウンサーA,あれとは一体何ですか？
