うひゃー、daでなんで２９万だしたりするの、いやがらせなの。やめようぜ頼むから,震
灯織,ふぅ……さっぱりした。もうそろそろ寝る時間だし明日の運勢を見ておこう。３４６の人に勧められて登録してみたけど、よく当たるんだよね……。持って行ったラッキーアイテムがちょうど活躍したり……。一言が的中したり……。……いいこと、あったり。明日の運勢は……。……え？。うそでしょ……？。う、占いだし。当たったり外れたりするものだし……。そ、そんな最悪な一日なんて……まず、ないし。……ラッキーアイテムは。！。……！？。……？！？！。好きな人の、Yシャツ……？。……。……。……。……。……。何コレ？！。何コレ！？！？。なんでラッキーアイテムがYシャツなの！？。これまで包帯とかリコーダーとかちょっと変なのはあったけどYシャツって何！？。しかも好きな……好きな……好きな人のとか！///。プロデューサーやめぐるや真乃にYシャツくださいっていうの！？。……無理、言えない……。というか今夏休みだし……多分二人とも私服だし……。じゃあ消去法からプロデューサーに……。……無理。できない……！。でも当たったらどうしよう……。どうしよう……！。やっぱり当たってる……。黒猫は通り過ぎて行っちゃったし真乃にもめぐるにもつながらないし……。ほたるさんにも巻き込まれるしOLと間違われるし……。朝の占いでは最下位だしラッキーアイテムなんてないし……。おはようございます……
はづき,灯織さん、おはようございます。どうしたんですか？顔色が悪いですよ？
灯織,あっ、いえ、なんでもありません。……ところでプロデューサーは今どこにいますか？
はづき,プロデューサーさんですか？それならもうそろそろ……
P,だっはぁ！
夏葉,こら！なんで逃げるのプロデューサー！
P,いや逃げるって！なんで隣町まで走ろうとしてんの！？服装みえねーの！？スーツなの！ジャケット込みなの！今真夏なの！
夏葉,距離も季節も服装も関係ないわ！ジャージを持っていないようだし私のを着せるわけにもいかないでしょう？
P,ならせめて日を改めてもいいんじゃないの！？というか朝来て荷物置いたら拉致されてたとかマジでどういうことなんだ！
夏葉,筋肉はすべてを解決するわ！
P,洒落にならん！
P・夏葉,ｷﾞｬｰｷﾞｬー！
はづき,あんな感じです。……灯織さん？
