渋谷凛,この時間でもまだ涼しいね、ハナコ
凛,ちょっと前は早朝か夕方くらいじゃないと散歩してられなかったけど。もうすっかり秋なんだ・・・。・・・！。・・・。ハナコ、今日はあっち通って行こう？。うん、分かってる。分かってるよ。ハナコそっちの道好きだよね。でもね、たまには気分を変えるのもいいと思うんだ。分かった。じゃあこうしよう。今日のおやつ、1本おまけする。これならどう？。うんうんハナコはいい子だね～♪。そういえば、女の人の声だね・・・。この歌、どこでも同じように聞こえるからCDとかかと思ってたけど、違ったのか、な・・・
高森藍子,焼きいも～♪
相葉夕美,石や～き～いも～♪
Flowery,おいもっ♪
凛,知り合いだった・・・
夕美,あっ、凛ちゃんだぁ
藍子,こんにちは、凛ちゃんっ♪あっ、ハナコちゃんも～っ♪。ハナコちゃんとお散歩ですか？私もなんですっ
凛,うん、よく会うよね。散歩しやすい時間を選んでるから、当然といえば当然なんだけど
藍子,おさんぽびよりですね～ハナコちゃ～んっ♪
凛,夕美とは珍しいかな？事務所かうちの花屋ではしょっちゅうだけど
夕美,私はね、この公園の花壇をいじらせてもらってたんだーっ♪
凛,今だと、スイートピーとか？
夕美,あとねあとねっ！ビオラでしょ？スミレでしょ？パンジープリムララベンダーアスターなでしこネモフィラアリッサムetcetc・・・
凛,そ、そっか・・・よかったね・・・
夕美,うんっ♪
藍子,せっせっせ～♪のよいよいよいっ♪
夕美,あっ、そうだっ！実はねっ、焼きいもを作ろうとしてたのっ！凛ちゃんもよかったら食べていかない？。ほらっ、サツマイモがこんなにっ！落ち葉もあるよっ！
凛,！ふ、ふーん・・・焼き芋かぁ・・・まあ、悪くないかな。それにしても、本当にいっぱいあるね、サツマイモ
夕美,本当はね？もっと落ち葉が集まってから子供たちとやる予定だったらしいんだけど・・・。夕美ちゃんいつも花壇のお世話してくれてるからって、公園の管理人さんが分けてくれたんだーっ♪
凛,ふふ、よかったね。そういうことなら、ここで火を使っても平気そうだね
藍子,高い高―いっ♪。低い低～いっ♪
凛,いや、ハナコの目線、普段からそのくらいだから
藍子,！それもそうですねっ
夕美,うふふっ♪それじゃあそろそろ始めようか
藍子,そうですねっ
凛,ハナコ、おいで。いっぱい遊んでもらえてよかったね、ハナコ
藍子,また遊びましょうねっ♪
夕美,それでは、着火っ。でっ！おき火になるまで待ちまーすっ！
藍子,サツマイモ、ホイルで巻いておきましょうかっ
夕美,そうだねっ
藍子,すっかり秋ですね～。スポーツ、芸術、学問、音楽、それから食欲っ♪。なんでもできちゃいますねっ♪
凛,そうだね、涼しくなっていろいろとやりやすいよね。夏だったらこんな時間に散歩なんてできないよ
夕美,アスファルトすっごく熱くなってただろうし、ハナコちゃんたちにはつらかったよねっ
藍子,あっ、そうそう！なんでも最近プロデューサーさんはとんちにはまっているみたいですよっ！秋だからかは分からないんですけど
夕美,とんちかぁ～・・・けっこう頭使うみたいだし、学問の秋に入るのかなっ？
凛,キャシーとか好きだよね。私は良く知らないんだけど・・・例えばどんなのがあるのか知ってる？
藍子,ん～・・・そうですね～・・・じゃあ、風邪を引いた人が映画館に行ったのですが、なぜか立ち見で映画を見ました。なぜでしょうかっ？
凛,え？なんだろう・・・風邪をうつさないように？
藍子,違いま~すっ。凛ちゃん、これはとんちですよっ♪
凛,ええ・・・ヒントっ
藍子,ヒントは～・・・風邪を引いた時の症状から考えてみてください
凛,風邪の症状・・・熱が出て、だるくて、頭痛くて、咳き込んで、のどが痛くて、鼻が詰まって・・・
夕美,あっ、分かったかもっ！
凛,えっ！？なに？
夕美,言っていい？風邪で咳き込んでいたから・・・つまりっ！。席が混んでいたからっ！
藍子,せいか～いっ！
凛,あ、あー！そういう。他には？
藍子,他ですと～・・・あ、これは私も答えが分からないんですけど・・・。プロデューサーさん、夜空の月を登山するにはどうしたらってずっと考えてたんですっ。私たちも考えてみませんかっ？
夕美,夜空の月を登山？あっ、そろそろいいかな？サツマイモ入れよっか
藍子,はーいっ♪
凛,夜空の月を登山・・・
夕美,難しいね・・・
藍子,夜空ってところ、ポイントだと思うんですっ。月にも山や夜はあるはずですけど、実際に月の夜に月の山を登れたとして、夜空の月にはなりませんよね
夕美,たしかに・・・まあとんちだから当たり前なんだけど、普通にできることのはずだよね
凛,月・・・夜空の月・・・。夜ぐらいしか見えないけど、昼間も見えないだけで月はあるんだよね。ってことは、見えてることが重要なのかな・・・？
藍子,見えている月ですか～・・・。そういえば、一言で月といってもいろいろな呼び方がありますよね。三日月、新月、満月。この時期なら、十五夜とかも月の呼び方ですよねっ
夕美,満月は望月とも言ったりするねっ。新月は確か・・・朔、だったかな？
凛,望月・・・。望月聖！
夕美,聖ちゃん？
藍子,聖ちゃんを登山？聖ちゃんと登山じゃなくて？
凛,・・・愛海って、胸のことをよく山っていうよね・・・
夕美,！？ま、まさか・・・夜空の月を登山って・・・！？
藍子,も～凛ちゃん、変なこと言わないでくださいよ～
凛,ふふ、ごめんごめん
夕美,びっくりしちゃったよっ。あっ、そろそろ焼きいもいいころじゃないかなっ。えいっ♪うん、中までホッカホカだねっ♪
藍子,ああ～いいですね～♪
凛,・・・！
夕美,はいっ♪熱いから気をつけてねっ
凛,ありがとう、夕美
藍子,いただきま～すっ♪。ん～・・・♪甘くて美味しいです～♪
凛,いい・・・♪
夕美,じゃあ私もっ♪
藍子,ふふっ♪なんだか凛ちゃんが焼きいもを食べてるって・・・ちょっと、ふふふっ♪
凛,そんなことないよ。女の子はみんな焼きいも好きだよ
夕美,ふふっ♪そうだねっ♪
藍子,？ハナコちゃんも焼きいも食べたいですか？あれ？ワンちゃんって焼きいもは～・・・
凛,大丈夫だよ。サツマイモのおやつとかもあるし。ほら、ハナコ。ふー・・・ふー・・・はい、あーん。美味しい？よかったね～
藍子,わあ、私もあげていいですかっ？
凛,うん。冷ましてあげてね
藍子,はいっ♪ふー・・・ふー・・・ハナコちゃんっ、あ～んっ♪
凛,ふふ、これは帰ってからのおやつはいいかな？。そっちもほしいの？もうしょうがないな～♪。ハナコは可愛いんだから～♪
夕美,デレデレな凛ちゃんもかわいいよ♪
藍子,ほほえまー♪。残りの焼きいも、どうしましょうか？事務所なら誰かしらいると思いますけど
夕美,そうだねっ。よく考えたら食べきれる量じゃないし、差し入れに持っていこうか。凛ちゃんはこの後はお家だよね？少し持っていく？
凛,いいの？じゃあちょっともらっていこうかな
藍子,プロデューサーさんがいたら、ついでにさっきの夜空の月を登山の答え合わせしましょうかっ♪
夕美,そうだねっ。このままじゃ気になっちゃうしっ
凛,・・・あれは言わないでよ？
藍子,あれって？
夕美,なんだったっけ？
凛,だ、だから聖の・・・も～！言わせないでよ～！
藍子,うふふっ♪ごめんなさいっ♪
夕美,もうっ・・・うふふっ♪許しちゃうっ♪
凛,なんで夕美が許すのっ！私でしょ～！
夕美,うふふっ♪ごめんなさいっ♪
藍子,もうっ・・・凛てんどんとかいらないからっ！
夕美,うふふっ♪ごめんね凛ちゃんっ。はいっ、お詫びに私の焼いも一口あげるからっ♪はい、あーんっ♪
凛,あむ・・・もう、しょうがないんだから・・・ふふ
藍子,私のも一口あげますっ！あーん♪
凛,いいよもう、というかどれも同じなんだから意味ないって・・・あむ。答え、分かったら私にも教えてね
藍子,はいっ♪すぐに連絡しますねっ♪
凛,うん。じゃあ、私もそろそろ行こうかな
夕美,またねっ、凛ちゃんっ
藍子,ばいばーい♪
凛,ふふ、うん。またね。行こ、ハナコ。・・・。・・・やきいも～♪。石や～き～いも～♪。おいもっ♪。・・・ふふっ♪
