笹井美奈,３３
撮影スタッフ,カーーーット！！お疲れさまでした！！
テロップ,笹井美奈３３
美奈,フーーーーッ……
サラリーマンA,笹井美奈も、女優としてすっかり貫禄が付いてきたなぁ
サラリーマンB,ああ。昔は女子高生の役でデビューしたのに、時間が経つのは早いもんだな
美奈,ありがとうございましたあああっ！！！
ファンたち,ウオオオオオオオオッ！！！
美奈,ハーーーーッ、疲れた……。控室に入ったら、あれをやって元気をつけよう……
喪黒,こんにちは、笹井美奈さん
美奈,あ、あなたは……！！
喪黒,ちょっと気になることがありましてねぇ……。実は、これ……
美奈,……それって、私に対する脅しのつもり！？まさか、この写真を高値で買えって言うの？
喪黒,私が言いたいのは、そういうことじゃありません
美奈,何！？私に説教する気なの！？
喪黒,私なら、笹井さんの薬物中毒を治せるんですけどねぇ……。どこの医者よりも確実な形で……
美奈,えっ！？
喪黒,私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
美奈,……ココロのスキマ、お埋めします！？
喪黒,実はですねぇ……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
彼女が喪黒から貰った名刺の裏の白地には、BAR,魔の巣
数日後。BAR,魔の巣
美奈,喪黒さん。あなた、私の薬物中毒を確実に治せるとおっしゃってましたよね……
喪黒,はい。確かに私はそう言いましたよ
美奈,そんなことは不可能です。芸能界にいる周りの人間を見れば、それがよく分かりますから……
喪黒,無理もありません。覚醒剤や麻薬が怖いのは、依存性が強くて絶対にやめられないからですよ
美奈,その通りです。薬物依存の恐ろしさは、私が自分の身体で誰よりも実感しているのですから……
喪黒,それだけではありません……。覚醒剤や麻薬というのは、禁断症状も深刻ですからねぇ
美奈,そうですよ……。薬の切れ目になると、身体が辛くなり始めますから……
喪黒,そんな生活を続けていたら、肉体が持ちませんよ。最悪の場合は、オーバードーズで早死にするか……
美奈,分かっていますよ……。分かっているけど、やめられないんですよ……
喪黒,でも、もう大丈夫です。薬物中毒を100パーセント治療できる特別なものを、私は知っているのですから……
美奈,一体、何ですか！？それは……
喪黒,温泉ですよ
高速バスは,温泉種駅
テロップ,島根県石見市温泉種町、温泉種温泉街――
美奈,おんせんたね、おんせん……？
喪黒,温泉種と書いてゆのたねと読みます。ここは温泉種ゆのたね
美奈,そうなんですか……。変わった地名ですね
喪黒,温泉種温泉は、素晴らしい薬効を持つことで有名なところです
美奈,じゃあ、その温泉が……
喪黒,そうです。万病の湯は、間違いなく今のあなたの救い主となってくれるでしょう。さあ、笹井さん。この温泉で湯治をすれば、あなたの薬物中毒は確実に治りますよ
美奈,ここですか……
聡子,こんにちは
喪黒,これはこれは……。聡子さん
美奈,へぇ……。あなたたち、知り合いなんだ……
