椎名法子,いやー、もうすっかり春って感じだねー
三村かな子,暖かくなってきたもんね。いつもの年より早く暖かくなってるみたいだし
法子,うーん、春眠はなんとかを覚えないって言うし、やっぱり眠たくなってくるね……
かな子,寝ちゃダメだよ法子ちゃん。もう少ししたら出ないといけないんだから
法子,あ、そうだ！明日オフだったよね？
かな子,えーっと……うん、そうみたいだね
法子,じゃあさ、どっか一緒に遊び行こっ！
かな子,え？いいけど……どこに行くの？
法子,そこだよね！うむむ、一体どこに行けば……
かな子,もう、そっちから聞いてきたのに……
法子,今思いついたんばっかだもん！仕方ない仕方ない！
かな子,そうだけど……。あ、お花見なんてどうかな？
法子,お花見？
かな子,うん、この近くで桜があるところがあったと思うんだけど……
法子,あぁ、うんうん分かった！あの川の近くの公園のとこだよね？
かな子,そうそう！。暖かいからもう咲いてると思うし、そこに行くのはどうかなって
法子,そこに目をつけるとは……さすがだねかな子ちゃん！じゃ、何を持ってこうか……
かな子,あ、もう時間だよ！早く出ないと！
法子,わわ、もうそんな時間！？急がなきゃ！
かな子,法子ちゃんバッグ忘れてる！
法子,ごめん、ありがと！
かな子,法子ちゃんこっちだよー！
法子,いたいた！お待たせ！。おぉー、結構人がいっぱい来てるんだね
かな子,お花見のシーズンだもんね。場所とりしてる人もいるみたい
法子,それじゃ早速お花見に行きましょう！
かな子,どちらかというと散歩……かな？
法子,どっちでもオッケー！さあレッツゴー！
かな子,わぁ……きれいに咲いてるね
法子,本当だねー。ねぇねぇ、もふもふした桜見てるとドーナツに見えてこないかな？
かな子,え？うーん……
法子,ほら、例えばあそこのはフレンチドーナツで、あっちのはツイストドーナツに見えない？
かな子,えっと、あれがフレンチドーナツかな？
法子,そう！あ、あっちのはチュロスのやつで、こっちのはシェルドーナツ！でもここから見たらココナッツのチョコレートにも……
かな子,の、法子ちゃん、花見っていってもそういう風に見るものじゃないと思うんだけど……
法子,見て見て！船走ってる！
かな子,船からお花見してる人もいるんだね。おーい。あ、あの人手振ってくれた！
法子,じゃ、あたしも！おーい！
かな子,あ、カモさんがこっちに寄って来た
法子,おーい！おーい！！。手振ってたらお腹空いたなぁ……
かな子,あはは……ずっと手振ってもんね
法子,お花見だしお弁当とか持ってきてもよかったかも
かな子,あ、お弁当はないけど、お菓子なら少しだけ作ってきたんだ
法子,本当！？さすがかな子ちゃんっ！
かな子,それじゃ、あそこのベンチに座ろっか。あそこなら桜もきれいに見えそう。えっと……あった！。じゃん！桜のかたちのクッキーを作ってみたの
法子,おーかわいいねこのクッキー！食べていい？
かな子,うん、どうぞ
法子,いただきますっ！。やっぱりかな子ちゃんはお菓子作るの上手だなぁ。うん！すっごくおいしい！
かな子,本当？よかったぁ。失敗しちゃったかなってちょっと心配だったんだけど……ちゃんと出来たみたい
法子,心配しなくても、かな子ちゃんのお菓子はおいしいのにー
かな子,そ、そうかな？ふふっ、ありがと
法子,よーし！それじゃクッキーのお礼に、ドーナツ！食べに行こう！。ちょうどもちもちドーナツの桜バージョンをチェックしたかったしね！
かな子,今から？でももうお昼になっちゃうよ？
法子,だいじょぶだいじょぶ！食べ過ぎなきゃいいんだから！
かな子,本当に？ちょっと心配だなぁ…
法子,ほら、早く行こ！ドーナツがあたし達を待っている！
かな子,あっ！待ってよ法子ちゃん！
