第六部悠貴,フルコースはジャストインタイムで
悠貴,あ……ありがとうございま……す
響子,まず、オードブルはザルツカルトッフェルンですね
ネネ,簡単にいいますとドイツ風ゆでジャガです
響子,続いてスープは野菜シチューです
ネネ,それからキャロニップバーグに、カリフラワーとほうれん草のグラタン
響子,メインディッシュはデビルドクラムですよ
悠貴,あ、あの……
響子,はい、そうですよ
ネネ,デザートに私特製のドリンクも用意しました！
悠貴,いぢめですか……乙倉に対するいぢめですね
かな子,デザートは、忍ちゃんからいただきましたりんごでブラウニーを作ったからね
みちる,あと、パンは食べ放題ですよ！
悠貴,できればそれだけの方がよかったですよ
響子,まずザルツカルトッフェルンですね
ネネ,ベーコンのしたみ油でタマネギも一緒に炒めました
悠貴,んーっ、おいしいです。タマネギもシャクシャクですし……えっと、この油の風味はなんですか？
響子,ベーコンから出たしたみ油ですよ
ネネ,ベーコンの旨味が沢山出てますよ
悠貴,これはおいしいです！
響子,次は野菜シチューですね
ネネ,本当はかぼちゃのポタージュにしたかったんですが、コロッケにしてしまったので
悠貴,うぅ……セロリが入ってます
響子,大丈夫！美味しいから
悠貴,かな子さんじゃないんですから！
ネネ,さぁどうぞ
悠貴,うぅ……。あれ？意外に気になりません？
響子,続いて、本日一番の問題作、キャロニップバーグです！
悠貴,問題作ってなんですか！？
ネネ,簡単に言いますと、人参と蕪で作ったベジタブルハンバーグですよ
悠貴,え゛……
響子,大丈夫です。カリフラワーとほうれん草のグラタンに、ハート型のマカロニは入ってませんから
悠貴,大丈夫の要素がどこにもないんですけど……。で、では
ネネ,まとめるのを頑張りました！
響子,一度潰してありますから食感は気にならないはずです！
ネネ,で、では
響子,どうですか？
ネネ,食べられますか？
かな子,美味しいとか聞かないんだ……
みちる,小さな子どもなら泣きたくなる材料ですからね
悠貴,えっと……まずくはないんですが、おいしくも……なんかぐちゃぐちゃしてますし
響子,ふむふむ、もう少し食感があった方がいいと
ネネ,千佳ちゃんやこずえちゃんは、こっちがいいと言ってたのですけどね
悠貴,まさかの毒味役の二人！？
響子,じゃあ、メインディッシュといきましょう！
悠貴,あ、あの……何か真っ赤なんですが
ネネ,タバスコやチリソースが味の決めてです！
悠貴,単純に辛いってことですよね！？。か、辛かったです……
響子,ちょっと辛かったみたいですね。幸子ちゃんはよかったと言ってたのに
ネネ,辛いという字と、幸子ちゃんの名前って似てますよね？
悠貴,今、それに触れるべき話題なんですか？。ふぅ……パンがこんなにおいしく感じるとは
みちる,わかります！パンがおいしいと人生も楽しく感じます！
響子,そんなに辛かったのかなぁ？
ネネ,き、響子さん？
響子,んぐんぐんぐ
ネネ,あ、口から白いのが……
響子,あ、ありがとう
かな子,というか、これを食べられた幸子ちゃんって……
悠貴,ふぅ……お腹いっぱいです
響子,それはよかったです
ネネ,でも悠貴ちゃん
悠貴,ﾊｯ､ﾊｲ……
加奈,という、肉中心の感じでした
響子,へぇ、プロデューサーさんとデートですか
ネネ,しかも私たちはその日仕事でしたね
悠貴,あ、あの……その……失礼しまs
響子,これはもっとタニタしないといけませんね
ネネ,お手伝いします
悠貴,ふぇーん、誕生日なのにぃ！！
加奈,幸子ちゃんはまたいらぬ発言をしてしまい、せっかくのプリンが人の手に渡ってしまうのは別の話です
かな子,じゃあ林檎のフリッターが揚がったよー！
加奈,はーい！
