原田美世,……ふぅ、着いたね
佐城雪美,……到着……
美世,雪美ちゃん、どうだったかな？ドライブは？
雪美,……良かった……
美世,雪美ちゃんとドライブなんて久々だね、あたしも楽しかった！
雪美,……うん……また…行こう……
美世,にしても鎌倉かぁ、遠くまで来たね
雪美,……なんで…鎌倉…なの……？
美世,Pさんがね、鎌倉で仕事があるから出てみないかって。だから今日は下見だよ
雪美,……P…は……？
美世,鎌倉には居ると思うんだけど……さっきから連絡がつかないね
雪美,………困った……
美世,うーん、そうだね。どうしよっか……？
雪美,……美世…私……おなか減った……
美世,ふふっ、せっかくだから観光ついでに何か食べに行こっか。取りあえず駅に来てみたけど
雪美,…………
美世,あたしたち、鎌倉に縁もゆかりも無いよね……
雪美,……初めて……来た……
美世,何が有名なんだろうね……
雪美,……美世…私……あれ…食べたい……
美世,鳩サブレ……そう言えば、有名だったね
雪美,……みんな…にも…お土産……
美世,そう言って雪美ちゃんが食べたいだけじゃない？
雪美,…………
美世,ふふっ、冗談だよ。頬を膨らませなくても分かってるから
雪美,……じゃあ……行こう……
美世,鳩サブレか……Pさん甘いもの好きだったよね
雪美,……美味しい……
美世,たまにはこういうのも良いね
雪美,……ここ…人…いっぱい……
美世,土日だし仕方ないかな、ここに来るまでも混んでたし
雪美,……美世…どうしよう……？
美世,とりあえず、観光地図は貰って来たけど。雪美ちゃんはどこか行きたい所はある？
雪美,……何が……あるの……？
美世,えっと、大仏とかお寺とか……。後、江ノ電とかこの時期だとあじさいなんかも綺麗みたい
雪美,…………
美世,食べ物だと……しらす丼とかお野菜とかパスタとか結構なんでもあるね
雪美,……むむ……
美世,ちょっと難しい……かな？
雪美,……美世…に……任せる…
美世,あ、あたしに！？
雪美,……うん……がんばって……
美世,…………。Pさんっていつも雪美ちゃんと遊びに行く時どうしてるんだろ……。歩きでも予想通り大渋滞だね……
雪美,……美世……手…繋いで……
美世,はい、どうぞ。気をつけてね
雪美,……どこへ…行くの……？
美世,ここを真っ直ぐ行けば神社があるみたい
雪美,……色々…あって……楽しい……
美世,こういう商店街は歩くだけでも楽しいな
雪美,……今日は……車じゃ…ないの……？
美世,ふふっ、ドライブは好きだけどしょっちゅう乗ってるわけじゃないんだよ。こうやって歩くのもなんだかんだで好きだから
雪美,……私も……
美世,そっか、雪美ちゃんも楽しいなら良かったよ
雪美,……良い匂い……
美世,おせんべいにハムに納豆……本当に色々あるんだね
雪美,……美世……お土産……
美世,えっ？さっき鳩サブレ買ったよ？
雪美,……ハム…ハム……
美世,め、珍しい物食べたがるんだね……
雪美,……お土産…だから……
美世,ふふっ、そうだね。お土産に買う前にあたしたちも試食しよっか！
雪美,……うん…味見……する……
美世,この調子でどんどんお土産買っていく？
雪美,……お土産……大事…だから……
美世,きっとみんな驚くだろうね。雨が降りそう
雪美,……私…傘……あるから…大丈夫……
美世,ちゃんと持ってきてるんだ、えらいね
雪美,……美世も……傘……
美世,うん、あたしも持ってるよ
雪美,……白くて…かわいい……
美世,ありがと、私も結構気に入ってるんだ
雪美,……赤…じゃ……ないの……？
美世,よく覚えてるね。確かに赤は好きだけど……これは別かな
雪美,…………？
美世,これだけは雪美ちゃんにも秘密だよ
雪美,……ずるい……
美世,じゃあ、また今度教えてあげるね。着いたよ、ここが有名な神社だね
