俵笑平,３６
客たち,深夜寄席は500円か……。それにしても安いな
笑平,えーー、今夜もバカバカしい話を一席……。お付き合いいただければと思います
テロップ,俵笑平３６
客たち,それにしても、俵笑平ってまだ未熟者だよなぁ
喪黒,…………
笑平,うーーーん……。俺も好きなことをやって、好きなように生きたかったなぁ……
品子,平太郎ちゃん。そろそろ、いいお嫁さん見つけたらどう？
テロップ,風見品子６６
笑平,独身でいた方が、何かと気楽でいいよ
品子,平太郎ちゃん。もう36歳よ。そろそろ年相応の生き方をしたらどう？
笑平,いや、むしろ……。俺を子供扱いしているのはオフクロの方じゃないか……
品子,だって、平太郎ちゃんは何かと頼りないし……
笑平,また、これだ……
品子,だから、ママが面倒を見ないと平太郎ちゃんは……
笑平,そのことなんだけど、実は……
品子,なぁに、平太郎ちゃん？
笑平,俺、この家を出ようと思ってる
品子,え！？平太郎ちゃん、ママが気に食わないの？ママはあなたのために、いろいろなことをしたでしょ！
笑平,そういうことじゃない。大人として自立するために、そろそろ一人暮らしをしようかと思ってるんだ
不動産会社社員,どうです？この部屋は……
笑平,なかなかよさそうですね……。一人暮らしをするならば、電化製品も必要だな……
喪黒,おっ……。あなたは、落語家の俵笑平さんではないですか？
笑平,はい。俺は俵笑平ですけど……
喪黒,この間、新宿末広亭であなたの落語を聞いたんですよ
笑平,そうなんですか……。これからは、俺も一国一城の主……。この部屋が俺の城になるのか
住人,あなたの部屋から聞こえる音楽、うるさいんですけど……
笑平,すみません……。ここにある音楽プレーヤーやコンポも、宝の持ち腐れになりそうだな。あのエレキギターと同じく……
喪黒,もしもし、俵笑平さん……
笑平,あなたは……
喪黒,私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
笑平,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
笑平,あなた、セールスマンの方なんですか……
喪黒,どちらかというと、ボランティアみたいなものですよ
笑平,い、いえ……。俺は別に悩みなんて何も……
喪黒,果たして、そうでしょうか？今日のあなたは、どことなく疲れた顔をしているように見えましたし……
笑平,よく気がつきましたね……
喪黒,みんなを楽しませるための仕事をしている人が、私生活でストレスを抱え込むのは辛いでしょう
BAR,魔の巣
笑平,実は俺……。落語家になりたくなかったんですよね
喪黒,ほう……。一体、なぜですか？
笑平,親父に対する反発ですよ。親父は落語家として一流でしたけど、人間としては最低の男でした
喪黒,あなたのお父様の俵笑楽師匠は、破天荒な生き方で有名なお方でしたからねぇ
笑平,酒や女に溺れ、家庭を顧みない生き方を、芸の肥やしとして正当化する……。それが親父の生き方でした
喪黒,ですが……、あなたはお父様の跡を継いで落語家になりましたよねぇ
笑平,まあ……。親父が有名な落語家である以上、俺は周囲の圧力でそういう生き方しかできなかったんですよ
喪黒,笑平さんのお好きな分野とは、一体何ですかねぇ？
笑平,うーーーん……。やはり、音楽ですかね。ロックミュージックとか……
喪黒,じゃあ、バンド活動とかをなさったことはありますか？
笑平,大学時代は、友人と一緒にバンド活動に夢中になっていましたよ
