ぷちかれA,ｺﾛｹｶﾃｷﾀ♪
ぷちかれB,ﾌﾗｲﾄﾞﾎﾟﾃﾃｶﾃｷﾀ♪
ぷちかれAB,ﾎﾟﾃｪ?
ぷちかれCD,ｼﾞｬｶﾞﾆｸｼﾞｬｶﾞｼﾞｬﾝ
ぷちかれE,ﾅﾏｲﾓｰ
ぷちかれ,ﾎﾟﾃｪ
加蓮,あれ、ぷちかれ？どうしたの、深刻そうな顔して
ぷちかれ,ｶﾚﾝ
加蓮,おー、ポテトくれるなんて気が利いてるね♪。てか、随分集めたね…ここだけやたら芋づくしじゃん
P,お、美味そうな匂いさせてんな
ぷちかれ,ﾋﾟｰｼｬ
P,お、おう……
加蓮,ぷっ…生芋貰ってるし
P,何でよりによって生芋なのか……ま、まぁ、これはこれで何でも作れるけど…な！うん！
ぷちかれ,ﾎﾟﾃｪ?。ﾎﾟﾃﾃ
ちーな,ﾛｯｸﾀﾞﾅｰ
ぷちかれ,ﾎﾟﾃﾃｰ
ちーな,ｳﾏｲﾅｰ。ｵｶｴｼﾀﾞﾅｰ
ぷちかれ,ﾅﾏｲﾓｰ。ﾎﾟﾃｪ
ぷちなかの,おす……
ぷちかれ,ﾎﾟﾃﾃｰ
ぷちなかの,おす！！。おす…！
ぷちかれ,ﾎﾟﾃﾃｰ
ぷちなかの,おすおす。おす。
ぷちかれ,ﾎﾟﾃﾃｰ♪。ﾎﾟﾃｪ
響子,困ったな…お醤油切れちゃった……
ぷちかれ,ﾎﾟﾃﾃｰ
響子,えっ、あ、お酢は今いらない…かも
ぷちかれ,ﾎﾟﾃｪ?
響子,あ、でもネネちゃんならもしかして必要かも
ぷちかれ,ﾎﾟﾃ!
ネネ,お酢ドリンクですか？
ちびネネ,ﾁｶﾞｳ?
ぷちかれ,ﾎﾟﾃｪ?。ｽｯﾊﾟ
ちまむー,ｼﾞｭｰｽ?
ぷちかれ,ﾎﾟﾃｪ?
ちまむー,ｶﾞﾝﾊﾞﾘﾏｽ♪。ﾋﾟｰｽ♪
ぷちかれ,ﾎﾟﾃﾃｰ♪
ちまむー,ｶﾞﾝﾊﾞｯﾃｸﾀﾞｻｲ♪
ぷちかれ,ﾅﾏｲﾓｰ。ﾎﾟﾃｪ
ぷちみお,ｵﾆｸｻﾏﾀﾞｰ!
ぷちかれ,ﾀﾍﾞﾙ?
ぷちみお,ﾔｯﾀｰ!。ｺﾚｱｹﾞﾙ!
ぷちかれ,ﾎﾟﾃﾃｰ!。ｵｲｼｲﾖ
P,………お前達、まだ食べ終わってなかったのか…？
ぷちかれ,…ﾎﾟﾃｪ?。ﾎﾟｯﾃﾝ!
