同性・異性を問わない,友達
美穂,……ぅうぅん……Pくん…………寝てません……寝てま……
P,……まぁ、慣れてるけどさ。……家で寝てればいいのに……。…………げ。……やっべ。……すー……。……よし……！
響子,おは…………お兄ちゃん、何してるんですか……？
P,……おはよう響子、今日も昨日に引き続きいい天気だな
響子,……おはようございます、お兄ちゃん。今日もいい天気なのに朝から何してるんですか？
P,こう天気も良いと、ピクニックとかハイキングとかトレッキングとかしたくなるよな
響子,ですねー、こうも天気もいい日に何してるんですか？
P,…………
響子,まさかとは思うけど、美穂ちゃんの太ももに手を乗せようとなんてしてないですよね？
P,…………いや、してませんが？
響子,……そのポーズは何ですか？
P,ハイキングのポーズです
響子,ハイキングのポーズは美穂ちゃんのお尻に触ろうとする体勢である必要があるんですか？
P,いやいや違うって偶々小日向がそこに居ただけだから。逆にそんな不埒な事をしようとしてる奴がいたら待って待って警察は呼ばなくて良い
美穂,……んぅ……ぁ、おはよう……Pくん……
P,……おはよう、小日向
美穂,……っ！…………っっ！！きゃぁぁっっ！！！
響子,ほんっとうに……信じられませんっ！
P,……いや……こう、不可抗力だと思うんだ。僕はただ寝てただけだし
響子,そんな事言って、お兄ちゃんが美穂ちゃんの事誘ったんじゃないんですか？
P,え僕が？そんな訳無いだろ。僕が？小日向を？一発ギャグならトロフィー取れるぞ。……悪かったって小日向。僕だって触ろうと思って触った訳じゃ無いんだから
美穂,……ふーんだっ
響子,それと、美穂ちゃんも少しは反省して下さいっ！もう高校二年生なんですから、小学校の頃みたいに無用心なのは女の子としてどうかと思います！
美穂,わ、わたしだってPくんのベッドで寝たくて寝たんじゃないもんっ！
響子,……本当ですか？だったらどうして……
美穂,そ、それはー……えーっと……ねっ？
響子,ねっ？じゃありません！朝からえっちなワンシーンを見せられた私の気持ちにもなって下さい！
美穂,そ、そんな事言ったらわたしだってエッチな気持ちになったもん！！
P,えっ
響子,えっ
美穂,…………あっ、い、今のは言葉の綾といいますか……いただきます！ぱくっ！美味しいです！！
響子,あ、それと。今夜はお友達の家に泊まるからお夕飯は準備出来ません。お兄ちゃん自分でちゃんと作ってね？
P,おっけー、久々にカップ麺
響子,自炊して下さいね？
P,はい
美穂,……あっ、だったらわたしが夕ご飯作りに来てあげますっ！
P,いや良いよ、久々に自分で料理するから
美穂,わたしがっ！作って！あげますっ！！
P,はい
響子,……美穂ちゃん、ちゃんと夜は寮に帰るんですよ？
美穂,あ、当たり前です！Pくんなんかと夜二人っきりなんて危なくてイヤだもんっ！！
P,小日向お前僕の事嫌いなのか？
美穂,…………
響子,…………
P,……えっ僕今変な事言った？
美穂,……Pくん、後片付けお願いします
響子,汚れ一つにつき千円お小遣い減らすからね？
美穂,さ、Pくん。早く行きますよ！
P,ん、待ってたのか
美穂,一人だと心細いかなーって心配してあげたんです
P,小日向じゃないんだから
美穂,わ、わたしは一人で学校行けるもんっ！。あ、あの！待っててあげたわたしに……こう、何かないんですか？
P,…………いや、別に……頼んでな
美穂,わざわざ朝の貴重な時間をPくんを待つなんてコマンドで消費してあげたわたしにっ！なにかっ！ないんですかっ？！
P,……お勤めご苦労様です
美穂,えっへんっ！もっと褒めて下さいっ！！
P,……はやく学校向かわない？
美穂,良いですよ？Pくんがそこまで言うなら、お姉ちゃんは吝かでもありません。Pくん、自分の誕生日は何月ですか？
P,え？二月だけど
美穂,わたしは十二月十六日です。ねっ？わたしの方がお姉ちゃんだよね？
P,……まぁ、うん
美穂,弟ならお姉ちゃんの事を敬って慕うべきですっ！。ま、待って待ってPくんっ！お姉ちゃんを置いてかないで下さいっっ！！
P,お前今は良いけど教室では絶対それ言うなよ？！。っふー……セーフ！
美穂,もうっ！Pくんのせいで遅刻しちゃうところだったじゃないですかっ！
卯月,あ、おはよう美穂ちゃん
美穂,おはようございます、卯月ちゃんっ！
卯月,今日も五十嵐君と一緒なんですねっ
美穂,わたしが迎えに行ってあげなとい、Pくん絶対遅刻しちゃうから……
卯月,仲良いんだね、二人とも
美穂,そ、そんな事ないよ？いつも喧嘩してばっかりだもん。あっ、で、でもね？周りから見たらそう見えちゃうかもって思う時はあるし、それを否定するつもりはないですけどっ。わたしとしてはPくんの事なんてぜんっぜん好きじゃないですけど、きっとPくんはわたしと仲良くしたいって思ってる筈だから気を使ってあげてるんですっ！そ、そう！お情けです！
卯月,で、二人はいつデートに行くんですかっ？
美穂,で、でででっ？！デート？！ですかっっ？！？！！。わっ、わたし別にPくんと付き合ってないし恋人じゃないしデートしたいなんて全然思ってないもんっ！！
卯月,あ、あれ？私、てっきり二人は付き合ってると思ってたんですけど……
美穂,まだ付き合ってません！！！
P,……小日向
美穂,ひゃ、ひゃいっ？
P,朝読書の時間だから静かにしような
美穂,……………………
クラスメイト,……………………
卯月,…………？あ、あれ？なんでみんな五十嵐君の方に……い、いけません！暴力反対です！！
ちひろ,おはようございます、みなさ……ちょ、ちょっと男子の皆さん五十嵐君に向かって何してるんですかっ！！
P,……いや酷くない？見ろよ僕の制服、戦場帰りでもここまでボロボロにはならないと思うんだけど
新田,いや、それはお前が悪い
P,えぇ……
新田,そもそもな？お前がさっさと気付けばぜーんぶ丸く収まってるんだよ
P,…………気付く……世界の真理か
新田,持ってかれるぞお前
P,出来れば生活に支障の無い部位にして欲しいよな。ブレザーぼろっぼろだよ。絶対響子に怒られるだろ……
新田,あ、響子ちゃんって妹だっけ？いいよなー妹。一つ屋根の下、久し振りに昔みたいに一緒の布団で寝ようとした時、子供だと思っていた妹が思いの外成長していた事を意識してしまい……
P,ねぇよ。ってかそんな事言ったらお前姉ちゃんいるだろ。確かお前が忘れ物した時届けに来てくれてたけどさ…………めっちゃ美人だよな。風呂上がりにバスタオル一枚の姿とか見て興奮したり
新田,ねぇよ
P,ちなみにさ、お前の姉ちゃんっておっぱいどれくらいあるんだ？
新田,二つだけど
P,マジかよ！片方僕にお裾分けしてくれないかなぁ！！
新田,あれって着脱可能なのか？
P,分かんない。今日姉ちゃんに聞いてみろよ
新田,殺されるわ
美穂,あ、Pくん。ちょっと良いですか？
P,ん、なに？
新田,あ、ごめんな小日向さん、俺席外すから。後は若い二人で！
美穂,え、えっと……放課後、空いてますか？
P,空いてるけど、掃除なら手伝わないぞ？
美穂,そうじゃなくって、お夕飯のお買い物です。一緒に買いに行きませんか？
男子s,ふぉぉぉぉぉっっ！！
P,うるせぇ！！
美穂,Pくんの為に作ってあげるんですから、わたし一人で買い物なんておかしいじゃないですかっ！！
P,確かに
美穂,ほ、ほらっ！ですよね！だから二人で
P,僕一人で買ってくるから、メモだけ頼めるか？
美穂,はいもう作ってあげませんっ！キャンセルですっ！Pくんは一人で出来合いの漬物でも齧ってればいいんですっ！！
P,……新田ー、夕飯どっか食いに行かない？
新田,死ね
ちひろ,はい、みなさん一時間目の授業が……ちょっとちょっと！男子のみなさん五十嵐君を殴るのはやめて下さい！！
P,……ラーメン食べて帰ろ
智絵里,あ、あの……
P,ん、緒方さん。僕に何か？
智絵里,えっと、その……五十嵐くんは、好きですか……？
P,…………ものによるとしか……
智絵里,な、なら……逆に、何なら好きなんですか……？
P,……僕は、緒方さんの
智絵里,…………？
P,……緒方さんの好物が知りたいな
智絵里,わ、わたしの……ですか……？
P,うん、もっと緒方さんと仲良くなりたいし
智絵里,え、えっと……じゃあ、辛子蓮根です。五十嵐くんは……辛子蓮根、好きですか……？
P,辛子蓮根ってなに？
智絵里,熊本の一般家庭でお正月に昔から作られた郷土料理……らしいです
P,どんな料理なの？
智絵里,え、ええと……蓮根をたわしでよく洗い、両端を切り落としておいたものを……。油は通常……な、な……え、ええっと……なしゅ？なしゅゆ？
卯月,智絵里ちゃん。あれはなたねあぶらって読むんです！
智絵里,あ、ありがとうございます、卯月ちゃん
卯月,ところで、五十嵐君の後ろで美ｈ
智絵里,ちょ、チョップですっ！。揚げあがったら、適度な厚さで輪切りにして食べる……以上が辛子蓮根の説明です……！。五十嵐くんは、その……辛子蓮根が食べたくなったよね……？
P,えっ、いや別に……
智絵里,えっ……ぁ……ぅ…………
P,めっっちゃ食べたくなった！今年のクリスマスプレゼントに欲しいくらい辛子蓮根食べたい！！
智絵里,……よ、よかった……
美穂,Pくんっ！今辛子蓮根のお話をしてましたかっ？！
智絵里,美穂ちゃん。五十嵐くんが辛子蓮根食べたいって言ってました……！
美穂,へ、へー！Pくん、辛子蓮根が食べたいんですねっ！
P,正直そんなに
智絵里,……ぁう……
P,食べたい！今夜にでも作るつもり！！
美穂,でも、辛子蓮根って前日や前々日から仕込んでおかないと作れないんです
P,食べるのは明後日の夜かなぁ！
美穂,あっ、見て下さいPくん！わたしの鞄の中から偶然仕込み済みの辛子蓮根が出てきましたっ！。しょ、しょうがないですねーっ、今夜Pくんに振舞ってあげますっ！
P,いやでもさっきお前
美穂,振舞って！あげます！！
P,感謝の気持ちでいっぱいです
卯月,それで、智絵里ちゃんは何をしてたんですか？
智絵里,……美穂ちゃんに協力して下さいって泣きつかれちゃったから……
美穂,やっぱりまだ寒いですね……
P,だな、走るか？
美穂,女の子にその提案ってどうなんですか……？
P,え、でもお前よく走ってるじゃん
美穂,そ、そこは……その！なんと言いますか、こう……あるよね？。Pくんっ！わたしの手は今とっても冷たいです！
P,あっごめん、僕ポッケにカイロ入ってるからあったかいんだ
美穂,捨てて下さい
P,酷くない？
美穂,そ、その分わたしがPくんの手をあっためてあげるって事で……ダメですか？
P,……え？あっためるって……カイロ以上に？
美穂,が、頑張りますっ！
P,無理じゃない？
美穂,無理じゃないもん！！
P,どうやって？
美穂,え、えっと……ふ、二人で温まる方法があるんですけど……
P,あ、セック。…………げっ
美穂,もうっ、本を投げるなんて……
P,待てストップ小日向
美穂,えっ、でも拾ってあげないと……
P,動くな、僕がOKするまでそのままでいるんだ
美穂,……えっ、ももももっ、もしかして……き、きききっ、キ……。……まだ、ですか……？
P,あ、もういいぞ
美穂,えっ、もうキスしたんでふか？！
P,えっ、キスなんてしてないけど？
美穂,えっ、キスしないんですかっ？！
P,えっ、なんでキスするの？
美穂,……で、ですよねー！知ってました！知ってたもんっ！。ち、ちなみに……話を戻しますけど……
P,どこまで？
美穂,ふ、二人で温まる方法です
P,走るんだっけ？
美穂,走りませんっ！
P,キスするんだっけ？
美穂,キスしませ……えっ、あっ、します！あっ、あぅ、し、しません！
P,しないのか、そりゃそうだ
美穂,あ、当たり前です！どうしてわたしがPくんなんかとキスしなきゃいけないんですか！！。…………はぁ……
P,悪かったって、小日向
美穂,……手を繋いで、Pくんの事をあっためてあげようと思ってたんです
P,…………あぁ、なるほどね。……でもお前さっき自分の手が冷たいって言ってたじゃん
美穂,だったらPくんがあっためて下さい！
P,小日向。手、出して
美穂,っ、ひゃ、ひゃいっ！
P,はい、カイロ。まだ十分あったかいと思うから
美穂,エジプトの首都パンチ！。おじゃましまーす
P,どうぞ、ごゆるりと……
美穂,何時からお夕飯にしますか？
P,十八時くらいで良いんじゃないか？あんまり後だと小日向が帰るのもかなり遅くなっちゃうし
美穂,二十二時にしましょう！
P,夜食夜食、そんな時間に食事してたってバレたら響子に怒られるから
美穂,何してるんですか？
P,えっ、あーいや、ちゃんと教科書持って帰って来たかチェックしてるだけ
美穂,……あれ？Pくんって教科書持って帰ってたっけ？
P,ほら、今月末中間テストだからちゃんと勉強しようかなと
美穂,……Pくん、そんな殊勝な心がけしてないよね？
P,変わるんだ、今から。僕は雑念や煩悩や邪念を切り捨て真人間になる
美穂,Pくんにそんな善性は求めてませんっ！。何隠してるんですかっ？
P,ぇあ、えっと……ら、ラブレターだよ！
美穂,は？。誰からですか？
P,うぇ？そ、それはほら、プライバシー的な
美穂,誰
P,嘘です見栄張りました、本当はラブレターなんて貰って無いです
美穂,もうっ、驚かせないで下さい！そもそもPくんが誰かに好かれる訳無いじゃないですかっ！
P,あんまりだろ。僕だって本気出せば。あ゛っ
美穂,……もう、いっつもPくんは落ち着き…………が……。…………………Pくん
P,僕のじゃない
美穂,別に誰のでもいいんです。問題はPくんが持ってたって事ですから
P,…………きちんと鷺沢の野郎に注意しておくから、流石にクラスメイトに似てるやつを学校には持ってくるなって
美穂,ふふ、それが良いと思います
P,だよなー、僕もそう思う
美穂,…………
P,…………
美穂,っ捨てて下さいっっ！！
P,待って！僕まだ読んでないから！
美穂,即刻破棄するべきです！！！
P,ダメだって読ませて読んだら捨てるから！！
美穂,卯月っ、ちゃんにっ！言っちゃうよっ！
P,やめろばか！ってかそれお前言えるの？！
美穂,い、言える訳無いっ、けどっ！兎に角ダメだと思いますっ！そういうのはっ！ダメですっっ！
P,三大欲求を否定するな！それにほら、知識は多い方が良いだろ！
美穂,Pくんには必要ありませんっ！！
P,あるしっ！
美穂,実践する機会あるのっ？！
P,…………無い
美穂,あっ…………えっと、ごめんなさい……
P,……うん…………
美穂,と見せかけてっ！。……あ……
P,っっらぁっ！
美穂,ぁ…………ごめんなさい、Pくん……大丈夫ですか……？
P,いって……あぁ……エロ本は？
美穂,……無事、みたいです……
P,そうか……
美穂,……ありがとうございます、Pくん
P,小日向こそ痛いとこはないか？
美穂,大丈夫です。Pくんが助けてくれましたから
響子,えへへっ、お泊まり会来週でしたっ！ただいまお兄ちゃ……。っっっっ！
P,なぁ、今日の体育って何時間目だっけ？
新田,火曜だし三時間目じゃなかったか？
鷺沢,いや、二時間目に変更になってる。あと、体育祭への練習も兼ねて女子と合同だぞ
P・新田,マジで？！
鷺沢,確かな筋から聞いた情報だから間違いない。ちなみに俺は少しでも早く体育館に行く為に、家から体操着着てきた
新田,どうしたんだよ、いきなり屈伸とかして
P,少しは頭使え、今のうちに身体ほぐして後でかっこいいところアピールするために決まってるだろ
新田,あー、小日向に？
P,え？なんで小日向？
美穂,あ、呼びましたか？
新田,こいつが二時間目の体育で小日向にかっこいいところ見せてやる！って意気込んでたんだよ
P,言ってないけど
美穂,へ、へぇ～……わたしに…………殊勝な心掛けだとおもいますっ！
鷺沢,ちなみに、あわよくば胸も見たいとか言ってた
P,言ってはないけど
美穂,……思ってはいたんですか？。……Pくん
P,あぁいや、別に……？な？そんな事考えてもいなかったって
美穂,あのね？男の子だからしょうがないとは思うけど……他の子に迷惑掛けるのはダメですよ？
P,……ん？小日向ならいいのか？
美穂,……えっ、そ、それは……その……。…………Pくんは……わ、わたしの……その……見たいんですか？
智絵里,うわぁ……美穂ちゃん大胆……
P,大丈夫だよ、小日向。僕は別に小日向の胸には興味ないから
卯月,礼！
クラスメイト,ありがとうございました！！
P,鷺沢
鷺沢,分かってる、既に暖房の温度を五度上げておいた
卯月,頑張ってください、美穂ちゃん！
美穂,もちろんですっ！たまにはわたしだってPくんにかっこいいところ…………を……。えっ、もう来てるなんて早すぎませんか？！
卯月,えへへ、五十嵐君。美穂ちゃんがPくんにかっこいいところ見せるんだーっ！って意気込んでましたよ！
美穂,い、言ってないもん！！
P,……鷺沢、暖房の温度を下げてくれない？
鷺沢,なんだお前、今になって怖気づいたのか？。…………成程な。オッケーオッケー、俺も配慮が足らなかったよ
P,いや僕まだ何も言ってないけど
鷺沢,みなまで言うなって、分かってっから。俺だって加れ……北条が来たら温度下げるつもりだったし
P,お？
鷺沢,あっ、やべ
卯月,体育館、なんだか暖房強すぎませんか？
美穂,だね、ジャージ脱いじゃおっか
P,まぁまぁまぁまぁ、島村さんは兎も角小日向はまだジャージ着てた方が良いんじゃないか？
美穂,どうして？
卯月,私は脱いでいいんですか？
美穂,……なんでわたしはジャージ脱いじゃダメなの……？えっと、新手のイジメ…………？
P,……ジャージ着てたくさん汗かいた方が、健康的だと思うから……
美穂,わ、わたしが太ったって言いたいんですか？！確かに最近、ちょっぴりおなかが気になってはきてるけど……
P,いや、その……代謝を良くして、綺麗な肌を手に入れる為に……
加蓮,要するに、五十嵐は美穂にもっと綺麗になって欲しいって言ってるってことじゃない？
P,そ、そうだ。僕は小日向にもっと綺麗になって欲しいんだよ
美穂,え、ええっと……ど、どうしてですか？
P,やっぱりいいや、小日向が綺麗にならなくて
美穂,…………え……
卯月,い、五十嵐君！女の子にそんな事言うのは……
加蓮,うっわ、サイテー
P,……ていうかさぁ！実際もう十分綺麗じゃん
美穂,え……
P,小日向ってすっごく綺麗だから、これ以上綺麗にならなくても良いんじゃないかなぁ！！！！
加蓮,わぁお……やるじゃん五十嵐
卯月,お、おめでとうございます美穂ちゃんっ！
美穂,あ……あぅ……え、えっと……ありがとうございます……
P,い、いや違うんだって
美穂,え……違うんですか……？
P,あぁいや、えっと……
