北川真尋,！
大石泉,…
泉,とりあえず、パンを飲み下してから話すといいと思う
真尋,！！
泉,あ、うん。構わないわ
真尋,！！
泉,どういたしまして
奥山沙織,この二人、どうして会話が成立してんだべ…？
真尋,ぷはー！へへっ、いずみん助かったよ！おいしいみずをありがとう！
泉,どういたしまして。ふふ、これでようやくまともにコミュニケーションが取れるから、なによりよ
真尋,だね！
沙織,いやべづにパンを咥えながらでもできてたべ？
真尋,というわけで、二人ともおっはよ！
泉,うん
沙織,お、おはようごぜえます
真尋,いい天気だね！
泉,真尋はいい元気ね
真尋,走って来たからねー。充電バッチリだよ
泉,？？走って来たら、むしろ体力を消耗するんじゃないかしら…？
沙織,あ、たぶんもず通りに受け取るとごろじゃな…
真尋,パンも食べたし！
泉,ああ、なるほど
沙織,あ、それで納得するだ…
真尋,…
泉,？
沙織,…いい天気だー…
真尋,…。今さらだけど、珍しい組み合わせだね？
沙織,へ
泉,そう？駅から事務所に向かう道はここ一本だから、奥山さんとはときどき一緒になるけど…
真尋,ん、そういう意味だけどそういう意味じゃないかなっ！
泉,？？
真尋,もぉっ…いずみんは頭が固いなー。えいえい
泉,……、じ、自覚は、あるんだけどね…
真尋,大石だから仕方ないか！
泉,ど、どういう意味…？
沙織,……奥山……、山奥？へへ、わだすにお似合いだなー……
真尋,？
泉,……頭、叩いてもらうとやわらかくなるかしら…
真尋,…。えっと
沙織,？
真尋,さおりん
沙織,さ、さおりん？
真尋,えいっ
沙織,いでっ
泉,こら
真尋,いたっ
泉,どうして奥山さんを意味もなく叩くの
沙織,……
真尋,難しい顔をしてたから、つい。へへ
泉,？
沙織,……奥山さん…
泉,あ、難しい顔してる…
真尋,えいっ
沙織,なあっ
泉,こら
真尋,！？。……。…ぱ……パソコンは、いたいです……
泉,つい
沙織,……な、なんがわだす……変な顔してたかな…？
真尋,うん。あっ、いや、べつに変とかじゃなくてっ
沙織,？
真尋,…む、難しい顔をしてたかなっ
泉,さっきと情報量が変わってないわ
真尋,う、うるさいなあ。…なんて言ったらいいか、分かんないんだよー…。……えっとね、沙織さん
沙織,は、はあ
泉,呼称が不安定ね
真尋,はいいずみん空気読んでー
泉,う、……、ぜ、善処します…
沙織,…
真尋,なにか気になることとか。悩みごととか
沙織,ぎぐん
真尋,……、あるんじゃないかなーって。なんとなくねっ
泉,悩みごと。そうですね。もし自分の力で解決できないなら――きっと、だれかに相談するといいですね
沙織,そ、相談だべか
真尋,そうだね
泉,…真尋、口元が緩んでいるように見えるけど…？
真尋,気のせいだよー
泉,……、そ、そう。ならいいけど
真尋,いずみんはデフォがいい人だよねー
沙織,…相談……。……、。あ、…あんの、ですね。……んとに、ささいなこどなんだども…
真尋,うん
泉,はい
沙織,……。……よ、よびがだ……、ま、真尋ちゃんは、わだすのこと、名前で読んでくれっけど……泉ちゃんは、その…
泉,……
真尋,…あー。そういう…
泉,分かったの？
真尋,分からないの？
泉,……、ちょっと待って。考えるから
真尋,ごゆっくり
沙織,…あ、あんまりいじめちゃだめだどー…
泉,…………。…
真尋,…。…まあでも、ほら。それは性格の違いというか。いずみんは几帳面だし
沙織,そ、それは分かるんだけど…、でも、真尋ちゃんのことは、呼び捨てだべ？
真尋,……あー。なんでだろーね。そう言えば
泉,……
真尋,…
沙織,…
真尋,…。…
泉,ひゃっ……、にゃ、にゃにしゅるにょ？
真尋,や、ちょっとね。深い意味はないから
泉,い、いひゃい…
沙織,いじめちゃ、めっだぞー
真尋,いたっ…、ごめんなさーい
泉,はふぅ。わ、分かりました
真尋,はい。じゃあ大石さん
泉,ま、真尋が真尋なのが悪いんじゃないかしら
真尋,なに？そんなにほっぺをつねって欲しいの、いずみん
泉,い、いや、私はただ導いた答えが正しいかどうかを…
真尋,仕方ないなー
泉,やめふぇー
沙織,…
泉,……
真尋,いずみんは分かってるけど分かってないよね
泉,じ、自覚はあるよ？
真尋,自覚と理解は違うんじゃないかな？
泉,…、！
真尋,顔にほっぺつねってって書いてあるよ？
泉,ま、真尋に教わるなんて…
真尋,ダウト
泉,……
真尋,……まあ、いずみんの言いたいことは分かるけどね。さおりん、だから…気にすることないよ。私がこういう性格ってだけ。うん
