モバP,どうした光？いきなり大声出して
南条光,ないんだよ！あたしのアイスが！
P,事務所の冷蔵庫だからなぁ、誰かが間違って食べたのかもな
光,ぐぬぬ……楽しみにしてたのに……。お、おはよう……
P,おう光、おはよう
荒木比奈,光ちゃん、おはよッス
小関麗奈,あら光、いつもみたいに喧しく入ってこないのね
光,ああ、麗奈か……
麗奈,なによ、アンタも暑さにやられたっての？アイスでも食べればいいじゃない。冷蔵庫に入ってるわよ
光,うん、そうするよ。うわぁっ！？
麗奈,アーッハッハッ……ゲホゲホッ！引っかかったわね光！
P,冷蔵庫がから爆発が！？
比奈,た、大変っス！爆風で光ちゃんが窓の外に！
P,なっ！？おい麗奈！イタズラにしては度が過ぎるぞ！
麗奈,え、そんな、えっ、アタシ……
？？？,ラァイヴスウィッチオンンッ！
麗奈,な、なに！？何なの！？
比奈,仮眠室から変なのが！？
P,赤い全身スーツに白いスカーフ、細部が違うがまさかあれは……
？？？,暑さに弱った少女の心を弄び、あまつさえ爆殺しようとした小関麗奈、許さんッ！
麗奈,爆殺なんてそんな……あ、アンタ誰よ！？
？？？,ピカッと参上！ピカッと快傑！人呼んでさすらいのアイドル！
ピカット,快傑ピカァット！
比奈,快傑、ピカット……？
P,懐かしいなぁ
ピカット,さて
麗奈,ひぃっ！？ち、ちょっと、こっち来ないでよ！
ピカット,二日前の二時、アタ……南条光のアイスを食べたのはお前だな！？
P,やっぱり気にしてたのか
麗奈,な、なによ！知らないわよそんなの！アタシはその頃Pにイタズラしてたもの！
ピカット,お・ま・え・だ・なぁ～！？
麗奈,ち、違……ひぅ
P,あ、気絶した
比奈,そりゃあの剣幕で迫られたら仕方ないっスよ
ピカット,こいつでもなかったか……
比奈,何か投げたっスよ
P,おお、しっかりカードまで作ったのか
ピカット,光、お前のアイスを食べた犯人はアタシが見つけてやるからな……！
P,快傑ピカット……一体何条光なんだ……？
比奈,誰なんスかねー棒読み
P,……やれやれ、麗奈を仮眠室に運んでおかないとな
麗奈,う、うぅ……ピカット……
比奈,めっちゃうなされてまスよ
P,たまにはこういうのもいい薬になるだろう
比奈,ふふ、そうっスね
ヘレン,今日も完璧なレッスンだったわ
P,お疲れ様です。ハードなレッスンの後だというのに余裕の表情ですね
ヘレン,フッ、当然よ。私はスタミナにおいても……。世界レベルだもの！
比奈,世界レベルって何なんスかねぇ？
？？？,そのレベル、この世界じゃあ二番目だな！
ヘレン,！？誰！
？？？,ピカッと参上！ピカッと快傑！人呼んでさすらいのアイドル！
ピカット,快傑ピカァット！
ヘレン,快傑ピカット……？まあいいわ。私が世界レベルの二番目だとしたら、誰が一番なの？
ピカット,ﾋｭｰｩ。はっはっは
ヘレン,フッ、面白い事を言うじゃない。なら……。世界レベルの座をかけて勝負よ！
ピカット,……
ヘレン,……
比奈,何なんスかこの絵面
P,まあ、麦茶でも飲んでゆっくり観戦しよう。ほら、比奈も飲むか？
比奈,いただきまス
ピカット,……今だッ！
ヘレン,あ、しまっ！？
比奈,思いっ切りすっ転んだっスよ……
P,が、しっかり受け身を取っている辺りさすが世界レベルだ
ピカット,ピカット！アッタァーック！
比奈,あ、抱き着いた
P,蹴ったり首を脚で絞めたりするのはマズイと思ったんだろうな
ピカット,二日前の二時、南条光のアイスを食べたのはアンタだな！？
ヘレン,へ？
ピカット,ア・ン・タ・だ・なぁ～！？
ヘレン,わ、私じゃないわ。私はその頃寮でイメージトレーニングをしていたもの
比奈,ヘレンさん、ピカットに抱き締められて凄くいい笑顔してまスよ……
P,いつぞやの杏みたいな顔だな……まったく羨ましい
比奈,何か言ったっスか？
P,いや、なんにも
ピカット,嘘を吐くなァ！
ヘレン,ち、違……
P,あ、堕ちた
比奈,キュン死ってやつでスね
ピカット,やはり違ったか……
比奈,またカードっスよ
P,なんだそれ……
比奈,ノリノリっスね、快傑ピカット
ヘレン,……一体何だったの？
P,あれ、気絶してたんじゃ？
ヘレン,演技に決まってるじゃない
比奈,それにしては倒れ方がリアルだったというか……
ヘレン,愚問ね、比奈。私は演技力においても……。世界レベルだから！
P&比奈,めんどくせぇ……
P,実はウサウサミンミンで……
ヘレン,へぇ、あの子が快傑ピカット……可愛らしいわね
比奈,もしかしてヘレンさん、気付いてなかったんスか？
P,これでも結構抜けてる所があるから……
ヘレン,何か言ったかしら？
P&比奈,いや、なんにもっス
ヘレン,そう。じゃあ私はレッスンに行ってくるわ
P,ヘレンさん、さっきレッスンを終えたばっかりじゃ？
ヘレン,私に休息は必要ないわ。小さなヒーローに癒されたことだし、それに演技と言えど負けたままのうのうと休んでられるほど私は甘くないの
比奈,私、ヘレンさんが分からないっス……
P,まあ、そう言ってやるな
藤本里奈,ちょりーっす☆
比奈,ちょりっスー
P,おはよう、里奈。遅刻だぞ
里奈,いやー、メンゴメンゴ！これ探すのに時間かかっちゃってさー☆
P,コンビニの袋、か？
里奈,そうそうこの袋が……ってそっちがメインじゃねーし！
P&比奈,き、来たっ！
里奈,二人ともどしたー？お、ひかるっちじゃん！
ピカット,ピカッと参上、ピカッと快傑！人呼んでさすらいのアイドル！快傑ピカ……へ？
比奈,いきなりバレた！
P,さすがにこれは予想外だな……
ピカット,えっと、アタシは光じゃ……
里奈,何言ってんのさひかるっち！とりま一緒にこれ食べよ☆そのイケイケなメットも取ってさ！
光,あっ、これは……
比奈,アイスっスね
P,もしかして……
里奈,いやー、名前書いてんの気付かずに食べちゃってさー？。来る前に同じの買ってきたから、ねっ☆
光,う、うん！ありがとう里奈さん！
里奈,もー☆里奈でいいってば！
比奈,これにて一件落着、っスかね
P,ああ、そうだな
麗奈,アーッハッハッ……ゲホゲホッ！引っかかったわねP！
比奈,麗奈ちゃん、イタズラも度が過ぎるとまたピカットが来るっスよ？
麗奈,じ、上等よ！今度来たらこのスペシャルバズーカで……
P,……
麗奈,ひぃっ！？ごっ、ごめんなさい！？
比奈,麗奈ちゃん、完全にトラウマになってまスね。……そういえば光ちゃん、あのスーツは何だったんスか？
光,ああ、ピカットスーツは晶葉に作ってもらったんだ
P,あのスーツ、元ネタと同じく顔は出せるようになってるんだよな？
光,そこは抜かりなしだ！
P,それじゃあ今度のライブで……
光,ちゃんと五分経つと爆発するようにもなってるんだ！
比奈,えらく物騒っスねぇ
P,その機能は外してもらおう、な？
ヘレン,勝負よ快傑ピカット！
光,へ、ヘレンさん！？
ヘレン,ピカットになり……いや、呼んできなさい、光。ピカットアタックなんて打ち破ってやるわ！
光,お、おう！ちょっと待っててくれ！
比奈,ヘレンさん、ピカットアタックが癖になっちゃったみたいっスね
P,そうだな。案外可愛いところも……
ヘレン,そこの二人、何か言ったかしら？
P&比奈,いや、何でもないっス
里奈,おつかれーっす☆
P,おう里奈、お疲れ様
比奈,お疲れっス。……あれ、麗奈ちゃん？
里奈,ちょうど廊下でバッタリあってさー、連れてきちゃった☆
麗奈,……
P,まあまあ、アイスでも食べて機嫌治せよ
麗奈,……フンッ、仕方ないわね！Pがそこまで言うなら食べてあげるわ！
里奈,れいなっちおこぷんー？
比奈,またそんな事言って……
？？？,ラァイヴスウィッチオンンッ！
麗奈,
P,あっ
比奈,あちゃー……
ピカット,ピカッと参上、ピカッと快傑！人呼んでさすらいのアイドル！快傑ピカァット！
麗奈,
比奈,麗奈ちゃん白目むいてまスよ
P,アイドルにあるまじき顔だぞそれ……
ヘレン,来たわね快傑ピカット！今日こそ私が世界レベルだということを証明してみせるわ！
ピカット,臨むところだ！
里奈,ひかるっちもヘレンっちもガンバー☆
麗奈,……光？
P,いや、白目系アイドルも行けるか……？
比奈,何言ってんスか。ほら、麗奈ちゃん復活しましたよ
麗奈,フ、フフフ……そう、ピカットは光だったのね……！。アーッハッハッハ！快傑ピカット、今こそリベンジしてやるわ！
ピカット,な、何っ！？
ヘレン,三つ巴ね、受けて立つわ！
里奈,キャハハ☆マジウケルー！
比奈,あー、何と言うか……
P,何と言うか？
比奈,平和っスねぇ
P,平和だなぁ
