峯岸セシリア,３０
アナウンサーたち,こんばんは。X月X日、ニュースダイヤモンドです
セシリア,本日お伝えする主な内容はこちらです。では、最初のニュース……
テロップ,峯岸セシリア３０
あるスーパー銭湯。サウナ室にある大型テレビが、,ニュースダイヤモンド
客たち,この女子アナ、なかなか可愛いじゃん
セシリア,台湾から金塊を密輸したとして、警視庁は数人の男を逮捕しました……
アナウンサーたち,……おやすみなさい
スタッフ,お疲れ様でしたーー！
週刊文隆,巨神・三橋健吾コーチ、帝テレ人気女子アナ峯岸セシリアと度重なる密会
編成局長,全く、君もバカなことをしてくれたな
セシリア,す、すみません。編成局長……
編成局長,読朝新聞と帝国テレビは、プロ野球の読朝ギガンツを商品価値にしているんだ
セシリア,申し訳ありません。本当に反省しています
編成局長,峯岸さん。ニュースダイヤモンドの降板はやむを得ない。場合によっては、君は帝テレを退職して貰うことになる
記者A,すいません！私、週刊近代の者ですが……
記者B,峯岸さん！私は週刊新春の者です！
記者C,峯岸さん！あなたは、三橋コーチとはどういう関係だったんですか！？
セシリア,あの……、私は……
記者D,峯岸さん！
喪黒,まあまあ……。落ち着いてください、みなさん
セシリア,あなたは！？
記者A,何のつもりですか、あなた！？
記者B,そうですよ！私たちの取材に、ちょっかいを出さないでください！！
喪黒,そのお言葉、あなたたちにお返ししますよ
記者たち,何だって！？
喪黒,一人の女性の私生活に、ちょっかいを出すべきではありません。峯岸さんが可哀想ですよ……。ドーーーーーーーーーーーン！！！
記者たち,ギャアアアアアアアアア！！！
喪黒,さあ、早く逃げましょう！。峯岸さん、こっちです！
BAR,魔の巣
セシリア,ハア……、ハア……
喪黒,もう大丈夫ですよ、峯岸さん。ここにいれば、マスコミの人たちに見つからずに済むでしょう
セシリア,あ、ありがとうございます……。それにしても、あなたは一体……
喪黒,私ですか？私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
セシリア,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
セシリア,人生相談とか、そういうお仕事なんですか？
喪黒,私のやっていることは、ボランティアみたいなものです
セシリア,ええ……、おっしゃる通りです……
喪黒,何なら、私があなたの相談に乗りましょうか？
セシリア,はい。実は私……
喪黒,ほう……、そうですか。それは実にお気の毒ですねぇ
セシリア,ええ。今回の事件で、私は仕事も名誉も何もかも失い……。心理的にもかなりのショックを受けました
喪黒,なるほど……。今のあなたは、心に大きな傷を抱えているようですねぇ
セシリア,そうなんです。私は今、精神的にも追い詰められているんです
喪黒,峯岸さん。あなたはしばらくの間、休養をとった方がいいですよ
セシリア,はい……
喪黒,私としては、大自然と向かい合うことをあなたにお勧めしたいのですよ
セシリア,大自然と向かい合う？
喪黒,はい。自然が豊かな山の中で1日を過ごすことは、傷ついたあなたの心の癒しとなるはずです
セシリア,そうかもしれませんね……。でも私は今まで、アウトドアとかは趣味じゃなかったので……
喪黒,大丈夫です。峯岸さん、あなたもアナウンサーならご存知でしょう。ほら、近年流行りの山ガールというものを……
セシリア,山ガールですか……。もちろん、私もいろいろ耳にしていますよ
喪黒,女性が山の中に入るのは、決して珍しいことではありません
セシリア,つまり、山ガールになれと……
喪黒,その通りです。峯岸さん、山ガールになってみませんか？
セシリア,……いいでしょう。たまには、山へ行くのもいいかもしれませんね
喪黒,そうです！その調子！
セシリア,えーーと……。キャンプについて書かれた本は……。ここか……。これが山ガールの服装……。思っていたよりも、意外とおしゃれに見えるねー。ハア……、ハア……、ハア……。よーーーし！ここにしよう！。まずは、テントの作り方……。こうやるのか……。よいしょ……。あったかい……。その通りね。こんな形で休みを取るのも、悪くないよね……。ここにいると、気持ちが落ち着いてくる……。おいしい……！
高見沢,やぁ……。あなた、ソロキャンプをしてるんですか？
セシリア,は、はい……。もしかして、あなたもそうなんですか？
高見沢,そうですよ。私もソロキャンプの最中だったんですよ。なるほど……。あなたは、帝国テレビのアナウンサーだったんですね
セシリア,ええ。今の私は、悪い意味で有名人になってしまいましたから……
高見沢,そんなことはありませんよ。あなたがアナウンサーであることや、この間の例の事件とかは、さっき知りました
セシリア,そうなんですか……。私が言うのも何ですが、高見沢さんって変わった方ですね
