の、続きです,前作のSSにシリーズのURL全部貼ってます
菜々,うぐぐ……と、届かない……
凛,菜々さん、そこの荷物は私が片付けておくから
菜々,すみません……ナナ、お姉さんなのに
凛,背の高さの問題だし、しょうがないよ。代わりに窓ふきお願い
菜々,任せてください！。……あっ、お姉さんといっても、少しだけ、ですからね！具体的には2つだけ！
凛,わざわざ言わなきゃ自然なやり取りだったのに……
光,命、燃やすぜっ！！
P,大掃除で寿命削られても困るぞ
光,そういう心構えが大事ってこと！男ならわかるだろ？
P,そういうものか……
茄子,わからないみたいなので、P君は女の子ということでかまいませんね
P,それは暴論すぎやしませんか
光,Pが女の子……
茄子,フリフリのドレスを着てー
光,フリフリ……
茄子,頭には銀のティアラを乗せてー
光,てぃ、ティアラ……
茄子,仕上げにガラスの靴を履いて、輝くシンデレラP君の完成です♪キャハっ♪
光,ガラスの靴……。あ、ああぁあ
P,おい拒絶反応起こし始めたぞ
茄子,あれ？かわいいと思ったんですけど
P,なっちゃん、さすがにそれは目がおかしいよ。俺、女顔ってわけでもないし
茄子,でもですね、イケメンには何着せても似合うものですよ♪
P,この前俺のことイケメンじゃないって言ってなかったか？
茄子,それは付き合う前のお話です。一度恋に落ちてしまったら、好きな人はとってもかっこよく見えてしまうんです♪
P,こいつぅ～、調子のいいこと言いやがって～
茄子,いいじゃないですか～♪
凛,プロデューサー、あっちの物置はだいたい終わった……なにこの状況
菜々,どこかで誰かがナナの持ちネタを使っていた気がします。ウサミン盗用レーダーがビンビンです！
光,くっ、なんて精神攻撃だ……やるな茄子さん……ぐっ
凛,こっちはなんかとんでもない表情してるし……身体震えてるよ？
光,ああ……だいぶ収まってきた。アタシ、結構イマジネーションとか得意なほうだから、それが逆に仇になって……
菜々,なんだかさっぱりわかりませんけど……そこの二人！ちゃんとお掃除しないといつまで経っても終わりませんよ！
P,あ、はいっ！すみません！
茄子,すぐ持ち場に戻ります、先生
菜々,はい、それでよしっ！。あと先生じゃないです
茄子,あ……今のはわざとじゃないので許してください
菜々,しょうがないですねえ
光,菜々さんって、時々本物の先生みたいだなぁ。Pと茄子さんも、菜々さんの言うことはよく聞くし
凛,……その話、あんまり本人の前でしないようにね
光,どうして？
凛,えっと……ほら、あんまりお姉さんなイメージつけたくないんだって。アイドル路線的に、愛されキャラだから
光,なるほど……そこまでアイドル活動に本気ってことか！さすが菜々さん！
凛,まあ、本気なことは間違いないよね……うん、フォローできた。たぶん
光,よし、こんなものかな！
茄子,きれいになりましたね♪
凛,プロデューサー、後半は大活躍だったね
P,男じゃないとできない力仕事って結構多いもんだな……はあ、疲れた
菜々,ジュース買ってきましたよー。疲れた身体をリフレッシュです♪
P,おー、ありがと菜々さん！気が利くなあ
光,どれにしようかなー
P,よし、じゃあ俺はこのスプライトを……っとと
茄子,大丈夫ですか？
P,ああ、キャップ開ける前で助かった。だいぶ腕が疲れてるみたいだな
茄子,………。あっ、そうだ♪
P,いらんこと思いついた顔してるな
茄子,私がスプライトを飲ませてあげます。つまり私がP君の腕になってあげるということですね。ささ、どうぞ♪
P,待て待て、ペットボトルのまま飲ませるとか絶対失敗するから。しかも炭酸だぞ
茄子,その辺は絆☆ぱわーでなんとかなりますっ
P,せっかくきれいにした部屋がまた汚れるから却下
茄子,……P君は、私を信じてくれないんですか？
P,まだまだ女優には程遠い嘘泣きだな
茄子,むむむ、今日のP君は手ごわいですね……ロマンというものがわかっていません
凛,確かに、たまにデリカシーがない時はあるよね。この前うっかり私の着替え覗いてあ、悪いの一言で済ませてたし
菜々,あー、それはナナも同感です。昔から――
P,あれ、そういう流れなの？女子が寄ってたかって男をいじめる流れなの？
光,………？
P,光、君は俺の味方だよな！なっ
光,あ、うん。よくわからないけど、3対1ならアタシは1のほうに加勢する！
P,さすがはヒーローだ！よし、俺と光の絆パワーで
凛,ふーん、やるの？
茄子,トークバトルは女子力が命ですよ？
菜々,キャハっ☆
光,……ど、どうしようP。アタシ、勝手に身体が震えるなんて初ライブの時以来だ
P,さっき俺の女装を想像した時も震えてなかったか
光,うぐっ……もう、せっかく忘れてたのに思い出させないでよ！
P,はは、悪い悪い。しかし敵は強大だ、やれるか南条隊長
光,もちろん！ヒーローは逃げないし諦めない！いくぞP隊員！
P,ラジャー！
茄子,むー！なんかいちゃいちゃしてます！
凛,羨ましいならあっち側行けばいいんじゃない？
茄子,ダメです。こうなったらコテンパンにしちゃいますっ
菜々,というか今さらですけど、トークバトルって具体的に何やるんですかね？
凛,……論破合戦？
菜々,ただの口喧嘩になりそうですね、それ……
凛,どうだろうね
菜々,え？
茄子,ウォーアイニー
P,ジュテーム
茄子,イヒリーベディヒ
P,テアーモ
茄子,イクホウファンェ
P,………。え、えーと……他には
茄子,ふふふ、言葉が止まりましたね？やっぱり私の方が知識が豊富です。よってトークバトルは私の勝ちですね♪
P,くっそー
光,ふむふむ、外国語の勉強になるな……
凛,ね、ただの痴話喧嘩になったでしょ
菜々,喧嘩と呼べるレベルですらないですね……光ちゃんの前で何をしてるんだか
凛,ちなみに菜々さん、昔はなんの教科教えてたの？
菜々,現代文です
凛,ふーん
菜々,………はっ！もう、凛ちゃん！ナナの過去を暴こうとするのはダメですよぉ
凛,ごめん、ふと気になったからつい
テレビ,ンナハハハハ
茄子,もうすぐ今年も終わりですねー
P,だな……しかし、なっちゃんと事務所で年越しすることになるとは
茄子,明日は朝早くから仕事だから、ここに泊まっていく？って言い出したの、P君じゃないですか
P,ああいや、そういうことじゃなくてさ。もっと大きい範囲で……こうして、なっちゃんと一緒にトップアイドル目指すことになるとはなー、と
茄子,あ……なるほど。そういうことですか。本当、不思議なお話というか……たまたまP君が、私を私と気づかないでスカウトしたのがきっかけでしたもんね
P,あの時はびっくりしたよ。よさそうな人がいるから声をかけたら、知り合いだったんだから
茄子,まあ、その知り合いにP君はろくに連絡をよこさなかったわけですけど
P,う……そこは反省してます
茄子,ふふっ、言ってみただけですよ♪……はい、お蕎麦できました
P,おー、なっちゃん特製の年越しそばだ
茄子,茹でただけですけどね。上に何か乗せた方がよかったんじゃないですか？
P,俺は年越しそばはシンプルにと決めてるんだ。だからこれがいい
茄子,ポリシーですね
P,そういうこと。あとどうでもいいけど、茄子の茄と茹でるって字、なんか似てるな
茄子,そういえばそうかも……鷹富士茹子って書類に書いても気づかれなかったりして
P,いやー、さすがに気づくだろう
茄子,ほほう。ではでは、私これから時々わざと鷹富士茹子と書くので、P君はちゃーんと全部見逃さずに指摘してくださいね♪。もし気づかなかった場合は………うふふ♪
P,なんだその緊張感を煽るゲームは……失敗したらなにされるんだか
茄子,問答無用で抱きしめてちゅーします
P,思わず失敗したくなるような罰ゲームはやめてくれ
茄子,そのうち、間違えまくっても問題ないような日が来ればいいですねー♪
P,………
茄子,ちょっとちょっと、そこ無反応は私が恥ずかしいですって……
P,あ、貴重ななっちゃんのマジ照れ顔だ。写真撮らなきゃ
茄子,ななっ！？だ、ダメですよほんと！だめだめっ！
P,携帯を没収された
茄子,変な考えを起こさないように私が預かっておきます
P,そんなことしたら午前0時にあけおめメールができないじゃないか
茄子,どうせ回線がパンクするからあとでいいです
P,そんなこと言わずにさ
茄子,ん……まあ、11時50分になったら返してあげましょう。ところで、あけおめメールでひとつ思い出したことがあるんですけど
P,思い出したこと？なにを
茄子,あれは高校2年生の冬。私が勇気を出してP君にあけおめメールを送った時のお話です……思い出すだけであれです、ムカッとなるやつです
P,なんかあったっけ？
茄子,そばスティールっ！
P,うわっ、一瞬にして俺の麺が奪われた！
茄子,おほへてはいんへふか？まっはくほう……
P,うん、全然覚えてない。あと口に物入れたまましゃべるんじゃありません
茄子,ごくん……とにかく、覚えていないなら今から話して思い出させてあげます。あけまして、おめでとうございます。今年も、どうぞよろしくお願いします――。……お、送っちゃった。あけおめメールとやらを送ってしまった……。い、いいのかな。私とP君の関係で送っちゃっても……ここ数年友達らしい友達がいなかったから、本気でわからない……。……だ、大丈夫ですよね。P君はノリと気分で生きているような男だし、メールが来たら来たでかるーく返事してくれますよね……？。うん、大丈夫大丈夫。落ち着きなさい鷹富士茄子、送ってしまった以上あとは座して待つのみ……。……1時間経っても返事が来ない。確かP君、毎年大みそかは夜更かしすると言っていたはず……。………。ま、まだです。携帯の回線がパンクして返信が届かないだけかもしれません。まったくしょうがないですねP君は。私は幸運にも一発で送信成功してしまったというのに。運の悪いP君のために、もう少し待ってあげましょう。うん。1時間57分経ったのに返信が来ない……。クラスの何人かからは、ちゃんとあけおめメールが来たのに……私が唯一自分から送った相手から来ない。……無視、されちゃったのかな。もう、寝ちゃったのかな……。………。……Pくんのばか……楽しくしてくれるって言ったじゃないですかぁ……。っ！め、メール……！。送り主は……。………。………。………。本気で呪いますこの野郎。まったくもう……！。……んもうっ！。だからP君、モテないんですよ……まったく、もう……。………♪。というわけでP君がクソラップを送りつけてきた日のことでした
P,あー、そういえばそんなこともあったなあ。いきなりなっちゃんが呪詛の言葉をぶつけてきたからびっくりしたよ
茄子,私が3時間半もの間、どんな思いで待っていたと思ってるんですか。待たされた理由があんなラップのためだったってわかったら、そりゃあ怒りますよ、もう
P,律儀に待たなくても、途中で寝ればよかったのに。いちいちあけおめメールの返信が来るかどうかなんて気にしなくても
茄子,P君は友達が少ない子の気持ちがわからないんですー！だからそんなことが言えるんですよっ
P,そういうもんかね……まあ、今は友達たくさんいるからいいじゃないか
茄子,……ええ、そうですね。昔のことですし、もう怒ってません。あの時は、へそを曲げちゃって素直に言えませんでしたけど……メールを返してくれたこと自体は、とってもうれしかったです♪
P,お、おう……どういたしまして。昔のことでお礼言われると、なんか変な感じだな
茄子,P君
P,ん？
茄子,今年は、本当にお世話になりました。やっぱり、あなたといると楽しいです。それに……今は、楽しいだけじゃなくて……ドキドキ、しちゃいます♪
P,……ああ、俺もだ。俺のほうこそ、今年はお世話になりました
茄子,はい、お世話しちゃいました♪。ふふっ、なんだかおかしいですね
P,いいじゃないか。世の中助け合い、世話し合いってことで
茄子,なるほど、それもそうですね。では――。あけましておめでとうございます
P,あけましておめでとう。それと、誕生日も……ほら、プレゼント
茄子,わあ、ありがとうございます♪開けてもかまいませんか？
P,もちろん
茄子,では早速――。これは……
P,懐中時計ってやつ。結構オシャレだろ？。時計なら、とりあえずあっても困らないかなーと思ったんだけど……どう？
茄子,……素敵なデザインです。私、気に入っちゃいました。大切にしますね♪
P,そっか。よかった
茄子,はい♪。ところで、どうして時計を選んだんですか？
P,え？いや、だからとりあえずあって困らない物を
茄子,それ、本当ですか？
P,本当って、なにが
