光の勇者(以下、勇者),いや……お前、出陣とか言うなって……
地の四天王,以下、地王
勇者,いや、だからな……
地王,気合を入れろ！歯を食いしばれ！。祝福の聖女と、熱い口付けをしに行くのだろう！。この俺自ら、歯の磨き残しが無いかチェックしてくれるわ！
勇者,余計な気を回してんじゃねえええええ！。そもそも！なんでそう思うんだよ！？
地王,ふん！わからぬと思ったか！
勇者,だから、何でだっての！
地王,知れたこと！。――今晩、大事な話があるんだ。……そう言われたと、祝福の聖女に相談されたからよ！
勇者,筒抜けじゃねえか糞があああああ！
地王,ふはは！普段の俺は、大地の魔女だからな！
勇者,ああ、そうだな！お姉ちゃんとか呼ばれてるもんな！
地王,うむ！色々アドバイスしておいたぞ！
勇者,お前、本当余計な事ばっかしてくれるよな！
地王,光の勇者よ、お前はもう逃げられぬ！。祝福の聖女の愛と――。――この俺の！お姉ちゃんパワーからはな！
勇者,姉ぶるのは、せめて女の姿の時にしてくれ！。そもそも！なんでその姿で居るんだよ！
地王,何？わからんのか？
勇者,……魔王が来てたんだな！ああ、そうだろうよ！
地王,む？それは違うぞ、光の勇者よ。女の所へ行く男を見送るのに、女の姿では締まらんだろう。仲間として……男として、決戦に赴くお前を送り出すためだ
勇者,……変な気遣いすんなよな
地王,そもそも、何が不満なのだ
勇者,あん？
地王,宗教関連？女神に見られている気がする？
勇者,……
地王,そんなもの、女神教を滅ぼしてしまえば良いだろう。女神には、まあ……なんだ。見せつけてやれば良いのだ！余す所なくな！
勇者,大雑把過ぎるアドバイスをありがとうよ！！
地王,何か、他に気になることでもあるのか？
勇者,……言いたくねえ
地王,ふむ、ならば当ててやろう
勇者,……
地王,お前達――光の勇者、祝福の聖女、剣の乙女は三人。二人が付き合うと、残った一人が非常に気まずいから……だろう？
勇者,……まあ、それはある
地王,今は、俺が居るではないか
勇者,お前は地の四天王で敵だけどな！
地王,ええい！いい加減、腹をくくれ！
勇者,お前には言われたくねえ台詞だよ！
地王,祝福の聖女は、今日は薄化粧をしてくる！。照れていないで、褒めるのを忘れるなよ！
勇者,お前……お前本当さあああああ！？。なんでそこまで詳しいんだよ！？
地王,無論！俺が、聖女のお姉ちゃんだからだ！
勇者,なんでそこまで親身になってんだよ！？
地王,……ふっ。愛の女神の祝福とは……恐ろしいな。お姉ちゃん、と呼ばれるとな？。任せなさい！という気分になってしまうのだ
勇者,祝福関係あんのかそれ！？
闇の魔王,以下、魔王
祝福の聖女,以下、聖女
魔王,この宝石には、余の闇の魔力が込められている……
聖女,闇の魔力が！？う、受け取れません！
魔王,この宝石に、影よ、と念じるのだ。さすれば……三時間は女神の目すら欺けるだろう
聖女,さ、三時間！？それに……どんな意味が！？
魔王,其方は、今宵……光の勇者と口付けを交わすのだろう？
聖女,ふえっ！？///ど、どうしてそれを！？///
魔王,余の魔眼は、其方の考えなど全て見通している
聖女,ま……まさか、心を！？
魔王,普段は、男では気付かぬ……肌の色を整える程度。だが、今日は――色付きのリップもしているのでな
聖女,はいっ！街で見かけた、唇がプルプルに見え――。……心を読まれた方がマシな感じです！///。だけど……どうして、そんな物を？
魔王,……先日、余の発言が其方を不快にさせてしまったからな
聖女,あ、あれは……魔王さんが悪いんじゃありません！
魔王,ならば、ただの贈り物として受け取るが良い。……次の機会には十四時間のものも用意しよう。今後、必要になってくるだろうからな
聖女,ですから、どうして女神様の目を欺く必要が！？。私達は、女神様にやましい事はありません！
魔王,……ふむ
聖女,キスだって、その……神様の前で、誓いのキスもしますし！///
魔王,……祝福の聖女よ。其方は、甘いな。光の勇者と言えども……奴は男なのだぞ？
聖女,男だから何だって言う……。……。あっ。いや……いやいやいや！///えっ、ええっ！？///
魔王,祝福の聖女よ、其方は……深い口付けを侮っている
聖女,いやっ、でも！///そんな……えー！？///ええーっ！？///
魔王,余とて、あれには抗う術を知らぬ。闇の魔王の言葉が信じられぬか？。ふふっ……どうする？。――祝福の聖女よ
聖女,……。…………。……わあっ、とっても素敵な宝石ですね！。ありがとうございます、魔王さん！。やましい事は……やましい事は、ありませんけど！
魔王,見られながらと言うのも、な
聖女,ほ、他に……何か、気をつける事ってありますか？
魔王,……ふむ、そうだな。祝福の聖女よ、流れに身を任せすぎるな。――相手は、光の勇者。――其方は、祝福の聖女。今、愛の奇跡が起きては……困るであろう？
聖女,きっ、気をつけます！。その奇跡に関しては……二人で相談して……。けっ、計画的に！///計画的にミラクルします！///
地王,――ふはは！思い通りに事が進んだわ！。光の勇者……そして、祝福の聖女！。――なんと、御しやすい！。今日のこの状況が――。この、地の四天王と！。闇の魔王様の狙い通りだとも知らずに！。……ふはははっ！ふっはははははっ！。……この旅が終わったら、なーんぞ認められるものか！。その時は、奴らか俺たちのどちらかが倒れているではないか！。光の勇者と、祝福の聖女に――幸あれ！。はっはっは！はぁっはははははっ！。……さて、今宵はもう何の予定も無い。魔王様も、城に戻り……静かに応援すると言っていたからな！。――むん！
大地の魔女,以下、地女
地女,昼に買っておいた、菓子を食べるまでよ！。……いや、待つのだ。――今は、飲みに行くなという勇者が居ない。つまり……。……完全に自由だな？。……。――ぬうう！リーダー不在とは！。ええい！光の勇者め、面倒をかけさせてくれる！。こうなったら、各々が判断し行動する他あるまい！。……ならば！。――いざ、酒場♪
