地の四天王,以下、地王
光の勇者,以下、勇者
地王,いやぁ、めでたいめでたい！
勇者,……なんか、妙に嬉しそうじゃねえか
地王,いやな？お前がブチュッとしてる間に、火の四天王が来てな？。正体がバレたと思いきや、バレずに済んでいたのだ！
勇者,命が助かったんなら、そりゃ喜ぶよな！
地王,さすがの俺といえど、あの時は肝を冷やしたぞ！
勇者,火の四天王に冷やされるなんて、皮肉っぽいな
地王,奴め、唐突にあらわれてキスを迫ってきてだな……
勇者,はぁ！？なんだ、火の四天王は女のお前に――
地王,うむ！大地の魔女に惚れているようなのだ！。チュッとしただけで翼と、さらに尻尾まで出てだな？。――地の四天王が戻ったら、婚約の解消を申し出る。……と、笑いながら言っていたぞ！
勇者,それは……お前としては助かった、のか？
地王,うむ！当初の計画通りだな、光の勇者よ！
勇者,火の四天王と婚約を解消して、時間稼ぎ……ってあれか
地王,そうだ！ふはは、光の加護の効果は凄いな！
勇者,敵のお前を守ってる形なのが癪だよ！
地王,しかし……あの様な危機が訪れるとは。まるで、三時間程……光の加護が消失したようだった。光の勇者よ、今後はこのような事の無いように頼むぞ
勇者,痴情のもつれで光の加護を頼るんじゃねえええええ！！
地王,火の四天王に関しては、これでもう安心だな！
勇者,婚約を解消したから、戻っても大丈夫だと？
地王,うむ！いやー、助かった助かった！
勇者,……
地王,まさか、あちらから婚約を解消してくれるとは！。この俺の未来は、光で溢れているな！。はっはっはっはっは！
勇者,……。おい
地王,む？何だ？
勇者,良いのか？
地王,光の勇者よ、何を言っている。俺は――酔って、他の女達とヤっちゃってるのだぞ？。火の四天王も、そんな男が婚約者では……な？
勇者,いや……そりゃまあ、本当にそうだけどよ
地王,火の四天王は、大地の魔女に想いを寄せた。つまり、奴にとって――。――この、地の四天王は用済みなのだ！。あとは、大地の魔女の姿でな？。こう……良い感じに、新しい相手を探すのだ、と。その様な事を言って、スッと消え去れば完璧だ！
勇者,……
地王,水の四天王は、まあ、このまま放置で良いだろう
勇者,……そうなのか？
地王,うむ！奴とは、しばらく会っていないのでな！
勇者,……だから何だよ？
地王,遠距離で、会えない期間が長ければ――。――なんとなく！自然消滅するだろう！
勇者,ああ……まあ、そうかも知れないな
地王,闇の魔王様は……素面でヤっちゃっているのが、なぁ
勇者,……
地王,風の四天王も……何を考えているか、良くわからんからな！
勇者,……。――地の四天王、もう一度だけ聞く。火の四天王に関して……本当に、これで良いんだな？
地王,……うむ、これで良いのだ。俺の命が助かりつつ、火の四天王も前へ進める。……ふはは！これ以上の結末はあるまい！
勇者,……お前がそう言うんなら、良いさ
地王,うむ！
勇者,まぁ……たまには、二人でメシでも行くか
地王,ほう！。それは――
大地の魔女,――大丈夫か？浮気と誤解されんか？
勇者,まあ、街に繰り出すならその姿になるよな！。っつーか、お前に浮気の心配なんかされたくねえよ！！
火の四天王,以下、火王
