棟方愛海,っていうユニットを考えたんだけど
モバＰ,…
愛海,どうかな？プロデューサー
Ｐ,却下で
愛海,えー！なんで！
Ｐ,どう考えてもお前の煩悩丸出しじゃねーか
愛海,そんなことないって！ちゃんとバランスのとれたメンバーでしょ
Ｐ,胸のサイズ的にな
愛海,もー！あたしが女の子のやわらかいふくらみのことしか考えてないと思ったら大間違いだよ！
Ｐ,え？逆にそれ以外考えてることあるの？
愛海,ぐぬぬ
Ｐ,いや確かに美優さんはえっちだよ？
愛海,だよね！
Ｐ,でもこのユニットまとめ役いなくね？
愛海,じゃあ発案者のあたしで
Ｐ,はいアウト
愛海,どうして！
Ｐ,どうしてもくそもあるかい！
愛海,いやどう考えてもあたしが適任だと思うけどな
Ｐ,逆に聞くがどうしてだよ
愛海,ふっ…由愛ちゃんと美優さん…小さい山と大きい山…この２つの山を登り渡れる存在はこのあたしだけだよ
Ｐ,ごめん何言ってるか全然わかんない
愛海,ひどい！
Ｐ,ともかくこんなユニット企画書却下却下
愛海,ああ！あたしのふたご山登山計画書が！
Ｐ,俺だって三船さんの胸揉みてえんだよ！
愛海,急に逆ギレ！？
Ｐ,はっ・・・いかん取り乱した、すまん愛海
愛海,とにかく、いったん落ち着いて。ねぇ、ちょっとだけでも考えなおそ？プロデューサー
Ｐ,じゃあちょっと考え直してみる
愛海,さすが！
Ｐ,考え直した結果、どうみても愛海が三船さんに手を出してユニット解散の黄金パターンの未来しか見えない
愛海,セリフいっこ分すら考え直してくれてない！
Ｐ,なこといっても、今まで何人のアイドルの柔肌が愛海ハンドの犠牲になってきたか…
愛海,ちょっ！あたしそんなことしないよ！
Ｐ,いやするだろ
愛海,まぁするよね
Ｐ,マヌケが見つかったようだな
愛海,はっ！しまった！つい本音が！
Ｐ,つーわけで解散解散ー。そもそも組んでないけど解散ー
愛海,ああ！せめてワンタッチだけでも！美優さんにワンタッチだけでも！。新しいユニットを考えてきたよ
Ｐ,今度こそまともなやつだろうな
愛海,とんでもない、あ、これユニットの計画書ね
Ｐ,うん、あとで読んでおくよ
愛海,今度はちゃんと２人で考えてきたもん！
Ｐ,ほう。今回は２人なのか
愛海,さっそく相方も呼んでおいたよ
Ｐ,手際がいいな
多田李衣菜,こんにちはー
Ｐ,おお李衣菜か。なんか意外な組み合わせだな
愛海,でしょ！
李衣菜,へへん、このユニットは間違いないですよ、プロデューサー！
Ｐ,じゃあ肝心のユニット名をきこうか
愛海,ユニット名は…ロッククライマーズ
Ｐ,あれ、なんか思ってたよりふつうだな
李衣菜,そうそう、なかなかクールでロックないいユニット名ですよねー！
