大学選抜A,高校生の8輌相手に殲滅戦？しかもカールまで使うって
選抜C,大洗高校っていえば、ねぇ、戦車道WEB見た？
選抜B,ん？あぁ、大洗の？
選抜C,そう。廃校決まったのに、これってさ……
選抜B,最後のチャンスってやつ？……勘弁してよね
選抜A,これってさ、私たちに引導を渡せってことだよね。最悪
選抜B,隊長やバミューダ三姉妹はどう思ってんのかな
選抜C,愛里寿隊長てか隊長のお母さんだよね
選抜A,島田流はプロリーグ設置委員長の席、西住流にとられちゃったし
選抜B,全力で叩き潰せくらい言いそう
選抜C,うわー愛里寿隊長かわいそう
選抜B,……こんな弱い者いじめするために、強くなったわけじゃないのに
選抜C,私たちがどうこう言っても、もう色々動いてるし。なんかやりきれないね……
愛里寿,では、いってくる
選抜A,……他の子たちとも話したけど、やっぱみんな知ってたよ。中隊長たちも
選抜B,向こうの列見てよ。どう見たって少なすぎるよ
選抜C,格好悪いなぁ、私たち……
選抜A,三姉妹も言ってたけど、全力で戦うのが、私たちに出来るせめてもの礼儀だよ
選抜C,ちょ、え、何！？
選抜A,……！！あそこ！
選抜B,あれ……ティーガーにパンターじゃない！？
選抜C,ねえ、あっちも！シャーマンとファイアフライ！！
選抜A,わ、わ、なんか他にもいっぱい来た！！これ、全部向こうの援軍だよきっと！！
選抜B,じゃあもう、これ、大学選抜対高校選抜みたいなもんじゃん！！
選抜A,………！！
選抜C,………！！
選抜A,あのさ、これ……！
選抜B,うん…！
選抜C,面白くなってきたァ！！
操縦手,な、なんなの今の
赤星,…………っ…
砲手,あいたた――…、いきなりびっくりしたぁ
砲手・操縦手,！？
赤星,………
操縦手,こ、小梅――
赤星,………ると思ったのに……
砲手,え？
赤星,折角…ッ、にし、住さんにッ…ﾋｯｸ…恩返し、できるって……！！
操縦手,小梅……
砲手,あ……
赤星,こんな、とこで……～～～～ッ！！
操縦手,大丈夫、大丈夫だよ
赤星,…ッ、…ぅ…ッ
砲手,ほら、まだまだ試合続くんだから。ここからは精一杯応援しよ！
操縦手,西住さんと隊長ならきっとさっきのも攻略できるから、ね？
赤星,…っ……
