モバＰ,なにをしてるんだ、愛海
棟方愛海,んー？ちょっと指の運動をね
Ｐ,まあ、指の運動にはなるだろうが……
愛海,――よし、出来た！
Ｐ,綺麗な折鶴だなぁ
愛海,いやぁ、折り紙は指先を使うからね。良い運動になるよ
Ｐ,他にもいろいろ折ってあるな。……手裏剣に、風船、それから紙鉄砲か
愛海,折ろうと思えば、もっと難しいのも折れるよー
Ｐ,幼年組が喜びそうだな
愛海,実際に、折ってあげるときもあるけどねっ
Ｐ,意外だな……愛海もお姉さんしてるときがあったのか
愛海,当たりまえじゃないの！なんてったって、小さいのも好きだからね。うひひ……
Ｐ,今のがなかったら、良いお姉さんなのになぁ。パパとデート、か
的場梨沙,なによ、したら悪いことがあるわけ？
Ｐ,いや、どのパパとするかによって変わるというか
梨沙,パパはパパでしょ！妙な勘繰りしないでよ、キモいから
Ｐ,せめて呼び方を変えよう。お父さん、とかだと響きも怪しくないから
梨沙,怪しく感じるやつの感性がおかしいのよ
Ｐ,そうか、梨沙はそう言うわけだ
梨沙,なんか含みのある言い方するわね……
Ｐ,いや、別に
梨沙,まったく、そんな深読みする大人ばっかりだから――ん、ちょっと、なんで携帯を取り出してるの？
Ｐ,なに、梨沙のファン一号さんが、この趣味は勘違いする人がいるかも、と言ってたからな
梨沙,はぁ？……もしかして、それって！？
Ｐ,大丈夫だ。そんな風にとる頭がおかしいって返しとくから
梨沙,そこまで言ってないでしょ！というか、パパが心配してくれたなら、最初からそう言いなさいよっ
藤原肇,Ｐさん、湯呑みをまた作ったんですが……
Ｐ,お、新作か。今回は――桜模様だな
肇,はい。Ｐさんと見た夜桜が、とても綺麗だったので、それを模様にしたくて
Ｐ,上手く色も出てるなぁ。使うのがもったいないくらいだ
肇,ありがとうございます。……でも、Ｐさんに使ってもらった方が、嬉しいですから
Ｐ,そうか。じゃあ使わせてもらおうかな
肇,そうしてください。あ、お茶いれましょうか
Ｐ,ああ、ありがとう。……ところで
肇,はい？
Ｐ,このままだと、俺用の湯呑みが六つを超えるんだけど
肇,……ふふっ
Ｐ,笑って誤魔化さないの
大原みちる,あ、プロデューサー！
