記者,・・・これで、本日の取材は以上です。萩原さん、ありがとうございました
雪歩,はい。こちらこそ、本日はありがとうございます
P,雪歩、お疲れ様。結構、取材長かったけど・・・大丈夫だったか？
雪歩,はい！・・・でも、ちょっと疲れました
P,そうだよな。インタビュー受けたり、そのための写真も撮ったりしたからな。すぐに片づけて事務所に戻るか？それか、どこか喫茶店にでも寄ってお茶してもいいぞ？
雪歩,それじゃあ・・・プロデューサー、スタジオの外で散歩しませんか？
P,散歩？
雪歩,はい。このスタジオって公園に隣接してますから、散歩したらいいリフレッシュになると思うんです
P,なるほど。ここの公園は緑もいっぱいだし、それはいいかもな！。じゃあ雪歩、出る準備しよう！
雪歩,はい！。えへへ・・・散歩するには丁度いい季節ですね？プロデューサー
P,そうだな。少し動くには最高の気温だ
雪歩,ちょっと前までは、歩くと汗ばんじゃいましたもんね
P,そうそう、風も心地良いし、本当にいい季節になったもんだよ
雪歩,はい！それに・・・ひゃう！向こうから犬がぁ！
P,ん？・・・雪歩、あれダックスフンドだぞ？さすがにあんな小さな犬だったら・・・
雪歩,ダメですぅ！絶対私に向かって走ってきます！吠えてきます！
P,お、おいおい、雪歩！離れろって！
雪歩,むむむ無理ですぅ！！
P,ちょっ、雪歩！そ、そんな抱きつくなって！・・・あ、いや、すみません。この娘、犬が苦手でして・・・
ワンちゃん,・・・？
雪歩,ひいぃぃぃ！！
P,ゆ、雪歩、力入れすぎ！・・・く、苦しい・・・
雪歩,す、すみません！プロデューサー！
P,だ、大丈夫だ。でも・・・まだ犬嫌いは克服できてないんだな
雪歩,はい・・・やっぱり苦手です。ごめんなさい・・・
P,それでも、男嫌いは直ったみたいだな？
雪歩,ええっ！？どうしてですか！？
P,だって、さっき犬が近づいてきたら俺に引っ付いたじゃないか
雪歩,えっ・・・ああ！。あれは犬が急にやって来たから思わず抱きついてしまったんです！今でも男の人とのお仕事だったらとても緊張してしまいますし！その・・・
P,お、落ち着け、雪歩！
雪歩,それに！・・・プロデューサーだから、そういう風に抱きつくことができたんです
P,え？
雪歩,な、何でもありません！
P,？・・・まあ、犬嫌いも男嫌いもゆっくり直していけばいいさ。そうだ、雪歩、そこのベンチで少しゆっくりしよっか
雪歩,はい
P,あ～、お日様が気持ちいい・・・
雪歩,そうですね。暖かくて気持ちいいです
P,ホント、このまま目をつぶったら寝てしまいそう・・・
雪歩,そよ風も吹いてて・・・あ、この香り・・・確かこれ・・・
P,ん？・・・ああ、この匂いは・・・キンモクセイだ
雪歩,だから、どこかで嗅いだことのある匂いだなって思ったんですね
P,このベンチの近くに植えられてるから、それから匂ったんだろうな
雪歩,キンモクセイって、いい匂いですよね
P,雪歩もそう思うか？意外とキンモクセイの匂いって好みが分かれるんだ
雪歩,私は好きです。甘くて、心を落ち着かせてくれる香りというか・・・
P,ああ～、分かる。リラックスできるよな
雪歩,それに、お茶にこのキンモクセイの花びらを混ぜたお茶もあるんです
P,へえ！そんなお茶があるんだ、いい匂いがしそう！
雪歩,あと、花びらを白ワインに入れたお酒もあるんですよ？
P,それは知らなかったよ・・・雪歩は物知りだな！
雪歩,ありがとうございます！・・・えへへ
P,・・・何だか、キンモクセイってウチのアイドルたちみたいだな
雪歩,え？
P,この小さい花がみんなたくさん集まってこんな強い匂いを放つ姿が、団結してものすごい力を発揮するウチのアイドルたちに似てるなぁって
雪歩,そう言われると・・・似てるかもしれませんね
P,今だとウチのアイドルは、一輪のキンモクセイの花だと例えるには小さすぎるかもしれないけど・・・
雪歩,そうですか？
P,ああ、みんな一段と輝いて、本当に胸張って誇れる可愛いいアイドルたちだよ
雪歩,あ、ありがとうございます・・・。でも、私たちがこのキンモクセイのお花だったら・・・。社長や律子さん、音無さん、そしてプロデューサーはこの木の枝や葉っぱ、根っこじゃないですか？
P,俺たちが枝や根っこ？
雪歩,はい。枝や根、葉っぱが無いと、花は咲きませんから。それは私たちアイドルとプロデューサーたちみたいだなって思って・・・
P,ははは！こりゃ一本取られたよ！。そういう風に言ってくれると嬉しいよ。ありがとう、雪歩
雪歩,・・・。そうだ、プロデューサー。そのキンモクセイの花びらの入ったお茶、確か家にあったので、今度事務所に持ってきましょうか？
P,本当か？是非ともお願いするよ！
雪歩,どんな香りがするのか、楽しみにしててくださいね？
P,ああ、楽しみにしておく！。・・・よし、そろそろ事務所に戻ろっか
雪歩,はい
P,雪歩、少しは気分転換できたか？
雪歩,はい！とってもいいリフレッシュになりました！。それに、キンモクセイのいい香りも楽しむこともできましたから・・・
P,そっか、それなら良かった！
雪歩,・・・これで、よし！明日の準備完了！。明日は、朝事務所に行って、それから、真ちゃんとラジオの収録に出て・・・。あっ、そうだ！今日プロデューサーと話してたお茶も入れておかないと！。ふう、忘れなくて良かったぁ。明日の朝は、プロデューサーは事務所に来るのが遅いって言ってたけど・・・。あ、でも、ラジオの収録が終わったら、事務所に戻るから・・・。うん、プロデューサーにお茶を淹れることができる！。えへへ、プロデューサー、喜んでくれるかなあ・・・。ﾊｯ!・・・さっきからプロデューサー、プロデューサー、って・・・！。そ、そんな、私！でも、プロデューサーはプロデューサーで、私はアイドルだから、そんなこと考えたら！。でも、こんなダメダメな私をしっかり見守ってくれて、変えてくれて・・・。プロデューサーのことはとっても感謝してる・・・けど、それ以上に・・・。私、プロデューサーのこと、好きなのかな・・・。～～～～～っっっ！！！///。はぁ、はぁ・・・ジタバタしてたらちょっと暑くなっちゃった。窓を開けて少し体を冷やそう・・・。ふぅ・・・涼しくて気持ちいいなぁ。・・・あっ、この匂い・・・キンモクセイ。私の家のお庭にもキンモクセイの木が・・・。だから私、キンモクセイの匂い覚えてたんだ・・・。そうだ、確か、キンモクセイの花言葉って・・・。・・・よしっ！。あ、お母さん？ちょっといい？。あのお庭のキンモクセイだけど・・・。うん、明日事務所に・・・。おはようございます！
小鳥,あら、雪歩ちゃん、おはよう！。あ、その匂い・・・それ、キンモクセイかしら？
雪歩,はい、そうです。家の庭で咲いてていい匂いだったので、持ってきました
小鳥,私もそのキンモクセイの香り、好きなの。ありがとう雪歩ちゃん♪
雪歩,えへへ・・・良かったです！。そうだ小鳥さん、花瓶ってどこにありますか？
小鳥,ええと、ちょっと待ってね？。・・・はい、雪歩ちゃん
雪歩,ありがとうございます
真,おはようございます！
小鳥雪歩,おはよう、真ちゃん！
真,おはよう、雪歩！小鳥さん！。今日もいい天気ですね！・・・って、この匂い・・・
雪歩,キンモクセイだよ？
真,へえ！良い匂いだね！
雪歩,うん、家に植えられてたから、少し持って来たんだ。花瓶に水を入れて、キンモクセイを差して・・・。あとはこれを、ここに・・・よしっ！
小鳥,2人はラジオの収録だったよね？
真,はい！・・・あっ、もう出ても良い時間かな・・・じゃあ、そろそろ行こっか雪歩！
雪歩,そうだね、真ちゃん！
真,じゃあ小鳥さん、行ってきます！
小鳥,行ってらっしゃい、真ちゃん
雪歩,小鳥さん、行ってきます！
小鳥,行ってらっしゃい、頑張ってね！。・・・ふぅ。それにしても、このキンモクセイ、良い匂い・・・。うふふっ♪疲れてても、疲れが飛んで行きそうね♪。雪歩ちゃん、花瓶をプロデューサーさんの机の隣に置いたけど・・・。応接間の方が日当たりが良いから、向こうに置いた方が良いかしら？。ああでも、プロデューサーさんの机の横でも十分日当たりが良いわね。ん？確か、キンモクセイの花言葉って・・・。・・・そういうことね？うふふっ、雪歩ちゃん、なかなかやるわね♪
他にも,謙虚
