藤島夏希,２８
テロップ,東京都、黒鳥市――。藤島夏希２８
警察官A,黒鳥3から警視庁
警視庁関係者,警視庁です。どうぞ
夏希,お茶です
警察官B,おお、気がきくな
星野,藤島君。再来週の休日、君は暇かい？
テロップ,星野正一５８
夏希,何のことですか、署長？
星野,決まってるだろ。そろそろ、俺と一発をヤらないか？
夏希,署長！！
星野,いいじゃないか、別に減るもんじゃないし……
夏希,…………
星野,どうした？嫌か？君は俺のおかげで、今までいい思いができたんだろ
夏希,……分かりました
星野,それでこそ君だ。いやぁ、藤島君は物分かりがいいなぁ
夏希,私が警察官になって間もないうちから、この男との腐れ縁が続いている……
星野,署長、話というのは一体……？
夏希,嫌っ……！！やめて！！
夏希のモノローグ,あの事件の後、いつの間にか私は署長と愛人関係になっていた。署長のおかげで、私に数々の贅沢を味わうことができた。しかし、私はこの男のことを愛しておらず、むしろ憎いとさえ思った
夏希,私はもう、我慢の限界だ……
一同,イッキ！！イッキ！！イッキ！！
喪黒,これがホストクラブですか……。それにしても、にぎやかな店ですねぇ
ホスト,確か、あそこの席にいるお客様は現職の女性警官だそうです
喪黒,もしもし……
夏希,何の用ですか、あなた？
喪黒,私、さっきのお店であなたを見ましたよ。ずいぶん、派手に騒いでいたようですねぇ
夏希,もしかして、あなたもあのホストクラブにいたんですか？あなた、男性でしょ
喪黒,ええ。ホストクラブとはどんな店なのだろうと気になって、私はあの店を訪れました
夏希,そうですか……。好奇心が旺盛なんですね、あなた……
喪黒,ところで、あなた……。普段は警察のお仕事でストレスがたまっているでしょう
夏希,ど、どうしてそれを……！？
喪黒,お店の人から聞きました。私の仕事柄、今のあなたを放っておくわけにはいきませんよ
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
夏希,ココロのスキマ、お埋めします！？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
夏希,あなた、カウンセラーか何かなのですか？
喪黒,私のやっていることは、ボランティアみたいなものです
夏希,ええ。おっしゃる通りです……
喪黒,よろしかったら、私があなたの相談に乗りましょうか？
BAR,魔の巣
喪黒,ほう……。あなたもずいぶん辛い過去を背負っているようですねぇ
夏希,はい……。私はあの署長のせいで、自分の人生を狂わされてしまいました
喪黒,藤島さん。あなたは署長が憎いでしょう？
夏希,ええ……。あいつの死を何度願ったかしれません。私がこの世で最も憎んでいるのは、あいつなんです！
喪黒,……分かりました。あなたにいいものをあげましょう
夏希,何ですか、これ？
喪黒,これは、呪いの武者人形です
夏希,呪いの武者人形……
喪黒,そうです。藤島さん。この人形に向かって、署長が死ぬことを祈ってください
夏希,その話、本当なんですか？
喪黒,本当です。武者人形に祈りを捧げれば、憎い相手を確実に死へ追いやることができます
夏希,もし、それが本当だとすれば……。非常に気味が悪くて、手にしたくないものですね……
喪黒,今さら、何を言うんですか？藤島さんは、無意識の奥ではこう思っているでしょう
夏希,で、ですが……
喪黒,それとも、藤島さんはこのまま署長のペットでいたいのですか？あなたがこの世で最も憎んでいる彼の言いなりになって……
夏希,それは嫌です……！！そんな人生を送り続けるよりも、この人形を使ってあいつを消すことを選びますよ！！
喪黒,いいでしょう。武者人形を藤島さんにあげますよ。その代わり、あなたには約束していただきたいことがあります
夏希,約束！？
喪黒,はい。この武者人形で呪いをかける人間は、たった一人だけにしておいてください
夏希,わ、分かりました……。黒鳥警察署長の星野正一が、悲惨な死を遂げますように……。署長、何をするんですか！！やめてください！！
星野,ハッハッハッ！！
夏希,やっぱり、武者人形に祈ったくらいじゃ何も起きやしないか。憎まれっ子世にはばかるが世の常だから……
