榊英之助,５７
冬。東京。住宅街、とある民家。塀には,榊
榊,…………
テロップ,榊英之助５７
編集者,ありがとうございます。原稿は確かに受け取りました
榊,私が書いてきた公安刑事影山伸介シリーズも、これで最後になりますね
編集者,はい。榊先生、長らくご苦労様でした
榊,まあ、こう言うのも何ですが……。このシリーズは事実上の打ちきりでしょう
編集者,榊先生。今の時代は出版不況なんですよ
榊,そうですよね……。今の私の作風では、大衆の普遍的な支持は得られませんからね
編集者,だったら、榊先生……。いっそのこと、作風の転換を行えばいいんですよ
榊,そうかもしれませんね。私も、食っていくためにやるしかないでしょう
編集者,私が榊先生にお勧めしたいのは、時代小説か官能小説の執筆ですよ
榊,時代小説か官能小説の執筆……？
編集長,はい。その方面の分野なら、間違いなく大衆に支持されるでしょうし……、作品も売れるはずです
榊,俺は、作品が全く売れていない。しかも、これまで書いてきたシリーズは打ち切り……
喪黒,冬の枯れたハスもまた、味わいがあっていいですよねぇ
榊,ええ、まあ……
喪黒,冬のハスは、何とも言えない静寂さを醸し出していて……。見ていると、心の底から哀愁を覚えるんですよ
榊,そ、そうですか……。あなた、詩人みたいなことを言いますね
喪黒,でも、枯れた冬のハスも、次の夏には花を咲かせるんですよ。満開の花を……
榊,は、はあ……
喪黒,冬の枯れたハスは、冬眠して力を蓄えている状態なのです。次の夏のために……
榊,ど、どうして私が榊英之助だと分かったんですか！？
喪黒,実は私、先生のファンなのですよ。自己紹介が遅れましたが、私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
榊,……ココロのスキマ、お埋めします！？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
榊,セールスマンだって！？貧乏作家の私に、何を売りつける気なんですか？
喪黒,今後のお仕事に、役に立つかもしれない話があるんですよ。例えば、時代小説の執筆とか……
榊,な、なぜそのことを……！！
喪黒,ねぇ、榊先生。いい店を知っていますから、そこでゆっくり話でもしましょう
BAR,魔の巣
喪黒,先生の作品は、良質なものが多くて読み応えがありますよ
榊,お、お褒めいただき恐縮です……
喪黒,先生の小説の方向性といえば、やはり重厚な社会派小説や国際謀略小説でしょう
榊,ですが……。私の小説の方向性は普遍的な支持を得られず、作品はどれも売れませんでした
喪黒,たとえ力作を書いたとしても、売れなかったら生活にこたえますからねぇ
榊,ええ……。私の作品があまりにも売れないもんだから……。編集者は、私に時代小説か官能小説の執筆を勧めてきたんです
喪黒,まあ……。編集者の話しぶりからして、これは先生に対する廃業勧告みたいなものですよねぇ
榊,はい……。今の私は、作家人生で最大の危機を迎えているんです。この年じゃあ、潰しが利きませんし……
喪黒,……分かりました。私が何とかしましょう
榊,えっ！？
喪黒,とっておきの場所へ、ご案内しますから……。榊先生、私に着いて来てください
榊,これは……
喪黒,これはタイムマシンです
榊,タイムマシンだって！？バカバカしい……。タイムマシンの発明は、技術的にも理論的にも不可能ですよ
喪黒,いいから、乗りましょう。先生。着きましたよ
榊,こ、ここは……！？
喪黒,私たちは、江戸時代にタイムスリップしたのですよ
榊,そ、そんなバカな……！？そんなことは、現実にあり得ない！！
喪黒,じゃあ、この景色は何だと思いますか？
榊,どうせ、時代劇の撮影セットか何かでしょう！！私を驚かせないでください！！
喪黒,それにしちゃあ……。ここにいる通行人は、現代人より背が低いですよねぇ。しかも、彼らの着物の着こなしは不自然じゃないし……
榊,そ、そう言えば……、そうみたいですね……
喪黒,さっきも言ったように……。私たちが乗った乗り物は、タイムマシンですから……
榊,もしかすると……。私たちは、本当にタイムスリップしたのかもしれませんね……
喪黒,そうです。さあ、これからゆっくり江戸見物でもしましょうか
榊,それにしても、思った以上に人が多いですね……
喪黒,無理もありませんよ。江戸は、人口100万人の大都市ですからねぇ
町家,商店
榊,多種多様な店がありますね……。こういう物も売られていたんですか
喪黒,火事と喧嘩は江戸の華とは、よく言ったものですよ
榊,これが歌舞伎か……。意外と面白いな……。あの……。お名前は……？
お蓮,私ですか？私の名前は蓮れん
喪黒,じゃあ、あなたはお蓮さんですね
お蓮,はい
榊,それにしても、あのお蓮という女性……。素朴で優しそうな感じがしますね
