隠れたぷちかれ,ﾎﾟﾃｪ…
未央,さーて、どこに隠れたのかな～。むっ？
退屈なので歌い始めたぷちかれ,ﾎﾟﾃﾎﾟﾃﾎﾟｰ♪
未央,いたーっ！
ぷちかれ,ﾎﾟﾃｪ?。ﾎﾟﾃｪ……。ﾎﾟﾃ
ぷちかれB,ﾎﾟﾃﾃﾃﾃ
ぷちかれ,ﾓｰ!
ぷちかれB,ﾎﾟｰｲ♪
ぷちかれ,ﾏﾃｰ
柚,よーっし、できたーっ！
ぷちみお,ﾅﾝﾀﾞﾅﾝﾀﾞｰ?
柚,ふっふっふ…これはだね……冬になって雪が積もると現れる…伝説の……スノーマンだぞー！がおー！
ぷちみお,ｳﾋｬｰ♪
忍,東京でも結構積もるもんだね、雪……でもこれくらいで車も電車も止まるの？
P,そう言うなって。こちとら雪にそれ程慣れてないんだから……ほら柚も、遊ぶのもほどほどにして雪かきをだな
柚,因みに中にはぴにゃが入ってたり
ぴにゃ,ﾋﾟﾆｬｱ
穂乃香,ぴにゃこら太ーっ！？
ぷちほの,ﾋﾟﾆｬｱ……!?
ぐったりぴにゃこら太,ﾋﾟﾆｬﾋﾟ…
ぷちほの,ﾋﾟﾆｬﾋﾟﾆｬ……
あずき,皆～！秘密兵器借りてきたよ～！
P,秘密兵器？………ってそれは
ちーあか,ﾎﾞﾝﾊﾞｱｱ
あずき,名付けて！雪を溶かそう大作戦！！
忍,そのまんまだね……
P,まぁ確かに手っ取り早いかもしれないけどな。で……
柚,できた！雪うさぎだぞ～がお～
ぷちみお,ﾋｬｱｰ
P,雪だるまと変わってない…
加蓮,私ポテト～
P,最近の回転寿司はサイドメニュー豊富だよなぁ、もう何屋なんだか
加蓮,あ、ほら、流れてきたよ、ポテトポテト～……あ
P,どうした、固まって………あ
皿の上のぷちかれ,ﾎﾟﾃｯﾌﾟ…
加蓮＆P,ああぁ～……
ぷちかれ,ﾔｯﾎﾟｰ
ぷちかれB,ﾄｯﾎﾟｰ
ぷちかれ,ｿﾚﾎﾟﾃﾃ?
ぷちかれB,ﾄｯﾎﾟｰ
ぷちかれ,ﾁｮﾀﾞ!
ぷちかれB,ｵｲｼｲﾖ
ぷちかれ,ﾄｯﾎﾟｰ♪。ﾄﾘｰﾆﾃｨｰ
P,お、ちゃんと発音できてる
ぷちかれ,ﾋｰｰｰｨ♪
P,惜しい………
ぷちかれ,ﾎﾟﾃｪ?
P,荷物で手が塞がってドアが開けられん……おい、誰か代わりに開けてくれないか
ぷちなかの,おすーっ！
P,引き戸だぞー押すなー
ちーな,ﾛｯｸﾀﾞﾅｰ
P,待て、何故わざわざ鍵をかけた
ちびゆっき,ｼﾏｯﾃｲｺｰ!
P,開けろ！！！
