神谷奈緒,そうなんだよな。3食カップ麺とかザラらしいし
凛,もっとしっかりしてほしいよ
北条加蓮,アイドルの心配する前に自分の健康に気を使ってほしいよね
奈緒,まったくだな
凛,ほんとそうだよ
加蓮,ねー
3人,……
凛,この前なんか穴の空いた靴下履いてた
奈緒,うわっ、それはひどいな
加蓮,Pさんはそういうところがダメだよね
凛,あの様子だと結婚なんかできないよね
奈緒,結婚どころか彼女ができるかも怪しいだろ
加蓮,私、Pさんみたいな人ムリだなぁ
凛,うん。だらしない男の人ってなんか嫌だよね
奈緒,そうだな。まともに料理もしない人はなぁ
3人,……
加蓮,きちんとした食生活しないとすぐ健康に響くからね
奈緒,だよな。3食カップ麺はさすがにないよな
凛,そうだよね。仕方ないから私がお弁当つくってきてあげよ
奈緒加蓮,えっ…？
凛,ん、なに？
奈緒,いやいや、なんで凛がPにお弁当つくるんだ？
凛,プロデューサーがしっかりとした食事とらないからだけど。プロデューサーが病気になったら私たちに迷惑かかるし
加蓮,ちょっと待って。それは変だよ
凛,え、なんで？
加蓮,だって手作りでしょ？お弁当って手作りでしょ？
凛,うん。手作りだよ
奈緒,それはおかしいよな
加蓮,そうだよ。好きでもない人に手作りのお弁当渡すなんておかしいよ
凛,そう？
奈緒,ああ。きっとPのことだから手作りのお弁当もらったら勘違いするぞ！
凛,あー…
加蓮,ぜったい凛がPさんのこと好きだって勘違いするよ！
凛,……
奈緒,そうそう。だからお弁当はやめとけって
凛,…そう、だね
3人,……
奈緒,Pの部屋って散らかってそう
凛,あー、分かる。靴下とか脱ぎっぱなしにしてるよぜったい
加蓮,たしかにあまりキレイには整頓されてなかったなぁ…
凛奈緒,え…？
加蓮,ん？
凛,なんか、実際にプロデューサーの部屋を見てきたみたいに聞こえたんだけど
加蓮,行ったことあるよ
奈緒,…なんでPの部屋に行ったんだ？
加蓮,収録の帰りに近くだからって寄ったんだ。それで少しだけ上がったの
凛,…2人っきりで？
加蓮,2人っきりで
凛,……
奈緒,…変なことされなかったか？
加蓮,されなかったよ
凛,……というか部屋に誘われるって。もしかしてプロデューサーは加蓮に気があるんじゃない？
加蓮,え、そ、そうかな？
奈緒,…少なくとも嫌いなやつを部屋には上げないよな
凛,災難だね。あんな人に狙われて
加蓮,あ……う、うん
奈緒,あんなやつに狙われたらあたしは耐えられないなー
加蓮,……うん
奈緒,あ、Pから電話だ
凛加蓮,…！！
奈緒,もしもし…。うん。そうだぞ。うん…うん…。あー…はいはい。分かった。え…！！そ、そんなのいいって！！。べ、別に喜んでねぇよっ！ほんとだからなっ！。違うってば！。あー！もう！わかったよ！好きにすればいいだろ！。うん。それじゃ…。あ…！まって…！。えっと……。あ、ありがと…。う、うるさいな！じゃあな！
凛加蓮,…………
奈緒,まったく…。ん？どうしたんだ2人とも？
加蓮,Pさんなんて言ってたの？
奈緒,この前の単独ライブ成功祝いにケーキ買ってきてくれるらしい
凛,ふーん…そうなんだ…
加蓮,…よかったね
奈緒,よくねぇよ。ほんと困るんだよなぁ。あ、あんな人からケーキ貰っても嬉しくないっていうか…
凛,奈緒、うれしそうにみえるけど？
奈緒,え！や、やめてくれよ！そんなわけないだろ！
加蓮,…奈緒ってPさんのこと好きなの？
奈緒,は？ちがうちがう！そんなことないって！
凛,…ふーん
加蓮,……
奈緒,誰があんなやつ！だらしないやつは嫌いなんだ！。…！！
加蓮,あ、Pさん帰ってきたみたいだね
凛,そうだね
奈緒,……
加蓮,奈緒、そわそわしてどうしたの？
奈緒,な、なんでもねぇよ！
凛,ふーん
奈緒,なんだよ！その目は！なんでもないってば！！
3人,……
加蓮,…Pさんの買ってきたケーキおいしいね
奈緒,……
凛,…うん。ちゃんと私たちの好みに合ったの買ってきたんだね
奈緒,……
加蓮,えっと…り、凛の少し貰ってもいい？
凛,あ、うん。どうぞ
奈緒,……
加蓮,あ、ありがと。うわぁ、凛のもおいしいね！
凛,そ、そうでしょ？
奈緒,……
凛加蓮,……
奈緒,……Pも一緒に食べるのかと思ってた
凛,仕事だ。って会議室に篭っちゃったね…
奈緒,…Pは本当にこういう所がダメだよな。あたしのお祝いだって言ったのにケーキ渡すだけとか……
加蓮,…なに？Pさんにちゃんと祝ってもらえなくてさみしいの？
奈緒,ちょ、ばっ、ちげーよ！！
凛,ふーん
奈緒,凛もその目をやめろ！。そんなんじゃないってば！！
凛,…！
奈緒,Pのやつ凛のこと呼んでるな
凛,そうだね
加蓮,……なにしてんの？手鏡で髪なんかチェックして
凛,べつに…ちょっとゴミが付いてたから
奈緒,…なんで第2ボタンまであけてるんだ？
凛,べつに…ちょっと暑いから
加蓮,…ボディミスト付け直してるのはなんで？
凛,べつに…ちょっと乾燥してるから。よし…。ほんとは行きたくないけど仕方ないから行ってくるね
奈緒,あ、ああ…
加蓮,……
凛,ただいま！！
加蓮,え…
奈緒,お、おかえり…
凛,ふふ、2人ともどうしたの？変な顔してるよ？
加蓮,あ、うん…
奈緒,あ、ああ…
凛,アイドルは笑顔が基本なんだから。そんな顔してちゃダメだよっ！
奈緒加蓮,……
加蓮,えっと……凛、なにかあったの？
凛,え？なんでそんなこと聞くの？。ふふ、へんなの
奈緒,いや…だって…
加蓮,…かつてないほど上機嫌だから
凛,そんなことないよ。いつも通りのしぶりんだよ
奈緒,どうみても上機嫌じゃん…
加蓮,あ、もうこんな時間か…
凛,ほんとだ
奈緒,そろそろ帰るか
加蓮,そうだね。凛、私のカバンとって
凛,はい。奈緒のも、はい
奈緒,お、ありがと
加蓮,よいしょっと
奈緒,うわ、よいしょってなんか年寄りみたいだな
凛,ふふ、そうだね
加蓮,ちょっと！ひどくない？。あ……
凛,ん…？
加蓮,凛！それ拾わなくていい…
凛,なにこれ？
奈緒,ん、なんだ？
加蓮,あ、ちょ、見ないで…！
凛,……
奈緒,…加蓮、これってプリクラだよな？
加蓮,え、そうかな？ちがうんじゃない？
凛,どう見てもプリクラだね。プロデューサーと加蓮の2ショットプリクラだね
奈緒,しかも腕組んでる…
加蓮,え、えっと…それはPさんが撮ろうって無理矢理…
凛,ふーん
加蓮,……
凛,…これ。加蓮から腕絡めてるように見えるけど錯覚かな？
加蓮,え？あ、ほんとだ。私が腕絡めてるみたいに見えるね。光の加減でそう見えちゃってるのかな？
奈緒,…この加蓮すごくいい表情してるな
凛,そうだね。好きな人とプリ撮れて幸せって顔してるね
加蓮,こ、これは…。あ、ほら！アレだよ！今度ドラマに出るからそれの練習っていうか……。と、とにかくそんな感じ！。Pさんとデートした帰りとか私からプリ撮ろうって誘ったとかそんなんじゃないから！
奈緒,ふーん
凛,へーそーなんだー
加蓮,……
3人,……
凛,…あのさ
奈緒,…なんだ？
凛,この際だからハッキリさせとこうと思うんだけど
加蓮,う、うん…
凛,奈緒はプロデューサーのこと好きじゃないんだよね？
奈緒,…あ、ああ！誰があんなやつ好きになるかよ！
凛,うん。で、加蓮は？
加蓮,……わ、私もPさんはちょっとないかなーなんて…
凛,そっか。そうだよね。あんなダメダメプロデューサーのこと2人が好きになるはずないよね
奈緒,そ、そうだよ。ないない
加蓮,そんなことありえないよー
凛,私はプロデューサーのこと好きだよ
加蓮,え……？
奈緒,は……？
加蓮,え、な、なに言ってんの…？
凛,プロデューサーとしてじゃなくて男の人として好き
奈緒,お、おい…
凛,この気持ちプロデューサーに伝えるつもりだよ
加蓮,ちょ、ちょっと待って…
奈緒,そ、それは、おかしいんじゃないか…？
凛,なんで？
奈緒,えっと…その…
凛,どっちにしても、プロデューサーのこと好きじゃない2人には関係ないよね
加蓮,そ、それは…！
凛,私はもう決めたから。じゃあね
加蓮,……！
奈緒,お、おい。凛、ほんとにプロデューサーのとこに行っちゃったぞ…
加蓮,……
奈緒,ど、どうすればいいんだよ…
加蓮,…私たちもプロデューサーのとこ行こう
奈緒,あ、ああ。そうだな…！
凛,…………
加蓮,あ、あれ…？
奈緒,り、凛…！プロデューサーのとこに行ったんじゃ…
凛,…………
奈緒,ん、あれは……
ちひろ,じゃーん！私からのプレゼントです！。プロデューサーさんのことなら何でも知ってるんですからね♪
凛,…………
加蓮,ぷ、プロデューサーさん、ちひろさんと仲良さそうだね…
奈緒,……ああ
凛,…………
奈緒,り、凛……？
凛,…私、ちひろさんに話があったの思い出した
加蓮,え…
凛,時間かかるから2人は先に帰っていいよ
奈緒,え…いや、でも…
加蓮,な、奈緒！一緒に帰ろ！
奈緒,あ、うん
加蓮,じゃ、じゃあね。凛
凛,うん。ちひろさん、ちょっといい？
