」と同じ設定ですが、読まなくとも,多分
※もしデレマスがドラマでだったら？という独自設定,妄想
橘ありす,以下ありす
鷺沢文香,以下文香
ありす,その、次の台本を頂いたんですが、ちょっと……
文香,……読ませていただいても？
ありす,はい。このラストのシーンなんですけれど
文香,……いちごパスタ、ですね
ありす,はい。いちごパスタには何の問題も無いのですが
通りすがりの喜多見柚,え
ありす,台本では私がいちごパスタを作ってプロデューサーさんがそれを食べてニッコリと微笑んでエンディング、となってるんです。何故かニッコリが大文字で書かれていますが
文香,……既に何度か経験のあるシーンですね
ありす,それなんです！
文香,……と、言うと？
ありす,既にいちごパスタが美味しいという事は周知の事実です
通りすがりの喜多見柚,え
ありす,なのにどうして何度もそんなシーンを入れる必要があるのかと
文香,………………ありすちゃん
ありす,はい
文香,……その……ですね……
ありす,はい
文香,…………あの…………
ありす,はい
文香,…………………………明日は雨だそうですね
通りすがれなくなった喜多見柚,以下柚
ありす,えぇと、明日の降水確率は８０％ですね。雨と言い切ってもいいと思います
文香,そうですか……
ありす,はい
文香,晴れないのは気が滅入りますね……
ありす,はい………………あの、文香さん？
文香,は、はいっ！？
柚,逃げられなかった！
ありす,………………本当は分かっているんです
文香,え？
柚,え？
ありす,いちごパスタ……美味しくないんですよね？
文香,そ、そんなことは……
ありす,いいんです。こんなことで文香さんに嘘をつかせるわけにはいきませんから
文香,ありすちゃん……
ありす,それに私だってあれは美味しくないと思いますし
文香,……はい？
柚,えええぇぇぇ！？！？！？
ありす,っ！？
文香,っ！？
柚,どゆコト！？ありすちゃん柚にあんなに自信満々で出してきたじゃん！
ありす,ゆ、柚さん！？いつからそこに！？
柚,ありすちゃんを悲しませたくない柚のガンバリは無意味だったの！？
ありす,い、いえ。決してそんな事は
柚,あのドヤ顔も！柚が躊躇った時の不安げな顔も！食べ切った時のあの満面の笑顔も！全部嘘だったんだぁぁぁ！！！
ありす,だからあれはですね
柚,うわぁぁぁん！！！ありすちゃんの小悪魔！カワイイ！ストロベリーフェアリー！
ありす,罵倒になってませんけど！？
文香,どんな状況でもありすちゃんを讃える事を忘れない……流石Ａありすちゃん
ありす,初耳ですけど！？いつの間にそんな怪しげな会ができたんですか！？
文香,会員Ｎｏ１番は発起人である私です
ありす,文香さん！？
柚,頑張り屋サン！美少女！妹にして毎日愛でたい！
文香,至極同感
ありす,あぁ！もう！話を聞いて下さい！！！
柚,フゥ……やっと落ち着いたね
ありす,誰のせいですか。誰の
文香,全くです……
ありす,文香さんには後でお話しがあります。変な会の解散ついて
文香,……え？
ありす,それで、私がいちごパスタを美味しくないと言うのはですね
文香,………………え？
ありす,私の言った美味しくないというのは、撮影用に作ったいちごパスタの事です
柚,どゆコト？アレもありすちゃんが作ってるよね？
ありす,はい。実を言うと、あれはわざと作ってます
柚,うぇぇ！？な、なんで！？
ありす,それは私が橘ありすだからです
柚,……ン？ンンン？
ありす,そもそも私がいちごパスタを作っているのは、お芝居のリアリティを高めるためです。だから私はこのいちごパスタは美味しいと信じている橘ありすとしてあれを作っています。ですが、実際の私は美味しいとは思っていないんです
柚,それでそのいちごパスタが柚に直撃した、と
ありす,それはその……ごめんなさい……
柚,べ、別にありすちゃんは悪くないよ！
文香,そうです……寧ろそこまで役に徹するのは立派だと思います
柚,あ、文香サン復活した
文香,それで……そうまで徹底しているありすちゃんが、それを曲げて私たちに話してくれた理由は何ですか？
ありす,……嫌なんです
柚,嫌？いちごパスタが？
ありす,いえ。美味しくないいちごパスタを皆さんに無理矢理食べさせる事が、です
文香,……なるほど
柚,あー……優しいありすちゃんらしいね
ありす,私は橘ありすとしてあのいちごパスタを変えることは出来ません。でも私自身はこれ以上皆さんに辛い思いをさせたくありません。私はどうすれば……
柚,うーん……別に良いんじゃない？
ありす,食べる柚さんが良くても私の気が
柚,やや、そうじゃなくてさ。ねぇ文香サン？
文香,はい……そうですね
ありす,あの……？
柚,作っちゃおうよ。美味しいいちごパスタ
ありす,で、でもそれは！
柚,ありすちゃん。喜多見柚の趣味、知ってる？
ありす,え？バドミントン、ですよね？
柚,それ、実は最初は違ったんだ
ありす,えぇ！？
柚,最初の頃、アタシが学校から直接撮影に行った時に機材のトラブルで時間が出来ちゃってね？暇つぶしに持ってきてた部活のラケットでプロデューサーサンと遊んでたんだ。そしたら監督サンがそれだ！
文香,私も……鷺沢文香が文学趣味であることは変わりありませんでしたが、本の内容は私が好みで自由に決めさせて頂きました
柚,だからさ！ありすちゃんもありすちゃんの好きにしたら良いんだよ！
ありす,私の好きに……？
文香,役に徹するのは立派ですが……役に縛られるのはよくありません。ありすちゃん自身が、橘ありすを作り上げていくんですから
ありす,でも……私に出来るんでしょうか？
柚,大丈夫！柚に文香サンにプロデューサーサン、ありすちゃんの事が大好きな皆がいるんだから！
文香,いざという時は……存分に頼ってください
ありす,お二人とも……ありがとうございます！私、やります！私として、橘ありすとして！美味しいいちごパスタを作ります！
文香,一件落着……ですね
柚,うんうん！
ありす,では次に、先程の怪しげな会について詳しくお話ししてください
文香,………………え？
プロデューサー,以下Ｐ
柚,んーん！柚たちはね！
文香,ありすちゃんの新しい門出を……見守りに来ました
Ｐ,ありす、かぁ……またあのいちごパスタを食うんだよ……台本にわざわざでっかくニッコリなんて書かなくてもやってやるさ……
柚,ふっふっふ
文香,ふふふ……
Ｐ,……どうした？
柚,まーまー！撮影ガンバって！
Ｐ,？お、おぉ……？
スタッフ,オッケーでーす本番いきまーす！
ありす,プロデューサーさん、新作のいちごパスタです！どうぞ！
Ｐ,新作？台本にあったか？。あぁ、ありがとうありす。そこに置いといて
ありす,橘です。出来立てが一番なので今すぐどうぞ
Ｐ,お、おぅ。じゃあ頂こうかありす
ありす,橘です
柚,フフフ。プロデューサーサン戸惑ってる
文香,えぇ……
柚,あ、食べた。イイなー、ありすちゃんの手料理
文香,先程スタジオ内の厨房にお邪魔したとき……私達の分も用意していると仰っていましたよ？
柚,ホント！？ヤッター！
文香,楽しみですね………………あら？
柚,どしたの文香サン？
文香,プロデューサーさんが……苦悶の様子で
柚,おー、プロデューサーサンも演技派だねぇ
