プロデューサー,以下P
育,おはようPさん！もう、約束の時間より5分遅刻だよ
P,ごめんごめん、ちょっと渋滞に巻き込まれちゃってね。育こそ、忘れ物はない？
育,だいじょうぶ！お仕事の資料も、学校の荷物も、ちゃんと忘れずに持ってきたんだから
P,オーケー。それじゃあ次は環を迎えに行くよ。ちょっと飛ばすから、シートベルトはちゃんと締めておいてね
育,Pさん、交通ルールはちゃんと守らなきゃダメだよ
P,もちろん。大事なアイドルを乗せてるんだもの。安全運転なら任せなさい。それじゃ、行くよ
美咲,おはようございます、このみさん、莉緒さん
このみ,おはよう美咲ちゃん、朝早くからご苦労さま。あら、テレビ観てたのね
莉緒,そうそう。育ちゃんと環ちゃんが朝の子供向け情報番組にゲスト出演するの、今日だったわね
美咲,はい。この次のコーナーで出番みたいですよ
このみ,何をするのかしら。楽しみね
莉緒,イェーイ！
このみ,待ってましたヒューヒュー！
美咲,このみさんたち、きっと企画の内容知らないはずだし、びっくりするだろうなぁ…
莉緒,あら？なんか紹介だけされてVTRが始まっちゃったんだけど…
このみ,女の子たちが注目するトレンドを紹介するコーナーだから、その流れで出てくるんじゃないかしら。えっ
莉緒,
美咲,どうやら空猫珈琲店での莉緒さんの名演が、ローティーンの女の子たちにも大好評みたいですよ♪
莉緒,まさかこの企画、Pちゃんの持ち込みだったりしないわよね？
このみ,そういえばあの“悠利くん”のイメージも、Pと莉緒ちゃんがそれぞれの思うイケメン像をすり合わせて形にしたんだっけ？
莉緒,そうなのよ。あのときのPちゃんのノリの良さったらなかったわ
このみ,育ちゃん、こういうの凝るタイプよ。環ちゃんはポテンシャル高いしバッチリ決めればきっとすごいことになるわ
莉緒,桃子ちゃんがこの仕事パスした理由がなんとなくわかった気がするわ
このみ・莉緒・美咲,かわいい～～！！
美咲,育ちゃんは少女漫画の一途な男の子をイメージしたみたいですよ
このみ,ああっ私たちのかわいい末っ子が、挑発的な眼差しで女の子に壁ドンしてる…
莉緒,これは予想外だったわ。育ちゃんにこんな引き出しがあったなんて
美咲,環ちゃんはクールな役作りに苦労していましたが、Pさんが特撮のブルーをイメージしようとアドバイスしたら途端に上達して
莉緒,あぁ～ん、私もこんなワイルドな男子に守られた～い
このみ,莉緒ちゃん……それにしても二人とも末恐ろしいわね。Pもよくここに目を付けたものだわ
莉緒,きっかけが私の男の子役っていうのは、セクシーレディとしてちょっと複雑だけどね
P,おっ、二人ともお疲れ様
環,おやぶ～ん！ねぇどうだった？たまき、ちゃんとブルーできてた？
P,うん、最高だった。スタッフさんからも大好評で私も嬉しいよ
環,くふふ～。いくもバッチリ決まってたね！
育,ありがとう環ちゃん。男の子役は初めてだったから緊張したけど、とっても楽しかった！
P,衣装も似合ってたよ。反響が良かったら、劇場のライブ衣装に取り入れてみても面白いかもしれないね
環,それじゃあたまき、今度はブルーじゃなくてレッドみたいな格好がしたいぞ！
P,オーケー、後で青羽さんにも伝えておくよ。育はこれから何かやってみたいお仕事とかある？
育,わたし、もっとお芝居をやってみたい！トゥインクルリズムのときのけいけんを活かして、映画やドラマに出てみたいな。男の子の格好をするのも楽しかったけど、わたしはやっぱりこの間の桃子ちゃんみたいな大人っぽい役がしたい！
P,屋根裏の道化師のことね。ああいう大きな作品となるとオーディションや撮影もかなり大変だけど、頑張れそう？
育,まかせて！わたし前に劇団にいたから演技には自信あるし、桃子ちゃんだってがんばってたんだから、わたしもがんばりたい！
P,わかった。二人が楽しくお仕事できるように私も頑張るから、二人も学校での勉強しっかり頑張ってね
育・環,はーい！
桃子,おはようお姉ちゃん
P,おはよう桃子。昨日ご所望してたオレンジジュース、冷蔵庫に冷やしてあるから飲みたければ飲んでね
桃子,なぁにお姉ちゃん、後輩ならそういうのは普通、コップに注いで持ってくるまでやってくれるものじゃないの？
P,そうしたいけど今は手が離せない
桃子,そっか、なら仕方ないね。で、何してるの？
P,営業のための書類作り。ほら、育がお芝居の仕事をしたがってるの、桃子も知ってるでしょう？
桃子,うん……そっか。お姉ちゃんもちゃんとお仕事してるんだね。ちょっと感心したかも
P,静香みたいなこと言わないの
桃子,それで、育はどんなお仕事をするの？
P,一応それらしいドラマや映画のオーディションをいくつかピックアップしてるから、まずはそこにエントリーできるよう調整中
桃子,ふーん……だから育、次の定期公演をお休みするんだね
P,そういうこと。今日からしばらく、以前通ってた劇団の先生に稽古をつけてもらうことになったよ。もしかして桃子ってば育に会えなくて寂しいの？
桃子,べ、別にそんなこと言ってないじゃん。仕事の予定が埋まってるのはプロとして喜ばしいことでしょ
P,さすが桃子ね。定期公演に一人欠員が出て色々バタバタしてるけど、まあそれも嬉しい悲鳴なわけだから
桃子,あれ？その日は環が代わりに出るって話になってたはずじゃなかったの
P,それが環に急な仕事のオファーが来ちゃってね。昆虫の生態を学ぶ教育番組のアシスタント。先方からのご指名なんて、またとない機会でしょ？
桃子,そのオファーも、この間の朝番組がきっかけ？
P,そうなの。元々は男の子を起用する予定だったみたいだけど、この間の環を見て、そういう固定観念は捨てようってことになったそうだよ
桃子,ふーん。なら桃子、その日のスケジュールまだ空いてるし、レッスン時間さえ確保してもらえるなら出てあげてもいいけど？
P,本当？ありがとう、助かるよ。なら早速、今から始まるレッスンに参加してもらえるかな
桃子,もちろん大丈夫だよ。なんたって桃子はプロなんだからね。じゃあ当日のメンバーで今日レッスンに来ている人を教えて
P,えっと……紗代子、のり子、歩、昴、海美、エレナ、まつり、麗花――
桃子,ちょ……わかったよ。それよりよりお姉ちゃんこそ、さっきから手が止まってるよ。ちゃんとお仕事してよね
P,はーい。……。育の希望は、桃子たちが出演したような大きな作品……育の演技の腕なら大舞台でも心配ないけど、問題はそこじゃない。いくら最近特撮ドラマに主演した実績はあっても、知名度的にはまだ新進気鋭の事務所の新人アイドルでしかない…。大手の子役とオーディションで渡り合うには技術だけでは厳しい。理想を言えば、これまでの仕事の人脈を活かして指名のオファーを獲れたらいいんだけど…。それにしても、この映画――ただの偶然とはいえ、まさか主演が彼女だとは…。……いけない。今はとにかく育の仕事のことを考えてあげなきゃ
のり子,桃子、お疲れ様～！
昴,また明日なー！
桃子,うん、また明日ね。案の定、二日続けて地獄のレッスンになっちゃったな…。まあいいけど。今日は育だけでなくお姉ちゃんもいなかった。美咲さんが、お姉ちゃんは朝からずっと外回りだって教えてくれたけど…。電話……育からだ。もしもし？。本当？すごいじゃん。やったね。勝組劇代――ハリウッド映画にも出演した若手トップ女優。須五井プロダクション俳優養成所が輩出した最高傑作…。主演が彼女なら、須五井プロは子役にも自軍の有望株を起用したいはず。しかも映画の注目度が高いなら、どの事務所も必ずエースを送り込んでくる。ねぇ育、今の状況が大変だってこと、ちゃんとわかってる？。そう……わかってるならいいけど。そうだね。莉緒さんや歌織さんと同い年みたいだけど、良い意味でそんな風に見えないよね。……。え？うん、頑張ってね。育、本気なんだ。難しいオーディションなのに全然怖じ気づいてない……。しかもオーディションの予定が決まってもお姉ちゃんが帰ってこないってことは……他にもまだ受けさせるつもりなのか。もし今回が不合格だったとしても、諦めず別のオーディションを受けたいって言うに決まってる。育はそういう子だもんね
美咲,育ちゃんの最終オーディション、いよいよ今日ですね。なんだか私まで緊張してきました
P,大丈夫。一次選考で同じブロックになった子の中では、育の実力は飛び抜けていました。最終選考に残った4人のライバルたちはきっとみんな強力ですが、今の自分をしっかりアピールできればチャンスは十分ありますよ
美咲,良い報告を楽しみに待っていますね
P,ええ。それじゃあ劇場のこと、よろしくお願いしますね
美咲,はい。いってらっしゃ～い
P,育、番号札が歪んでるよ
育,え？あっほんとだ
P,直してあげるからちょっとこっち向いて
育,もう。これくらい一人でできるよ
P,まあそう言わず。育が演技に集中できるようにするのも私の仕事なんだから。ね？
育,うん。…ありがとうPさん
P,よしっ、できた。エントリーナンバー5、ちゃんと見えてるね
スタッフ,それではオーディションを始めます。エントリーナンバー1番から5番のみなさん、こちらにお願いします
育,あっ、そろそろ行かないと……じゃあねPさん。わたし、がんばってくる！
P,いってらっしゃい。いつもどおり、育らしく楽しんでおいで
助監督,えーでは3番の方、ありがとうございました。監督、いかがでしたか？
監督,……
助監督,か、監督？小声
監督,え？ああ。上手だったんじゃないかな
脚本家,監督のやる気に火をつけるほどではなかったってところか。まあ突出したインパクトを感じなかったのは確かだ
助監督,それでは次の方、どうぞ
演美,4番、矢場杉児童劇団所属、天斎演美です。よろしくお願いします
脚本家,では母親と再会するラストシーン、どうぞ
演美,お母さん……お母さん！
監督,……！？！？！？！？
演美,お母さん、会いたかった……うわぁぁぁん！！
監督,これだッ！！！！！
助監督,えっ
監督,間違いない。私が求めていた演技はコレなんだよ。天斎さん、合格だ！君たち、今すぐ打ち合わせを始めるぞ
脚本家,えっ！？今からですか？
監督,当たり前だろう。これほどの人材、十年に一度出逢えるかわからん。出番も増やしたいから今すぐシナリオ修正しないと撮影に間に合わんぞ
脚本家,ちょ、勝手に決めないでくださいよ……しょうがないなあ
助監督,あの、オーディションはどうしますか……まだあと一人残ってますよ
監督,もう時間がないのだよ！バイトでもなんでも、手の空いてる人間に任せておきなさい。さあ天斎さん、君も一緒に来てもらおうか
演美,はい。ありがとうございます！
育,えっ……どうしよう…
1番,あーあ、あの子演技見てもらえなかったじゃん。ひどくない？
2番,かわいそ。同情するわ
3番,代わりに来るバイトって誰よ。まさか高校生だったりしないでしょうね。まあどうでもいいけど
P,さっきからスタッフの人たちが妙に慌ただしい……何かあったんだろうか
育,ありがとうございました…
P,育――どうしたの。何があったの？
育,わたしの前の番号の子が、その場で合格が決まって……わたし、監督さんたちに演技を見てもらえなかった
P,なんですって…。迂闊だった……あの監督、確かに偏屈で有名だったけど、まさか大きい事務所のホープ子役が集結したオーディションでもやらかすなんて。ごめんなさい、育。こういうことは、本当はあってはならないことなの。すぐに社長の名前で正式に抗議するから――
育,ううん、いいの。だって4番の子がいちばん上手だったのはまちがいないから……
P,育……
育,わたし、もっと上手くなりたい。今回のオーディションで、本当に演技が上手な子がたくさんいるってわかった。だからわたし、負けたくない！
P,……そうだね。オーディションに参加できる作品は他にもある。まずは次のチャンスのためにできることをしよう
育,うん！
美咲,……それは、大変でしたね
P,ええ。育には辛い経験をさせちゃいました。抗議に関しては高木社長が任せてくれとおっしゃってくれたけど…
美咲,育ちゃんの気持ちが切れていないのが幸いですね
P,理不尽な経験を重ねて人は強くなるんだから我慢しろ――なんて昔の人だったら言うんでしょうけどね…
美咲,Pさん、あまり気を落とさないでくださいね。ほら育ちゃんがよく言ってるじゃないですか。上を向かなきゃ上に行けないんだよって
P,そうですね。…ホントにそう。私が育に励まされてばかりなんだから。……よしっ、じゃ気を取り直して営業いってきます
美咲,えっ！？この時間から外回りですか？
P,以前春香たちがお世話になったドラマの制作会社さん、今日の日没後なら時間が取れるそうです。明日にするつもりだったけど、早い方がいいですからね
美咲,あ、あのPさん、気をつけてくださいね――行っちゃった…
海美,みんなああ！大変だよおおお！！
奈緒,だああっ！？そんなに慌ててどないしたんや海美！心臓飛び出るかと思ったわ
海美,とにかくホントに大変なんだってば！！
琴葉,海美ちゃん落ち着いて。とりあえず、要点だけ先に言ってみて
海美,隣の駅前に、他の事務所のアイドル劇場ができたんだよ！
一同,ええ～～～っ！？
瑞希,須五井プロダクション次世代アイドルシアター、近日始動……事務所のHPに特設サイトが作られています。イメージ画像もこちらに
琴葉,確かにあの駅前には長らく工事中だった土地があったね……それがこのアイドル劇場だったんだ
奈緒,なになに、登壇予定のアイドルはこの10名！――うわ、みんなテレビや雑誌で見たことのある顔ばっかりやで
紗代子,収容人数もウチよりはるかに多いし、こんな劇場が近所にできたら……
奈緒,私らの劇場、ちょっとマズいんとちゃうか…
海美,とにかくこのこと、Pにも早く知らせなきゃ！
小鳥,大丈夫。その必要はないわ
琴葉,小鳥さん、春香ちゃん――お、お帰りなさい。知らせる必要がないってことはつまり…
小鳥,ええ。Pさんもこの劇場に関する情報は既に把握済みよ
春香,私もさっきの現場からの帰りのタクシーで通りかかったとき見つけて、小鳥さんから教えてもらったばかりなの。だから……動揺する気持ちは私もみんなと同じだよ。でも私たちには私たちのお客さんが待ってる。今まで通り、できることをしようよ
紗代子,春香さん……そうだよね。私たちにだって今まで頑張ってきた自負があるもの
瑞希,はい。ライバルは強い方が燃えるという考え方もできます。負けていられないぞ……メラメラ
春香,さあ、みんな揃ったところだし、レッスンの準備を始めようよ。私もすぐに着替えて向かうから
海美,そうだ、私も着替えなきゃ！じゃあみんな、先にレッスンルームに行ってて
奈緒,よっしゃ、なんか燃えてきた気がするわ
琴葉,それにしてもP、こんな大事なことをどうして黙ってたんだろう。どうやら美咲さんも知らなかったみたいだし…
紗代子,私たちを動揺させないため、かな……知っていたのは小鳥さんと、あとは多分、社長くらいなのかな
瑞希,それでもあれだけ大きな建物です。黙っていてもいずれ私たちも知ることになっていたでしょう
奈緒,うーん、このタイミングでPさんがいてへんっちゅうのも間が悪いというかなんというか…
琴葉,最近ずっと外回りばかりなのも、このことを知っていたからこそ、なのかもしれないね
紗代子,育ちゃんのオーディション、早く良い結果が出るといいね
亜利沙,須五井プロといえば、日本を代表する大手プロダクションの一つです。抱えているタレントも俳優・子役・声優・アイドル・お笑いなど多岐に渡ります。最大の特徴は、全国主要都市に各部門の養成所を設けていることです。各地の養成所から見出された精鋭たちが練習生として東京に集い、しのぎを削り合います
恵美,ひゃーっ、せっかく養成所をパスしても、まだ競争を勝ち抜かなきゃならないの！？
亜利沙,そうです。そしてこの精鋭たちの中から正式に事務所に登録されるタレントはごくわずか……つまり所属タレントは皆精鋭中の精鋭ということになります
昴,なるほどな。ハリウッドクラスの実力者が現れるのもわけないってことか
桃子,狭き門だけど、正式に須五井プロのタレントになれれば、厳しい競争を勝ち抜いた実力とタフさの証明になって、業界に顔が利くようになるの
のり子,そっか。言ってみれば肩書き自体が称号になるってわけだね
海美,それでありりん、このすっごいアイドルたちに勝つための作戦、何かないの？
亜利沙,任せてください！ありさは既に須五井プロのアイドルちゃんたちの情報もリサーチ済みです
昴,要注意バッターとかいないのか？
亜利沙,そうですね、ありさ要チェックのアイドルちゃんは……このメンバー最年少、耳度志麻子ちゃんですね
昴,耳年増？？
亜利沙,耳度志麻子ちゃんですよ！間違えないでくださいね！志麻子ちゃんは11歳。桃子ちゃんと同い年になります
昴,すっげー……めちゃくちゃ大人びてるじゃないか。髪も長くてクルクルだし、とても小学生には見えないや
亜利沙,既にアイドル歌手として地盤を固めつつある志麻子ちゃんですが、最近ではお芝居のレッスンにも力を入れているそうです
のり子,お芝居にも……ってことは、この先育とオーディションでかち合う可能性があるってこと？
亜利沙,そうなります。一見育ちゃんとは全く異なる印象を持つ志麻子ちゃんですが――この写真を見てください
のり子,ショートボブで着物を着てる……すごい、さっきとはまるで別人だよ
亜利沙,どんなイメージにコーディネートしても一目見ただけで只者ではないと思わせる絶対的オーラ。それが志麻子ちゃんの魅力です。ただ知名度こそ抜群ですが、子役としての力はまだ未知数です。お芝居の仕事をするとなれば、必ずオーディションからの出場となるでしょう
海美,それってつまり、育りんがオーディションでこの子に勝てたら心強いってことだよね？
桃子,簡単に言うのは気が引けるけど……それができれば理想的なのは確かだね
亜利沙,須五井プロのタレントよりも高いパフォーマンスを見せたとなれば、きっと業界全体が765プロに注目します
桃子,大きな事務所だけど961プロと違って圧力をかけてくることもないだろうし、正々堂々真正面から戦うことになるよ
海美,なら育りんがオーディションに集中できるようにみんなでサポートしようよ！
