凛,最低だよ、プロデューサー
加蓮,どうして…？
奈緒,なんでだよ！？Pさん！！
瑞樹,わからないわ
あい,これは流石に許せないね
蘭子,我が盟友よ…なんと残虐非道な……プロデューサー…ひどい…
モバP,………ごめん
ちひろ,本当なんですか？プロデューサーさん……
モバP,……………………………
ちひろ,モバマスは1日1時間もやらないで、課金も一切しない癖に―――。アイマスの方はアケマスからやっていて、箱マスもSPも2もSFもOFAも買った上でDLCも全部購入して、アニマスはBlu-ray全巻買って劇場番も予約したって、本当なんですか！？
モバP,………はい
ちひろ,なんて事を…それでもCGプロのプロデューサーですか！？！？
モバP,で、でも！OFAやSFにはうちの子達も出てるじゃないですか…！
ちひろ,それで、ライバルとして出てくる彼女達を、完膚無き迄に叩きのめしたんですよね？
モバP,…っ！
ちひろ,はぁ……最悪ですね
乃々,むぅーりー………
雪美,P………これは……………許せない……………
みく,失望したにゃ、もうPちゃんのアイドルやめるにゃ
早苗,これはもう、シメるしかないね
拓海,覚悟できてんだろーな！
真奈美,手加減は出来ないよ
まゆ,うふふ……Pさぁん、ちょっとおイタが過ぎちゃったみたいですねぇ
モバP,そ、そんな！皆…ちょっと待ってくれ！皆……皆あああああぁぁぁーーーーー………。って夢を見ちゃいましてねー
ちひろ,もう……疲れてるんじゃないですか？ドリンク飲みます？
モバP,あぁ、いつもすみません。頂きます
ちひろ,いえいえ、こちらこそ、いつもありがとうございます♪所で本当にそんな事してませんよね？
モバP,ちょっ…そんな事ある訳ないじゃないですか！
ちひろ,そうですよね！。モバマスで課金もしない癖に、他の事にお金使うなんて
モバP,ディアリースターズやってるだけですよ
ちひろ,え？
モバP,え？
アイドル達,………
モバP,え？
