広場の時計,ﾁｯ、ﾁｯ、ﾁｯ、ﾁｯ
モバP,以下P
P,もう待ち合わせの時間から…一時間は経ったか。メッセージも既読が付かねーし…。まったく多少は大目に見るのがプロデューサーの度量とは言え、ちょっと遅いな。…クレープ屋さんあるし、ちょっとゆっくりするか。すいません、このぴにゃクレープください
店員,ぴにゃっ！
P,ありがとうございまーす。…なんかやたら緑色の店員だったな。クレープも緑だし。あ、ずんだ味か。これはなかなか…。………。ちょっと寂しいな。…エア杏と一緒にクレープ食うか。あー杏changと食べるクレープはうまいなー
Pのスマホ,ﾌﾞｰｯ､ﾌﾞｰｯ
P,おっ、やっとメッセージが来たか。どれどれ…。ほうほうなるほどなるほど。…やっぱ生杏changだべ
杏,
P,…
杏,じゃ、行こっか
P,じゃ、行こっかじゃねーよ！二時間待ってるっつーの！まずは最初に一言あんだろーが！
杏,クレープは？
P,ねーよ！さすがに一時間もクレープ持ちっぱなしは泣けてくるよ！
杏,えー？まぁいっか
P,こ、こいつ…
杏,そもそもなんで駅前で待ち合わせなのさぁ。プロデューサーが車出してくれればそれで良かったと思わない？
P,俺も青春の甘酸っぱいワンシーンみたいなことしてみたかったんだよ。ごめーん！待ったー！？全然、今来たとこだよみたいな
杏,ふーん、じゃあやる？
P,いい度胸だ。是非お願いします。じゃあ俺を見つけるところから
杏,アイドルは、度胸。ドヤッ
P,なんか今めっちゃテンポよく進んだな…。杏なりに罪悪感とか感じてたんかな…
杏,
P,お、探してる探してる
杏,！
P,おーっ、ちゃんと見つけた！って顔してるな
杏,ご、ごめん！待った？…よね？
P,ははは、大丈夫だよ。実は俺も今着たとこなんだ
杏,え、そう、なの？…なんだーもう焦って損しちゃったぁ
P,そうそう。だから落ち着いてゆっくり行こうぜ？ほら、あそこでタピオカジュース売ってるから飲まない？
杏,飲むー！もう急いで来たから喉乾いちゃったー！
P,だよなー！
杏,うん！
P杏,……………
杏,茶番だね
P,茶番だな
杏,満足した？
P,かなり
杏,じゃ、行こっか
P,おう
杏,あ
P,どうした？
杏,タピオカジュースは飲むからね
P,はいはい
杏,あ
P,今度はどうした？
杏,杏の演技、成長したでしょ？
P,あぁ、かなり上手くなったな。それに…
杏,それに？
P,今日の服も似合ってる。もこもこしててかわいいし
杏,…、なんだこのたらしやろー、タピオカ飲ませろ
P,はいはい。しかしもうちょいで昼時だな。混む前に店に入っちまいたいとこだが
杏,杏お腹空いたー。もう歩けなーい。冷たーい
P,こんだけ寒い中アイスドリンクはな。…ちなみにそれ緑色だけど、何味なの？
杏,キウイ
