NASA職員A,Thisisapen!なんということだ！
NASA職員B,I'mfine,thankyou!すぐホワイトハウスへ連絡するんだ！
大統領,What!?なんだと！？。MynameisTom!なにか手だてはないのか！？
部下,IliveinChina.宇宙人の科学力は我々より遥かに優れており、戦えば確実に負けます。But…しかし……。You'rewelcome.最新式のAIが、日本ならば宇宙人を撃退できる可能性があると回答しました
大統領,Japan!?日本だと！？あんな偽ニュージーランドのような形の国に何ができる！
部下,Howdoyoudo?しかし、これしか手はないのです！ご決断を！
大統領,Ihaveapen.分かった……日本の総理と連絡を取ってみよう
総理,……というわけだ。米国からの要請で、日本が宇宙人対策の指揮を執ることになった
秘書官,大役ですね。ある意味では日本の技術力を世界に示す好機ともいえますが
総理,しかし、たった一ヶ月でどれだけのことができるか……
秘書官,餅は餅屋、やはり宇宙のことはJAXA宇宙航空研究開発機構
総理,うむ、JAXAに向かうぞ！
職員,ようこそいらっしゃいました、総理
総理,NASAが宇宙人からの通信をキャッチしたことは知っているね？
職員,はい。地球を明け渡すか、滅ぶか、選べ……ということでしたね
総理,そのような要求、人類は飲むことはできん。戦うしかない。どうか、JAXAの力を貸してくれ！
職員,お任せ下さい。このようなこともあろうかと――。我々は宇宙戦闘用はやぶさを密かに開発していたのです！
総理,これが……戦闘用のはやぶさか！
職員,はい、宇宙空間での速度・機動力は宇宙人たちにも負けない自信があります。しかし――
総理,しかし？
職員,搭載されている装備はまだまだ貧弱で、肝心の宇宙人を倒す手段がないのです。どこかの企業に依頼して、“兵器”を開発してもらわねばなりません
総理,兵器か……たとえば三菱重工はどうだ？
秘書官,三菱重工は、今日から一ヶ月間社員全員リフレッシュ休暇だそうです
総理,なんというタイミングの悪さ！
秘書官,他の企業も当たってみましたが、なかなか都合がつかず……
厚労大臣,でしたら、一社だけ可能性のある企業があります
総理,どこだ？
厚労大臣,小林製薬です
総理,小林製薬？
厚労大臣,独創的な発想とネーミングで、さまざまなヒット商品を生み出してきた国内有数の製薬会社です。彼らなら、きっと宇宙人を撃退する兵器を作ってくれるでしょう。問題は、製薬会社である彼らが、兵器開発を了承してくれるかどうかですが……
総理,何としても了承してもらわねばならん。私自ら出向こう！
社長,なるほど、お話は分かりました……。ですが、製薬会社である我らに、宇宙人とはいえ人を殺傷する兵器を作れと？
総理,……！
社長,我々にも企業イメージというものがあります。残念ながらこの話は――
総理,待ってくれ！
社長,！
総理,その通り……無茶をいっていることは百も承知。しかし、このままでは地球人は滅ぼされ、地球は宇宙人の物となってしまう！。それを防ぐには、戦闘用はやぶさに、あなた方の作った兵器を搭載するしかない！。そう、地球を救えるのは小林製薬しかいない！。どうか引き受けてくれ！
社長,……。分かりました……お引き受けしましょう
総理,おおっ！
社長,入りたまえ
社員,はっ！
総理,彼は？
社長,我が社でも特に独創的な発想に優れた社員です。今回のプロジェクト、彼をリーダーとして推し進めます
総理,ありがとう……！
社員,必ずや地球を救う新製品を作ってみせます！。地球存亡をかけた戦いになる！みんな、思う存分アイディアを出してくれ！
総理,……小林製薬から連絡は？
秘書官,いえ……未だに
総理,……遅い！。やはり……一ヶ月で兵器開発というのは無茶だったのか……！？。こうしてはおれん！
秘書官,総理、どこへ！？
総理,小林製薬を訪問してくる！
社員,兵器？ああ、とっくに出来てますよ。二週間ぐらいで完成しました
総理,なにィ！？。だったらどうして連絡をくれなかったんだ！もう時間がないのだ！
社員,なぜなら――。名前をテキコロスンにするか、マモルアースにするかで未だに揉めてまして
総理,どっちでもいいよ！
社員,よくありませんッ！ここが一番大事なところなんです！！！
総理,す、すみません
社員,えー……厳正なる社内投票の結果、名前はマモルアースに決定しました！
総理,マモルアース……いいネーミングだ！絶対地球守れそうな気がするもん！。私ならきっとファイナルギャラクシーファントム零式とかにしてただろうな……
社員,よいしょと。戦闘用はやぶさに、マモルアースを搭載いたしました
職員,では戦闘用はやぶさ、発射します。総理、カウントをどうぞ
総理,3、2、1……
秘書官,Go！！！
総理,ちょっ
宇宙人,今日が約束の日だが、地球人は星を明け渡すつもりはないようだ。ならばやむをえん。戦争をするしかあるまい！
副官,司令官、地球から一基のロケットが発射されました！
宇宙人,ほう、我々と戦うつもりか？面白い、科学力の差を見せつけてくれる！。すぐにビーム砲で撃ち落とせ！
副官,了解！。あ、当たりません！
宇宙人,なにィ！？
副官,地球には“HAYABUSA”という鳥がいるそうですが、まるでその鳥のような速さです！
宇宙人,HAYABUSA……！なんと恐ろしい！。なんだ、あのミサイルは！？
副官,我々のバリアーをあっさり貫きました！回避できません！
宇宙人,いっ、いかん！被弾するッ！。地球人を侮りすぎていたか……。殺せ……！我らは君たちを滅ぼそうとしたのだ……！。当然滅ぼされる覚悟も出来ている！
総理,今この地球に彼らを受け入れるスペースはない……。気の毒だが、やるしか――
社員,お待ち下さい、総理。私に考えがあります
総理,ほう、一体どんな？
社員,私は子供の頃より特撮番組などで、“星が滅びたから地球にやってきた”という宇宙人を見るたび。いつもこう思ったものです。なんとか助けてあげたい、と――
総理,優しい少年だったんだな。！それはもしかして……彼らを救う手段があると？
社員,ええ、“あったらいいな”をカタチにするのが小林製薬ですから！。我々はマモルアース開発と並行して、宇宙人たちの新天地も開発していたんです
総理,星を作ったのか！？さすがは小林製薬！
社員,その名も――スメルホシ
総理,相変わらずいいネーミングだ……！
社員,宇宙人の皆さん、どうかスメルホシに移住なさって下さい
宇宙人,ありがとう……ありがとう……！。ハロー、コバヤシ製薬の方！我らの救世主！
社員,おおっ、また来て下さいましたか！スメルホシの住み心地はいかがですか？
宇宙人,とても快適です。本当にありがとう！
社員,今日は観光にいらっしゃったんですか？
宇宙人,ええ、それと、地球の文化を学ばせてもらっています。あなたの会社の製品も、ちょくちょく購入させてもらってますよ
社員,おおっ、それはありがとうございます
宇宙人,特にある製品など、コマーシャルのモノマネができるぐらい気に入りまして
社員,光栄です！よろしければご披露して下さいませんか？
宇宙人,では失礼して。元気ハツラツ！オロナミンC！
社員,それ大塚製薬さん……
