実はこれ以下の話のサイドストーリーみたいなやつです。全く読んでなくても大丈夫なやつなので特に問題ではないんですが,なんで灯織褒めてたんだよ
結華,おっはよー！……あれ？
霧咲摩,……
結華,なんだか空気が重たい……？
P,ん？結華か。おはよう
恋鐘,お、おはよ……///
結華,ナンデ！？
P,んー？何がー？
結華,何がじゃないでしょ！？。というかなんで抱き合ったままなの！？なんでそのまま座ってるの？！
P,いや、なんというか、成り行き？
結華,成り行きでこうなるの？！
P,実は罰ゲームだったりするんだよなぁ。あ、恋鐘。ちょっと首よけて。見づらい
恋鐘,うぅ///
結華,降ろせばよくない！？
P,いやでも罰ゲームだし
結華,罰ゲーム……？。でもそれなら他のみんなは……
摩美々,
咲耶,
霧子,
結華,あっれぇー？普通に見えるけどまみみん同じページ行ったり来たりしてるしさくやん雑誌逆だしきりりんに至っては皮じゃなくて実を剥いてる？
摩咲霧,……
結華,……三峰が聞く流れかー。んっん。……プロデューサー？
P,んー？
結華,……なんで、そんなことになったの？
P,？罰ゲームだけど？
結華,そうじゃなくて！そこにいたるまでの経緯！
恋鐘,プロデューサー、これお弁当
P,いつもありがとうな。昼にいただくよ
恋鐘,よかばい。……ところでプロデューサー
P,ん？どうした？
恋鐘,……
P,……本当にどうしたんだ？そんなに見つめられると穴が空きそうだ
恋鐘,……灯織のこと、ばり褒めとったって聞いたんやけど
P,そうだけど……それがどうかしたのか？
恋鐘,……
P,……？？
恋鐘,……うち、頑張っとらん？
P,頑張ってると思うけど……？？
恋鐘,。うちも褒めてよー！
P,え、ちょっ
恋鐘,うちも日頃から頑張っとるばい！褒めてほしかばい！
P,わかったから！わかったから落ち着いｔ
ﾏｸﾞｶｯﾌﾟ,こぼれたやで
PC,ｼｬｯﾀﾞｳﾝ
P・恋鐘,あ……
P,……
恋鐘,……
P,恋鐘
恋鐘,はい……
P,とりあえず座ろっか
恋鐘,……はい
P,流石に徹夜して仕上げた企画書とか権利関係の書類おじゃんにされたらいくら俺でもおこなのぜ？。なんでこうなったのかっていうと恋鐘が揺すってきたからじゃん？。落ち着かないといけないじゃん？だから落ち着かせるために今日一日はこうしようかなぁって。それでお膝の上に乗せたんだよ。反省しなきゃだもんなー？
恋鐘,……///
結華,こがたん困ってるけど幸せででもどうすればいいのか分からない顔してる……。あとみんなもちょっとほっとしてるけどチラチラこっちに目線くるなぁ。……でも、それなら別にお膝の上じゃなくてもよくない？普通に正座とか
P,正座してるとか恥ずかしいじゃん？
結華,今も相当だと思うよ……？
P,まぁ何はともあれ、今日は反省させる時間だから。レッスンには行かせるから安心しな
結華,別の意味で安心できないんだけど……
摩美々,……プロデューサー
P,ん？どうした摩美々
摩美々,私ー、罰ゲーム受けたことないんですけどー
P,え？罰ゲームしてほしいの？ゴムパッチン？スカイダイビング？
摩美々,なんでもないですー……
結華,まみみん撃沈しちゃった……
霧子,あの、えっと
P,霧子もかー？どうしたー？
霧子,……その、さすがに恋鐘ちゃんがかわいそう、かなって
P,でもスク水亀甲縛りで首から反省中プレートさげて正座とこれならどっちがいい？って聞いたらこっちを選んだしなぁ
霧子,他に手段はなかったんですか……？！
P,思いつかないネ！
霧子,うぅ……
結華,すごくいい感じに断言した！？
P,じゃあ例えば？もし霧子の案が妥当なら今からでも採用することにしよう
結華,！？これはチャンス！ここで上手くきりりんが切り抜けてくれれば……！
霧子,え、えっと……
結華,頑張ってきりりん！
P,ほら、なにかないか？
霧子,……
P,ゆっくりでいいんだぞ？
結華,きりりん……！
咲耶,霧子……！
摩美々,霧子……
霧子,……ごめんなさい
結華,ナンデ！？
霧子,ぇぅっ！？結華ちゃん……？
結華,きりりんそこはもうちょっと頑張ってよ！？諦めちゃ駄目じゃん！？
霧子,でも、わたしそんなひどいこと……
P,はっはっは、霧子はやさしいなー？
恋鐘,～///
結華,もういい加減この砂糖空間どうにかしたい……
咲耶,プロデューサー、ちょっといいかな？
P,んー？どしたー？
咲耶,流石に、年若い女の子と密着するというのはいかがなものかな？
P,む……
咲耶,いくら罰とは言っても限度があるだろう？さすがにこれほど女性に触れている状態というのは良くないんじゃないかな？
P,んー、それもそうかなー？
結華,さくやん上手い！これなら自然とこがたんが離れる流れに……！
咲耶,それに、疑いたくはないがプロデューサーが邪な気持ちを持っているようにも
P,いやそれは確実にないかな
咲耶,いや、そう見えるというだけで
P,そんな気持ちになるとか１００％ありえないよ
咲耶,いや、えっと
P,罰ゲームだぜ？そんな気持ちになったりなんかしないさ。恋鐘もそうだろ？
結華,ああ、こがたんがこの世の終わりみたいな顔してる……
P,ああでも咲耶が恋鐘の代わりになるというなら考えよう
恋鐘・咲耶,！？！？
P,どうする？
咲耶,……
結華,さくやんが焦ってる……いや、こがたんが捨てられた子犬みたいな目むけてるのもあるけど……！
P,もし咲耶と抱き合ったら愛情を込めて頭をなでたり背中ぽんぽんしたり子供にするようなことをするかもしれないけどなー
咲耶,遠慮するよ
結華,ああ……。さくやんも撃沈しちゃった……
P,恋鐘、あんまり動かないてくれ。やりづらい
恋鐘,それはプロデューサーがぁ……
P,んー？じっとしなきゃ駄目だろー？
恋鐘,うぅ……
結華,これ、止めようないのかなー
P,胸あたってるけどわざと？
恋鐘,それはぁ！プロデューサーがぁ！
P,もぞもぞしないの。じっとしろよー
恋鐘,い、息あたってくすぐったかけん
P,じゃあもうちょっとひっついて
恋鐘,むーりぃー……
P,じゃあ我慢して。お昼だなー
恋鐘,お、お昼やねー
P,ん？どうした？チラチラこっち見て
恋鐘,ご、ご飯食べたいけん、一旦離れてもよかと？
P,このまま食べるんだけど？
恋鐘,えっ
P,食べさせてあげるからなー
恋鐘,～……！！！
P,あーん
恋鐘,あーん……///
P,卵焼き美味しいよなー
恋鐘,うん……///
P,照り焼きも美味しくできてるよ
恋鐘,うぅ……///
摩美々,爆発してよ……
結華,まみみん気持ちはわかるけど落ちついて
咲耶,……
霧子,……
結華,あれから数十分ずっと砂糖はきっぱなし……。でもそろそろユニットレッスンだし、大丈夫のはず
P,ん、時間的にはちょうどくらいか。そろそろ降りていいぞー
恋鐘,
結華,やった！ようやく終わった！
P,でも帰ってきたらまたお膝なー
恋鐘,うわぁあああああん！
結華,こがたん！？
恋鐘,プロデューサーは鬼畜ばい！
摩美々,爆発しよ？
恋鐘,なんね！？
結華,うん、爆発すると綺麗におさまるかな
恋鐘,さ、咲耶ぁ……
咲耶,すまないね、正直擁護はしづらいかな
恋鐘,……霧子
霧子,よ、よしよし……大丈夫だよ、恋鐘ちゃん……
恋鐘,霧子ぉ……
結華,でも、こがたんそんなに嫌じゃなかったでしょ？
恋鐘,それは……そうやけど……
摩美々,……恋鐘
恋鐘,……
摩美々,……代わるよー？
恋鐘,へ？
摩美々,私ー、プロデューサーの膝興味あるしー
恋鐘,
摩美々,でもー、イタズラしてもー、多分今は取り合ってくれなさそーだしー
恋鐘,じゃ、じゃあ別の日に
摩美々,恋鐘ばっかりずるいと思うしー
恋鐘,うぅぅぅぅぅ……
摩美々,むしろ代わってくれない？
咲耶,摩美々、そう意地悪を言うものじゃないよ
