荒木比奈,ひなーっはっはっは！ゆかりちゃんのフルートにところてんを詰めてやったっス！
水本ゆかり,音葉さん、私にも音の流れが視えます！
梅木音葉,それは……ところてん……
比奈,ひなーっはっはっは！レナさんのトランプをタロットカードにすり替えてやったっス！
兵藤レナ,これは……ジョーカー？
藤居朋,悪魔ね、それ
神谷奈緒,くそっ、どうしてこんなことに……！
一ノ瀬志希,できたぞ新一！飲んだ相手を眠らせてついでに疲れを取る薬じゃ！
小関麗奈,やっとできたのね……新一って誰よ
志希,くれぐれも悪用するんじゃないぞ～
麗奈,相変わらずよく分かんない奴ね……まあいいわ、これをPのスタドリに混ぜて無理矢理眠らせてやるのよ！。ぐっすり眠るがいいいわ……アーッハッハッ……ゲホｯゲホッ
比奈,はぁ、今日のレッスンは特に疲れたっス……。Pさんがよく飲んでるけどスタドリって効くんスかねぇ？……まあ、後で買い足しておけば問題ないっスよね。んぐっ！？
現在の荒木比奈はハジケた無法者になるスタドリ,サイダー味
奈緒,窓ガラスにいきさつを書かなくてもいいから！しかも油性ペンで！
比奈,ひなーっはっはっは！
奈緒,……ん？なんで比奈さんがここに入ってくる前のいきさつも知ってるんだ？
？？？,アタシが教えたのよ！
奈緒,おっ、お前は……麗奈！
麗奈,そう、アウトサイダーを作った張本人……レイナサマよ！
奈緒,何が目的なんだ……！
麗奈,イタズラに使えるコマが一人増えたのよ？やることは決まってるじゃない
奈緒,まさか、お前……っ
麗奈,行くわよ比奈！みんなにイタズラをして回るのよ！
奈緒,やめろ！行くな比奈さん！
比奈,ふんっ
麗奈,おでこっ！？
比奈,この荒木比奈、誰の指図もうけぬ！
奈緒,いい音したなぁ
麗奈,な、何すんのよ！
比奈,……
麗奈,ひうっ、や、やめ……
比奈,おでこの生え際がくすぐったいんスかぁ？
麗奈,ふあ、ふわぁ……
比奈,ふんっ
麗奈,おでこっ！？
比奈,さぁ、どんどんやりたい放題してくっスよ……！
奈緒,次は何をしようってんだ……？
高峯のあ,先程まで騒がしかったみたいだけど
アナスタシア,シトー……何かあった、ですか？
奈緒,のあさんにアーニャ！それが……
前川みく,奈緒チャン、のあチャン、アーニャチャン、おっはようにゃ！って、奈緒チャンは深刻な顔してどうしたの？
奈緒,ああ、みくもおはよう。実は……
のあ,……アーニャ
アーニャ,……ダー
みく,二人ともどうしたのにゃ？みくをはさむように立って……
のあ,クロス・ニャンニャン！！
みく,グワァガァ
奈緒,ノアーニャのクロスされた腕がみくの頭をはさみ込んだーーっ。そして……みくの頭がとんだ！？
みく？,パワードスーツの頭部が！
アーニャ,みくは私たちの事をのあにゃん、アーニャンと呼びます
のあ,みく型パワードスーツを着ている貴女……正体を現しなさい
比奈,ひなーっはっはっは！ばれちゃあしょうがないっス！ここはたったひとつだけ残った策を使うしか……
奈緒,たったひとつだけ！そ……それはいったい？
比奈,逃げるんスよォ！
のあ,みくの身体で欽ちゃん走りをするのはやめなさい
アーニャ,ナオ……貴女も共犯ですか？
奈緒,違う！
アーニャ,あー……そうですか
比奈,ふーっ、なんとか逃げ切れたっス
奈緒,すげぇんだな、パワードスーツって
市原仁奈,に、仁奈の着ぐるみが……
奈緒,仁奈ちゃん！？比奈さん……アンタまさか仁奈ちゃんにも！？
仁奈,綿を詰められてぬいぐるみみたいになってやがります！
着ぐるみ,
比奈,ひなーっはっはっは！顔の部分から綿が飛び出てまスよ！
奈緒,仁奈ちゃん、今の比奈さんはごくごくひなひなで普通じゃないんだ、だから……
仁奈,そうはとんやがおろさねーです！そんな悪い比奈おねーさんなんて……
仁奈奈,悪い比奈おねーさんなんて名前を奪ってこらしめてやるでごぜーますよ！
比,ぐわああああああ！
ﾆﾋ奈奈,さらにこうです！
化,ぐわあああああああ！
奈緒,比奈さん……いや、化さんの動きが止まった！ってかもう何が何だかわかんねぇ！
？？？,今がチャーンス！
奈緒,あっ、アンタは……志希さん！
志希,奈緒ちゃん、このアンチアウトサイダードリンク、名付けてインサイダーを飲ませれば比奈ちゃんは元通りだよ！
奈緒,やったぜすっげぇ安直な名前だ！
志希,いいから早く飲ませる！
奈緒,あ、ああ！
化,んぐんぐ。不味い、もう一杯！
志希,無いよ
化,そんなぁ……んぐっ！？
志希,ということ。理解できたかなー？
比奈,……やっぱ人のドリンクは勝手に飲んじゃダメっスねぇ……
仁奈,モフモフからモフモフ……これはありじゃねーですか……？
比奈,仁奈ちゃん、綿出すの手伝いまスよ
仁奈,おおっ、助かりやがります！
のあ,…………アーニャ、放しては駄目よ
アーニャ,ダー、分かってます
麗奈,くっ、放しなさいよ！あとおでこペチペチすんなっ！
奈緒,まあ、これにて一件落着、かな？
志希,終わりよければすべてよし！よきかなよきかなっ♪
池袋晶葉,…………
晶葉,なんでみく型パワードスーツの首が取れているんだ？
