●全17レス前後,予定
みやちゃん,うっちー？うっちーーー？
うっちー,・・・・・・・・・・・・
みやちゃん,うっちー？・・・どこいっちゃったんだろ
うっちー,・・・・・・・・・・・・
みやちゃん,あ、あんなとこにいた。うっちー・・・・・・・・・・・・。・・・？
うっちー,・・・・・・・・・・・・・・・・・・・・・・・・
みやちゃん,うっちー？
うっちー,・・・・・・・・・・・・
みやちゃん,うっちーってば
うっちー,ひゃっ？！
みやちゃん,もう、うっちーったら
うっちー,み、みやちゃん！なんで？！
みやちゃん,・・・・・・・・・・・・。うっちー。いちばんまえのこ、かっこいーね
うっちー,
みやちゃん,こんどはあのこと、おともだちになりたいの？
うっちー,そ、そんなことないもん、きもちわるい！みやちゃんきもちわるい！！
みやちゃん,まっててね
うっちー,あ・・・まって・・・
みやちゃん,うん
うっちー,・・・・・・・・・・・・
みやちゃん,だけど、そうなんだよね？うっちー
うっちー,ちがうもん・・・きもちわるい・・・。あ！。なんで？！
みやちゃん,あたりまえでしょ、もう
うっちー,なんでぇ・・・
みやちゃん,うっちー。いますぐ、ごめんなさいしてきて
うっちー,えっ
みやちゃん,きもちわるいなんていったら、だめでしょ
うっちー,・・・・でも、でも
みやちゃん,もう、しーらない
うっちー,なんで・・・・・・・・・・・・・・・・・・・・・・・・。ごめんなさい、ごめんなさあい・・・。・・・ありがとね、かよちゃん
かよちゃん,うん、いいよ。うっちー
みやちゃん,・・・・・・・・・・・・
かよちゃん,・・・・・・・・・・・・
みやちゃん,・・・・・・・・・・・・
うっちー,・・・・・・・・・・・・
かよちゃん,あっ！。あった！あったよ！
みやちゃん,え、どこ・・・あっ！
かよちゃん,いっしょだよ！みんないっしょ！
みやちゃん,すごいすごーい！よかったあ・・・
うっちー,・・・
みやちゃん,よかったね、うっちー！
うっちー,・・・・・・・・・・・・
かよちゃん,うっちー？？
うっちー,・・・・・・・・・・・・・・・・・・・・・・・・うっ
かよちゃん,え？！？！
うっちー,なんで？！なんでーーーー？！
みやちゃん,うっちー？！
うっちー,やだ！！やだあーーーー！！
かよちゃん,うっちー！うっちーってば！！
うっちー,うわあーーん！なんでなんでなんでー？！。ひっく・・・ひっく・・・ぐずっ・・・
みやちゃん,うっちー・・・・・・・・・・・・・・・・・・・・・・・・
かよちゃん,・・・・・・・・・・・・・・・・・・・・・・・・
みやちゃん,・・・・・・・・・・・・・・・・・・・・・・・・
うっちー,・・・・・・・・・・・・・・・・・・・・・・・・
かよちゃん,・・・・・・・・・・・・・・・・・・・・・・・・
みやちゃん,・・・・・・・・・・・・・・・・・・・・・・・・
うっちー,・・・・・・・・・・・・
みやちゃん,・・・・・・・・・・・・
うっちー,・・・・・・・・・・・・
かよちゃん,・・・ねえみやちゃん、こんどはあのこ？
みやちゃん,そうみたい
うっちー,・・・・・・・・・・・・・・・・・・・・・・・・
かよちゃん,・・・わたしのときも、ああだったの？
みやちゃん,うん
かよちゃん,うっちーってへんなの
みやちゃん,ほーんと、もう
うっちー,・・・・・・・・・・・・・・・・・・・・・・・・。な、なに？！きもちわるい！！！
みやちゃん,・・・なっちゃん、きにしないでね
かよちゃん,うっちーのこれ、すきってことだから
なっちゃん,そうなの？ふふっ、おもしろーい
うっちー,きもちわるい、きもちわるいっ・・・。やだやだやだ！！気持ち悪い！！
みやちゃん,こういう子なの、気にしないでね
なっちゃん,とってもいい子なんだよ？ね、かよちゃん
かよちゃん,・・・嫌だったら、しかたないけど
うっちー,えっ・・・あ、ありがと・・・
宮崎,そういうことなんだけど・・・
内,なんなのもう！気持ち悪い気持ち悪い気持ち悪い！
かよ,素直になれば？もう
内,気持ち悪い気持ち悪っ・・・キモい！！。えっ！！！！！
ナツ,うっちー？！
内,やだもう！きもいきもいきもい！。キモいよっ・・・みんな、キモい・・・だいキモい・・・・・
宮崎,なにそれ、もう。うっちーのバカ
内,・・・う、ううっ・・・なんで、なんでえ・・・。なんでなんでなんでぇ・・・。だって・・・・・・・・・・・・だってえ・・・・・・・・・・・・。う、うぐっ、ひぐっ・・・うぇぇぇぇぇ・・・。やだ・・・やだ、怖い・・・。・・・・・・・・・・・・うん。うっさい・・・みんなキモい、だいキモい・・・
かよ,・・・変わらないね、うっちーは
ナツ,ほんっと、ぜんぜん変わらない
宮崎,うん。・・・・・・・・・・・・今でもずっと、あのときのまま。だから、わたしたちもずっと変わらずにいられた
かよ,・・・うん
内,やだ・・・もっと飲む・・・。いいもん・・・デブになる・・・嫌われてやる・・・。・・・・・・・・・・・・ごめんね
かよ,それじゃ会計するから、みや
宮崎,・・・・・・・・・・・・
ナツ,・・・・・・・・・・・・みー？
宮崎,・・・・・・・・・・・・でも、ね
かよ,・・・みや
宮崎,・・・ごめん、行こう
かよ,・・・・・・・・・・・・ったく、うっちーのバカ
