一ノ瀬志希,わー海だー
モバＰ,以下Ｐ
志希,海が見えた時ってもっと盛り上がるもんじゃないの？
Ｐ,どんなバラエティ見たんだ
志希,いやー、太平洋だねー。あれ、これって日本海？
Ｐ,太平洋でいい
志希,ふんふん。この向こうがアメリカかー。まあどこの国でもいいんだけど
P,大雑把だな……
志希,結構ビーチ広いね。どっかから降りられるの？
P,駐車場でもあればそこに車止めるけど。こんな季節に海辺でも歩きたいのか
志希,それいいかも。こっちに戻ってから海なんて、わざわざ行かなかったし
P,絶対寒いぞ
志希,だよねー
P,っていうかお前、コートどうした
志希,ん？あれ？事務所に置いてきちゃったかな
P,かなって、それで外に出るのかよ
志希,マズい？
P,マズいっていうか……いや、でも女子高生って真冬でもミニスカート履けるんだもんな……
志希,にゃはは、視線がおじさんだ
P,職業病ってことにしておいてくれよ。まあ、今日は志希の話に乗るって言ったもんな。止められるところ見つけるよ
志希,わーい
P,しかし、何だって海に来たんだ
志希,別に海じゃなくてもどこでも良かったんだ
P,はあ
志希,キミを連れだせるならどこでも良かった
P,……
志希,キミとふたりだけで出かけるなんて初めてだし？
P,出かける……いや、出かけるって言うのかこれ
志希,んふふ～、なんならデートって言ってもいいんだよ～
P,仕事サボって担当アイドルとデートか。いい身分すぎるだろ
志希,だから、たいぎめーぶんを与えたわけだよ、あたしは
P,計算高いやつめ
志希,得意だからねー。ねえねえ
P,……なんだ
志希,どうしたのさー、出発してからずーっと浮かない顔で
P,浮くものは何一つない。なんでこんなところにいるんだろうって思ってるよ
志希,それは、あたしの口車に乗ったからー♪
P,……そうだな、そうだった
志希,後悔してるのかな
P,している……いや、どうだろう、わからん
志希,にゃはは。あの時の顔は、なかなか面白かったよ
P,そうか、忘れてくれ
志希,むりむり。大脳皮質が忘れてくれなーい
P,はぁ。……なんで俺、平日の夕方にこんなところにいるんだ。……。……はー
千川ちひろ,つかまりませんか？
P,ええ。圏外アナウンスですが、着信拒否でしょう。自宅へは……いや、やめておきましょうか
ちひろ,その方がいいでしょうね。私がメールを出しておきますよ
P,……俺がやるべきじゃないですか
ちひろ,直接メールするのはハードル高いですよ。向こうももらっても読みたくはないでしょう
P,それはそうかもしれませんが……
ちひろ,ワンクッション挟むことで、双方嫌な思いも少なくて済みますし、私は事務的に契約破棄メールを送るだけ。全員負担は少ないんですよ
P,……わかりました。よろしくお願いします
ちひろ,はい、承りました。あの子は、Pさんがスカウトしてきたんでしたね
P,ええ。……いい素材だと思っていたんですけど
ちひろ,レッスンに耐えられなかったんですかね
P,それだけ、ではないと思います。何となく嫌になった、なんてことだって十分あるでしょうけど……
ちひろ,思えば、そんな器用そうな子じゃなかった気がしますね。でも、もっと不器用な子でも頑張っている子はいますから……
P,もっと早くフォローするべきでした。軌道修正できたかもしれない
ちひろ,言ってはなんですが、本人のやる気がないとどうしようもないこともありますよ
P,それを引き出すのも俺の仕事です。とはいえ……ポンとデビューできてちやほやされて、なんて普通できません
ちひろ,現実と理想のギャップに負けて、ってあたりですかね
P,ええ
ちひろ,でも、初期のレッスンくらいで折れるようでは、この先も乗り越えていくのは難しかったのではないですか？
P,……
ちひろ,彼女にも私達にも、むしろ傷が浅かったという考え方もあるかもしれませんよ
P,……そう思う自分もいます。その方が気楽でしょうけど……。最近順調だったんですよね。いいユニットの担当になれて、うまく仕事が回って……少しばかり、いい気になっていたかもしれません
ちひろ,担当に恵まれたと思えるなら、それはとてもいいことですね
P,そうですね……。あー……
志希,おやおや。プロデューサーがへこたれてるー
P,……志希か。おはよう
志希,おはよー。もうお昼過ぎてるけど
P,そうか、レッスン終わったのか。どうした
志希,んーん。あ、でもご飯食べたい
P,たかりに来たのかよ。それにしては志希一人だけか
志希,なんかみんなどっかいった
P,なんかって
志希,美嘉ちゃんと奏ちゃんは学校だーってあたしと入れ違いだった
P,朝練しにきてんだよなぁ。偉いよ
志希,周子ちゃんはこのあと羽衣小町で撮影だし
P,宮の字は
志希,ゼミだって
P,ちゃんと大学行ってるんだなぁ
志希,とまぁ、おいていかれた志希ちゃんなのでした
P,遅めの飯か。まあ志希一人なら財布にも優しいし、いいだろ
志希,やったー♪
P,どこに行くかねぇ
志希,とその前に
P,ん？
志希,はすはすー
P,おい
志希,……んー
P,なんだよ
志希,まいいや
P,なんなんだ
志希,じゃあ行くところなんだけどさ
P,おう
志希,あたしの気まぐれに付き合ってみない？
P,……ん？適当に店探すのか？
志希,あ、それいいね。車だしてよ
P,車で行くようなところは行けないぞ
志希,いけるよ？
P,なに言ってるんだ
志希,会話がかみ合ってないねぇ
P,よし、そこは同意見だ
志希,だからさ
P,おう
志希,あたしと一緒に失踪しちゃわない？
P,は？
志希,にゃはは、何その顔！カートゥーンでもそんな呆けた見ないよ
P,……呆れてるんだよ。何がしたいんだ
志希,だからー。失踪。これから。あたしと。キミで
P,出来ない
志希,出来るよ
P,あのな、俺は仕事が
志希,してなかったじゃん
P,……
志希,あたしさー、最近ふらっとどこか行くのやってなかったんだよね。今回は特別に、キミの同行を許可しちゃおう
P,失踪仲間が欲しいにしては、随分と苦しい言い訳だな
志希,お目付け役として付いてくるってのはどう？飛鳥ちゃんがしたように
P,何日やるつもりだよ。明後日撮影はいってたろ
志希,そんなん話したら失踪にならないよ。まーまー、一回やってみなって。クセになるよー？
P,癖になっちゃまずいだろ。……どこに行くつもりなんだ
志希,お？んふふ……決めてなーい。でもまぁ、そうだにゃー。海とか見たいかも
P,海ねぇ。山よりは寒くなさそうだ
志希,そうだね
P,……。なにを考えてる？
志希,にゃはは～
P,いつもの、変わらない志希だ。……。猫は人が落ち込んでいると、そばにいてくれるって言うけど。まあ、詮索しても意味はないか
志希,んー？
P,なんでもない
志希,そう。ね、失踪しちゃおう？
P,……ちひろさんに
志希,ん？
P,早退するとか言ったら、失踪じゃなくなるよな
志希,そうだねぇ。誰にも何にも言わずに、ふらっと姿を消すの
P,あとで大目玉だな
志希,まぁその時は、あたしを追っていたとでも言うといいよ
P,言うと思うか？
志希,にゃはは。思わない
P,失踪か。……普通、できるわけないよな
志希,君なら、そうだろうね
P,でも、まぁ。今日のところはのってやってもいい。うわっ。風あるな
志希,冬の海風すごいねー。にゃはは、だーれもいない
P,物好きしか来ないだろ。こんな平日の夕方に、冬の海なんて
志希,じゃーあたしとキミは、もの好きってこと？
P,いま、好きで来てるか？
志希,んー、わりと
P,そうかい。じゃあもの好きなんだろう
志希,でも寒いのは好きじゃないにゃー
P,海辺におりたいって言っておいてそれか
志希,あたしが砂浜を歩きたいってのと、寒いのは嫌だって言うのは両立するでしょ
P,理論的なこと言ってるようだけど納得はできない
志希,あたしもー
P,おい
志希,あ、じゃあ風よけになってよ
P,は？
志希,うりゃっ
P,……腕組むだけで風よけになってるか、これ？
志希,海からの風防げてる気はする
P,っていうか髪。いつもの自由なウェーブがすごいことなってるぞ
志希,もってかれそー。こんなMVなかったっけ？
P,卯月がカバーした、あの人のPVは風に吹かれまくってるけど
志希,それそれ
P,冬の海で撮影するか
志希,やーだー
P,……
志希,また仕事のこと考えているのかな？
P,……まあ、どうしたって気がかりになる
志希,キミって、いままでサボタージュしたことない人？
P,いや、そんなことは……ないはず……どうだったかな
志希,それはまた
P,つまんない男だってか？
志希,マジメだなーって
P,信頼はどこの業界でも大事だぞ
志希,信頼は実力の後について回るだけだよ。てきとーにやってても回る物は回るって
P,そう言えるのは、凡人じゃない証左だよ
志希,にゃはは。それはまあ仕方ないよねー。せいぜい数時間の早退なんて、サボりにも入らないでしょ
P,そんな感覚は持っていない。……まあ今日は、ちひろさんも見逃してくれてるのかもしれないけど
志希,結局、電話なかったもんね。キミ、ずっと気がかりだったでしょ
P,気が気じゃなかったよ。途中で昼飯食べてから気にしないようにしたけど
志希,気にしようとする心そのものが、気にかかっている証拠だねぇ
P,そんな器用にできてないんだよ
志希,放り出すと楽になるよ
P,そこには責任が伴うだろ
志希,それがどうしたって言うの？
P,俺みたいなのには、そんな言葉で返せないんだよ
志希,そう？
P,放り出したら、何も残らない
志希,……あたし、アメリカで研究してたじゃない
P,ん？ああ
志希,日本で持て余していたこと、アメリカの大学でならいろいろ解消できるかなと思っていったんだけど、結局そこでも全部放り出して日本帰ってきちゃったでしょ
P,だったみたいだな
志希,そうやって、全部放り出しながら生きてきて、あたしに残ったもの、何だったかわかる？
P,……
志希,いまキミが持っているもの。地位も職業も、アイデンティティも好きな物も、全部放り投げた時、キミには何が残る？あたしには何が残ったと思う？
P,少なくとも、俺がそれらを放り投げたら、何も残らないよ
志希,そう思っていた。そう感じていたんだよね、あたしも
P,意外だな。志希にはいろいろあるだろうと思っていたけど
志希,でも、そうじゃなかった。あの時、ふらふらしていただけのあたしを見つけてくれたから
P,……
志希,キミだよ
P,……
志希,どこまで何もかもを放り投げたって、あたしにはあたしが。キミにはキミ自身がいる。どこにでも行ける、何にだってなれるキミがいるんだって。そう教えてくれたのは、キミだったんだよ
P,……はーっ。慰められてるのかね、これは
志希,最初の動機はそうだったんだけどね。どうでも良くなっちゃった
P,はい？
志希,これでも、ちょっとは人の心も分かるサイエンティストのつもりなんだよ
P,あー、なんだ、良く聞くマッドサイエンティストじゃなくて
志希,んー。クレイジー？
P,それだな
志希,落ち込んだりとか、あたしもないわけじゃない。でもそんな時でもあたしは、自由にやってきたからさ。落ち込むのもやってらんないんだよね
P,そうできれば、楽には生きられるだろうけど
志希,キミにもそうあれと言う気もないよ
P,……
志希,ただ、いまのあたしは。あたしを見て、って思ってるだけ
P,志希？
志希,あたしがいいたいのは。ふたりっきりのこの時間に、仕事なんて考えなくていいよ、ってこと
P,……
志希,ねえ、見てて
P,は……？なに靴脱いで……
志希,砂浜を歩くのに靴なんて、窮屈じゃない？
P,ちょ、おい季節考えろ
志希,見ててよ
P,靴下投げ捨てるなって
志希,キミが見ててくれるなら、こんなことだってできちゃう
P,！？。何やってんだ！
志希,うひゃーっ、冬の海つめた！
P,当たり前だろ！
志希,あっ、ダメなやつだこれ。冷たいじゃない、痛いだこれ！
P,さっさとあがれバカ！見てるこっちが寒い！
志希,見てる？
P,は？
志希,あたしのこと、見てる？。あたしのことだけ見てる？。いまキミの眼には、あたししか映ってない？
P,……いいから早くあがれ
志希,見てるって言って
P,いいから！
志希,言って
P,ああもう！見てるよ！今はお前のことしか見えてない！
志希,にゃはは。ならまあ、いっか
P,早くあがれ
志希,はーい。あがったらあがったでまた寒い！気化熱やばー！
P,言わんこっちゃない。車まで戻るぞ、いけるか
志希,ちょっとむり
P,あとさき考えてねえな！
志希,やっちゃったことは取り消せないよね
