プルンス,その顔まさか図星でプルンスか～！？
キュアスター,えー、その歳でまだ童貞だなんてキラやば～☆
キュアミルキー,オヨヨ～ｗｗｗ俺くんは惑星サマーンじゃ恥ずかしくて外も歩けないルン！
俺,く、クソ！童貞を馬鹿にするんじゃない！この歳まで己の貞操を守り抜いた成人男性は魔法使いへと転生するんだぞ！
キュアミラクル,今魔法使いって言いました！？
俺,！！
キュアスター,あっ、先輩！新人のキュアスターです！よろしくお願いします！
キュアマジカル,よろしくね！それにしてもすごいわ。ナシマホウ界にも魔法使いっていたのね！
キュアミラクル,少しだけ魔法を見せてもらっていいですか？
俺,よし、なら何もないところからミルクを出してやろう
キュアミルキー,ふぅん…こんなことができるなんて、地球人の科学力も侮れないルン
キュアスター,ミルキー！それミルクじゃなくて精液だよ！舐めちゃだめ！
モフルン,なんだか甘い匂いがするモフ～！
俺,！？
キュアミルキー,本当ルン、このミルク甘いルン！
キュアスター,え、本当だ…もしかして俺くん糖尿病！？キラやば～☆
キュアホイップ,そのミルクでクリームを作ったら美味しいスイーツができそう！
キュアエール,それならもっといっぱいミルクを出さなきゃ！フレッフレッ、俺くん！頑張れ～♪
はぐたん,はぎゅ～！
俺,プリキュアがこんなに…よーし、やってやる！
キュアホイップ,こんな量じゃ足りないよ～！もっと勢いよく出ないの？
キュアエール,みんなでもっと応援しよう！俺くん頑張れ～！
プリキュアオールスターズ,俺くん頑張れ～！！！
俺,……！うおおおおおおお！！。んああっ！
キュアホイップ,いっぱい出たぁ！！これならたくさんクリームが作れるよ！
キュアエール,それじゃあ今日はプリキュアのみんなでスイーツパーティーだね！
キュアスター,そうだ！その前に大事なお知らせがあるんだった！
キュアミルキー,映画最新作！プリキュアミラクルユニバース！3月16日土曜日の明日公開ルン！
キュアエール,今度の映画はミラクルライトの秘密に迫る！
キュアホイップ,君も劇場でキラキラ星の世界へワープ☆私たちと一緒にミラクルライトの秘密を探しに行こう！
キュアスター,とってもキラやば～☆な映画になってるから楽しみにしててね！
俺,みんな！映画館で待ってるよ～！
