北条加蓮,そうそう！
神谷奈緒,いやいやいや、PさんはPさんだろ？逆に加蓮はPさんを何だと思ってるんだよ？
渋谷凛,奈緒、落ち着きなよ
奈緒,落ち着いてるよ。いきなり素っ頓狂なこと言われてビックリしてるだけ
加蓮,素っ頓狂とは何よ！
奈緒,素っ頓狂だろうが！
凛,だから落ち着いてってば。加蓮、なんで急にそんなこと言い出したの？
加蓮,…二人共、Pさんがどんな人間か説明してみて
奈緒,え？難しいこと言うな…
加蓮,別に難しく考えなくていいから。口調とか性格についてとかで良いから
凛,性格…まぁ、そこまで荒い性格ではないよね。口もそこまで悪くないし
奈緒,そうだな、タメ口で接しては来るけど、それは年齢差考えれば当然のことだし
加蓮,うん…やっぱりそうだよね…でも私、何回か見ちゃってるんだよ
奈緒,見たって何を？
加蓮,Pさんが他のアイドル達と話してるとこ
凛,…？それの何かおかしいの？ここにいるアイドル全員のプロデューサーなんだから何も不思議じゃないでしょ？
加蓮,分かってるってば。とにかく最後まで話を聞いてっての
奈緒,分かった分かった。で？何がおかしかったんだ？
加蓮,うん。あのね…
柊志乃,…あら、Pさんじゃない。お疲れ様
P,志乃さん…ああ、美優さんもご一緒ですか。
三船美優,お疲れ様です…Pさん
P,お疲れ様です、美優さん…二人はどちらへ…？
志乃,今日の分の仕事は全て終わったわ…だから飲みに行こうかと…ね
P,…ああ。前に仰っていたしんでれらというお店ですか
美優,はい。志乃さんに誘っていただいたので、ご一緒しようかと…
志乃,先にもう瑞樹ちゃんや早苗ちゃん、楓ちゃんが向かってるわ…ふふ、今日も楽しく飲めそうね…
P,全く…お気持ちは分かりますが、飲み過ぎないようにしてくださいね。無駄な忠告でしょうけど
志乃,ふふ…善処するわ…ではまた、ね
美優,失礼しますね、Pさん
P,ええ、お疲れ様でした。また明日
奈緒,う、うん？ちょっと待て、加蓮。今の会話のどこがおかしいんだ？
凛,うん、何もおかしいところはないよね…強いて言うなら、敬語だったことぐらい？
奈緒,でも、敬語だっていうのも相手が志乃さんたちだったし、別に不思議でもないだろ？
加蓮,…うん、わかってる。流石にこれだけじゃ分からないよね
凛,っていうことは、まだ続きがあるんだ？
加蓮,うん。年少組の子たちと話してるのを見たんだけどさ…
P,みんな！大ニュースだよ！大ニュース！
龍崎薫,わわっ！？どうしたのせんせぇ！？
市原仁奈,何かあったんでごぜーますか？
P,今度開催されるジュニアアイドルフェスティバルにみんなが出れることになったんだ！
横山千佳,えーっ！？そうなの！？ってことは…またラブリーチカになれるの！？
P,そうだ！
橘ありす,ちょっと皆さん落ち着きましょう！それでＰさん、私たちは何をやるんですか？
P,うん、まだ企画段階だけど、皆にはドレミファクトリーとなつっこ音頭を歌ってもらおうかと考えてる
結城晴,お！オレ、あの曲好きなんだよなー。踊ってて楽しいし
P,そういうわけだ！ということで、しばらくは皆忙しくなる！僕も可能な限り、皆のサポートをするつもりだけど、何かあったら遠慮なく相談してね！
佐々木千枝,はいっ分かりました！皆、頑張ろうね！
P・アイドル達,オー！！！
奈緒,た、確かにアタシたちの知ってるPさんからは大分かけ離れているな…
凛,う、うーん…でも相手は年少組でしょ？そういう口調にして喋るのも不思議では無いんじゃない？
加蓮,ふふふ…ところがどっこい、まだあるんだよね
奈緒,え！？こ、今度は何なんだよ…！？
向井拓海,おいプロデューサー！これは一体どういうことだゴルァ！！？
P,ア゛ァ！？うるっせえな、いきなり何だよ！？
拓海,これ、どう考えてもテメェの仕業だろうが！！
藤本里奈,おお～すごいヒラッヒラじゃーん！かわいいぽよ～！
P,おう！絶対拓海に似合うと思ってな！頑張って営業かけた甲斐があるってもん－－
拓海,アタシにこういう服はやめろって、いつも言ってんだろうがぁ！！
P,グハァッ！
大和亜紀,相変わらず騒がしいですなあ
木村夏樹,ハハッ、そうだなあ。しかしあの衣装…いつか着たメイド服を思い出すぜ
松永涼,あ、そうか。夏樹も以前仕事でメイド服着てたんだっけな
夏樹,そうそう、Pの熱意に負けちまってな。
亜紀,夏樹殿も苦労が絶えませんなあ
夏樹,まあいい経験にはなったから良いさ。それに…
涼,それに？
夏樹,流石に拓海と違って、ああいうのはあれっきりだろうしな
涼,ハハッ、確かにそうだな
拓海,いや、だから夏樹！前にも言ったが、アタシも別に十八番ってわけじゃねえからな！？
P,いや、どう考えても十八番だろ
拓海,うるせぇ！
P,ギャフンッ！
奈緒,アタシたちの知ってるPさんと違う！
凛,た、確かにちょっと違い過ぎて怖いね…
加蓮,でしょ！？あれ以来Pさんとまともに話せてないんだよ…何考えてるか分かんなくて怖いんだもん…
凛,うーん…確かにここまでくるとプロデューサーが何者なのか気になってくるね…
奈緒,…で？
加蓮,え？
