黄緑色の金の亡者,以降ちひろ表記
ちひろ,…ふぅ、これで一段落つきましたね。今日は珍しく平和ですねぇ。いつもこうなら良いのに
千夜,誰だ私のインナーをダイビングスーツにすり替えたのはァ！
ちひろ,おはようございます千夜ちゃん
千夜,…おはようございます。……
ちひろ,何かお探しですか？
千夜,あの男は、今どこに？
ちひろ,ああ、プロデューサーさんならさっきちとせちゃんと中庭に行くって
千夜,中庭ですね。情報提供感謝します
ちひろ,はぁい。いってらっしゃーい。…。あの子も随分馴染みましたねぇ。この事務所の場合良い事なのかどうなのか微妙なところですけど
りあむ,誰だよぼくのアカウント凍結させたヤツはァ！やむぞぉ！？
ちひろ,運営さんじゃないですか？
りあむ,あれ？今日メンタルＤＶ社畜は？
ちひろ,あなたも随分馴染みましたね
モバＰ,以降Ｐ表記。なまなま？
ちとせ,凄いわ！芸能事務所って中庭に釣りができる池があるのね
Ｐ,多分うちくらいのもんだと思うけど。他にも菜園とか田んぼとか秘密の実験室とかもあるし
ちとせ,凄いわ！もし何かあってもこの事務所の中だけで自給自足出来そうね！
Ｐ,ああ、菜園の果物は勝手に取っちゃ駄目だからな？食べるとインベスになる実とか泳げなくなる実とかあるから。…よし出来た。それじゃあやってみ？
ちとせ,うふふ、釣りなんて生まれて初めてだからドキドキするわ…。ねぇ、ここって何が釣れるの？
Ｐ,んー、アジとかサバとかヒラメとかニジマスとかカンパチとか？
ちとせ,お寿司食べたくなるラインナップね。それじゃあ行くわよ～？どうせなら大物を狙いたいわ。カジキとか、あとカジキとか！
Ｐ,流石に池にカジキは無理だろ。うん？何やら白雪千夜が全力疾走してくるような地響きが…？
千夜,お前ェ！！
Ｐ,鬼の形相の新人アイドルが一直線に突っ込んでくる恐怖！
ちとせ,んー、釣れないわねぇ
千夜,お前なぁ！この、おまっお前この野郎お前ぇ！！
Ｐ,ちょ、ステイステイ！落ち着けどうした！何があったか知らんが濡れ衣だ！
千夜,嘘つけお前以外にこんなしょうもない事をする者がいるか！
Ｐ,ちょっ、あんまり押すとバランスがっ、落ちるっ！落ちちゃうから！
ちとせ,ポイントが悪いのかしら？それじゃあ投げ直してっと
Ｐ,ん？
ちとせ,うんしょお！何か重たぁい
Ｐ,ウェーーーーーーーーーーーーィ！！。あばばばばばばばばば！？
ちとせ,あははっ魔法使いさんが釣れちゃったわ♪
千夜,ふん、自業自得だ
Ｐ,あばばばばばばばばばばばば！？
ちとせ,…
千夜,…
Ｐ,あばばばばばばばばガボゴボガボゴボ！？
ちとせ,…
千夜,…
Ｐ,……っ！………ッ！！……………
ちとせ,…ねぇ千夜ちゃん？プロデューサーさん本気で溺れてない？
千夜,…いや、あいつの事ですからどうせいつもの冗談では
ちとせ,……浮いてこないわよ？
千夜,…いやいやいやいや、騙されないでくださいお嬢様。どうせいつもの悪ふざけです
ちとせ,……泡一つ浮いてこないわよ？
千夜,…
ちとせ,…
千夜,……
ちとせ,………
千夜,ああ…もう世話の焼けるっ！！
ちとせ,あはは♪千夜ちゃんのインナーをダイビングスーツにすり替えておいて丁度良かったわね♪
千夜,犯人お嬢様ですかっ！
Ｐ,え、千夜が風邪？
ちとせ,ええ、昨日びしょ濡れになっちゃったじゃない？
Ｐ,俺は全然平気なのになぁ…
ちとせ,うーん、千夜ちゃんは人間だもん
Ｐ,サラッと俺は人間じゃないみたいな言い方
ちとせ,だから今日は朝からお世話してくれる人がいなくて
Ｐ,ああ、だから左右の靴違うのか。あ、靴下もだわウケる
ちとせ,ずーっと千夜ちゃんに頼り切ってたものねぇ
Ｐ,取り合えず寝起きの卯月みたいなボサボサ頭直してやるから。ほれ
ちとせ,はぁい
Ｐ,んで千夜は？
ちとせ,屋敷で寝てるわ。熱あるのに付いてくるって言うから大人しく休んでなさいって釘刺しておいたわ
Ｐ,ああ、言いそう。でもってそれでも付いてきそう
ちとせ,あんまり駄々を捏ねるから物理的に釘刺すわよ？って言ったら大人しく言う通りにしてくれたけど
Ｐ,自称吸血鬼お嬢様怖ぇ
ちとせ,と言う訳で今日は私が千夜ちゃんの分まで頑張るわね！
Ｐ,いや普通に千夜のスケジュールはキャンセルするから
ちとせ,今日の私は千夜ちゃんの魂と共にあるから大丈夫よ！
Ｐ,生霊引っこ抜かれた抜け殻が屋敷で横たわってる事になるんだけど
ちとせ,トリニティちとせと呼んでくれても構わないわ
Ｐ,１人足りてねぇ。仕方ない…千夜が風邪ひいたのも俺に責任が１割くらいはあるだろうし。よし、今日１日俺が奴の代わりにちとせの僕になろうじゃあないか！
ちとせ,あ、チェンジで
Ｐ,え、ひどくない？
ちとせ,冗談冗談♪ヴァンパイアジョークよ。でも魔法使いさんに私の僕が務まるかしら？自分で言うのも何だけど私は物凄く面倒くさいわよ？
Ｐ,夢見よりも？
ちとせ,流石にあそこまでじゃないけど
Ｐ,なに、この事務所には他にもお嬢様沢山いるし何とかなるさ
ちとせ,確かにねぇ。事務所に日本の経済力どれだけ集めてるのって正直引いたわ
Ｐ,んじゃ早速。まずは何をすればいいのかなお嬢様
ちとせ,そうねえ。やっぱりまずは形から入らないと。僕ちゃんは僕ちゃんらしい格好をして貰わないと
Ｐ,つまり俺が千夜の服を？
ちとせ,別に止めやしないけど後で千夜ちゃんにシバかれるのプロデューサーさんよ？
Ｐ,執事
ちとせ,わぁ意外と似合うわ。黒目がドロッドロに濁ってるのが気になるけど
Ｐ,小〇大輔ボイスでやった方がいい？
ちとせ,悪魔な執事さんはちょっと遠慮したいわね
Ｐ,小〇ボイスで吸血鬼相手…ロードローラー用意しとこうか
ちとせ,この僕ちゃん全然ボケさせてくれない！
凛,あれ、どうしたのプロデューサー。コスプレ？
Ｐ,執事
凛,ふーん、で、次予約できる？
Ｐ,そういうサービスじゃないから
ちとせ,僕ちゃーん早くー
まゆ,あらぁコスプレですかぁ？お似合いですよぉ
Ｐ,執事
まゆ,ふぅん…１時間お幾らですかぁ？
ちとせ,僕ちゃんってばー早く早くー
桃華,言い値で雇いますわ！！
Ｐ,執事
桃華,０が８個くらいまでならお小遣いで何とかなるかしら…あ、お年玉も使って…
ちとせ,僕ちゃんってばぁー。遅刻しちゃうーマストレさんに怒られるの私なのよー？
仁奈,すげー！クオリティたけーでごぜーますよ！
Ｐ,羊
仁奈,すげーすげー！えぐい完成度でやがります！
ちとせ,僕ちゃんエンカウント率高すぎぃー。よろしくお願いしまーす
Ｐ,羊
マストレ,時間ギリギリだぞ黒埼！あと羊を連れて来るんじゃあない！
ちとせ,ふぅ、ふぅ…きょ、今日のレッスンもハードだったわ…
Ｐ,メェェェ
ちとせ,僕ちゃんいつまで羊さんなの？
Ｐ,いや、全然ツッコんでくれないから
ちとせ,どちらかと言えば私ボケたいのよね
Ｐ,俺もどちらかと言えばツッコミなんだけどな
ちとせ,あはははははははは！
Ｐ,爆笑されるような事は言ってない！
ちとせ,一日臨時僕ちゃんな魔法使いさん？お嬢様は疲れて喉が渇いたわ
Ｐ,おしることおでん缶どっちがいい？
ちとせ,早くも千夜ちゃんが恋しい…
Ｐ,まぁ、ちゃんと用意してるけどさ
ちとせ,隙あらばからかわないと生きていけない病か何かなのかしら……ぷはっ、伊右衛門美味しい♪
Ｐ,綾鷹だよ
ちとせ,それにしても、どんどんレッスンがきつくなってる気がするんだけど
Ｐ,新人七人衆もじわじわ慣れて来た頃だからな。まだまだこれからハードになるぞ？
ちとせ,私、もう長くないと思うの…
Ｐ,志希のクスリと晶葉の改造どっちがいい？
ちとせ,人としての尊厳を尊重してくれる手段をお願い
Ｐ,また随分と難しい注文だな…
ちとせ,えーんえーん、芸能界怖いわあ
Ｐ,よし十分休んだな。次はボーカルレッスンでごぜーますよお嬢様
ちとせ,僕ちゃんはお嬢様を米俵みたいに担いだりしな…あ、結構楽しい♪
千夜,へぷちっ！。……お嬢様は今頃レッスンですね。大丈夫でしょうか…。喉が渇いたと愚痴ってないでしょうか。疲れたからおんぶとか駄々をこねてないでしょうか。自販機押し間違えておでん缶買ったりしてないでしょうか…。…。……。やはり心配だ。寝てなどいられるかっ！
Ｐ,ステイ
千夜,はう
Ｐ,やれやれだぜ…こんな事になってるんじゃあねーかって来てみれば案の定ってやつだ
千夜,な、何故、小〇大輔ボイス…？
Ｐ,風邪を引いたらおとなしく布団に入って寝ているのが人間のルールだろう。病人は素直に寝てなさい
千夜,びょ、病人に吹き矢を撃つか、普通…
Ｐ,安心しろ。ただの痺れ薬だ
千夜,お前、あとで、覚えてろよ…？。…あと、何だ、その恰好……
Ｐ,執事
千夜,チェンジ
Ｐ,んだとこのヤロウ
千夜,はう
Ｐ,病人は寝てろ。意見は求めん
千夜,すぴぃ…。モノローグがやかましい！！。あれ、私はいつの間に寝て…。違う、あいつに眠らされて…！
Ｐ,あ、起きてらウケる
千夜,お前ぇ！
Ｐ,おはよう。気分はどうだ？
千夜,お前のお陰でこの上なく不快だ
Ｐ,ほら体温計。熱測れ。あと食欲あるなら何か適当に用意するけど
千夜,余計なお世話です。お前の世話になどなりません
Ｐ,お前の次の仕事セクシーアニマルショー決定な
千夜,お前ぇ！
Ｐ,病気の時くらい素直に人の好意を受け取れ。さっさと治してさっさとちとせの僕ちゃんに戻りたいだろ？
千夜,…。借りを作ったつもりですか
Ｐ,お前さんもまた随分面倒くさいなぁ。夢見と良い勝負だぞ
千夜,仕事以外でお前と馴れ合うつもりはありません
Ｐ,仕事だったら馴れ合うのか？
千夜,お前の減らず口のせいで治るものも治らなくなりそうだ
Ｐ,りんごでも摩り下ろしてやろうか？
