4話,エマの脱走
ティターンズ兵,艦長！
バスク,どうした？
ティターンズ兵,倉庫に怪しい奴が居たので捕まえてきました！
バスク,何？密航者か？
ティターンズ兵,い、いえ……。それが尋問しても、いまいち要領がつかめなくて……こいつです
春巻,ちょー！引っ張らないでくれちょー！助けてちょー！
ティターンズ兵,まともな服は着てないわ、遭難して気づいたらここに居たとか訳の分からんことを言うわで……
ジャマイカン,怪しいな。スパイかもしれんぞ
ティターンズ兵,いかが致しますか？
バスク,ふん、スパイかどうかすぐに白状させてやる。おい、貴様
春巻,ホイ？
バスク,一体、何の目的でこの艦に忍び込んだ？素直に白状しておいたほうが身のため……
春巻,ちょー！大きな星がついたり消えたりしてるちょー！彗星みたいだみゃお！綺麗だちょー！
バスク,話を聞けぇぇええー！
春巻,はいざっくー！
ティターンズ兵,うわっ、思いっきり殴ったよ……
春巻,痛いウー
バスク,いいか、もう一度聞くぞ。何の目的で我がティターンズの艦に忍び込んだのだ？
春巻,ティターンズ？
ジャマイカン,しらばっくれおって。この艦がティターンズの物だと知ってて忍び込んだのだろう？
春巻,違うちょりそー。遭難して大きな建物があったから入ったらいつの間にかあの倉庫にいたマオ
バスク,やれやれ。どうやらもっと痛い目をみんとわからんようだな
春巻,そんな怖い顔で睨まないでちょー！このお坊さん怖いホイ
ジャマイカン,お坊さん？
春巻,あのゴーグルの人、頭ツルツルでお坊さんみたいだホーイ
ジャマイカン,ぐっ！
ティターンズ兵,ぶふっ！ぐぐぐっぐ！！
バスク,死ねぇええええー――――っ！！
春巻,あっしまー！
バスク,はぁっ……！はぁっ……！馬鹿にしおって……！
春巻,うりゅりゅりゅりゅ～
整備士,た、た、大変です！
バスク,今度はどうした！？
整備士,倉庫にあった弾薬や予備パーツ、食料などが水浸しになっています！
ジャマイカン,何だと！？一体何があったというのだ
整備士,どういうわけか、水道管に穴が開いていてそこから水が漏れたものと……
春巻,倉庫を漁ってたら色々壊しちゃったちぇん。許してマオ
バスク,貴様の仕業かぁぁああああー―――っ
春巻,ぎゃぷらーん！
バスク,我々ティターンズを馬鹿にするのも大概にしろクソがぁぁああああー―――っ
春巻,じむつー！うりょりょりょりょ……
ジャマイカン,た、大佐！落ち着いてください！
バスク,はぁっ……！はぁっ……！ぐっ、胃が痛くなってきた……
ティターンズ兵,え、えーと……。こいつどうします……？
バスク,独房にぶちこんでおけ！！
ティターンズ兵,いいか、くれぐれもここで大人しくしてるんだ。くれぐれもな！
春巻,おなかすいたホーイ
ティターンズ兵,後で持ってきてやるよ。絶対に大人しくしてろよ！絶対だぞ！
春巻,わかったちょー！大人しくしてるマオ。それにしてもここは妙に体がふわふわするマオ。まちゃあああああ！地震ホーイ！。がるばるでぃー！。ちょ？激突した衝撃で扉が開いたちょー！。おなかすいたちぇん。食堂はどこちょー？。ウロウロしてたら道に迷っちゃったちょー
ジェリド,ちっ！俺が小隊長に選ばれれば汚名挽回……いや、返上できたものを！まさかエマになるとは……ん？
春巻,ホイ？
ジェリド,おい、お前。見ない顔だな。こんな所で何をやっている？
春巻,道に迷っちゃったちょりそー
ジェリド,道に迷った？そういえばバスク大佐が密航者を捕まえたとか言ってたな。こいつのことか……
春巻,ん？ほわぁああああああー！！
ジェリド,ど、どうした？
春巻,カッコいいロボットだちょー！すごいちょー！！
ジェリド,あ、おい！貴様！勝手にＭＫーⅡに近づくな！
春巻,黒いロボットだちぇん！きっとすごいアトラクションだちょー！スイッチはこれちょ？
ジェリド,くっ！こいつＭＫーⅡに乗り込みやがった！おい、大変だ！密航者がＭＫーⅡに乗り込みやがったぞ！
整備士,なんだって？
春巻,ちょー！周りの壁が透明になったマオ！まるで魔法だリャーン！
ジェリド,おい、貴様！命が惜しければ今すぐそこから降りろ！聞こえているか！？
春巻,あの人何か言ってるみたいだちょー。よく聞こえないマオ。何かいったリャン？
整備士,うわぁぁあああ！ライフルを撃ちやがったぞこいつ！！
ティターンズ兵,げぇー！壁に穴が！！
春巻,リャン？変なボタンに触っちゃったホイ
ジェリド,そ、総員ここから離れろ！宇宙に放りだされるぞ！
整備士,うわぁぁあー！じぇ、ジェリド中尉ー！！
春巻,吸い込まれてる人が居るホーイ！助けるリャン！
ジェリド,うおおお！しょ、正気かこいつ！！
春巻,わぁぁあー！またボタン押しちゃったちょー！さらに穴を大きくしちゃったりゃーん！す、吸い込まれるホーイ！
整備士,あああああああああああああああああああ
春巻,さちわぬー！
ジャマイカン,何事だ！？
ティターンズ兵,そ、それがさっきの密航者がＭＫーⅡに乗り込んだそうで……
バスク,ふざけるなぁー！！
ティターンズ兵,しろっこ！。なんで俺が殴られるんだよ……
ジャマイカン,早く追撃を回せ！
ティターンズ兵,い、いえ、それが逃げる気が全くないのか、空中を漂ってるようです
バスク,ならば早く回収させろ！密航者はぶち殺しても構わん！いや、ぶち殺せぇ！！
ティターンズ兵,は、はいっ！
エマ,私達は運に恵まれてるようね。今の内にアーガマに行きましょう。外に放り出されないように気をつけて
カミーユ,はい！
フランクリン,むう、２号機がないぞ！
エマ,誰かが使ってるみたいね……仕方ないわ。フランクリンさんはハイザックでついてきて
フランクリン,えぇ……
ティターンズ兵,どうやらエマ中尉とカクリコン中尉が回収に向かうようです
バスク,何だと？そんな馬鹿な話があるか！
カクリコン中尉,そうだ。俺はここにいるんだぜ？
ティターンズ兵,え？あれ！？３号機はエマ中尉だよな……？じゃあ１号機に乗っているのは誰だ！？
バスク,ええい、エマの奴め！カクリコン！ジェリドと共に回収に向かえ！
カクリコン中尉,ハ、ハイザックで……ですか？
バスク,それしかないだろう！さっさといけ、このウスハゲが！
カクリコン中尉,りょ、了解！
春巻,うじゅー。くるくる回ってバランスがとれないリャン。誰か助けてホーイ！
フランクリン,おい、２号機が宙に舞ってるぞ。回収しないのか？
エマ,回収したいところだけど、逃げるのが先決です。早くアーガマに向かわないと追撃隊に追いつかれます。貴方が乗っているのはハイザックなんですから
カミーユ,よくわかりませんが……。あれは回収しないほうがいいような気がします
カクリコン,待て、エマ中尉！くそ、あれでは追いつけんか……
ジェリド,ハイザックでＭＫーⅡに追いつけるかってんだ。しかし、エマが寝返るとはね
カクリコン,とにかく２号機だけでも回収せんとな。早くしないとまた大佐にどやされるぜ
ジェリド,全くだ
春巻,ホイ？
ジェリド,おい密航者、聞こえるか！これからお前を連れ戻すから大人しくしてろよ
カクリコン,またさっきみたいな行動を取ってみろ、今度こそ貴様は銃殺刑だぞ
春巻,分かったちょー！もう勝手な行動はしないちょー
ジェリド,こちらジェリド中尉だ。２号機を回収した。このままアレキサンドリアに連行する
春巻,助かったちょー。また遭難するところだったちょりそー！。りゃん？何か手に当たったマオ
ジェリド,おい、待て……。あの方向は……
ジャマイカン,ああああああ、あの野郎ぉおおおおー！
バスク,殺せー！！今すぐ２号機にいるクソ野郎をぶち殺せぇぇぇー！
ティターンズ兵,た、大佐！落ち着いてください！
カクリコン,お、お前……偉い事をしてくれたな……？
ジェリド,なあ……。これって俺達に責任はないよな……？
春巻,腕を振り上げたらスイッチに当たっちゃったちょりー
カクリコン,ブリッジからの無線だぜ……
ジェリド,出るしかないだろう……。こ、こ、こちらジェリド・メサ中尉だ
カクリコン,おいジェリド。むちゃくちゃいってるぜこいつ
ジェリド,人間、本性がでるとこうも醜くなるのか……今後気をつけるかな……
春巻,ちょー！またあの怖いお坊さんの声だちょー！助けてちょりー！
ジェリド,うお！な、なんだ！？
カクリコン,お、おい！２号機が急に加速し始めたぞ！
ジェリド,貴様ぁ！今度は何をしている！もう余計な事はするな！！
春巻,ちょおおおおー！レバーを倒したら急に動き出したちょりそー！
カクリコン,だぁぁあああ！早くレバーを元に戻せ！
ジェリド,うおおお！何てパワーだ！くそっ、ハイザックじゃとても止められんぞ！
春巻,レバーを元に……元に……。しゃおらーん！レバーが壊れたちょりそー！
ジェリド,だぁぁぁあああー！ならブレーキペダルを踏め！早くしろぉおおおー！
春巻,ペダル……あったちょー！止まりゃーん！。はちょー！さらに加速したりゃーん！！
カクリコン,そっちは加速ペダルだ馬鹿野郎！！
ジェリド,止めてからじゃないと引っ張りだせないだろ！
カクリコン,見てわかんねーのかクソハゲ！！。うるせぇ！ツルッパゲよりマシなんだよ！！
ジャマイカン,な、なんで私が……
ジェリド,お、おい、待てよカクリコン……
カクリコン,どうした？
ジェリド,この方向……このまま２号機に押されると、俺達ブリッジに直撃するんじゃないか……？
カクリコン,あっ……
春巻,誰か止めてぼりしょーい！
ジェリド,じょ、冗談じゃねーぞ！このままじゃ俺達は宇宙のチリだ！
カクリコン,おい、貴様！いつまで加速し続けるつもりだ！！
ジェリド,フルスロットルで吹かすんじゃない！貴様、わざとやっているのか！？
春巻,足が引っかかって取れないんだちょりそー！助けてホーイ！！
カクリコン,あああああ！このままではブリッジに直撃する！ア、アメリア……
ジェリド,やってるってんだよ！クソッ！こっちの気もしらないで！
カクリコン,なあ……こいつ止めるのもう無理なんじゃないか？
ジェリド,えっ
春巻,えくすとりーむー！誰か止めてちょりー！！
カクリコン,そもそもハイザックとＭＫーⅡではパワーが違いすぎる。フルスロットルで加速してるこいつをたった２機で止められると思うか？
