～夜中～布団の中のぷちみお,ﾘｭｾ…
ぷちみお,ﾘｭｾ……ﾗﾑﾆｸｶﾞﾋﾄﾂﾗﾑﾆｸｶﾞﾌﾀﾂﾗﾑﾆｸｶﾞﾐｯﾂ…。……ﾒｼｨ…
ぷちふみ,………
ぷちりす,ﾌﾟﾐｶｻﾝｶｾﾞｦﾋｷﾏｽﾖ
ぷちふみ,…………
ぷちりす,……ﾅﾆｶ…ｱｯﾀｶｲﾓﾉ…ｱｯﾀｶｲ……
ちーあか,ﾎﾞﾝﾊﾞｱｱｱｱｱ
ぷちりす,ﾖﾝﾃﾞﾏｾﾝｶﾗﾈ!
ぷちふみ,…………
凛,…ジッと見られると食べづらいんだけどな…。そんなに興味あるならはい、チョコ少し食べる？
ぷちふみ,………!
凛,素直だね。じゃあはい、あーん…
ぷちりん,ﾜﾙｸﾅ!
ぷちふみ,…………
凛,ぷちりん…
ぷちりん,ﾜﾙ?。ﾜﾙﾙﾙﾙ……ﾜﾙﾙﾙﾙﾙﾙﾙ…
チキンの骨持ったぷちみお,ｵﾆｸｻﾏｰ♪ｵﾆｸｻﾏｰ♪
骨にビビるぷちりん,ﾜﾙ!?
ぷちみお,ﾘｭｾ?
遠吠えぷちりん,ｱｵｰ!!
みふねさん,ｱﾉ…ｴｴﾄ…
ぷちかれ,ﾎﾟﾃ?。ｵｲｼｲﾖ
みふねさん,ｴｴﾄ…ｺﾚﾊ…?
ぷちかれ,ﾅﾏｲﾓ!
みふねさん,ｿﾉ…ｴｴﾄ……。ﾊﾑｯ
ぷちかれ,ﾎﾟﾃｪ!?
みふねさん,ﾎｴ…?
はしゃぐぷちかれ,ﾎﾟｰｲ♪ﾎﾟｰｲ♪
P,ここ10何年かでメイドって言葉も浸透したけど、要はおとぎ話なんかに出てくる召使いの事だよな
千夜,ええ、まぁそうですね…お前にそう呼ばれたくはありませんが
ぷちみお,ﾒｼﾂｶｲ?。ﾎﾎｰｳ…
P,何に納得してるかは知らんが多分違うぞぷちみお…
ぷちみお,ﾘｭｾ?
ぷちかれ,ﾅﾏｿﾊﾞｵｲｼｲﾖｰ
加蓮,また乾麺のおソバ茹でずにかじってる……
ぷちかれ,ﾔﾏｲﾓｰ♪
肇,…もしかしたらなんですけど、ぷちかれちゃん、茹でたお蕎麦を食べたことがないのでは…？
加蓮,あぁ……そう言えばそうかも…
ぷちかれ,ﾎﾟﾃｪ?
肇,というわけでかけそばです。ぷちかれちゃんにはこちらを
ぷちかれ,ｺﾛｹｿﾊﾞ!。ｵｲｼｲﾈｪ
加蓮,よかった、これでもう生のままかじらないでしょ…
他のぷちかれ達,ﾅﾏｿﾊﾞ!
加蓮,…肇。あと4人前オネガイシマス…1杯お茶碗くらいでいいから…
肇,ふむ……何だか燃えてきましたね…いっそ手打ちにしますか
珠美,今手討ちの話を
仁美,しなかった！？
加蓮,その手討ちじゃない！！
