モバＰ,以降Ｐ表記。ちょ飼い主
楓,大将やってる？
Ｐ,やってるから店開けてるんですよ。さ、今日は何にしましょうか
楓,えっと、それじゃあ今夜は…あ、おでんください
Ｐ,はいよ
楓,大根と玉子とはんぺんと…あとちくわも
Ｐ,はいよっ
楓,ふふっ、ちくわのうんちくは、何か無いんですか？
Ｐ,おっとまだ夜は冷え込みますね
楓,っ！？
Ｐ,はい、大根と玉子とはんぺんとちくわ。牛すじオマケしておきますね
楓,わーい。あ、秩父錦も冷やでください
Ｐ,すいませんねぇ。高垣さん家の楓さんにはお酒を出すなって言われてるんですよ
楓,…っ！！
Ｐ,動物病院に連れてこられたマルチーズみたいな顔しとる
楓,おさけ…私の、おさけ…
Ｐ,別に楓さんのお酒という訳では
楓,えぐ…ぐすっ…
Ｐ,……今日だけ特別ですよ？一杯だけですか
楓,出羽桜でお願いします
Ｐ,食い気味っ
周子,すんすん、良い匂いするやーん
Ｐ,らっしゃい
周子,おやっさん周子ちゃんにいつものー
Ｐ,はいよ、きつねうどんお揚げ甘々ね
周子,２枚入れてねー
Ｐ,トッピングは追加料金ですぜお嬢さん
周子,んじゃ志希ちゃんにツケといて
Ｐ,志希もお前にツケてるんだけど
周子,えっ、酷くない？
Ｐ,はい、ご注文のきつねうどんお揚げ甘々２枚乗せ
周子,これこれ。うーん、出汁の香りが懐かしいわぁ
Ｐ,夕飯食べた後でよくそんな食えるもんだ
周子,若いから代謝が活発なんよ
Ｐ,ハハッ耳と心が痛い
周子,はふはふ、お出汁はあっさりじんわり優しい味でお揚げは濃い目に甘じょっばくて…
Ｐ,故郷の味が恋しくなるんじゃないか？
周子,んー、どうやろ。何なら今度一緒に行く？
Ｐ,たまには素直に愛娘の顔見せてやりなさいな…
周子,前向きに検討しとく
Ｐ,この放蕩狐め
周子,こんこーん♪
Ｐ,ま、俺もあんまりうるさく言うつもりは無いけど。ほれ温玉オマケしてやる
周子,あたしＰさんのそういうところ好きやわぁ
志乃,…あら、今夜は開いているのね
Ｐ,いらっしゃい。…また相当飲んでますね
志乃,そんな事ないわよ？じゃあ、まずはお薦めの１本頂けるかしら
Ｐ,今日はもう止めておいた方がいいですよ。また清良さんに叱られますよ？
志乃,仕方ないわね…それじゃあ、何かワインに合うものを頂ける？
Ｐ,飲みたくなっても駄目ですからね。…じゃあこれなんてどうですか？牛肉の赤ワイン煮
志乃,あら素敵。それじゃあいただきます。……素敵、カブやお肉にワインの風味がしっかり染み込んでいて美味しいわ
Ｐ,出汁とワインだけで煮込んで最後に塩で味を整えただけのお手軽メニューですけどね
志乃,ワインとお出汁？不思議ね、全然違和感無いのね
