渋谷凛,ごめん、待った？
高森藍子,私達もついさっき来たところです
佐久間まゆ,わあ……凛ちゃんの変装
凛,えっ、何か変？
まゆ,いえ、髪を帽子の中にまとめてパンツルックだから、なんだか男の子みたいだなぁって
凛,喜んでいいのかな……女っぽくないって言われてるような
藍子,変装なんだから、バッチリですよ
凛,眼鏡とポニーテールで結構印象の違うまゆはいいとして、藍子は帽子かぶっただけ？
藍子,私は二人ほど熱狂的なファンもいないから、これくらいでいいと思って
凛,そう思ってるのは藍子だけじゃないかなぁ
まゆ,ね、やっぱり。私もそう言ったんですよ？
凛,騒がれてからじゃ遅いし、もう少し変装した方がいいよ
藍子,じゃあ、シュシュあるから三つ編みにしますね
まゆ,藍子ちゃん、編ませてもらってもいいですか
藍子,うん、どうぞ
まゆ,藍子ちゃんの髪って柔らかいですね
凛,結局この三人か。五人まで使える温泉旅館の招待券なのにちょっと勿体無いね
藍子,有効期限迫ってたし、スケジュールの合う人もいなかったから仕方ないですよ
まゆ,はい、できました
藍子,ありがとう、まゆちゃん
まゆ,藍子ちゃんって結構髪長いんですね。普段はお団子やポニーテールだから気づきませんでした
凛,たまにおろしてみるのも良いんじゃない？新たな一面ってことでファン増えるかも
藍子,じゃあ今度、Pさんに提案してみようかな
まゆ,あっ、そろそろ電車きますよ
女将,佐久間御一行様ですね、お待ちしておりました
まゆ,お世話になります
女将,招待券のご利用で一部屋ご予約されておりますが、もう一部屋用意できますよ
まゆ,？別に分ける必要ないので……
女将,でも年頃の男女が同じ部屋で――
藍子,ぷふッｗ
凛,あ、あの、私女です……
女将,あっ、し、失礼しました！あんまりカッコイイものですからてっきり
藍子,私達も、今日は髪まとめてるから男の子っぽいねって話してたんですよ～
まゆ,今度から凛くんって呼びましょうか？
凛,やめてよ
藍子,露天風呂は別々ですね～ｗ
凛,やめてってば
藍子,はぁ……お風呂でほっとすると、やっぱり日本人だなぁって思いますね
まゆ,貸切状態だなんて、この時間は人少ないんですねぇ
凛,ちょっと熱いけど気持ちいいね
藍子,……あの
凛,ん？
藍子,ここ、女湯ですよ？
凛,それが……って、そのネタはもういいよ！
まゆ,
凛,まゆも笑いこらえてないで！
藍子,さあ、誰か来る前に早く男湯へｗｗ
凛,だーかーらー！。この体のどこが男だっていうの！？
藍子,あ……う、うん、ごめんね。分かったから……
まゆ,そんなに見せつけなくても、良いですよ？
凛,……っ。うう、女同士でもちょっと恥ずかしい……。そういう冗談でからかうタイプじゃないと思ってたのに
藍子,あはは……これでも何度かバラエティ番組の出演経験ありますから。ライブもそうですけど、盛り上げるためにはそういう冗談もときには必要かなって
凛,それは……まあ、否定しないけど。今プライベートだからその必要全くないよね？
まゆ,軽く流せばいいのにムキになって。いじられキャラの凛ちゃん可愛いかも
藍子,とりあえず未央ちゃんと加蓮ちゃんに、あとで提案しておきますねー
凛,やめて！その二人は容赦なくいじってくるから本当にやめて！
藍子,すでに私達二人に翻弄されてるなぁ……
凛,まゆ、目線もらえる？
まゆ,はい
凛,ツイッターでアップしてもいい？
まゆ,ええ、どうぞ
凛,ありがと。まゆ、藍子と一緒に温泉に来ています……っと
藍子,浴衣着ているうちに三人で撮りたいですね
まゆ,あとで旅館の人に撮ってもらいましょうか
凛,うわ、早速反応が……まゆの浴衣写真好評みたいだよ。……！？
まゆ,どうしたんですか？
凛,Pから、浴衣になりたいってコメントが……
まゆ,。えっ？
藍子,恥ずかしがるまゆちゃんの表情ゲット～
まゆ,ちょっとぉ
藍子,早速アップ――
まゆ,させませんよ、えい！。うふふ、ほーら浴衣がはだけてブラが見えてる写真ですよ
藍子,やめて、恥ずかしい！
まゆ,お互い火傷しないうちに削除しませんかぁ？
藍子,そうですね、じゃあ……削除っと
まゆ,ところで藍子ちゃん
藍子,はい？
まゆ,なんだか凛ちゃんが、くだらないことしてるなぁ的な目で見てるんですが
藍子,ええ……少しイラッとしますね
まゆ,ゴニョゴニョ……というのはどうでしょう？
藍子,うふふ……お主もワルよのぅ
凛,ケンカは収まった？
まゆ,隙あり！
藍子,もらいました！
凛,わあっ！
藍子,あっ、残念。パンツは写ってない……けどめくった浴衣からスラリと伸びる太ももは撮れましたっ
凛,何してるの！？
まゆ,我関せずな凛ちゃんが癪だったのでセクシーショットを撮ってやろうかと
凛,冗談じゃないよ、すぐ削除して！
藍子,いやです～
凛,逃げるなぁ！。！？
まゆ,うふふ……凛ちゃんのブラチラ撮りましたよ
凛,まゆまで！？。よーく分かった……二人共私の敵なんだね！。そっちがその気なら、こっちだって恥ずかしい写真撮ってやる！！。隙あり！
藍子,甘いです！
まゆ,甘いのは藍子ちゃんですよ！
藍子,！う、裏切った！？
まゆ,くっ、あまり鮮明じゃない……でも太ももは撮りましたッ！
凛,藍子！
藍子,ｺｸｯ
凛,まゆ、大人しくしてもらうよ！
まゆ,あっ！？
藍子,シャッターチャーンス！！
まゆ,きゃああ！！
藍子,そっちが裏切るならこちらは共闘するまで！
凛,誰が共闘するって言った！？
藍子,！？。なにやってるんだろう、私達…………
まゆ,汗だく、ですね……お風呂、また入らないと
凛,疲れすぎて声が出ない
藍子,撮った写真……どうしましょう
まゆ,何枚くらい、撮りました……？
藍子,えっと、まともに写ってるのは…………七枚です
まゆ,私は……五枚。凛ちゃんは？
凛,一枚だけ……こんなに暴れまわって、たった一枚？。あは……あはははは
藍子,凛ちゃん？
凛,二人とこんなに思いっきり遊んだの初めてだったから……あはは。なんか、嬉しくて
まゆ,そういえばそうですね……ふふっ
凛,もしかしたら、奈緒や加蓮や、卯月、未央達ですら、こんなに盛り上がったことないかも
藍子,それはなんだか、光栄です
まゆ,落ち着いたら露天風呂に……いえ、今度は部屋風呂にみんなで入りましょう
凛,そうだね、三人くらいなら十分入れそうだし
藍子,お互いに洗いっこ、しましょうか
まゆ,ええ。あらためて、今日来て良かったって思いました
凛,私も
藍子,私だって
凛,写真は、削除しないで保存しておこうよ。別に、誰かに見せる必要はないんだからさ。今日の思い出に。まゆ、起きてる？
まゆ,うん
凛,藍子は？
藍子,……
まゆ,藍子ちゃん？
藍子,すぅ…………
まゆ,もう寝ちゃったみたい
凛,ちょっと、聞いてもいい？
まゆ,なんですか？
凛,……まゆは、Pのどういうところが好きなの？
まゆ,もちろん、全部です♪
凛,そっか、全部か……そんな風に自信持って言えるなんて羨ましいな
まゆ,凛ちゃんもPさんの事好きでしょう？
凛,う、うん……でも、私とまゆの好きは違うんじゃないかって思ってる
まゆ,恋と愛の違いみたいな？
凛,それとも違うんだよね。まゆのが新婚夫婦の好きなら、私のは熟年夫婦の好きというか……
まゆ,ふふふっ
凛,え、変なこと言った？
まゆ,だって、凛ちゃんのほうが私より年下なのに熟年夫婦って、おかしくて……
凛,ふふ、そうだね。あっ、でも、だからって私のほうがPにふさわしいとか、そういうつもりはないよ？。そもそもPって鈍感だから、まゆはともかく私の気持ちなんて気づいてもいないんじゃないかな
まゆ,……凛ちゃん。だからって、自分から身を引こうなんて考えないでね
凛,まゆ……そこは、なら私とPさんの間に入ってこないでって言うところじゃないの？
まゆ,……
凛,……まゆ？
まゆ,そういうこと、言えない性格みたい。勝つなら、正々堂々と勝ちたいから
凛,ん……分かった。なら負けないよ。恋も、アイドルも
まゆ,こちらこそ
凛,でも私は、もし逆の立場なら言ったかもしれない。懐の深さ……余裕と言い換えてもいいかな。それは私の負けかなぁ……
藍子,ふわぁ……むにゃ。あら？。凛ちゃんとまゆちゃん、同じ布団で寝てる。ふふっ、なんだか仲の良い姉妹みたい。えへへ、私も仲間に入れて～。もう一眠り……
凛,なんでそこで起こしてくれなかったのっ？
藍子,だって気持ちよさそうに寝てたから～！
凛,もう～！起きたら朝食時間は終わってるし、送迎バスには乗り遅れそうだし！
藍子,一番爆睡していた人には言われたくないです～！
まゆ,とにかく走って！
藍子,……というわけで、帰りは結構ドタバタだったんですよ
P,へえ～。でも楽しかったみたいでよかったよ
まゆ,はい。今までより仲良くなれたと思います
凛,この三人でユニット組んでみたくなるくらいにね
P,面白そうだな。ユニット名は、そうだな……。凛と、藍子と、まゆ……ん？。まゆ、凛、藍子…………頭文字をつなげると、ま・り・あ。おおっ！
藍子,素敵ですっ
まゆ,気づきませんでしたねぇ
