惠,前略
伊織,こんなもんかしら？
亜美,いーよー、バッチシだよ、いおりん！でーもー、なんで竜宮小町の二人用振り付けなんてするの？
伊織,あずさがおたふく風邪の時は律子いれてやったけど、前みたいに練習する時間あるとは限らないもの。備えあれば憂いなし、でしょ？
亜美,うんうん、そうだねぇ、いおりん！さすが、リーダーだよ！
伊織,ふふん、まあ、伊織ちゃんに任せなさい！とは言ったけど、私がいないこともあるんだから、その時は亜美があずさをリードするのよ、いい？
亜美,りょーかい！
伊織,返事だけはいいんだから。逆もやっておこうかしら？
亜美,その前に、いおりーん、ちょっと休憩しようよ～
伊織,そうね、私もノドが乾いたわ
亜美,竜宮小町全員オフなんて珍しいよね！
伊織,そうねぇ。律子ががんばって、スケジュール調整してくれたおかげよ、感謝しなくちゃ
亜美,あずさお姉Ｃ
伊織,お友達も一緒だから大丈夫でしょ
亜美,温泉の一方で、亜美は鬼リーダーに引っ張られて、強制自主レッスン、よよよ～
伊織,なによ、そのいい草は。無理やり引っ張って来たわけじゃないでしょ！非常事態用のレッスンなんて、こんな時じゃないとできないじゃない、それはわかってくれたでしょ？
亜美,どーどー、いおりん。冗談だｙｏ！
伊織,まぁ、いいわ。買い物にも付き合ってもらいたいし
亜美,おやおやぁ、いおりん、照れ隠しですかな？りっちゃんに良いトコみせたいくせにー
伊織,あーみぃ！
亜美,ひゃあ！
伊織,まぁ、あながち間違ってもないんだけど。今日は律子、なにやってるか、知ってる？
亜美,りっちゃん？今日は休みだよ。兄Ｃ
伊織,最後はプロデューサーの本音でしょ、それ
亜美,ということで、お休みなのだー。ここまで言われてれば休んでるっしょ
伊織,律子はがんばりすぎるのよ、適度に休めばいいのに。根っから真面目で、なによりも私達が第一じゃなくてもいいじゃない
亜美,うむうむ、まったくその通りですな。メガネも似合ってるし
伊織,スーツも似合ってる
亜美,寸胴とか言うくせに、８５－５７－８５で凄いクビレがあるし
伊織,優しくて、気がきくわね
亜美,そのくせ可愛いところもあるとか、反則っしょー
伊織,プロデューサーだからって、私達を下に見ないで、対等に接してくれてる
亜美,誰にも贔屓しないで、平等だし
伊織,……律子って凄いのね
亜美,りっちゃん、ぱねぇぜ……
伊織,自分で褒めといてなんだけど、なんだか腹が立ってきたわ
亜美,おー、いおりん、理不尽だｙｏ！
伊織,にひひ♪私だって、子供だもん、理不尽なものよ
亜美,むっふっふ～、そうだねぇ、いおりん？
伊織,ねぇ、亜美？
亜美,困らせちゃう？
伊織,たまには律子の慌てる顔も見たいものね♪とびきりのを考えなさい、亜美！
亜美,ラジャー！。おやびん、メールを考えましたで！
伊織,誰がおやびんよ！
亜美,いおびん、内容はこうですぜ
伊織,混じってるわよ。まぁ、いいわ
亜美,題して、りっちゃんはいおりんをエコヒーキしてるよ！
伊織,依怙贔屓？
亜美,さっき、いおりんも言ってたけど、りっちゃんは平等じゃん？
伊織,そうね、少なくとも依怙贔屓なんかしてないわ
亜美,だけど、亜美達もシシュンキじゃん？お年頃だから、もっと自分の事を見て欲しいじゃん？些細なことが気になっちゃうじゃん？
伊織,その話し方はなんなのよ……
亜美,悩みながらベッドでメールを送るんだ、相手を依怙贔屓してるんじゃないかって
伊織,それって、私も送るの？
亜美,イエース、むしろいおりんが送ってこそ信憑性マシマシじゃん？
伊織,なるほどね。真剣に悩んでくれそうね、にひひ♪
亜美,明日の朝にネタばらし、りっちゃんダイスキーでハッピーエンドですよ、いおりん！
伊織,いいわね、亜美！
亜美,いおりん、亜美から送る文面はこんな感じー
りっちゃん,鬼
伊織,とりあえず、その登録名は変えておきなさい。怒られるから
亜美,わかった。りっちゃん女神
伊織,よろしい。で、メールの文面だけど
亜美,絵文字も使わないで、本気な感じにしてみたｙｏ！りっちゃんはこんなことしないけどね
伊織,うん、信憑性はあるわね。普段の亜美からは想像つかないメールだし
亜美,でしょ？でもねぇ、亜美から送るとイタズラだと思われるかもしれないから、いおりんのを先に送ろーよ
伊織,そうね。こんな感じにしてみたけど、どうかしら？
亜美,言葉はきついけど……かまって欲しいみたいに読めるよ？
伊織,いいじゃない。そうでも思ってなきゃこんなメール送らないわよ
亜美,ふむふむ、いおりんはりっちゃんにかまって欲しい、っと
伊織,そういうわけじゃないわよ。信憑性を持たせるためだから誤解しないで。それじゃ、送りましょうか
亜美,よーし、それじゃいおりーん、そーしん！
伊織,送信っと
亜美,亜美は３分後に送るよー
伊織,別の人のパートも新鮮でいいわね
亜美,ゆずってくれてもいいんですぜ？
伊織,なーに、この場所は渡さないわよ。欲しいなら奪ってみなさい！
亜美,ん、りっちゃんから返信が来たｙｏ！
伊織,早いわね
亜美,いおりんにもメール来てる？
伊織,来てるわ
亜美,うっふっふ、慌ててるに違いないですぜ、旦那！
伊織,にひひ♪楽しみね
亜美,それじゃ、オープン！
