二宮飛鳥,事務所の扉を開けたら、中にいたのは…
姫川友紀,かわいいかわいい！幸子ちゃんかわいいー！
輿水幸子,ちょ、友紀さんまたですか！撫ですぎですよ…わぷっ！
飛鳥,……。…やあ
幸子,あっ、飛鳥さんではないですか！助けてください！
友紀,飛鳥ちゃん、おっはよー！
幸子,このままではっ、ボクが擦り減ってしまいます！あぁっ！
飛鳥,……。では、ボクはこれにて
幸子,ちょ、ちょっと！今来たばかりでしょう！どこに行くんですか！
飛鳥,此処でなはい、何処かにさ
幸子,お願いですどうぞお入りくださいドアを閉めないで！そして助けて！
飛鳥,…良かったじゃないか、幸子。キミのカワイイが認められている証だよ
幸子,これでは身が持ちませんよ！ボクのカワイイ髪も持ちません！
飛鳥,カタチとして見える愛だなんて、素晴らしい限りだね
幸子,こんな雑で粗暴な愛の形がありますか！
友紀,あたし、そんなに力強いかなぁ？
幸子,体の大きさや年齢を考えてください！
飛鳥,それでは
幸子,待って！！。…いやぁ、髪を整えるボクもカワイイですねぇ
飛鳥,お疲れ様
幸子,…我関せずでコーヒーを淹れ始める飛鳥さんも、大概大物ですよね
飛鳥,そうかな？キミたちが近寄り難かっただけだよ
友紀,あたし、まだ撫で足りないんだけどー
幸子,やめてください。レッスン前にこれ以上体力を消耗したくありません…というか！友紀さんも一緒の筈でしょう！
友紀,分かってるって！でもさー
幸子,荒っぽいんですよ、友紀さんの撫で方は。もっと丁寧にできないんですか？
友紀,丁寧かぁ…低めに集める感じ？
幸子,全くもって違います！
飛鳥,もはや顔の位置じゃないか
幸子,…そう、例えるならば。シルクの毛布を撫でるように。カシミヤのセーターを扱うように！こんなにカワイイボクの髪なんですからね
友紀,んー、ガサツなのは自覚してるつもりだけど…
幸子,友紀さんの場合、力も強いし手もちょっと硬い！手にマメでもできてるんじゃないですか？
友紀,だって、野球選手にマメはつきものだよ？
幸子,友紀さんはアイドルでしょう！できれば否定して欲しかったです！
飛鳥,あるのか、マメが…
幸子,日頃バットやらネギやら何でも素振りしているからですよ
飛鳥,…そう言えば、この間はスタンドマイクを振り回していたね
友紀,あー、あれはだめなヤツだったね。いまいちしっくり来なくって。もう振ってないや！
飛鳥,なぜ評価の基準が素振りなんだ…
友紀,グリップ具合がちょっとね。あと、重心がこう…
飛鳥,解説しなくてもいいよ
幸子,ああ言えばこう言うとはこのことですね…子供ですか！
友紀,へへっ、よく言われる！
幸子,褒めていません！。全く。そんなことでは、もうボクの髪に触れるのは禁止にしますよ
友紀,そんなぁ！
幸子,代わりに人形でも撫でていれば良いではないですか
友紀,人形？
幸子,友紀さんの好きな…えーっと、ね、ねこ…ねこぴん？でしたっけ
飛鳥,…あぁ、あの運動神経の良くて
友紀,うん、そうだね。宙返りだってできるんだから！ねこぴんじゃなくて、ねこっｐ
飛鳥,緑がかっていて
友紀,…うん？緑？
飛鳥,子供を食べるのが好きなモンスターのことだね
幸子,ヒィ！そ、そうなんですか！？友紀さん？
友紀,そんなわけないじゃん！？
飛鳥,幸子ぐらいならバターを塗って一口だ
幸子,うわぁぁ友紀さん……
友紀,ストップストップ！変なこと言うのやめてよ！
飛鳥,冗談さ
